Link: ;https://www.instagram.com/p/CT4Rx5yMIDZ/
Id/Reply-Id;User;Comment;Date;Likes;Reply To CommentId
1;lindwurmallee;Pommes;2022-02-23T23:06:52.000Z;0;-
2;krokodilgemuese;Wo ist denn der Beitrag, in dem jemand die Nürnberger Prozesse als Lieblingskartoffelgericht nennt? Der hatt über 100 Likes. :(;2021-11-06T09:46:21.000Z;0;-
3;limotetrapack;Am liebsten roh;2021-10-12T13:16:57.000Z;0;-
4;flo04641;Ich esse gerne von meiner Oma aber wirklich nur von meiner Oma Matjes Heringssalat mit Pellkartoffeln und Detscher mit Apfelmus;2021-09-18T21:26:59.000Z;0;-
5;salem_oh;Bratkartoffeln 😉;2021-09-18T09:34:31.000Z;1 like;-
6;goihlheidrunkerstin;Pellkartoffeln mit Quark 😍;2021-09-18T06:32:39.000Z;1 like;-
7;kleokleozh;Kartoffelgratin ... Liebe grüsse aus Zürich 🇨🇭;2021-09-17T22:48:42.000Z;1 like;-
8;imandra999;Hmm ich mag Bratkartoffeln 😍;2021-09-17T18:35:58.000Z;1 like;-
9;toysoldier68;"Hier in Köln nennen wir es ""Schiefen in de Pann"". Speck und Zwiebeln in Fett auslassen, rohe Kartoffel in dünne Scheiben schneiden und in die heiße Pfanne geben. Mit Pfeffer und Salz abschmecken ... fertig!";2021-09-17T17:48:55.000Z;1 like;-
10;la_ra.marie;Kartoffelbrei ❤️;2021-09-17T17:30:54.000Z;1 like;-
11;henni.jhn;Kroketten 🥰;2021-09-17T16:34:32.000Z;1 like;-
12;laura_cruzd;Ich hasse eigentlich Kartoffelsalat. Aber das geht noch anders!;2021-09-17T16:06:58.000Z;1 like;-
13;ady701;Der Kartoffelsalat im Bild ist einer vom discounter... Schlechte requisite;2021-09-17T15:54:27.000Z;0;-
14;mori.tz.04;Kartoffelgratin;2021-09-17T13:35:20.000Z;1 like;-
15;jenn_yh;Reibekuchen!;2021-09-17T12:14:18.000Z;1 like;-
16;kyu_350;Wäre eine Porzellanschüssel nicht besser gewesen?🙈 ich liebe Pizza;2021-09-17T10:26:57.000Z;0;-
16-1;lindwurmallee;@kyu_350 die Brotdosen von damals waren aus Metall;2022-02-23T23:06:17.000Z;1 like;16
17;annie_henning_bayern;Selbst gemachte Pommes, Bratkartoffeln, Rösti, Kartoffelbrei usw;2021-09-17T10:09:47.000Z;0;-
18;andreas.gorges;Äusserst nachhaltig deine Aluminiumbox. Mein Großvater hatte diese auch. In mehreren Stufen, für unterschiedliche Inhalte, mit Henkel, um sie auch ans Fahrrad zu hängen. Sie war sooo zerbeult über die Jahre geworden. Keine bunte Plastikbox hat je soooo lange gehalten.;2021-09-17T08:15:31.000Z;1 like;-
19;korneliusluther;Haben die Scholls Kartoffelsalat mit Mayonnaise gegessen? Das wären die ersten Schwaben, von denen ich so eine Furchtbarkeit höre. Mit Brühe, Essig und Öl ist der Weg!;2021-09-17T07:34:37.000Z;4 likes;-
20;eineinhalb_woelfchen;Reibekuchen / Kartoffelpuffer mit Apfelmus 😁 und dünne Kartoffelscheiben, gebraten und wie Pommes gewürzt;2021-09-17T07:18:38.000Z;0;-
21;ilkafuessel;Pellkartoffeln mit Salz.;2021-09-17T07:17:41.000Z;0;-
22;_saem_;Ein Käse-Fondue und statt Brot nimmst du Kartoffeln;2021-09-17T07:14:15.000Z;0;-
23;asjagubareva;Kartofelplätzchen kann ich immer essen.;2021-09-17T06:18:03.000Z;0;-
24;89christmastrees;Pommes 👏🔥;2021-09-17T06:14:34.000Z;0;-
25;merlinrooney;Kartoffelsalat. Walliser Rösti;2021-09-17T06:13:36.000Z;0;-
