Link: ;https://www.instagram.com/p/CPQsVCvnV0m/
Id/Reply-Id;User;Comment;Date;Likes;Reply To CommentId
1;apology_revocation;Wer hat die Illustration gemacht?;2021-06-06T08:48:44.000Z;1 like;-
1-1;ichbinsophiescholl;@apology_revocation #teamsoffer Inspiriert von Original-Zeichnungen von Sophie Scholl hat die Künstlerin Édith Carron die Illustrationen erstellt.;2021-06-06T08:54:51.000Z;8 likes;1
2;reading_with_jules;Der Kontext fehlt erneut! In Deutschland geschah so viel währenddessen, Sophie wird aber als Mädchen dargestellt. Während des 2 WK wurden andere Ansprüche an Frauen gestellt, als heute. Bitte kontextualisiert das #teamsoffer;2021-06-01T12:51:42.000Z;0;-
3;damian.putschli;Wann und wo hat sie denn so etwas geäußert?;2021-05-31T10:41:26.000Z;0;-
4;danijela_nedeljkovic_art;❤️❤️❤️;2021-05-29T21:47:04.000Z;0;-
5;achraf_abdullah;Mir wurde etwas angezeigt, dein Name und 1942. Was bedeutet dies?;2021-05-29T09:40:45.000Z;0;-
6;melisxri;@anil_hasanc guck dir diese mega Seite mal an;2021-05-28T21:51:18.000Z;0;-
7;hi_its.me.steffi;Wusste gar nicht, dass du vor deiner Studienzeit als Kindergärtnerin tätig warst.;2021-05-28T20:33:24.000Z;19 likes;-
7-1;ichbinsophiescholl;@steffiniarefgep Meine Ausbildung habe ich 1940 begonnen und dann von Mitte Februar bis Mitte März letzten Jahres meine Abschlussprüfung gehabt. Danach habe ich auch noch ein Praktikum in einem Säuglingsheim in Ulm gemacht.;2021-05-29T08:12:24.000Z;38 likes;7
7-2;slytherinmuslima;@steffiniarefgep ich auch nicht, dachte Sophie scholl war sofort studentin;2021-05-29T22:32:07.000Z;1 like;7
7-3;hi_its.me.steffi;@slytherinmuslima hatte ich auch so gedacht, wobei ich ihre Geschichte auch nicht (mehr) bis ins Detail im Kopf habe. Halt grob das wichtigste um was es ging und wie es endet...-was man in der Schule halt so gelernt, is schon wieder bisschen her;2021-05-29T22:48:04.000Z;2 likes;7
8;joel_filmkritiker;Mach so weiter, finde es total gut was ihr macht;2021-05-28T20:11:11.000Z;0;-
9;marlenekisel;@elke__st;2021-05-28T14:34:57.000Z;0;-
10;mirya214;@ichbinsophiescholl Wieso heißt die weiße Rose, eigentlich weiße Rose? Würde mich total interessieren. Schön das endlich das Geheimnis von Hans gelüftet ist. War ja kaum auszuhalten diese Geheimniskrämerei;2021-05-28T11:38:55.000Z;0;-
