Link: ;https://www.instagram.com/p/CR6bBaMMf-N/
Id/Reply-Id;User;Comment;Date;Likes;Reply To CommentId
1;gabriele.mueller.eu;ein Fehler im Bild: erzgebirgische Schwibbögen gibt's nur zu Weihnachten. Doch dieses Bild ist aus dem Sommer. Merkwürdig...;2022-01-14T02:34:46.000Z;2 likes;-
2;colouroflina;Der Bruder meiner Oma war damals in einem Deutsch Aufsatz ehrlich. Er sollte schreiben was Hitler und der Krieg Deutschland tolles bringen würde... Wegen seiner ehrlichen Worte kam er in ein Arbeitserziehungslager und wurde dort gefoltert. Eine ganz schlimme Zeit!;2021-08-05T18:29:26.000Z;13 likes;-
2-1;ichbinsophiescholl;@colouroflina #TeamSoffer Danke, dass du deine Familiengeschichte mit uns teilst. So etwas darf nie wieder passieren.;2021-08-05T23:54:05.000Z;14 likes;2
2-2;kristinaradic78;@ichbinsophiescholl -nie, nie, nie wieder-;2021-08-17T14:22:48.000Z;1 like;2
3;andy_pandy_._;Was habt ihr mit der Angestellten gemacht? Hat dein Vater sie entlassen?;2021-07-31T07:07:42.000Z;0;-
4;bross.ute;❤️❤️;2021-07-30T22:20:47.000Z;0;-
5;sommerregen64;Hut ab für diesen Mut 👍Ich glaube, wer das nicht erlebt, kann sich nicht vorstellen, wie gefährlich das sein kann, seine Meinung zu sagen....;2021-07-30T20:36:13.000Z;0;-
6;evakoch61;Heute Panik! Oder hat man damals die Tragweite einer eigenen Meinung nicht erkannt?;2021-07-30T17:01:48.000Z;0;-
7;ulrikemunner;Er bleibt ruhig, um alles geordnet zu hinterlassen.;2021-07-30T16:27:37.000Z;0;-
8;gockel_blume;Schrecklich! Ich denke immer wieder an meinen Opa, der war soldat bei den scheiß Nazis 😵😵;2021-07-30T16:21:01.000Z;0;-
8-1;myslee667;Es ist ganz wichtig, sich kritisch mit der Familiengeschichte auseinander zu setzen und seine eigene Meinung zu bilden. Mein Opa wurde mit 16 zum Kriegsdienst gezwungen. Der musste Schützengräben ausheben und hat es gehasst. Sein Vater war überzeugter Nazi, hat aber rechtzeitig alles im Garten verbuddelt, weshalb er nie angeklagt wurde. Er war ein zu kleines Licht. Familiengeschichte zu kennen ist wichtig, auch wenn man sich heute dafür schämen möchte. Du triffst deine eigenen Entscheidungen. Du bist nicht dein Opa und nicht für seine Haltung verantwortlich;2021-10-16T13:01:52.000Z;2 likes;8
9;rwz21;@ichbinsophiescholl Danke für das tolle Projekt. Meine Eltern sind mit mir und meinen Geschwistern ebenfalls geflohen. Die politische Verfolgung machte es uns unmöglich in unserer Heimat zu bleiben. Ziemlich ähnliche Verhältnisse wie bei Herrn Scholl, deshalb würde ich die Flucht ergreifen.;2021-07-30T13:36:42.000Z;2 likes;-
9-1;ichbinsophiescholl;@rwz21 #TeamSoffer Danke, dass du deine Geschichte mit uns teilst und wir hoffen, dass ihr nun in Sicherheit seid. Während für Jüd:innen ab 1941 ein Ausreiseverbot bestand, konnte man das nationalsozialistische Deutschland auf legalem Weg nur mit einem Ausreisevisum und einem Einreisevisum des Ziellandes verlassen. Mit einer solchen Beantragung machte man sich bereits verdächtig, in Länder mit denen Deutschland Krieg führte war eine Einreise nahezu unmöglich. Eine Flucht aus Deutschland war auf legalem Weg kaum möglich und gefährlich.;2021-07-30T13:57:53.000Z;2 likes;9
10;ichbinsophiescholl;#TeamSoffer Viele beschäftigt die Frage, warum die Familie Scholl nicht aus dem Land geflüchtet ist. Während für Jüdinnen ab 1941 ein Ausreiseverbot bestand, konnte man das nationalsozialistische Deutschland auf legalem Weg nur mit einem Ausreisevisum und einem Einreisevisum des Ziellandes verlassen. Mit einer solchen Beantragung machte man sich bereits verdächtig, in Länder mit denen Deutschland Krieg führte war eine Einreise nahezu unmöglich. Eine Flucht aus Deutschland war auf legalem Weg kaum möglich und gefährlich.;2021-07-30T13:30:09.000Z;40 likes;-
10-1;katharina.helling;"@ichbinsophiescholl Danke! Wirklich toll wäre es noch, wenn ihr vielleicht noch kurz darauf eingeht, dass das Asylrecht, wie wir es heute kennen (also va Genfer Flüchtlingskonvention und Grundrecht auf Asyl im Grundgesetz) erst auf Grund dieser Erfahrungen etabliert werden konnte. Und aber in den letzten Jahren (in Deutschland erstmals in den 90er Jahren und zuletzt nochmal 2015) massiv ausgehöhlt/eingeschränkt wurde. Es gibt dazu auch ein tolles Dossier bei der bpb. Wobei zu den aktuellen Entwicklungen, gerade auch in Hinblick auf Frontex glaub noch nicht viel steht.

https://m.bpb.de/gesellschaft/migration/kurzdossiers/224641/wie-ist-das-asylrecht-entstanden";2021-07-30T13:57:42.000Z;7 likes;10
11;eylem8858;Wie klein diese Sorgen rückblickend für die Eltern gewesen sein müssen angesichts der Verhaftung und Ermordung ihrer beiden Kinder durch die Nationalsozialisten😢;2021-07-30T13:15:55.000Z;0;-
12;kunzvetfirst;Deutschland verlassen, wenn ich könnte!;2021-07-30T12:58:36.000Z;0;-
12-1;ichbinsophiescholl;@kunzvetfirst #TeamSoffer Während für Jüd:innen ab 1941 ein Ausreiseverbot bestand, konnte man das nationalsozialistische Deutschland auf legalem Weg nur mit einem Ausreisevisum und einem Einreisevisum des Ziellandes verlassen. Mit einer solchen Beantragung machte man sich bereits verdächtig, in Länder mit denen Deutschland Krieg führte war eine Einreise nahezu unmöglich. Eine Flucht aus Deutschland war auf legalem Weg kaum möglich und gefährlich.;2021-07-30T13:39:30.000Z;1 like;12
13;wolfssommer;Armer Papa :(;2021-07-30T12:29:26.000Z;1 like;-
13-1;ichbinsophiescholl;@wolfssommer Ja, der macht einiges mit gerade. Ich finde es beeindruckend, wie gelassen er bleibt - zumindest äußerlich.;2021-07-30T13:40:48.000Z;11 likes;13
14;pferdeliebe019;Was ist mundtot? 🤔;2021-07-30T12:29:22.000Z;0;-
15;fynn.rohan;Super projekt. Da wird einem immer wieder vor Augen gehalten welch Anmassung es ist wenn sich heute Querdenker mit Sophie Scholl gleichsetzen. Einfach nicht vergleichbar.;2021-07-30T12:16:42.000Z;1 like;-
16;doju123456;Wie schnell Menschen untereinander so agieren können.auch jetzt mit der Pandemie ging es ja Teilweise so weit das Menschen andere denoziert haben ..wenn sie sich nicht an Regeln zur Eindämmung des Virus gehalten haben;2021-07-30T11:26:12.000Z;0;-
17;doju123456;Grausig das man nicht mal auf der Arbeit ein minimum von dem benennen kann was man tatsächlich denkt und denoziert wird😳🤮💔wie sagte sit das Faultier schon: Menschen sind widerlich!;2021-07-30T11:26:10.000Z;0;-
18;doju123456;Nicht jeder Mensch..aber jeder Mensch trägt auch stückweit eine helle und eine dunkle Seite in sich..;2021-07-30T11:26:08.000Z;0;-
19;tomiboy751;Ich würde versuchen das Land zu verlassen. Ich bin auch jemand, der die Klappe nicht halten kann. Es Sollte natürlich die ganze Familie fliehen.;2021-07-30T09:41:05.000Z;0;-
20;prada_praha;Versuchen die Flucht zu greifen auch wenn der tod bestraft wird aber lieber erschossen als im kz zu dienen;2021-07-30T09:21:19.000Z;0;-
21;queenofthebottom;"Wenn man gegen bestimmte Umstände aufsteht, muß man mit dem Leben abschließen. Das ist für manche Menschen auch in diesem Land heute noch so. Aber es gibt nur die Alternativen sich morgens nicht mehr im Spiegel anschauen zu können oder mit Stolz, Werten, integrer Moral, sauberem Gewissen und gradem Rücken dem Schafott entgegen zu schreiten. Und meine Erziehung verbietet mir alles andere. Sophie und ihr Bruder haben diesen graden Rücken anscheinend auch ""geerbt"".";2021-07-30T08:57:30.000Z;0;-
22;daniel_vs_addi;Dank des Harten Geistes wird er das sicherlich durchstehen, wie Du und Dein Bruder auch beim herstellen der Flugblätter und der ständigen Angst erwischt zu werden. Wie war das? „Ein harter Geist, ein weiches Herz“;2021-07-30T07:00:34.000Z;2 likes;-
22-1;ichbinsophiescholl;@daniel_vs_addi Genau, harter Geist, weiches Herz. Ich glaube auch, dass Vater diese hilfreichen Eigenschaften hat, er ist unglaublich stark.;2021-07-30T07:28:28.000Z;8 likes;22
23;netratz;🔥❤️;2021-07-30T06:55:05.000Z;1 like;-
24;daslebenliebend;Ich versuche auch immer ruhig zu bleiben, aber es gelingt mir nur schwer, alles Liebe für den Papa 🍀;2021-07-30T06:52:08.000Z;1 like;-
24-1;ichbinsophiescholl;@daslebenliebend Lieben Dank! Ich denke, das ist auch die beste Weise, mit schweren Zeiten umzugehen und sich nicht verrückt zu machen.;2021-07-30T07:04:37.000Z;2 likes;24
25;luki_louke;Bin ehrlich würde pisstest verweigern;2021-07-30T06:42:07.000Z;0;-
26;doju123456;Wie schnell Menschen untereinander so agieren können.auch jetzt mit der Pandemie ging es ja Teilweise so weit das Menschen andere denoziert haben ..wenn sie sich nicht an Regeln zur Eindämmung des Virus gehalten haben;2021-07-30T05:37:18.000Z;0;-
27;doju123456;Nicht jeder Mensch..aber jeder Mensch trägt auch stückweit eine helle und eine dunkle Seite in sich..;2021-07-30T05:35:34.000Z;0;-
28;doju123456;Grausig das man nicht mal auf der Arbeit ein minimum von dem benennen kann was man tatsächlich denkt und denoziert wird😳🤮💔wie sagte sit das Faultier schon: Menschen sind widerlich!;2021-07-30T05:34:24.000Z;1 like;-
28-1;ichbinsophiescholl;@dojanjudith Schrecklich! Vater muss in Zukunft wirklich ganz genau aufpassen, was er zu wem sagt. Wir brauchen mir Menschen mit seinem Rückgrat um dieses Unrecht zu beenden!;2021-07-30T06:24:17.000Z;1 like;28
29;helgadancke;Ich hätte wahnsinnig Angst;2021-07-30T04:44:28.000Z;0;-
29-1;ichbinsophiescholl;@helgadancke Zu Recht! Die Situation ist auch sehr beängstigend. Ich bin stolz auf meinen Vater, dass er so ruhig damit umgeht.;2021-07-30T06:28:54.000Z;0;29
30;wolltraudl;"Deine Frage ist für mich schwer zu beantworten, denn jetzt sind wir wissend.
Ruhig geblieben wäre ich wahrscheinlich nicht, es ist leider nicht mein Naturell.
Auch jetzt erst wissen wir, was die Staasi alles getan hat. Gemunkelt wurde ja schon und Verhaftungen gab es ja auch viele.
Und dennoch…
Dennoch blieben wir nicht ruhig und sind zu den Montagsdemos gegangen, noch ehe diese in Leipzig groß wurden. Allerdings war ich nie unaufgeregt. Ob ich es getan hätte, wenn ich damals alles schon gewusst hätte?
Oft, wenn ich deine tollen Beiträge lese, ziehe ich Vergleiche.
Dankeschön für diese Reise mit dir.";2021-07-30T04:05:26.000Z;0;-
31;wolltraudl;"Deine Frage ist für mich schwer zu beantworten, denn jetzt sind wir wissend.
Ruhig geblieben wäre ich wahrscheinlich nicht, es ist leider nicht mein Naturell.
Auch jetzt erst wissen wir, was die Staasi alles getan hat. Gemunkelt wurde ja schon und Verhaftungen gab es ja auch viele.
Und dennoch…
Dennoch blieben wir nicht ruhig und sind zu den Montagsdemos gegangen, noch ehe diese in Leipzig groß wurden. Allerdings war ich nie unaufgeregt. Ob ich es getan hätte, wenn ich damals alles schon gewusst hätte?
Oft, wenn ich deine tollen Beiträge lese, ziehe ich Vergleiche.
Dankeschön für diese Reise mit dir.";2021-07-30T04:05:13.000Z;0;-
32;so_free_so_jana;Liebe @ichbinsophiescholl , ist eigentlich Margaretha Rothe schon in Deinen Begegnungen aufgetaucht? Ich durfte vor Jahren (Jahrzehnten) ihre Schwester kennenlernen und für unsere Schülerzeitung interviewen - auch sie hat mich tief berührt, wie ihr 🙏🏻;2021-07-30T03:04:10.000Z;0;-
32-1;ichbinsophiescholl;@so_fresh_so_jana #TeamSoffer Hallo, liebe Jana. Wie spannend, dass du sie interviewen durftest! Gespräche mit Zeitzeugen und Angehörigen sind immer sehr bewegend. Bisher ist Margaretha Rothe noch nicht in unseren Erzählungen aufgetaucht.;2021-07-30T06:43:59.000Z;1 like;32
33;birdy_2508;"Oh Gott, ich dachte die ganze Zeit, er schaut auf einen Bildschirm, bis mir klar wurde... Moment... das war eine andere Zeit. Wie wir doch bestimmte Posen mit bestimmten Dingen verknüpfen. Schräg! Wenn ich heute jemanden etwas behaupten höre, dann stelle ich auf eigene Faust Recherchen bei Google und Co. an und bilde mir eine Meinung. Wie selbstverständlich. Ich glaube, man kann sich heute kaum noch vorstellen, wie wertvoll ""Information"" damals waren. Heute sind Informationen ja fast schon inflationär.";2021-07-29T21:13:01.000Z;2 likes;-
