Link: ;https://www.instagram.com/p/CPQbAoEK7zZ/
Id/Reply-Id;User;Comment;Date;Likes;Reply To CommentId
1;_.vanexxaol1via._98;😂😂;2021-06-02T15:41:46.000Z;0;-
2;reading_with_jules;Wo ist der Kontext, der die Beziehung zwischen den Geschwistern Scholl darlegt? Wie haben sie sonst miteinander interagiert? Wo sind die Nuancen die nicht fassbar sind durch Interpretationen nach 100 Jahren?;2021-06-01T12:49:18.000Z;0;-
3;freebirdhonorswhiterose;Ja, ich erinnere mich. Furchtbar unentspannt, der Bruder. Nun scheint er tatsächlich ausgeglichener, nachdem er nichts mehr so vor Dir geheimhalten muss.;2021-05-29T17:59:19.000Z;1 like;-
4;anna_s1209;😂😂männer;2021-05-28T15:12:21.000Z;0;-
5;ilmdd;@lollepampolle ...auch nicht besser...das könnten genauso gut frauen sein, die einen mann raus schicken..nix mit Geschlecht zu tun.;2021-05-27T11:33:40.000Z;0;-
6;heikeseeh;❤️;2021-05-27T11:14:02.000Z;0;-
7;belastius;"Dieser Kanal ist so gut, er macht das alles so lebendig, man lässt sich wirklich drauf ein und dann ist der Hans so attraktiv das man komplett raus ist.
Verdammter Frühling v.v";2021-05-26T16:59:56.000Z;43 likes;-
7-1;ichbinsophiescholl;@knirzux #teamsoffer Das freut uns sehr zu hören, dass dir sowohl das Projekt als auch die Schauspieler so zu sagen! Liebe Grüße;2021-05-27T08:31:45.000Z;12 likes;7
8;siglindekallnbach;Gut gemacht. Ich denke, damit werden viele angesprochen, die man sonst nicht erreichen würde.;2021-05-26T11:39:47.000Z;1 like;-
9;volyzer.e39;Haben angst vor der NSA 😁;2021-05-26T07:42:37.000Z;0;-
10;julia.diefee;Dein Bruder ist aber echt ein Hübscher 😍;2021-05-26T06:03:59.000Z;2 likes;-
11;julia.diefee;Dein Bruder ist aber echt ein Hübscher 😍;2021-05-26T06:03:04.000Z;3 likes;-
12;rujulietteru;Genial 🔥 das ist eine ganz neue für mich Kunstform!;2021-05-25T19:33:55.000Z;2 likes;-
13;maykunmilla;Hans...😏🔥🥵😍;2021-05-25T17:03:05.000Z;2 likes;-
14;verenavoetter;👏👏👏;2021-05-25T14:16:19.000Z;1 like;-
15;mariyeah__;Hoffentlich sieht der Fritz deine Story nicht!;2021-05-25T08:22:53.000Z;1 like;-
16;ricealexx;@manurice12;2021-05-25T08:10:36.000Z;0;-
17;lucaslabelfeld;😂👏🏻 💪🏻;2021-05-25T07:44:10.000Z;1 like;-
18;lucaslabelfeld;Krass Geil gemacht, richtig gut gemacht. 🔥 🚬💨☕ @ichbinsophiescholl;2021-05-25T07:40:24.000Z;1 like;-
19;reginaorz26.2;Ehrlich? Einfach zu filmen, ist schon etwas übergriffig... was würdest du sagen, wenn du mit Traute entspannt quatschen würdest und er käme einfach filmend rein? Ich versteh schon seine Reaktion. So bekommst du gar nichts raus...😉✊🏼;2021-05-25T06:52:04.000Z;1 like;-
20;reginaorz26.2;Ehrlich? Einfach zu filmen, ist schon etwas übergriffig... was würdest du sagen, wenn du mit Traute entspannt quatschen würdest und er käme einfach filmend rein? Ich versteh schon seine Reaktion. So bekommst du gar nichts raus...😉✊🏼;2021-05-25T06:51:50.000Z;0;-
21;sume555;Ich bin immer wieder verwundert. Zum einen: Ihr habt Wahnsinns viel Platz in Euren Studentenbuden. Das andere - Du liebst Hans. So wie er Dich aber rauskomplimentiert, würde das bei mir zu viel Wut führen und wahrscheinlich auch zu Auszugsgedanken. Wie könnt Ihr euch denn finanzieren? Und wie gut lassen sich Wohnungen oder WG-Zimmer finden?;2021-05-25T06:50:17.000Z;0;-
22;sume555;Ich bin immer wieder verwundert. Zum einen: Ihr habt Wahnsinns viel Platz in Euren Studentenbuden. Das andere - Du liebst Hans. So wie er Dich aber rauskomplimentiert, würde das bei mir zu viel Wut führen und wahrscheinlich auch zu Auszugsgedanken. Wie könnt Ihr euch denn finanzieren? Und wie gut lassen sich Wohnungen oder WG-Zimmer finden?;2021-05-25T06:49:43.000Z;0;-
23;mixedchicksonwheels;Vielleicht möchte er dich auch beschützen und dich nicht in Gefahr bringen? Geschwisterliebe ❤️;2021-05-25T05:39:43.000Z;2 likes;-
24;mimabu9;Muss man das täglich verfolgen? Wo bleiben die älteren Posts? Es ist so spannend, aber ich schaffe das nicht täglich und mir fehlen jetzt immer so große Versatzstücke...;2021-05-25T04:53:33.000Z;2 likes;-
24-1;hannah.berlino;"@mimabu9 soweit ich mitbekommen habe, gibt es einmal wöchentlich eine Rückschau ""meine Woche"", in der alle Stories zusammengeschnitten sind.";2021-05-25T11:08:07.000Z;0;24
24-2;hannah.berlino;@mimabu9 die findest du alle in den Highlights :);2021-05-25T11:08:56.000Z;0;24
25;georgekimball;😍🔥👏;2021-05-25T04:44:19.000Z;0;-
26;hypnoliebe;Dein Bruder ist aber ein Hübscher!;2021-05-25T04:30:37.000Z;1 like;-
27;annie_henning_bayern;Aber nein. Brüder sind oft so;2021-05-24T20:38:47.000Z;1 like;-
28;barbaraunfug;Sag mal, Soffer, warum müssen Hans und Alex eigentlich nicht auch an die Front?;2021-05-24T20:30:35.000Z;6 likes;-
28-1;buecherjunge_dd;@barbaraunfug Sie gehören als Medizin-Studenten zu einer sogenannten Studentenkompanie und dienen in Lazaretten und medizinischen Einrichtungen der Wehrmacht.;2021-05-24T21:49:21.000Z;4 likes;28
28-2;barbaraunfug;@buecherjunge_dd ahh danke! :);2021-05-25T14:10:43.000Z;0;28
29;blackyflocke2;Sophie, wenn du dich rausgehalten hättest, dann hätten wir dieses Jahr vielleicht zusammen deinen 100. feiern können! 🍾;2021-05-24T19:46:28.000Z;0;-
29-1;green_brown_eyes;@blackyflocke2 Würden wir dann ihren Namen kennen oder wäre sie dann die 100 Jahre alte Schwester des Widerstandskämpfers Hans Scholl?;2021-05-24T21:54:36.000Z;4 likes;29
29-2;blackyflocke2;@green_brown_eyes, Mit Sicherheit nicht! Aber Sophie hätte ihren Fritz heiraten können, Kinder bekommen können, Biologie-Professorin werden können: Eun erfülltes Leben eben!;2021-05-26T02:18:35.000Z;0;29
30;bibliothekiki;"Bleib dran und beweise ihm, dass er sich dir anvertrauen kann! Du kannst sicher helfen. Ps: Alex lächelt dich sehr nett an ;)";2021-05-24T18:29:46.000Z;39 likes;-
30-1;ichbinsophiescholl;@bibliothekiki Danke für deinen Rat! Ich werde es versuche ...;2021-05-24T19:45:29.000Z;25 likes;30
31;netratz;🔥❤️;2021-05-24T17:17:55.000Z;0;-
32;dagmarburrer;Brüder! Kleine und grosse. Nur weil sie Hosen anhaben meinen sie alles bestimmen zu können. Lass dich nicht unterkriegen!;2021-05-24T16:46:10.000Z;1 like;-
33;booksofvalyria;Und Männer müssen lernen, dass auch Frauen viel bewirken können. Also bleib drann liebe Sophie;2021-05-24T16:15:13.000Z;31 likes;-
33-1;ichbinsophiescholl;@deinebuchfreundin Das sehe ich sehr ähnlich! Frauen haben die gleiche Stärke an Willenskraft wie Männer!;2021-05-24T19:46:36.000Z;73 likes;33
33-2;sofilnax;@ichbinsophiescholl Ist es nicht so, dass Frauen viel mehr Willenskraft besitzen müssen? Allein, um sich gegen gesellschaftliche Stigmen behaupten zu können?;2021-05-26T07:25:30.000Z;0;33
33-3;sofilnax;@ichbinsophiescholl Ist es nicht so, dass Frauen viel mehr Willenskraft besitzen müssen? Allein, um sich gegen gesellschaftliche Stigmen behaupten zu können?;2021-05-26T07:25:43.000Z;0;33
34;cathylawxx;@f_marakesh könntest du sein 😂😂😂;2021-05-24T15:37:35.000Z;0;-
35;xsophiey;Mich würde interessieren ob es eine bestimmte Ursache gibt, dass der Name „Sophie“ von Hans und seinen Freunden eher wie „Soffi“ ausgesprochen wird (so wie es häufig in der Grenzregion und Luxemburg der Fall ist) und nicht (für mein Empfinden) „klassisch“ deutsch als „Sophiiiie“ ausgesprochen wird. LG von einer „Soffi“;2021-05-24T15:18:01.000Z;1 like;-
35-1;heikekohnen.x;@xsophiey meine Oma hieß Sofia mir der Betonung auf dem i. Aber in Kurzform wurde sie auch soffi oder fia gerufen;2021-05-24T16:51:39.000Z;0;35
35-2;morgies_welt;@xsophiey in weiten Teilen Bayerns ist die Aussprache „Soffi“ sehr üblich.;2021-05-24T17:58:53.000Z;2 likes;35
36;einfach_yvi;Schnieke Jungs😍;2021-05-24T15:15:25.000Z;0;-
37;eiradengel;Kurze Frage aus Interesse: Wieso hast du Fritz in der vergangenen Woche um einen Vervielfältiger gebeten? Du weißt doch gar nicht genau, was dein Bruder und seine Freunde da treiben und wofür sie den evtl. brauchen. Und die 1000 Reichsmark?;2021-05-24T15:14:13.000Z;10 likes;-
38;_yoga_tanz;Kleine Schwestern ... echt ein Thema für sich 🤣🤣;2021-05-24T15:11:25.000Z;1 like;-
39;ulas_abi;Guten Tag Sophie. Ich muss dir was sagen. Ich bin aus der zukunft und du wirst nächstes Jahr sterben. Ich wünschte ich könnte dir schönere botschaften überbringen. Genieße dein letztes Jahr !;2021-05-24T14:59:34.000Z;0;-
39-1;felix.gonzalezcal;@cyborg_rapmusik Spoiler doch nicht;2021-05-24T19:05:31.000Z;1 like;39
40;btrix1411;Die großen Brüder sind immer der Meinung das es einen nichts angeht, was die so machen und besprechen;2021-05-24T14:42:50.000Z;4 likes;-
41;christian_strobel;Er wird seine Gründe haben und das solltest du auch lernen zu akzeptieren. Aber er könnte es schon mit ein wenig mehr Feingefühl sagen.;2021-05-24T14:30:14.000Z;2 likes;-
42;foggyfable;Mein Bruder...jedes Mal sobald ich sein Zimmer betreten habe...😂 - Ich würde sagen das kann alles und nichts bedeuten!;2021-05-24T14:27:27.000Z;1 like;-
43;cathy_conner_2013;Sophie das ist nicht böse gemeint, aber ich hatte einen totalen lachflash wegen dieses Videos😂;2021-05-24T14:22:04.000Z;1 like;-
44;gartenyoghi;Ups.. falsche Taste gedrückt aber als Junge versteht man die kleine Schwester wahrscheinlich auch nicht immer.. und so kommt es zu den kleinen Konflikten;2021-05-24T14:19:52.000Z;1 like;-
45;gartenyoghi;Ich glaube ja das der große Bruder seine kleine Schwester über alles liebt und Sie nicht überall mit rein ziehen will , wa;2021-05-24T14:17:53.000Z;3 likes;-
46;mariyeah__;Haha ich dachte erst das ist der Schweighöfer 😂;2021-05-24T14:14:39.000Z;2 likes;-
47;freebirdhonorswhiterose;Diese kurze Sequenz verrät, dass Dein Bruder immer wieder sehr angespannt ist. Was ist bloß mit ihm los?;2021-05-24T14:13:51.000Z;4 likes;-
48;shoshanah_bln;Dein Bruder ist 🔥🔥 Ist der auch auf insta?;2021-05-24T14:06:42.000Z;8 likes;-
49;achtundzwanzigste_zehnte;Ich glaube er hat angst dich da mit hinein zu ziehen. Was auch immer er dort macht scheint gefährlich genug zu sein dass, das alleinige Mitwissen dich in Gefahr bringen könnte.;2021-05-24T14:05:00.000Z;0;-
50;uschigerhard;Er will dich nur beschützen. Für ihn bist du seine kleine Schwester;2021-05-24T14:00:38.000Z;0;-
51;ioannis_2000;Bleib dran Sophie.;2021-05-24T13:59:27.000Z;31 likes;-
51-1;ichbinsophiescholl;@ioannis_2000 Das werde ich!;2021-05-24T15:03:20.000Z;24 likes;51
52;nadeschda_maximova;"Sag ""Hallo"" für Alex von mich 😂 ich bin auch aus Russland";2021-05-24T13:42:23.000Z;0;-
52-1;andreas_rotter;@nadeschda_maximova mich würde einmal interessieren ob man in Russland die 'Weisse Rose' kennt bzw. etwas über Sophie Scholl weiss;2021-05-24T17:10:16.000Z;0;52
52-2;nadeschda_maximova;@andreas_rotter und für mich war interessant, dass Alex ist jetzt Heilig in orthodox Kirche)) Entschuldigung. Mein Deutsch ist nicht gut 😅;2021-05-24T18:10:32.000Z;2 likes;52
53;irifrank1970;Jaja, große Geschwister können anstrengend sein... 😉;2021-05-24T13:35:24.000Z;1 like;-
54;andrej_oe;@ichbinsophiescholl, ich glaube, er weiß einfach, dass das, was sie machen gefährlich werden kann. Und Hans möchte Dich beschützen.;2021-05-24T13:34:27.000Z;3 likes;-
55;larrybrent3;Diese Szene kennt wohl jeder, der Geschwister hat. 😂;2021-05-24T13:30:24.000Z;16 likes;-
56;brombeer_eis;"Manchmal haben die ""großen"" schon Recht in ihrem Beschützerinstinkt.. und manchmal muss man als ""kleine"" es eben trotzdem machen, auch wenn es wirklich gefährlich ist.. Aber verstehe ihn, er will seine liebste, kleine Schwester vor dem Bösen bewahren. Auch wenn es eigtl unmöglich ist, wo es doch überall lauerte, an jeder Ecke, in jedem Wort.. was für eine verzweifelte Situation! Wir können das heute gar nicht mehr nachempfinden, in unseren Zeiten des ""verwöhnt im Frieden schwimmens"" - also die meisten hier kennen keinen Krieg, viele andere auf der Welt schon 😢 und ich bin wirklich dankbar dafür, in Frieden leben zu dürfen 🙏🏻 Meine Entscheidungen bereiten mir höchstens Kopfschmerzen, aber kosten mich nicht den Kopf 😢";2021-05-24T13:29:27.000Z;14 likes;-
57;tivios007;Er will dich nur schützen!!! So sind eben große Brüder 🤗😍;2021-05-24T13:26:16.000Z;10 likes;-
58;ox.40;Sophie zieh durch..;2021-05-24T13:22:55.000Z;1 like;-
59;adrien_agreste_offical_account;Du schaffst das schon;2021-05-24T13:22:44.000Z;2 likes;-
60;lesefieber.buchpost;Er scheint an einer wichtigen Sache dran zu sein, aber er will nicht das du es mitbekommst. 🙈Vielleicht will er dich nur beschützen. Gib ihm Zeit er wird sich dir noch anvertrauen.;2021-05-24T13:20:02.000Z;20 likes;-
61;suble301;Warum bist du nicht im Kindergarten geblieben?;2021-05-24T13:18:50.000Z;12 likes;-
61-1;ichbinsophiescholl;@suble301 Ich habe die Arbeit dort sehr genossen, liebte es mit den Kindern, doch hat es mich sehr erschöpft. Mag sein, dass ich zu egoistisch erzogen wurde, doch ein Leben lang mich nur um Andere sorgen? Das gibt mir wahrlich keine Erfüllung.;2021-05-24T13:49:16.000Z;91 likes;61
61-2;suble301;@ichbinsophiescholl kann ich verstehen...;2021-05-24T14:03:16.000Z;5 likes;61
61-3;gabriel.steiner.02;@ichbinsophiescholl und dennoch warst Du durch Dein Engagement gegen das 3. Reich für andere da. Ich kann mir vorstellen, dass Du dein Leben auch nach dem Kindergarten für andere gelebt hast und das ist gut! Danke Dir dafür!;2021-05-25T10:06:36.000Z;3 likes;61
62;shingwill;Instinkt zu beschützen..Große Brüder💁‍♀️;2021-05-24T13:17:43.000Z;17 likes;-
63;heikewasserfrau;Das ist der „Große Bruder Beschützer Instinkt“, das haben wohl alle kleinen Schwestern zu ertragen. Aber ich kann dich verstehen, mich würde das auch nerven, ich mag es auch nicht, wenn man mich nicht ernst nimmt 😤;2021-05-24T13:17:36.000Z;145 likes;-
63-1;ichbinsophiescholl;@heikewasserfrau Ja, und so war es schon immer. Nie hat er mich für voll genommen... Auch große Brüder müssen lernen, dass ihre kleinen Schwestern irgendwann reif und erwachsen sind.;2021-05-24T13:22:33.000Z;147 likes;63
63-2;heikewasserfrau;@ichbinsophiescholl ja da hast du sicher recht. Er liebt dich halt...;2021-05-24T13:24:36.000Z;10 likes;63
63-3;jenny_mom_of_one;@ichbinsophiescholl mein Bruder hat 3 kleine Schwester die alle vernünftiger sind wie er😂 Gelernt hat er es mit seinen fast 36 Jahren aber immer noch nicht🤷🏼 Ich hab da die Hoffnung aufgegeben🤷🏼;2021-05-24T15:36:48.000Z;4 likes;63
63-4;ulrikekaravangeli;@ichbinsophiescholl das wird immer so bleiben!! Ich bin 55 Jahre und mein Bruder 76 ich bin und bleib die kleine die beschützt werden soll🤣. Obwohl nun er beschützt werden muss.;2021-05-24T19:14:32.000Z;7 likes;63
63-5;stefan_mchn;"@ichbinsophiescholl vielleicht ist es aber auch wirklich nur um einen geliebten Menschen zu schützen. Und so gefährlich, dass er auch seinen großen Bruder heraushalten würde. Du wirst es noch herausfinden. Leider werden wir nicht herausfinden wie es anders hätte laufen können. ""Besser"", ""Schlechter"", was auch immer das heisst, ...
@schoshoj20359 @ulrikekaravangeli @voigtiijenny @heikewasserfrau sein Verhalten jetzt einfach als Geringschätzung oder Unterdrückung seiner Schwester zu interpretieren finde ich unangebracht. Man kann das auch auf zwischenmenschlicher Geschwisterliebe stehen lassen und nicht immer noch was dahinter vermuten oder hinzu dichten. Die nächste Zeit wird es uns hoffentlich zeigen. Ihr könntet ihr ruhig ein bisschen Mut zum Vertrauen in ihren Bruder zusprechen.";2021-05-25T18:17:56.000Z;1 like;63
64;lollepampolle;Männer! 🙄;2021-05-24T13:13:21.000Z;3 likes;-
65;colorful.rise;"Ja das kenne ich.. Immer diese bevormundenden Männer, die damit einfach nur ihr eigenes Ego pushen wollen 😅 sie meinens ja nur ""gut"" .. 🙈🙈🤦‍♀️ Und dann wundern warum es Feminismus braucht?!? ""Nein, einer Frau, kann man das nicht zutrauen?!??"" Wtf.. Als wären wir von der Biologie her zu dumm dafür.. Puhhhh 🤦‍♀️🤦‍♀️🤦‍♀️ da kann man nur den Kopf schütteln.";2021-05-24T13:10:54.000Z;7 likes;-
65-1;buecherjunge_dd;@colourful_l.i.f.e;2021-05-24T13:26:35.000Z;0;65
65-2;buecherjunge_dd;@colourful_l.i.f.e Hans Scholl weiß gsnz genau, warum er seine kleine Schwester rauswirft. Es geht nicht im Feminismus, es geht um Leben und Tod.;2021-05-24T13:27:47.000Z;4 likes;65
65-3;colorful.rise;"@buecherjunge_dd ""genau deswegen, kann Sophie das nicht selbst einschätzen.."" verstehe die Logik nicht. Natürlich geht es um Leben und Tod. Aber schätze Sophie mit ihrer geistreichen Art, dass Sie deshalb genauso sorgsam damit umgehen kann, und nicht bevormundet werden muss. Mir ist klar, dass er sie auch schützen will. Aber trotzdem darf man einer Frau nicht die Fähigkeit absprechen, rational abwägen zu können, bloß weil sie eine Frau ist und die ""kleine"" Schwester.";2021-05-24T13:34:34.000Z;1 like;65
65-4;buecherjunge_dd;@colourful_l.i.f.e Ich finde, dasswir hier in einer der sichersten Zeiten die es je gab, darüber auf diese Art und Weise nicht urteilen sollten. Außerdem will er ihr wohl keine Fähigkeiten absprechen. Er will, dass sie diese ihr ganzes Leben bis ins hohe Alter nutzen kann.;2021-05-24T13:39:07.000Z;6 likes;65
65-5;colorful.rise;"@buecherjunge_dd naja, wenn du das so meinst.. Puuh.. Für sehr viele Frauen ist es immer noch nicht sicher. Vielen Frauen wird immer noch ihre Selbstbestimmtheit und ihr freier Wille abgesprochen, in einer männerdominierten Gesellschaft.. Sie sind regelmäßig der Diskriminierung ausgesetzt. Müssen sich frauenfeindliche ""Witze"" anhören und dazu lächeln, ohne noch mehr diskriminiert zu werden. Sind regelmäßigen Belästigungen und übergriffigem Verhalten gegenüber Männern ausgesetzt und das nicht nur von fremden Männer. Oft von Männern im engstem Umkreisen. Und diese Themen kochen über vor allem in dieser Zeit der Pandemie, in denen gefährdete Frauen weniger Anlaufstellen für Hilfe angeboten wird. Für viele Frauen ist leider Emotionaler bis sogar körperlicher Missbrauch leider Realität. Und das fängt damit an, dass man Sie nicht ernst nimmt, sie klein hält, sie bevormundet. Ist das sicher? Vielleicht im Vergleich zu damals, viel sicherer. Trotzdem heißt das nicht, dass diese Probleme nicht da waren. Noch viel verstärkter. Erst 1997 galt die Vergewaltigung in der Ehe als strafrechtlich. Als Mann in einer patriarchalisch geprägten Gesellschaft muss man sich nicht mit solchen Themen in der Tiefe auseinandersetzen. Doch sehr viele Frauen werden durch eigene Erfahrungen dazu immerwieder gezwungen...";2021-05-24T13:58:57.000Z;2 likes;65
65-6;buecherjunge_dd;@colourful_l.i.f.e natürlich meine ich das so. Nach dem, was ich von den beiden gelesen habe, wird sich Sophie durchsetzen und Hans wird das nicht passen. Aber sicher nicht, wegen Gleichberechtigung etc. Ich finde, dass dies hier in diesem Fall wirklich nichts zu suchen hat. Außerdem dürfte klar sein, dass wir die Rolle, die der NS Frauen und Müttern zuschrieb, heute bei allen noch bestehenden Unzulänglichkeiten als überwunden angesehen werden kann. Und ich betone noch mal: Eltern, große Brüder oder große Schwestern, die Widerstand leisteten oder damit gerade anfangen, würden alles tun, ihre Kinder, kleinen Brüder oder kleine Schwestern da rauszuhalten. Denkst du nicht?;2021-05-24T14:09:41.000Z;5 likes;65
65-7;forestieranja;@buecherjunge_dd du hast doch den Vergleich mit unseren 'sicheren' Zeiten gezogen. Ich bitte dich, in deinem Umfeld eine kleine repräsentative Umfrage zu starten: welche Frau hat noch keine Erfahrung(en) mit psychischer oder physischer Gewalt machen müssen?! Mal abgesehen davon, dass die altbekannten Rollenmuster eben noch nicht überwunden sind. Der Anteil der Frauen, die die sogenannte Carearbeit leisten ist exorbitant hoch. Nur, weil wir unsere Männer nicht mehr um Erlaubnis bitten müssen, wenn wir arbeiten oder ein Konto eröffnen wollen, heißt das nicht, dass Mann und Frau gleichberechtigt leben.;2021-05-24T14:29:16.000Z;2 likes;65
65-8;fuchsauge238;@forestieranja darum geht es in dem Reel doch aber nicht;2021-05-24T15:11:59.000Z;0;65
65-9;buecherjunge_dd;@forestieranja die Diskussion umzudrehen, ist ja stark. Unter welchem Druck Hans Scholl steht, der vermutlich ahnt, was da auf sie alle zukommen könnte, eventuell auch die Todesstrafe, ist wohl nebensächlich? Ich glaube nicht, dass ihr das denkt. In meinem Umfeld dürften sich die Frauen psychischer und physischer Gewalt eher nicht ausgesetzt gefühlt haben, gleichwohl, ich werde mal fragen, allerdings nicht die Kolleginnen, die sind nämlich gleichberechtigt sowohl in Bezügen, als auch Aufgaben bzw. werden gleichstellungsmässig manchmal qua Gesetz bevorzugt. Außerdem passt auch das nicht hier her, oder willst du dem Hans Scholl hier Gewalt unterjubeln?;2021-05-24T15:30:21.000Z;2 likes;65
65-10;russel_tiger;"@colourful_l.i.f.e Hm. Ich finde ein Mensch kann immer selber entscheiden, wen er bei seinen Machenschaften ins Vertrauen mit hinein zieht. Warum das jetzt hier auf einmal so ein „feministischen Touch“ hat verstehe ich nicht.
Das ist doch wohl Hans seine Sache, zu entscheiden wen er informiert. Welche Verpflichtung hat er irgend jemanden mit ins Vertrauen zu ziehen?
Warum muss das immer alles direkt mit dem Geschlecht zu tun haben?
Vielleicht hätte er einen kleinen Bruder genauso behandelt? Schon mal darüber nachgedacht?";2021-05-24T16:20:21.000Z;3 likes;65
65-11;tamy_amber;@buecherjunge_dd Kann man(n) gut sagen, wenn selbst nicht betroffen. Frau macht sich immer noch Sorgen, die Männer nicht haben. Nachts alleine nach Hause laufen ist heute definitiv nicht sicher.;2021-05-24T18:10:05.000Z;1 like;65
65-12;forestieranja;@buecherjunge_dd Nein, möchte ich sicherlich nicht. Es ist nur so, dass jeder Mensch für sich selber entscheiden sollen dürfte, was zumutbar, und was nicht, ist. Frage auch ruhig deine Kolleginnen - nur, weil sie beruflich gleichgestellt sind, bedeutet dies nicht, dass sie nicht schon Opfer unangebrachten Verhaltens geworden sind.;2021-05-24T18:11:41.000Z;2 likes;65
65-13;sylkewatter;@colourful_l.i.f.e Also wenn man, rein objektiv und sachlich, nur die knallharten Fakten betrachtet, waren Hans Zweifel, nicht ganz unberechtigt. Denn die beiden sind an dem Tag ihrer Ergreifung nur gefasst worden, weil Sophie nochmal zurück ging um die restlichen Flugblätter über die Brüstung zu werfen. Das war das Todesurteil für beide. Natürlich kann man viel spekulieren, ob und wann sie eh geschnappt worden wären, aber das sind die reinen Fakten!;2021-05-24T18:51:50.000Z;0;65
65-14;cat_kar_2.0;"@chiaras.karotte @ichbinsophiescholl, langsam könnt ihr echt mal einschreiten.
Diese Frauenverachtende Ausdrucksweise und Nerverei auf wirklich JEDEN Kommentar, der Frauen nicht als minderwertig sieht, ist echt unangemessen.";2021-05-25T09:28:22.000Z;1 like;65
66;anne.heyda;Kopf hoch, bleib am Ball;2021-05-24T13:07:54.000Z;88 likes;-
66-1;ichbinsophiescholl;@anneheyda Das werde ich!;2021-05-24T13:13:25.000Z;51 likes;66
67;viktor.emeljanov;@waldee7 er sieht ein bisschen aus wie du 😄;2021-05-24T13:07:48.000Z;0;-
67-1;waldee7;@vitjaa.me 😂😂;2021-05-24T13:29:18.000Z;0;67
68;niklas__h__99;Geh halt raus 😂;2021-05-24T13:06:57.000Z;2 likes;-
69;ava.santimea;glaubst du, er traut dir nicht mehr wegen deiner Vergangenheit im BDM? was auch immer er da tut, es scheint ja nicht erlaubt zu sein...;2021-05-24T13:05:44.000Z;20 likes;-
69-1;ichbinsophiescholl;@ava.santimea Ich kann es dir nicht sagen, warum er kein Vertrauen mehr in mich hat... er war doch selbst jahrelang in der HJ, wir beide haben uns schon lang für andere Lebenswege entschieden und das weiß er auch.;2021-05-24T13:12:37.000Z;42 likes;69
69-2;liya0598;@ichbinsophiescholl wann hast du das denn das erste mal bemerkt, dass du dachtest er ist nicht mehr offen zu dir? Denkst du da geht etwas vor sich wo er dich nicht dabei haben möchte?;2021-05-24T14:23:28.000Z;4 likes;69
69-3;ichbinsophiescholl;@liya0598 Ich kann es dir nicht sagen. Seit ich in München habe ich das Gefühl in mir, er macht etwas ohne mich! Ich versteh nur nicht warum er mit mir nicht offen sprechen kann...;2021-05-24T15:01:49.000Z;31 likes;69
69-4;sebfischer2;@ichbinsophiescholl weil es in einer Diktatur Dinge gibt, die man leider niemand anvertrauen kann. Aber das macht er zu Deinem Schutz...Geschwisterliebe!;2021-05-24T15:13:23.000Z;3 likes;69
69-5;niicole.76;@ichbinsophiescholl manchmal brauchen grosse Brüder etwas länger bis sie sich der kleinen Schwester anvertrauen . Ich spreche da aus Erfahrung;2021-05-24T15:53:03.000Z;3 likes;69
69-6;anna.azkaban;@ichbinsophiescholl vielleicht möchte er dich auch einfach schützen und erzählt es dir deshalb nicht?;2021-05-24T19:30:39.000Z;1 like;69
70;petra_williams_official;So sind die Männer! 😉;2021-05-24T13:05:43.000Z;7 likes;-
71;offixial_nadjaa;😂;2021-05-24T13:04:29.000Z;0;-
