Link: ;https://www.instagram.com/p/CRDs8arsJZC/
Id/Reply-Id;User;Comment;Date;Likes;Reply To CommentId
1;sndr_brst;Hey Sophie, welche Bücher liest du gerne abgesehen von Rilke?;2021-07-11T07:38:32.000Z;0;-
2;__c.herrelle;"Hi Sophie, heute bin an dem Geburtshaus von Hans in Ingersheim vorbeigekommen.
Ich bin auch zum Studieren in eine andere Stadt gezogen und arbeite dort mittlerweile. Beim heimfahren fahre ich auch oft an deinem Geburtsort Forchtenberg vorbei.
Seitdem ich deinen Kanal folge, habe ich mir vorgenommen, dass ich am Geburtshaus deines Bruder vorbeischaue.
Liebe Grüße aus Crailsheim ☀️";2021-07-10T20:55:29.000Z;0;-
3;marga9891;Und wie schwer es ist, so etwas aus heutiger Sicht zu lesen. Denn sie konnte diese Träume nie umsetzen.;2021-07-10T16:45:04.000Z;1 like;-
4;nicht.helena;Sophie, gib niemals auf. Du bist sehr stark und das hast du schon so oft gezeigt. Danke, dass du uns hier bei Instagram Einblick in dein Leben gewährst. Ich bin froh, dass es Menschen wie dich gibt, die uns aufblicken lassen. Genauso wie Esther Bejarano, die heute mit 96 Jahren für immer eingeschlafen ist. Es ist wichtig, solche wunderbaren Menschen zu haben, wie ihr es seid. Danke, @ichbinsophiescholl 🙏;2021-07-10T10:46:23.000Z;1 like;-
5;sp8ney;Die Schule meines Kindes, ist die Sophie-Scholl-Schule 😍 ich folge Dir, Sophie von Beginn an. Einen Gruß in den Himmel ♥️;2021-07-10T10:23:05.000Z;0;-
6;peter6146;👏👏;2021-07-10T08:32:56.000Z;0;-
7;casio_fx_991dex;Kringelig;2021-07-09T21:56:10.000Z;0;-
8;larissa_lfe;Gestern bin ich erst an der Geschwister-Scholl-Straße vorbeigefahren 😢 euer Projekt wirft auf diese Geschichte noch mal ein anderes Licht. So unfassbar menschlich und verletzlich. So stark und mutig.;2021-07-09T19:44:30.000Z;54 likes;-
8-1;ichbinsophiescholl;@larissa_lfe #TeamSoffer Wie freuen uns sehr, dass dir unser Projekt gefällt und du dabei bist!;2021-07-09T21:46:03.000Z;12 likes;8
9;collect_a_j;An Lavendelfelder kann man sich nie satt sehen, ich liebe es.💜;2021-07-09T17:20:37.000Z;0;-
