Link: ;https://www.instagram.com/p/CWQB1vUI_Az/
Id/Reply-Id;User;Comment;Date;Likes;Reply To CommentId
1;abenteuerkonfirmation;Sehr gute Inszenierung;2021-11-15T04:27:59.000Z;0;-
2;sume555;@teamsoffer: Wie war denn das Leben der Eltern Scholl nach dem Krieg?;2021-11-14T17:39:02.000Z;1 like;-
2-1;gull.weig;Das finde ich auch super interessant und würde gern mehr dazu erfahren.;2021-11-15T00:45:20.000Z;0;2
2-2;ichbinsophiescholl;"#TeamSoffer Liebe:r @sume555
Robert Scholl war von 1945 bis 1948 Oberbürgermeister der Stadt Ulm. Magdalena Scholl sammelte nach dem Krieg Geld und Nahrung für Hungernde und half Geflüchteten bei der Suche nach Arbeit und Unterbringungen. Sie unterstützte außerdem Inge Scholl beim Aufbau der Ulmer Volkshochschule.";2021-11-15T10:41:12.000Z;5 likes;2
3;schoolsven;❤️😍;2021-11-14T17:25:42.000Z;1 like;-
4;dani_und_die_villa_kunterbunt;Wo ist denn eigentlich Elisabeth?;2021-11-14T15:14:31.000Z;0;-
4-1;ichbinsophiescholl;@dani_und_die_villa_kunterbunt #TeamSoffer Über Elisabeth Scholl ist nur sehr wenig dokumentiert. Sie machte 1939 ihr Staatsexamen am Ulmer Fröbelseminar und begann daraufhin eine Fortbildung als Säuglingsschwester in der Kinderklinik der Universität Tübingen. Von dort an wechselte sie häufig ihren Standort und arbeitete in diversen Familien und Kindergärten.;2021-11-14T16:14:01.000Z;7 likes;4
4-2;katharina.helling;"@ichbinsophiescholl Ist denn eigtl wirklich weniger über Elisabeth dokumentiert in dem Jahr als über Werner? Elisabeth war ja ""zumindest"" in München zu Besuch, half u. a. mit Sophie gemeinsam beim Aufräumen in Muths Villa nach dem Angriff am 19/20.09. und besucht sich auch noch im Januar 1943, wo ja zwischen Sophie und Elisabeth auch ein nicht uninteressantes Gespräch stattfindet. Nämlich als Sophie Elisabeth erzählt, das man ""Freiheitsparolen an auf Mauern schreiben"" müsse. Worauf Elisabeth meinte, sie hätte einen Bleistift dabei und Sophie lachend erwidert, dass man dazu Teerfarbe nehmen müsse. Als Elisabeth ihr zu verstehen gab, wie gefährlich dies sei, antwortet Sophie: ""Die Nacht ist des Freien Freund."" (vgl. Sibylle Bassler: Die Weiße Rose - Zeitzeugen erinnern sich. S. 25)";2021-11-14T16:38:07.000Z;3 likes;4
4-3;bettine1960;"@zuagroastebayrischeschwaebin Ich finde auch, dass es eigentlich nicht geht, die Schwester Elisabeth ganz ""wegzulassen"". Vermutlich hat man diese Rolle nicht vorgesehen in dem Projekt, aber das ist sehr schade. Die Szene mit der Teerfarbe und dem Bleistift (dieses wunderbare Zitat ""Die Nacht ist des Freien Freund""!) könnte man doch sehr gut darstellen, und dann hat Sophie bei ihrem allerletzten Besuch bei ihren Eltern Anfang Februar 1943 ihre Schwester ""Liesl"" mit Eifer und Freude in Ton modelliert. Aber vielleicht taucht sie doch noch auf, Weihnachten zum Beispiel?";2021-11-14T20:46:21.000Z;3 likes;4
4-4;katharina.helling;@bettine1960 ja, das stimmt. Vielleicht kommt sie noch später dazu. Schön wäre das! Wobei sie jetzt ja schon beim Aufräumen bei Carl Muth durch Inge „ersetzt“ wurde.. irgendwie glaube ich nicht, dass sie dann später doch noch kommt. Und da würde mich zumindest interessieren aus welchem Grund Werner rein- und Elisabeth rausgeschrieben wurde.. (Werner aber anderseits auch nur anwesend ist ohne inhaltlich ne Rolle zu spielen, also erzählerisch irgendetwas beizutragen)..;2021-11-14T22:49:30.000Z;4 likes;4
4-5;bettine1960;@zuagroastebayrischeschwaebin Tja, man weiß nicht, wie und warum hinter den Kulissen geplant worden ist. Aber schade ist das wirklich! Elisabeth Scholl bleibt tatsächlich in allen Biografien (ich habe eigentlich alle gelesen) am farblosesten von den Geschwistern, doch das war sie bestimmt nicht! Ich habe immer schon gedacht, ich wüsste gerne mehr darüber, wie die junge Frau war, die Fritz (der Sophie ja nachweislich heiß und innig geliebt hatte) dann heiratete... War sie Sophie ähnlich? War sie ganz anders? Gut, Werner interessiert mich auch. Hoffentlich erfährt man von seiner Persönlichkeit noch mehr.;2021-11-15T07:19:25.000Z;2 likes;4
4-6;riso5400;"@bettine1960 finde ich auch interessant...Ich habe dazu mal gegoogelt und ein Interview mit Elisabeth gefunden u.a. auch als Filmmaterial. Sie dort sprechen zu hören fand ich schon mal interessant. Sie hat ja von den Geschwistern am längsten gelebt.. in den Interview ( Achtung, halbwissen) meinte ich auch dass sie gesagt hat, dass sie erst nachdem Inge gestorben ist, sie sich in der Pflicht sah das ""Erbe von Hans und Sophie "" aufrecht zu erhalten.... Sie hat dann glaube ich auch in Schulen usw. Erzählt.... das würde mich mal interessieren ob es dazu noch Aufzeichnungen gibt.";2021-11-15T15:16:58.000Z;3 likes;4
4-7;katharina.helling;"@riso5400 Ja, Elisabeth hielt sich lange zurück. Vor allem weil ihre Schwester Inge diese Aufgabe übernommen hatte. Ihren Mann Fritz zititerte sie außerdem mit ""wir waren nicht im Widerstand gewesen, deshalb sei es besser, den Mund zu halten."" Fritz habe es auch abgelehnt über seine Kriegserlebnisse zu erzählen. Er empfand es als schrecklich ""wenn ehemalige Soldaten mit ihren Erlebnissen aus dem Krieg aufptrumpften."" - stammt aus einem Interview aus 2004, vgl. ""Die Weiße Rose - Zeitzeugen erinnern sich"", Sibylle Bassler, S. 33.";2021-11-15T16:31:57.000Z;3 likes;4
4-8;die_moehre;@bettine1960 das habe ich mich auch oft gefragt! Warum hat er dann Elisabeth geheiratet?;2021-11-16T10:41:24.000Z;0;4
5;tinesinsta_;War damals echt schon das englische Wort „Interview“ im deutschen Sprachgebrauch?;2021-11-14T15:14:17.000Z;1 like;-
5-1;ichbinsophiescholl;@tinesinsta_ #TeamSoffer Schon in der zweiten Hälfte des 19. Jahrhunderts wurde das Wort aus dem Englischen entlehnt und war somit auch im Deutschen gebräuchlich.;2021-11-17T14:43:01.000Z;2 likes;5
6;katharina.helling;"🗓 14.11.1942

▪️ Südostpreußen/Auschwitz

Aus den Ghettos des Regierungsbezirks Zichenau werden etwa 2.500 Menschen nach Auschwitz eingeliefert. Nach der ""Selektion"" werden 633 Männer und 135 Frauen als Häftlinge registriert; die anderen 1.732 Menschen werden in den Gaskammern getötet.

▪️ Bezirk Bialystok

Aus den Ghettos des Gebiets werden etwa 1.500 Menschen nach Auschwitz eingeliefert. 379 Frauen und 282 Männer werden in das Lager übernommen; die anderen etwa 840 Menschen werden in den Gaskammern getötet. (Czech, S. 338)
〰️
Quelle: http://www.holocaust-chronologie.de/chronologie/1942/november.html";2021-11-14T11:46:01.000Z;7 likes;-
6-1;die_moehre;@zuagroastebayrischeschwaebin mal wieder vielen Dank für den Kontext!;2021-11-16T10:44:02.000Z;0;6
7;pet2737;Pass auf dich auf ist zwar abgedroschen, aber wichtig in diesen grausamen Zeiten;2021-11-14T09:30:16.000Z;2 likes;-
7-1;ichbinsophiescholl;@pet2737 Das werde ich. Aber dennoch werde ich nicht zulassen, mich in kommender Zeit von der Vorsicht zu sehr einschränken zu lassen. Ich freue mich auf München und möchte dort wieder richtig aktiv werden!;2021-11-14T09:47:12.000Z;3 likes;7
8;gedankenaugenblickwortsamlerin;... Herr Vater Scholl liest die Zeitung mit dem Kopf nach unten,... Erklärung?!;2021-11-14T09:24:37.000Z;6 likes;-
8-1;ocgermanicus39;@gedankenaugenblickwortsamlerin , Etymologie, in seinen Bestandteilen zwischen den Buchstaben der besonderen Art und Weise!;2021-11-14T10:05:56.000Z;1 like;8
8-2;gedankenaugenblickwortsamlerin;"@ocgermanicus39 ... frage mich schon längere Zeit, was das ""Ich"" der wirklichen Sophie aus der Vergangenheit denken würde, wenn sie geahnt hätte - ihre Identität wird ""ausgeborgt"" und so surreal vorgeführt ?! IndentitätsDiebstahl !";2021-11-14T10:13:54.000Z;1 like;8
