Link: ;https://www.instagram.com/p/CWsPc08DsBE/
Id/Reply-Id;User;Comment;Date;Likes;Reply To CommentId
1;rbt.03;Ich träume auch immer noch von einem vereinten Europa 👍;2021-11-28T02:15:17.000Z;0;-
2;sp8ney;Berührend ❤️;2021-11-28T00:19:03.000Z;1 like;-
3;johannesfandl;80 Jahre später träume ich von dem selben. 🔥❤️🔥 Ein vereintes Europa ist keine Selbstverständlichkeit sondern erfordert Kompromisse bis zur Schmerzgrenze und viel Liebe.;2021-11-27T17:58:02.000Z;1 like;-
4;x_x_natascha_x_x;Ist das ein wundervolles Video ! Danke 😘;2021-11-26T19:43:58.000Z;1 like;-
5;upsidedown_creative;Wieso wird eigentlich Sophie als Kopf der weißen Rose in den Schulen gelehrt, es war doch eigentlich ihr Bruder und sie hat sich angeschlossen oder;2021-11-26T12:40:00.000Z;0;-
6;maryse_296;❤️;2021-11-26T05:42:38.000Z;1 like;-
7;sxrxi_;🤍;2021-11-25T23:12:10.000Z;1 like;-
8;ellie.ella40;Wieso sollte Willi gerne woanders sein?;2021-11-25T21:39:04.000Z;0;-
9;vallikonich;hammer ! ihr seid unfassbar mutig ! todesmutig ! bitte passt mega auf euch auf... übertreibt es nicht... ach hier spricht meine Angst - ihr Lieben !;2021-11-25T21:22:57.000Z;0;-
9-1;ichbinsophiescholl;@vallikonich Wir probieren, Mut und Vorsicht zu verbinden. Jedoch müssen wir mehr tun!;2021-11-26T08:53:41.000Z;0;9
9-2;vallikonich;@ichbinsophiescholl Gänsehaut !;2021-11-26T09:10:52.000Z;0;9
10;anjamuller565;❤️👏👏;2021-11-25T19:47:59.000Z;1 like;-
11;paalke_dietrich;😢❤️🙌;2021-11-25T18:54:00.000Z;1 like;-
12;schwarzdu;Es zeigt sich in eurem Projekt so super diese Anspannung im Widerstand mit viel Wissen, den Geheimnissen und die scheinbare Normalität im Krieg. Es ist unglaublich so dem Leben doch noch das beste abzugewinnen. Das Projekt ist für mich deshalb so wertvoll weil es nicht so belehrend und nur als Widerstandsbewegung daherkommt, sondern die Menschen dahinter so sichtbar werden in ihrer ganzen Unzulänglichkeit mit Ängsten und Sehnsüchten und Gedanken. Dankeschön für alles. Ja und es toll dass hier keine geschmacklosen und gemeinen Kommentare zu lesen sind.;2021-11-25T16:55:41.000Z;5 likes;-
12-1;ichbinsophiescholl;@schwarzdu #TeamSoffer Vielen lieben Dank für das Lob und wir freuen uns sehr, dass du dabei bist!;2021-11-25T21:09:05.000Z;0;12
13;hamburg_liebt;❤️;2021-11-25T16:10:06.000Z;1 like;-
14;einsteincollapsed;Ich bin langsam soo traurig, wenn ich eure Posts sehe, weil ich ja weiß, was passieren wird. Ich studiere zwar Geschichte, aber so nah war ich Geschichte noch nie, wirklich außergewöhnlich.;2021-11-25T15:53:30.000Z;35 likes;-
14-1;ichbinsophiescholl;@einsteincollapsed #TeamSoffer Es freut uns sehr, dass du trotz der düsteren Aussichten dabei bleibst. Danke für dein Lob! Wird unser Kanal im Rahmen deines Studiums besprochen?;2021-11-26T08:56:01.000Z;6 likes;14
14-2;einsteincollapsed;@ichbinsophiescholl Nein, leider nicht. Aber belege auch keine Seminare, die dies besprechen könnten. Allerdings könnte ich mir vorstellen, dass man über ein solches Projekt interessant eine Hausarbeit oder ähnliches schreiben könnte, wenn es an die Bildungswissenschaften geht. Also in den Unterricht an die Schulen;2021-11-26T09:48:35.000Z;0;14
14-3;bunny1205;@ichbinsophiescholl wir Geschichtslehrer*innen behandeln des Kanal im Unterricht. Es hat sich also sehr rumgesprochen :-);2021-11-27T18:06:47.000Z;1 like;14
15;janiz1994;Tolles Video. Ich finde es insgesamt eine nette Idee, die Geschichte auch den Leuten näher zu bringen, die sich sonst nicht dafür interessieren. Tag für Tag gibt es neue Posts was diesen Profil gut am Leben erhält. Ich finde es könnte ruhig mehr von diesen Accounts geben. Dennoch hat dieser Account die ein oder anderen Schwächen. Dadurch, dass nicht immer die Quellenangegeben werden, kann man auch nicht immer nachvollziehen, ob die Storys ausgedacht sind oder nicht. Dies könnte man ruhig an jeden Post anhängen. Die grausame Vergangenheit sollte man nur nicht vergessen...;2021-11-25T14:53:35.000Z;0;-
15-1;ichbinsophiescholl;@janiz1994 #TeamSoffer Vielen Dank für dein Lob und deine Anregungen!;2021-11-26T08:57:25.000Z;0;15
16;himmelverliebt;❤️🙌;2021-11-25T14:17:50.000Z;1 like;-
17;sandy__baum;Sehr berūhrender Film ūber Hans ❤️;2021-11-25T13:55:01.000Z;1 like;-
18;heikegumz;Ist eigentlich der Schauspieler, der heute Prof. Huber darstellt, eigentlich derselbe, der vorher (17.6.) Prof. Muth spielte? Oder sehen sie sich nur sehr ähnlich?;2021-11-25T13:52:26.000Z;13 likes;-
18-1;ichbinsophiescholl;@heikegumz #TeamSoffer Richtig beobachtet, beide wurden von Eckhard Greiner gespielt.;2021-11-25T14:43:44.000Z;13 likes;18
18-2;heikegumz;@ichbinsophiescholl Danke für die Antwort!;2021-11-25T14:45:37.000Z;0;18
19;ines_s_2;❤️;2021-11-25T12:32:43.000Z;0;-
20;katrinpruchniewski;"Mutig ist er, auf jeden Fall.
Wenn er schon mal verhaftet wurde.";2021-11-25T12:06:32.000Z;2 likes;-
21;narbenglueck;👏;2021-11-25T11:50:46.000Z;0;-
22;daniela.seeger.90;Ich folge Euch so interessiert und finde diese Darstellung des Widerstandes so genau in diese Zeit passend. Ich wünsche mir, dass viele Jugendliche dieses Profil sehen und im Geschichtsunterricht Relevanz erfährt. Einfach genial. Im tiefen Innern bin ich aber oft doch traurig, weil man ja das bittere Ende kennt und mir sind diese „Figuren“ jetzt so nah ans Herz gewachsen…..schlimm!;2021-11-25T11:18:37.000Z;5 likes;-
22-1;ichbinsophiescholl;@daniela.seeger.90 #TeamSoffer Vielen Dank! Wir hoffen auch, dass wir viele junge Menschen zur weiteren Auseinandersetzung mit der deutschen Geschichte bewegen können.;2021-11-26T08:59:23.000Z;1 like;22
23;friluft.stories;Wunderbares Projekt, unglaublich gut umgesetzt, Respekt👏! Irgendwie komisch, manchmal sickern gewisse Parallelen zur Jetzt Zeit durch. …;2021-11-25T11:14:47.000Z;7 likes;-
23-1;maja_furiaroja;@friluft.stories Welche meinst du? 🤔;2021-11-25T11:17:12.000Z;2 likes;23
23-2;friluft.stories;@maja_furiaroja das was gerade passiert!;2021-11-25T11:42:05.000Z;0;23
23-3;maja_furiaroja;@friluft.stories Ich erkenne keine Parallelen: Diktatur vs. Demokratie, politische Verfolgung vs. Meinungsfreiheit, Rassismus vs. Toleranz, Krieg vs. Frieden. 🤷‍♀️;2021-11-25T12:08:35.000Z;9 likes;23
23-4;inkluencerin;@friluft.stories schade, dann hast du das Projekt leider nicht verstanden! Es ging glaube ich auch darum zu zeigen, dass es eben KEIN VERGLEICH ist zum heutigen Deutschlad. Aber so ist das mit Bildung eben, sie trägt leider nicht bei jedem Früchte 😒;2021-11-25T16:55:17.000Z;2 likes;23
24;annkathrin2610;Fantastischer Soundtrack! 👏 Sehr inspirierend!;2021-11-25T11:06:50.000Z;2 likes;-
25;__mary_blood__;Traurig wenn bedenkt was passieren wird 😔;2021-11-25T11:05:28.000Z;0;-
26;katharina.helling;".
🗓 25.11.1942

◾️ Bezirk Bialystok/Auschwitz

Aus dem Ghetto von Grodno kommt ein Transport mit 2.000 Menschen in Auschwitz an. 128 Frauen und 305 Männer werden in das Lager eingewiesen, etwa 1.570 Menschen werden in den Gaskammern getötet. (Czech, S. 343)
〰️
http://www.holocaust-chronologie.de/chronologie/1942/november.html";2021-11-25T10:47:28.000Z;8 likes;-
