Link: ;https://www.instagram.com/p/CSeaSeGMfJz/
Id/Reply-Id;User;Comment;Date;Likes;Reply To CommentId
1;annaisabel_r;Wahnsinn, wrlche Kraft Du ihm gibst!;2021-08-15T19:22:03.000Z;0;-
2;ikramova316;Ja. Das „Romantische“ kann helfen bzw half, die Umgebung zu ertragen.;2021-08-14T14:00:18.000Z;0;-
3;food_crazy_kimchi;Warum ist rechts unten das Logo vom swr und br eingeblendet?;2021-08-14T09:06:43.000Z;0;-
4;clarathepet;Romantik im Krieg war das einzige,was den Glauben an die Menschheit wachhielt;2021-08-14T04:46:17.000Z;1 like;-
5;brusseecharlie;👏👏👏🙌;2021-08-13T22:34:58.000Z;0;-
6;nadiasynde;Tja und gerade kommt die Diktatur in manchen Ländern wieder...;2021-08-13T20:07:33.000Z;0;-
7;adri.s.autorin;Viel! 😍 Ich mag Romantik. Was ich aber ironisch finde, ist dass Fritz überlebt hat und Sophie nicht. Sozusagen. Aber irgendwie sind Sophies Gedanken seltsam... Liebt sie Fritz überhaupt? Und waren diese Zweifel wirklich auch bei der echten?;2021-08-13T20:03:28.000Z;0;-
8;ulrikemunner;t.Krieg ist schrecklich.Der Gedanke an Dich,lässt ihn durchhalten.;2021-08-13T12:36:40.000Z;0;-
9;hauptstadtlady50;Romantik ist für mich wichtig, der Blumenstrauß den mir mein Mann mir oft mitbringt. Ich hoffe sehr deine Briefe erreichen Fritz und du musst hoffentlich auch mit mehr lange warten. 🙋‍♀️🌞😍.;2021-08-13T12:35:29.000Z;0;-
10;anke2_8;Ich muss gerade auch an meinen Opa denken der in der Nähe von Woroschilowgrad 1942 gefallen ist. Vielleicht kannte er ja sogar Fritz? Was waren das für furchtbare Zeiten, was hat es mit den Menschen gemacht.... Wenn ich dann an meine Oma denke, die mit 4 kleinen Kindern alleine in den Kriegswirren dastand... was musste diese Generation aushalten... Alles für diesen durchgeknallten Tyrannen und seine bescheuerte Ideologie, da wird mir fast schlecht.;2021-08-13T11:47:52.000Z;0;-
10-1;heikegumz;"@anke2_8 Die Geschichte deiner Großeltern ist furchtbar und zeigt die Grausamkeit des Krieges. Wenn wir verhindern wollen, dass sich Ähnliches wiederholt, finde ich aber wichtig, sich bewusst zu machen, dass Hitler kein ""Einzeltäter"" war und nicht allein verantwortlich für die Ermordung von Millionen Menschen. Er erhielt 1932 bei der letzten freien Wahl 33,1% der Stimmen – während aus seinen Texten und dem Programm der NSDAP schon deutlich wurde, welche Ziele innen- und außenpolitisch verfolgt werden. Die NSDAP hatte zum Schluss 7,7 Millionen Mitglieder – hinzu kommen Ungezählte, die die (teils mörderische) Umsetzung der Ideologie im Alltag unterstützten (z. B. Vertreter*innen der Wirtschaft, Beamte, Justizmitarbeiter*innen, Ärzt*innen…) und oft auch vom Regime profitierten.";2021-08-13T13:03:33.000Z;2 likes;10
10-2;anke2_8;@heikegumz Da hast Du absolut recht 👍. Vermutlich gehörten meine Großeltern selber zu seiner Anhängerschaft. Leider. Gesprochen haben wir darüber nie, ich war damals noch zu klein um solche Fragen zu stellen und der Blickwinkel dazu war immer eher familiär geprägt, w. z. b. w.🙃 . Mich hat das menschliche Schicksal immer sehr erschüttert aber wir dürfen bei alledem nicht vergessen, wie soetwas passieren konnte und wie schnell es gehen kann, dass eine ganze Gesellschaft solchen menschenfeindlichen Theorien aufsitzt. Deswegen finde ich diesen Kanal auch so gut und wichtig.;2021-08-13T15:24:16.000Z;2 likes;10
