Link: ;https://www.instagram.com/p/CZc11iJlCGg/
Id/Reply-Id;User;Comment;Date;Likes;Reply To CommentId
1;danfuh;Überlege mir gerade weshalb der öffentlich rechtliche Rundfunk erfundene Storys als Geschichte verkauft - nennt man so etwas nicht Falschmeldung oder Fake news? Die schlimmste Zeit aller Zeiten wird Dank Eurer Beiträge ein Stück weit verharmlost, so etwas geht gar nicht! Das Gedenken an die Geschwister Scholl wird Dank Euch tatsächlich beschmutzt. Wer erfundene Geschichten als Geschichte verkauft, verliert seine Glaubwürdigkeit!;2022-02-20T06:22:27.000Z;19 likes;-
2;onlywithfly;Was für ein Schwachsinn!;2022-02-19T12:38:33.000Z;3 likes;-
3;la_la_im_schuh;Geschmacklos wtf?!;2022-02-19T10:37:46.000Z;16 likes;-
4;sooderso.vegan;Ihr wisst schon, dass ihr mit so einem Bild gewissen Kreisen Material zur Diskreditierung liefert? Am Ende bleibt so ein Schwachsinn eher hängen als das was damals wirklich passiert und historisch belegt ist. Die Geschichte und vor allem unsere eigenet sich nicht für so eine geschmacklose Improvisation;2022-02-10T10:00:25.000Z;19 likes;-
5;lomojono;Könnt ihr bitte anfangen seriöse Beiträge zu machen. So holt man die junge Generation nicht ab so verdummt sie nur weiter. Das ist das erbärmlichste was ich je vom ör gesehen habe;2022-02-04T12:02:50.000Z;12 likes;-
6;ronjacourage;Mir fehlt hier die klare Warnung in Bezug zu heute… Pervitin ist ein Methamphetamin, sprich das frühere crystal meth. Es war nicht genauso potent wie heute, da es heute oft durch andere Zusätze verstärkt wird, aber im Krieg so wie heute macht es enorm abhängig und schadet Gehirn und Körper nachhaltig. Es gibt Briefe von Heinrich Böll, in denen er wegen Abhängigkeit um mehr Pervitin als Soldat bittet. Man hat es aus perfiden, widerlichen Gründen an die Soldaten gegeben: Es macht gefühlskalt, weniger emotional, abgestumpft, man kann mehrere Tage wach bleiben. Kurzum: Es fällt nicht so schwer zu töten. Diesen Hintergrund erkläre ich als Psychologin auch immer meinen Crystal meth Patienten in der Suchtklinik, viele wissen es nicht.;2022-02-04T08:25:57.000Z;4 likes;-
7;hanschiban;Probiert mal paar Liter Kaffee 😂;2022-02-04T07:25:00.000Z;0;-
8;missunderstood_.__;Hört auf mit dem Scheiß!! Bitt LG eine (Palliativ)Krankenschwester...;2022-02-04T00:03:12.000Z;0;-
9;riso5400;Ich glaube das nicht, dass die weiße Rose (Sophie) wirklich Pervitin als Aufputschmittel genommen hat.;2022-02-03T18:10:24.000Z;0;-
10;kommaglar;"""Drogen"" , oder anders gesagt: Medikamente, die über den Placeboeffekt hinaus wirken.";2022-02-03T15:00:33.000Z;0;-
11;morganunderscorenichols;Ich lerne Deutsch wegen dir!;2022-02-03T00:45:06.000Z;1 like;-
12;anna.steinmetzer;"Was für ein Zufall: unser Sohn hat uns heute beim Abendessen gefragt, wieso Menschen Drogen nehmen. Wir haben dann intensiv über das Thema gesprochen, auch über Soldaten, die im ersten und zweiten Weltkrieg Amphetamine genommen haben. Mein Mann hat dann den Begriff ""Panzerschokolade"" genannt, den ich bis jetzt noch gar nicht kannte. Passt gut auf euch auf!";2022-02-02T21:03:26.000Z;0;-
13;l__nd_r;@ballern_bis_zum_kommunismus_2 der Name ist Programm würde ich sagen 😂;2022-02-02T20:31:36.000Z;0;-
14;lisbethlisbetta;Lasst besser ganz schnell die Finger davon! Halluzinationen und Depressionen - nur ein paar der Nebenwirkungen - wünsche ich keinem von euch und das wäre eurer Sache auch nicht dienlich und könnte euch in Gefahr bringen. Passt auf euch auf!;2022-02-02T17:36:10.000Z;0;-
15;jojo_v.07;❤️;2022-02-02T16:20:08.000Z;0;-
16;nisi_1004;Weiß man, ob das auch ein Grund war warum Sophie die vielen Flugblätter am Ende in die Aula geworfen hat? Hat sie sich dadurch verändert?;2022-02-02T15:05:28.000Z;0;-
17;irene.garbe3;Ohh schlafe besser lass lieber das Zeug sein;2022-02-02T13:17:19.000Z;0;-
18;skuld1503;Irgendwie habe ich die Mitglieder der weißen Rose als „fehlerfrei“ und ohne Makel in meinem Kopf verankert. Ich bin daher ziemlich erstaunt und erschüttert über den Drogenkonsum. Aber wahrscheinlich wusste man noch nicht so ganz genau Bescheid über Meth bzw hat die ernsten gesundheitlichen Schäden nicht so ernst genommen wie heute? 🤔;2022-02-02T13:13:36.000Z;8 likes;-
19;b_und_o;Hat sich unter den Studierenden bis heute nicht geändert. Heißt heute Ritalin.;2022-02-02T12:41:35.000Z;3 likes;-
20;_sir.stoeren_;Alles für den Wiederstand!;2022-02-02T09:57:22.000Z;0;-
21;knobbi_19_03;@andifink68 richtig, sie verabreichen es mit noch schwacher Dosis, diese würde später erhöht. Schon krass wenn man bedenkt, daß die Wehrmacht ihre Soldaten damit süchtig gemacht haben.;2022-02-02T09:25:07.000Z;0;-
22;nanuk_malamute;Liebe Sophie, achte auf Dich und gönn Dir auch mal Ruhe.;2022-02-02T09:07:17.000Z;0;-
23;annakareninapaulus;Hallo Sophie, ich will dir echt nicht zu nahe treten aber wie oft und wie lange nimmst du die denn schon? Ich verstehe jetzt deinen Mut. Deine Angst ist einfach gedämpft. Würdest du weiter machen, wenn du die Pillen nicht hättest? Klingt egal mies von mir aber bitte versuche von den Droge loszukommen. Du kannst nicht mehr klar denken.🙌🏻;2022-02-02T07:49:26.000Z;0;-
24;jennylicious52;Cool. ^^;2022-02-02T07:34:55.000Z;0;-
25;gartenliebes_rezepte;Sehr gefährlich!!! Damit noch unauffällig zu arbeiten erachte ich als ziemlich unmöglich. Zur Abhängigkeit möchte ich anmerken, dass ein alter Nachbar meiner Kindheit ab dem Einsatz an der Front und einer Granatenverletzung für sein restliches Leben - bis Ende der 80iger Jahre - morphinabgängig blieb. Man darf diese Form der 'Kriegsmittel' keineswegs unterschätzen.;2022-02-02T07:25:43.000Z;8 likes;-
26;kerstincerny;Für mich ist diese Seite schon so bei mein insta verankert, dass ich echt schon Angst vorm Ende habe 🙈 Leider ist es bald so weit und wir können das Ende leider nicht ändern. Aber ich denke, Sophie wäre sehr stolz zu sehen wie sie die Geschichte mit ihren Mut verändert hat. ❤️;2022-02-02T07:08:46.000Z;155 likes;-
27;ajwilson79;Euphorie. Aber das könnte in Eurem Fall bzw. in euren Umständen nicht so einfach ohne Drogen zu bewerkstelligen sein. Bitte nicht übertreiben!;2022-02-02T07:04:22.000Z;1 like;-
28;btrix1411;Passt auf das es euch nicht in den Wahn treibt und Uhr unvorsichtig werdet. Damit ist nicht zu spaßen;2022-02-02T06:48:52.000Z;1 like;-
29;atelier.rotkehlchen;Wo befand sich eigentlich das Atelier der Weißen Rose? Oh man.. ich will nicht, dass der Tag kommt an dem sie die Flugblätter in der Uni verteilen 😢;2022-02-02T06:46:50.000Z;14 likes;-
30;heike.1969;Weiss man ob auch Menschen die hingerichtet wurden, so Tabletten bekommen haben, einfach um es ihnen zu erleichtern?😢;2022-02-02T06:46:44.000Z;1 like;-
31;kevin.vog;Ist das eine Vermutung oder ist der Konsum belegt? Klar würde es von Menschen konsumiert, aber auch von der Weißen Rose? Nicht das ich es verurteilen würde. Muss ja jeder selber wissen und so lange man nur sich gefährdet ist die Verantwortung ja da wo sind hin gehört.;2022-02-02T06:45:11.000Z;2 likes;-
32;thehooverprojectdotcom;Panzer chocolate!? Elvis Presley loved his speed pills when he was a tank commander stationed in germany. Good for the night shift;2022-02-02T06:41:37.000Z;0;-
33;heike.1969;Garnicht😂;2022-02-02T06:36:19.000Z;0;-
34;rot5555555;Na na, Sofphie... jede*r Studierende muss doch wissen, wie man die ganze Nacht durchfeiert und am nächsten Tag in der Vorlesung den Anschein erweckt, wach und aufmerksam zu sein. Man kann eben auch ohne Drogen verpeilt sein.;2022-02-02T06:24:03.000Z;1 like;-
35;kaja0301;Ich bin voller Respekt, was ihr und Du, liebe Sophie so mutig gleistet habt. Ihr bleibt unvergessen und das auch durch solch ein tolles Projekt. Und ich bin erschüttert darüber, welch menschenverachtende Taten unter diesem Regime möglich waren und welche grausame Unterdrückung und Rechtsprechung herrschte. Ich wünschte, ihr wärt dem Wahnsinn entkommen.;2022-02-02T06:06:14.000Z;3 likes;-
36;daniela.seeger.90;So ne Pille hätte ich auch zwischendurch gerne….;2022-02-02T05:41:14.000Z;1 like;-
37;janpatrickliesegang;Pervitin hilft auch beim abnehmen! 👍;2022-02-02T05:34:26.000Z;0;-
38;saskiaaltmann;Ich glaube im Februar würden sie auch erwischt? 😔😒 Ich will nicht dass sie ermordet werden. Ich würde dem Wiederstand gerne viel länger zuhören. Ausserdem find ich es so traurig 😢;2022-02-02T05:32:06.000Z;2 likes;-
39;_anni87_;vielleicht hätten sie ja auch das Zeug intus, als sie später die Flugblätter durch die Halle fliegen ließen? 🤔 Ich meine das zeugt ja schon von Überschwang und unvernunft, da da das Risiko gesehen zu werden ja ziemlich wahrscheinlich war.;2022-02-02T05:27:30.000Z;11 likes;-
40;die_nana;Warum sind Ihre Geschwister Elisabeth und Werner hier nie erwähnt worden?;2022-02-02T05:23:13.000Z;6 likes;-
41;be_0807;Musik und Kaffee motivieren sehr 🙌;2022-02-02T05:18:22.000Z;2 likes;-
42;larrymondelloband;Please stop the pills 💊;2022-02-02T03:05:05.000Z;0;-
43;linna_anima;Was ich noch nicht so ganz bei der Story verstehe. Sophie etc. müssen doch total nach den ganzen Chemikalien gerochen haben (also ich meine jetzt nicht die Drogen).;2022-02-02T00:01:51.000Z;4 likes;-
44;frank_deadman;Ich glaube die Beatles hatten etwas ähnliches genommen in Hamburg.... Predolin.... Wird ein ähnlicher Wirkstoff gewesen sein..... Ich wünschte Sophie Scholl hätte diese Zeit miterlebt..... Die 60er....;2022-02-01T23:12:00.000Z;6 likes;-
