Link: ;https://www.instagram.com/p/CTP4FJAs8MZ/
Id/Reply-Id;User;Comment;Date;Likes;Reply To CommentId
1;ageangelxx;Es wäre bestimmt eine großartige Reise. Wobei es in Russland unter Stalin zZt ja auch für viele schrecklich ist.;2021-09-03T11:01:39.000Z;0;-
2;die_rote_zora02;@toni_rie06;2021-09-02T23:01:41.000Z;0;-
3;kleinerhobbit70;❤️;2021-09-02T19:56:48.000Z;1 like;-
4;j.ritter42;Sankt Petersburg ist wunderschön, die weißen Nächte auf der Newa, Peterhof mit den tollen Gärten, Denkmäler und Museen, auf jeden Fall eine Reise wert. Der Scheiß Krieg kann ja nicht ewig dauern ❤️;2021-09-02T10:38:34.000Z;0;-
5;soulsupport;Eine Reise mit der Transsibirischen Eisenbahn, sowie Moskau und St. Petersburg lohnen sich! Kann ich aus eigener Erfahrung sagen.;2021-09-01T21:51:11.000Z;1 like;-
6;xxblackl;Klar ganz sicher 🔥❤️❤️;2021-09-01T18:15:04.000Z;1 like;-
7;knittingme.la;Und Fritz wäre sicher auch mit dabei ❤️;2021-09-01T17:13:33.000Z;1 like;-
8;nellybochem;Du bist eien hubschen machen;2021-09-01T12:55:11.000Z;0;-
9;erikfotografeert;Was ein tolles Bild! Sie sehen allen so glücklich aus 😍;2021-09-01T11:35:39.000Z;1 like;-
9-1;ichbinsophiescholl;@erikvan_d Es war so ein schöner Ausflug! 🖤;2021-09-01T13:52:21.000Z;6 likes;9
10;marthawagenknecht;❤️;2021-09-01T09:57:27.000Z;0;-
11;wednesday0710;Ihr seid empathisch, sozial, nehmt jeweils den Anderen wichtiger als euch selbst, daher ja, würdet ihr. Es nimmt mich so mit...;2021-09-01T08:09:45.000Z;2 likes;-
11-1;ichbinsophiescholl;@wednesday0710 🖤;2021-09-01T13:51:49.000Z;3 likes;11
12;hartmutjannis;Hat denn Sophie Scholl tatsächlich gegendert? Oder ist das wieder ein Text, der ihr in den Mund gelegt wurde?;2021-09-01T07:59:53.000Z;2 likes;-
