Link: ;https://www.instagram.com/p/CVIBwloMME-/
Id/Reply-Id;User;Comment;Date;Likes;Reply To CommentId
1;summertime_butterflies3;Auch wir waren kürzlich 5 Jahre zusammen und liebe Sophie, obwohl wir zusammen wohnen, fühle ich mich wegen seines Berufes als Arzt wie in einer Fernbeziehung. Seit Wochen steht der eine auf und der andere geht zu Bett. Die Tatsache, dass ich in seinem Heimatland eigentlich nicht mehr sein will, macht es oft noch schwerer ohne meine Familie und Freunde. Da hilft oft wirklich nur mich daran zu erinnern, dass er eigentlich ein Herzensguter ist, und von denen gibt es auch nicht allzuviele;2021-10-19T08:09:55.000Z;3 likes;-
1-1;ichbinsophiescholl;@summertime_butterflies3 #TeamSoffer Vielen Dank, dass du deine persönliche und berührende Geschichte teilst! Alles Gute dir!;2021-10-19T09:33:57.000Z;0;1
2;weissesblattpapier;Sophies hoffnungsvolle Worte und das Hoffen auf ein Wiedersehen mit Fritz brechen mir jedes Mal das Herz. Ein Mädchen mit dem Wunsch nach Meinungsfreiheit... Ist Sophie klar, in welche Gefahr sie sich begibt? Gefängnis, wie bei Papa Scholl diente offenbar der Abschreckung bei geringen Vergehen gegen den Führer und das Regime.;2021-10-18T07:24:44.000Z;1 like;-
3;netratz;🔥❤️;2021-10-18T03:37:01.000Z;0;-
4;__.m_a_r_i_e._;Was ist eigentlich mit Werner und Elisabeth Scholl?;2021-10-17T17:31:16.000Z;7 likes;-
4-1;ichbinsophiescholl;@__.m_a_r_i_e._ #TeamSoffer Werner Scholl befindet sich zum aktuellen Zeitpunkt unserer Erzählung im Osten auf Fronteinsatz. Elisabeth arbeitet in der Nähe von Ingolstadt als Kinderkrankenschwester und Familienhilfe auf einem Bauernhof.;2021-10-17T17:52:30.000Z;15 likes;4
5;ocin1400;Cringe;2021-10-17T17:28:45.000Z;0;-
6;luis.gldn;FaceTime ganz einfach.Das ist wie eine Unterhaltung in real life…;2021-10-17T15:50:48.000Z;1 like;-
7;fxmistakes;Mit viel Kommunikation, den Willen dazu die Person zu behalten, mit dem Schmerz den man teilt sich gegenseitig zu vermissen und dem wissen sich wieder und wieder zu sehen. Es ist nicht leicht, aber es ist machbar und gleichzeitig auch sehr schön.;2021-10-17T15:31:08.000Z;1 like;-
8;ein_echter_bochumer_junge;@ichbinsophiescholl Wird Eure Geschichte nach Sophies Tod sofort beendet oder wird die Seite noch weiter geführt? Ich würde vorschlagen die Geschichte jedes Jahr zu wiederholen, damit soviele Menschen wie möglich über die Helden der weißen Rose erfahren! Ganz tolle Arbeit von Euch! Danke schön! ❤️❤️;2021-10-17T15:00:58.000Z;5 likes;-
9;wolfwarncke;Tolle Frage: „Wie schafft man es, gemeinsam zu wachsen?“ 🍀Wolf Warncke;2021-10-17T14:02:09.000Z;2 likes;-
10;mara.edle;Als jemand, der 10 Jahre Fernbeziehung mit moderner Technologie hinter sich hat kann ich es nur bewundern, wie du das machst Sophie! Ich habe immer telefonieren können, und selbst aus Nepal kam die Antwort am selben Tag. Haltet durch und haltet euch aneinander fest. Und die Sorgen sind ganz normal und berechtigt. Ich hoffe du hörst bald von ihm.;2021-10-17T14:00:55.000Z;2 likes;-
11;lass_machen161;Die weisse Rose wird nie untergehen! Gemeinsam gegen den Rechtsruck und AfD;2021-10-17T12:14:26.000Z;4 likes;-
12;sousyam;Ist das ein Originalfoto von Fritz oder nachgestellt?;2021-10-17T12:13:07.000Z;1 like;-
12-1;ichbinsophiescholl;@sousyam #TeamSoffer Bei dem Bild handelt es sich um ein nachgestelltes Foto von Fritz Hartnagel.;2021-10-17T14:22:48.000Z;8 likes;12
12-2;sousyam;@ichbinsophiescholl danke für die Info! 😊;2021-10-17T14:42:35.000Z;1 like;12
13;simon.rainer.89;❤️;2021-10-17T11:49:38.000Z;0;-
14;kuestenkinderleben;@schulzee_;2021-10-17T11:24:24.000Z;0;-
15;adda88937;Hatte Fritz Schwierigkeiten weil Sophie verurteilt wurde?;2021-10-17T11:13:44.000Z;1 like;-
16;tinas_notizblog;"An alle, die Fragen haben; Lest das Buch: Die weiße Rose von Inge Scholl. Wer auch immer auf diese grandiose Idee gekommen ist, er hat einen Preis verdient. Ich würde mir wünschen, dass es auch solche Projekte für die Rote Kappelle, D. Bonhoeffer und natürlich auch andere Themen gibt. Danke für eure Arbeit!!Finde euren Insta Feed so genial!!!";2021-10-17T11:09:51.000Z;50 likes;-
17;maandymaus;Fast unglaublich, wenn man überlegt, dass Elisabeth, die Fritz später geheiratet hat, erst letztes Jahr gestorben ist.;2021-10-17T11:08:50.000Z;19 likes;-
18;little.baby.saurus;Wieso wird Elisabeth eigentlich noe erwähnt?;2021-10-17T11:08:33.000Z;4 likes;-
18-1;ichbinsophiescholl;@little.baby.saurus #TeamSoffer Über Elisabeths Leben ist zu dieser Zeit nicht viel bekannt. Sie arbeitete zu der aktuell von uns erzählten Zeit als Kinderkrankenschwester und Familienhilfe in der Nähe von Ingolstadt.;2021-10-17T11:30:29.000Z;31 likes;18
19;sakurakitsune24;Das gute / die Liebe stirbt nie ❤️;2021-10-17T11:02:23.000Z;2 likes;-
20;isabeljordanu;Und heiratete am Ende dann Sophies Schwester...richtig?;2021-10-17T10:47:50.000Z;6 likes;-
20-1;ichbinsophiescholl;@isabeljordanu #TeamSoffer Das ist korrekt. Fritz wird direkt nach Kriegsende Sophies Schwester Elisabeth heiraten. Die beiden werden ihr Leben zusammen verbringen.;2021-10-17T10:52:37.000Z;20 likes;20
20-2;mr.merten;@isabeljordanu tragischerweise werden Fritz und Sophie sich nie mehr persönlich begegnen...;2021-10-17T10:54:02.000Z;4 likes;20
20-3;isabeljordanu;"@ichbinsophiescholl ich glaube nichts hat mich in jungen Jahren noch mehr berührt , als die Geschichte der "" Weißem Rose"".";2021-10-17T10:54:22.000Z;8 likes;20
20-4;ichbinsophiescholl;@tinker_different #TeamSoffer Auch Otl wird den Krieg überleben und nach dem Krieg Inge heiraten. Er wird einer der bekanntesten Gestalter und Grafikdesigner Deutschlands im 20. Jahrhundert werden.;2021-10-17T11:28:41.000Z;26 likes;20
20-5;happy.x.prissi;@ichbinsophiescholl darf ich fragen ob es einen Grund gibt, weshalb Elisabeth in diesem Projekt nicht auftaucht? Lebt sie zu dieser Zeit nicht bei der Familie?;2021-10-17T11:50:25.000Z;2 likes;20
20-6;ichbinsophiescholl;@happy.x.prissi #TeamSoffer Genau, Elisabeth lebt zu der aktuell von uns erzählten Zeit in der Nähe von Ingolstadt und arbeitet dort als Kinderkrankenschwester und in der Familienhilfe.;2021-10-17T12:14:17.000Z;9 likes;20
20-7;kathyraaven;@happy.x.prissi Die Erklärung wird weiter oben in den Kommentaren gegeben.;2021-10-17T12:14:29.000Z;1 like;20
20-8;isabeljordanu;@ichbinsophieschollAJa, Ortl Aicher hat das Lufthansa Logo entworfen;2021-10-17T12:34:36.000Z;0;20
20-9;isabeljordanu;@mr.merten ich weiss.;2021-10-17T12:34:51.000Z;0;20
20-10;happy.x.prissi;@kathyraaven da hast du Recht, danke 👍;2021-10-18T09:01:32.000Z;1 like;20
21;dominushka;Mein Geburtstag ist am 22. Februar, war etwas traurig nachdem ich anfing mich mehr mit Sophie Scholl zu beschäftigen;2021-10-17T10:41:44.000Z;3 likes;-
22;giusy79_;Eine Fernbeziehung tut auf Dauer weh. Weil man sich körperlich nicht nah ist. Wie lange hast du Fritz nicht mehr gesehen?;2021-10-17T10:40:09.000Z;4 likes;-
22-1;ichbinsophiescholl;@giusy79_ Fritz und ich haben uns das letzte Mal vor 5 Monaten gesehen, also Mitte Mai. Es ist viel passiert in der Zwischenzeit. Unser letztes Treffen fühlt sich also an, als sei es eine Ewigkeit her…;2021-10-17T10:57:17.000Z;12 likes;22
