Link: ;https://www.instagram.com/p/COfZ6lfH7Mx/
Id/Reply-Id;User;Comment;Date;Likes;Reply To CommentId
1;arisk.prvt;Wäre das nicht auch ein schönes Profilbild für @ichbinsophiescholl;2021-09-10T07:15:51.000Z;1 like;-
2;felixblum02;pass i guess;2021-06-11T13:16:57.000Z;3 likes;-
3;mary_lou_1111;ich wünschte ich könnte gemeinsam mit dir an der Isar flanieren Sophie....❤️;2021-05-26T16:57:16.000Z;1 like;-
4;joaomarcelovr;@lara.megabyte;2021-05-24T16:31:55.000Z;1 like;-
5;marry_kk4;Schon weird;2021-05-18T15:06:18.000Z;0;-
6;julian.keckeis;Gute Idee! 😮;2021-05-18T06:56:41.000Z;0;-
7;vodyanoi.zezima;❤️❤️❤️;2021-05-13T11:21:32.000Z;0;-
8;alice_lsd;Das heist Breze!;2021-05-10T18:16:51.000Z;0;-
9;der_junge_ausn_osten;Moin;2021-05-10T07:53:22.000Z;0;-
10;willemthepuffin;@larissakamp heel leuk initiatief, kijk maar eens;2021-05-10T06:59:50.000Z;0;-
11;dellisantisandro;Hey Ihr Lieben, bleibt bitte alle gesund und liebe Grüße aus Braunschweig ❤️;2021-05-09T14:53:40.000Z;2 likes;-
12;wiesenurmitn;Mensch,tolle jacke,steht dir super!!!;2021-05-09T09:01:54.000Z;1 like;-
13;i_am_sterdamn;❤️;2021-05-09T08:07:10.000Z;0;-
14;naughty_pat;Hatte Sophie Scholl nicht braune Augen? Das hatte sie doch auch in ihrem Tagebuch stehen, da sie es unfair fand, dass ihre jüdische, blonde, blauäugige Freundin nicht bei der HJ mitmachen durfte...;2021-05-09T08:00:13.000Z;1 like;-
15;prinz_david16;Du bist mir sofort sympathisch. 😍ich mag Brezeln auch , und bäume natürlich. 👏👏;2021-05-09T07:37:45.000Z;1 like;-
16;rainer.carle.3;❤️;2021-05-08T16:01:19.000Z;0;-
17;meik_polenz;Die LUNA.. 🤗😍🤗;2021-05-08T15:22:11.000Z;0;-
18;s_t_e_ph_38;Was für ein tolles Projekt ❤️❤️❤️ Liebe Sophie, ich wünsch dir eine tolle Zeit in München ❤️;2021-05-08T14:34:44.000Z;1 like;-
19;kommahierher;Liebste Sophie, ich danke dir aus tiefstem Herzen für die Welle aus Liebe, Empathie und Mut, die du mir durch die Zeit ins Heute schickst. Sie durchflutet mich und schenkt mir Kraft und Zuversicht, auch jetzt wach zu bleiben und nicht zu verzagen. Ich sehe dich, lächle dir zu ... und weine. Und spüre, ich bin nicht alleine. Volker;2021-05-08T08:11:27.000Z;2 likes;-
20;gluexxgriff;Liebe @ichbinsophiescholl... Ich bin echt gerne dein Follower!! 😍;2021-05-08T04:30:10.000Z;1 like;-
