Link: ;https://www.instagram.com/p/CPLYhQFnWAp/
Id/Reply-Id;User;Comment;Date;Likes;Reply To CommentId
1;reading_with_jules;Bitte moderiert eure Kommentare! Vergleiche mit aktuellen Medienunternehmen im deutschen Raum sind hochgradig gefährlich bis hin zu hetzerisch. Löscht solche Kommentare, sonst spielt das genau dem entgegen, für was dieses Projekt genutzt werden soll.;2021-06-01T12:45:10.000Z;2 likes;-
2;adnan.87.61;Und heute hetzen die Medien gegen eine andere ethnische Minderheit.;2021-05-28T17:09:46.000Z;4 likes;-
3;tmn.mkr;So ein Drecks Account!!;2021-05-27T21:13:37.000Z;2 likes;-
4;rothiiwoodasoo;Tolle Idee und auch ganz wichtig das Menschen wie @ichbinsophiescholl niemals in Vergessenheit geraten ❤️;2021-05-27T18:40:10.000Z;0;-
5;andre.shndr;"„Opferbereitschaft der Soldaten..“
Zu der damaligen Zeit war das „ehrenhaft“. Ihr solltet eher stolz auf eure Großväter sein.
Das wird immer wieder vergessen.
In der heutigen Zeit sind es weit unter einem Prozent der Männer, die so für ihre Familie oder Land kämpfen würden.

UNABHÄNGIG DAVON WAS ALLES PASSIERT IST.";2021-05-26T08:19:10.000Z;2 likes;-
6;rainerstudt;Ein spannendes Projekt, das meine Bewunderung für Sophie noch einmal steigert. Hätte ich diesen Mut gehabt ? Ich weiß es nicht, befürchte aber mein eigenes Schweigen.;2021-05-25T07:10:51.000Z;0;-
7;karl.napfli1977;Welches Buch über die Weiße Rose hat 900.000 Stück verkauft ( auch wenn es platt ist Follows mit kritischen Lesern gleich zu setzen ). Müssen wir heute komische Ansichten von Quertreibern ertragen, weil diese Meinungen -so sehr diese auch der Realität in vielen Fällen diametral entgegen stehen- ein Zeichen für Meinungsfreiheit sind. Getreu dem Motto: Wenn es so wäre, wie ihr behauptet, dann wäre keiner von euch mehr hier. Und wie wäre es, wenn der ein oder andere Kommentar 'hypothetisch' oder an realen Beispielen gemessen quasi 'verfolgt' werden würde. Also ein Hinweis von so einer Institution wie dem 'Big Brother' analog zur Gestapo die dem ein oder anderen Kommentar mit einem Link zu einer ggfs damals real ausgesprochenen Strafe verlinken würde. Nicht um die Kommentare abzuwuergen, aber um den Versuch zu unternehmen die potentiellen Gefahren der freien Meinung zu dieser Zeit aufzuzeigen. In jedem Fall ist es ein sehr komplexes und lehrreiches Projekt. Dafür zahlen wir die GEZ!;2021-05-24T09:29:34.000Z;21 likes;-
7-1;ichbinsophiescholl;@karl.napfli1977 #teamsoffer Vielen Dank für die Anregung! Wir nehmen die Idee mit in unsere Redaktionssitzung und überlegen, ob und wie wir das mal einbauen könnten. :);2021-05-24T09:37:27.000Z;18 likes;7
7-2;changed.by.popular.demand;@ichbinsophiescholl @karl.napfli1977 so à la „Hallo hier ist das Reichssicherheitshauptamt, wir haben eine Karteikarte über sie angelegt und würden Sie jetzt gerne vorladen, evtl. Zuchthaus, möglicher Weise auch KZ.“ oder wie?;2021-05-24T22:07:03.000Z;1 like;7
8;karl.napfli1977;Ich gebe folgendes dazu zu bedenken:;2021-05-24T09:19:17.000Z;0;-
9;pbeudel;"Leider lernen wir in die Schule in Holland nicht von deine Geschichte. Große Respekt. 🙌🏽Für immer weiter so. Antifa
Lg";2021-05-24T09:05:18.000Z;0;-
10;guidoschenkendorf;Damit würde ich mir noch nicht mal den Allerwertesten abwischen🤬👎;2021-05-24T07:24:24.000Z;1 like;-
11;lepassy;Typisch Bild!;2021-05-24T06:53:41.000Z;1 like;-
12;weltgebetstag_hessen;Ich habe Hochachtung davor, dass ihr dieses Projekt gewagt habt. Und auch davir, wie sachlich und freundlich ihr antwortet. Damit setzt ihr eine wichtige Realität und einen guten Ton ins Netz. Das wäre sicher im Sinne der Weißen Rose gewesen. Danke! 🙏🕊️;2021-05-23T17:37:56.000Z;59 likes;-
12-1;ichbinsophiescholl;@weltgebetstag_hessen #teamsoffer Danke für deine Worte!;2021-05-23T20:00:09.000Z;12 likes;12
13;flo_unfiltered;Ich glaube kaum, dass Sophie Scholl so sozialkritisch und kritisch, wie wir, gegenüber der NS-Zeit und allen Medien war aber trotzdem finde ich das Format toll.;2021-05-23T17:31:54.000Z;0;-
14;elzein.hh;Nichts anderes als heute die BILD;2021-05-23T16:20:06.000Z;0;-
15;olivia_flatzlsteiner;@ichbinsophiescholl erfährt man hier durch deine Posts warum Traute (Gott sei Dank) nicht hingerichtet wurde, sondern „nur“ ins Gefängnis kam? War sie nicht so viel beteiligt wie du und Hans, oder was ist der Grund? Oder kannst du mir die Frage beantworten, würde mich interessieren :). Lg aus Oberösterreich;2021-05-23T16:02:25.000Z;4 likes;-
15-1;ichbinsophiescholl;@olivia_flatzlsteiner #teamsoffer Liebe Olivia, Traute galt damals als Mitwisserin und wurde aus diesem Grund 1943 zu einem Jahr Haft verurteilt. Sie wurde 1944 erneut festgenommen und wurde ein Jahr später von den amerikanischen Truppen aus dem Zuchthaus in St.Georg, Bayreuth befreit.;2021-05-23T16:17:33.000Z;12 likes;15
16;tonistraeume;🔥;2021-05-23T15:30:31.000Z;0;-
17;melly_0213;Ich finde es schade das Menschen glauben was in Zeitungen ohne nach zu denken ob es der Wahrheit entspricht or nicht!;2021-05-23T14:28:33.000Z;0;-
