Link: ;https://www.instagram.com/p/CXT1n78s5dw/
Id/Reply-Id;User;Comment;Date;Likes;Reply To CommentId
1;willkuer1.0;Das ihr so viele Bilder von rauchenden Menschen einstellt, finde ich nicht gut! Auch wenn das im Kontext der damaligen Zeit ist. Es sollte zumindest keine Fotos geben, auf denen Leute damit posen.;2021-12-18T03:00:59.000Z;0;-
2;annaisabel_r;Ich finde es ganz wunderbar, dass ich an Deinem Leben teilhaben kann. Ich habe bereits einige Bücher über Dich gelesen und als Teenager hast Du mich dazu bewegt, mich den Edelweißpiraten anzuschließen. Aber die junge Frau hinter der Heldin, die sich auch mal über herumliegende Socken ärgert oder für Mode interessiert, ist mir erst jetzt zugänglich geworden. Vielen Dank!;2021-12-12T15:01:50.000Z;0;-
3;britney_beers_141;Eine Mischung aus beidem eventuell mit ein paar Akzenten wie zb einer Schleife oder paspeln ein schlichtes Kleidungsstück aufwerten :);2021-12-11T21:53:42.000Z;2 likes;-
4;raumoberbayern;Diese Anzeigen sind ja wirklich interessant. So gut ist die alte Zeit gewesen.;2021-12-11T19:20:25.000Z;0;-
5;lindwurmallee;Was soll das Wort vor Wolle sein?;2021-12-11T17:47:08.000Z;0;-
6;sebfischer2;"Danke für die Info zur ""Hamburger Weißen Rose "".";2021-12-11T14:22:08.000Z;0;-
7;andreaskraneis;Danke für den interessanter Blick in damalige Anzeigen und die Schriftstile. Es werden praktisch keine Frakturen mehr verwendet, auch wenn vereinzelt noch ein langes S auftaucht. Der Normalschrifterlass von 1941 zeigte Wirkung.;2021-12-11T14:21:49.000Z;0;-
8;sebfischer2;Solche Fähigkeiten fehlen uns heute;2021-12-11T14:19:32.000Z;0;-
9;sandra_sandra187;Huhu in welchen jahr und monat befinden wir uns gerade sorry bin noch nicht so lange hier 😳🥰;2021-12-11T14:12:45.000Z;0;-
10;nadine_ranft;Die Darstellerin erinnert mich an die junge Winona Ryder. Hübsche Frau;2021-12-11T13:10:31.000Z;3 likes;-
11;hello.its_her;@szn_knl dachte erst, das seist du 😂;2021-12-11T12:59:39.000Z;1 like;-
12;evim342;Wie hat es Traute geschafft zu überleben? Könnt ihr dazu etwas schreiben ✍ 👏;2021-12-11T08:21:57.000Z;0;-
13;monicabonini66;Liebe ... Sophie ... ich bin eine italienische Verafassungsrechtslehrerin die staendig alles was du schreibt liesst! Neues Leben der Weissen Rose zu geben ist, heutzutage, von hoechster Bedeutung. Waere es moeglich in Zukunft auch auf Englisch zu schreiben? Ich koennte meine Studenten empfehlen, die Deutsch nicht verstehen, dir zu folgen. Nur ein Tipp, ich kann mir vorstellen dass es nicht einfach ist. Herzlichen Dank fuer all deine Posts liebe Sophie!;2021-12-11T07:49:22.000Z;11 likes;-
14;bico_lafrey;In der sehr sehenswerten Doku “Die Widerständigen “also machen wir das weiter…”” kommt auch Traute Lafrenz-Page zu Wort. Sehr beeindruckender Film!;2021-12-11T06:14:32.000Z;1 like;-
15;frauenvondamals;Woher hat Traute eigentlich das (in diesem Bild sehr deutlich erkennbare) Makeup? Und ist das transparenter Nagellack?;2021-12-11T05:56:19.000Z;4 likes;-
16;traveljetta;Konnte man wirklich einfach so die Flugblätter und andere regime-kritische Post verschicken? Wurde die nicht kontrolliert?;2021-12-11T00:05:24.000Z;1 like;-
17;_runningcat_;In den 40er Jahren gab es unheimlich tolle Strickmode. Ich hoffe Traute ist flink mit den Stricknadeln🙂🧶;2021-12-10T22:46:47.000Z;3 likes;-
18;in71.st;"@ichbinsophiescholl kannst du bitte die ""Reichskleiderkarte"" nochmal genauer erklären? Im Moment stelle ich mir eine Karte sagen wir mit 10 Feldern vor und jedes Feld steht für ein Kleidungsstück? Dazu musste es doch bestimmt auch noch bezahlt werden!? Oder wie lief so ein ""Kauf?"" ab? Danke schonmal für die Antwort und Danke für die ganze ""SophieSchollInstaAktion""";2021-12-10T22:37:13.000Z;3 likes;-
19;michaela_hanauer;Ein bisschen weniger verschwenderisch könnten wir heute auch mit unserer Kleidung (und eigentlich allen Sachen) sein, das käme der Umwelt zugute. Habt ihr euch damals über Umweltschutz auch schon Gedanken gemacht?;2021-12-10T21:44:04.000Z;9 likes;-
20;tantebebbel;Ich bin Jahrgang 1958 und ich habe als Kind und auch noch als Teenager immer gestopfte Sachen getragen. Das war ganz normal. Selbst die Unterhosen... Das ist heute anders. Vieles wird mit einem kleinen Loch entsorgt. Ich bin in der Tat die, die in der Familie die Nahtlöcher von T-Shirts flickt weil es mir einfach leid tut alles direkt in den Container zu stecken. Socken mit Loch schmeisse ich auch weg aber meine Kindersocken waren zig mal gestopft. Es war einfach so. Ich schaffe es auch nicht Essbares in den Müll zu stopfen. Es ist einfach die Nachwirkung einer Erziehung einer Frau Jahrgang 19 24. Es ist in mir und geht nicht weg. ☺️;2021-12-10T21:30:35.000Z;15 likes;-
21;vannismile;Darf ich fragen, ob die Darstellerin einen insta Account hat? Ich finde die sehr inspirierend 🙌❤️;2021-12-10T21:27:08.000Z;0;-
22;ellionorepriore;Wunderschöner Pullover ❤️ wunderschöne Frau 👩🏻 👍🏼❣️;2021-12-10T21:22:08.000Z;1 like;-
23;5a3eth;Vielen Dank 🙏🏻 es tut ganz gut mal darüber nachzudenken;2021-12-10T19:47:00.000Z;0;-
24;li_ma_pue;Trautes Pullover auf dem Bild sieht richtig cool aus. Könnte man heute auch noch tragen! Traute ist generell so eine hübsche Frau :);2021-12-10T19:12:23.000Z;1 like;-
25;wene_beinhart;ver-Scholl-en 😉;2021-12-10T19:05:18.000Z;1 like;-
