Link: ;https://www.instagram.com/p/CT1pDnos7nU/
Id/Reply-Id;User;Comment;Date;Likes;Reply To CommentId
1;wakki01;Ihr seid unglaublich mutig mit euren Aktionen 👏. Wenigstens hat Hansi die NS Herrschaft überlebt.;2021-09-16T08:04:04.000Z;0;-
2;tam1805;Ich mache mir sorgen um euch😢;2021-09-15T19:50:25.000Z;0;-
2-1;ichbinsophiescholl;@tam1805 Wir bleiben vorsichtig!;2021-09-16T09:41:54.000Z;0;2
3;a_buecherwurm;Was sagen die anderen dazu?;2021-09-15T18:22:06.000Z;0;-
4;simoneschnurpsel;Passt auf euch auf. Vor allem vor dem seltsamen Nachbarn! Ihr schafft das! ❤️;2021-09-15T17:34:21.000Z;2 likes;-
4-1;ichbinsophiescholl;@simoneschnurpsel Danke für deine Unterstützung! Wir sind weiterhin auf der Hut!;2021-09-16T09:41:24.000Z;1 like;4
5;gwen_gloeckchen;Ayooah!!! 😍 Noch ein Blütenblatt für die weiße Rose!!! Toll, Sophie! Aber Hansi soll ja auf sich aufpassen, eben wenn er so tatkräftig und engagiert ist. Nicht, dass der komische Herr Leutenberg was davon mit kriegt. Das wäre echt fatal... Liebe Grüße!;2021-09-15T15:23:50.000Z;5 likes;-
5-1;ichbinsophiescholl;@gwen_gloeckchen Wir bleiben auf der Hut!;2021-09-15T15:43:31.000Z;7 likes;5
5-2;gwen_gloeckchen;@ichbinsophiescholl 🙌❤️❤️❤️❤️;2021-09-15T18:47:12.000Z;0;5
6;christine.binggeli;🔥;2021-09-15T15:18:28.000Z;0;-
7;katrinpruchniewski;"Hansi hat eigentlich recht.
Aber ihr müsst so vorsichtig sein.
Nicht auffallen, ist besser.";2021-09-15T13:36:58.000Z;1 like;-
7-1;ichbinsophiescholl;@katrinpruchniewski Wir bleiben so vorsichtig wie möglich!;2021-09-15T15:45:53.000Z;14 likes;7
8;franzilo1985;Verwunderlich für mich persönlich ist, dass Hirzel später Parteimitglied der Republikaner wurde;2021-09-15T12:53:47.000Z;1 like;-
8-1;heikegumz;@franzilo1985 Die Mitglieder der Weißen Rose und ihre Unterstützer*innen hatten unterschiedliche Hintergründe und Motive für ihren Widerstand. Teile der Weißen Rose lehnten längst nicht alle Aspekte der NS-Ideologie ab und standen z. B. einer national-völkischen Ideologie oder auch dem Anti-Bolschewismus durchaus nah (z. B. auch Prof. Huber). Für die Geschwister Hirzel selbst weiß ich nicht, welche Haltung genau sie während des NS-Zeit hatten - aber wenn es eine solche war, wären eine spätere Mitgliedschaft bei den REPs nicht so ungewöhnlich.;2021-09-15T18:48:50.000Z;4 likes;8
9;frauvonformat;"""Hansi"" war in den frühen 90er Jahren stellvertetender Bundesvorsitzender der vom Verfassungsschutz beobachteten rechtskonservativen Partei der ""Republikaner"". Seine Schwester Susanne, verh. Zeller, war in rechtskonservativen Kreisen aktiv, verzerrte und verharmloste die deutsche Verantwortung und die Verbrechen im 2. Weltkrieg und und schürte zuletzt in Verbindung mit mehreren rechtsnationalen Bewegungen rechtspopulistische, antiislamische Feindbilder.";2021-09-15T12:49:57.000Z;12 likes;-
10;captaincherrybomb;Die Frage, ab wann ziviler ungehorsam legitim ist und wie man ihn gewaltfrei umsetzen kann ist gerade aktuell sehr wichtig.;2021-09-15T12:31:58.000Z;2 likes;-
11;3melie_;Wer war Hansi?;2021-09-15T12:18:26.000Z;1 like;-
11-1;ichbinsophiescholl;@3melie_ #TeamSoffer Hans Hirzel, den wir Hansi nennen, um eine Verwechslung zu Hans Scholl auszuschließen, war ein Freund der Familie Scholl. Die gesamte Familie Hirzel war mit der Familie Scholl eng befreundet. Zum Beispiel Sophie kannte Susanne Hirzel, Hansis Schwester, schon seit ihrer Zeit bei den Jungmädeln. Zusammen verloren beide später ihre besondere Position als Gruppenführerinnen beim BDM. Außerdem aß Sophie während ihres Fabrikdienstes häufig bei den Hirzels zu Mittag, was den Kontakt mit Hans Hirzel stärkte. Nach dem Zweiten Weltkrieg war Hansi weiterhin politisch aktiv - in Parteien, die dem konservativen bis rechten Spektrum zuzuordnen sind. Dazu findest du unter anderem auch unter diesem Post einen Kommentar-Thread.;2021-09-15T13:01:56.000Z;33 likes;11
11-2;3melie_;@ichbinsophiescholl oh ich habe gefragt weil ich Otl und Hansi als eine Person gesehen hatte und gerade sehr irritiert war😂;2021-09-15T13:03:21.000Z;0;11
11-3;amira_tabea_;@ichbinsophiescholl konservativ bis rechts? Oh, das finde ich spannend. Weiß man dazu ein bisschen mehr? ZB woher dann die Wendung kam? Ist ja eher untypisch, vor allem dann nach dem Krieg, wenn er zuvor dagegen gesteuert hat;2021-09-15T13:39:15.000Z;6 likes;11
11-4;thetimemistress;@amira_tabea_ er war erst in der CDU und dann bei den Republikanern. Hirzel ist 2006 verstorben.;2021-09-15T13:43:33.000Z;6 likes;11
11-5;maja_furiaroja;@amira_tabea_ Warum meinst du das sei eine Wendung? Schließt es sich deiner Meinung nach aus, gegen die Nazis und dann CDU-Mitglied zu sein?;2021-09-15T14:44:35.000Z;0;11
11-6;amira_tabea_;@maja_furiaroja Ich hatte es ehrlich gesagt so verstanden, dass er in mehreren Parteien aktiv war, u.A. auch in welchen, die rechts zuzuordnen sind 🙈;2021-09-15T14:46:10.000Z;6 likes;11
11-7;katharina.helling;@ichbinsophiescholl liebes Team, ich find‘s super, dass ihr auf den Kommentar verweist 🙏🏼, aber könntet ihr ihn evtl anpinnen? Es bestehen ja doch noch einige offen Fragen bzw habe sich diese offensichtlich ergeben und evtl übersehen einige den Kommentar.;2021-09-15T18:32:49.000Z;3 likes;11
11-8;heikegumz;@amira_tabea_ Die Mitglieder der Weißen Rose und ihre Unterstützer*innen hatten unterschiedliche Hintergründe und Motive für ihren Widerstand. Teile der Weißen Rose lehnten längst nicht alle Aspekte der NS-Ideologie ab und standen z. B. einer national-völkischen Ideologie oder auch dem Anti-Bolschewismus durchaus nah (z. B. auch Prof. Huber). Für die Geschwister Hirzel selbst weiß ich nicht, welche Haltung genau sie während des NS-Zeit hatten - aber wenn es eine solche war, wären eine spätere Mitgliedschaft bei den REPs nicht so ungewöhnlich.;2021-09-15T19:05:01.000Z;5 likes;11
11-9;maja_furiaroja;@amira_tabea_ ja, da hast du ja auch recht. Die REPs sind ja diesem Spektrum zuzuordnen.;2021-09-15T20:30:55.000Z;0;11
11-10;katharina.helling;"@maja_furiaroja Hans Hirzel wechselte 1993 von der CDU zu den Reublikanern, die seit 1992 vom Verfassungsschutz unter dem Verdacht einer rechtsextremistischen Bestrebung aufgeführt und beobachtet wurde (bis in die 2000er Jahre). Er wurde dort stellvertretender Bundesvorsitzender.
Den sog. Ruhstorfer Abgrenzungsbeschluss gegenüber extremistischen und verfassungsfeindlichen Organisationen bezeichnete er in einem Artikel für die Zeitschrift Nation und Europa als schädlich für die Partei.
2001 trat er aus der Partei wieder aus.
Mit ‚Wendung‘ bzw ‚rechtes Spektrum‘ dürfte der Wechsel zu/die Zeit bei den Reps gemeint sein.";2021-09-15T20:34:58.000Z;6 likes;11
11-11;maja_furiaroja;@zuagroastebayrischeschwaebin Ja, ich habe ja auch gesagt, dass die REPs diesem Spektrum zuzuordnen sind. 😊 Aber danke für die zusätzlichen Infos! 🤗👍;2021-09-15T21:30:56.000Z;1 like;11
11-12;katharina.helling;"@maja_furiaroja ah, ich seh jetzt gerade erst Deinen letzten Kommentar davor; hat sich glaub ich überschnitten als ich getippt hab. Ich dachte Du hattest das noch nicht gesehen, dass es um die REPs geht - also sorry falls es zu arg war, aber wenn Du Dich über die zusätzlichen Infos noch freust, ist‘s ja perfekt 😅";2021-09-15T21:40:02.000Z;4 likes;11
