Link: ;https://www.instagram.com/p/CP5d4xPnw3N/
Id/Reply-Id;User;Comment;Date;Likes;Reply To CommentId
1;andreea.__021;sehr schöne Zeichnung 😍;2021-06-15T14:42:10.000Z;1 like;-
2;bernhard_elsaesser;...👍🏻👐🏻👌🏻...;2021-06-14T16:22:37.000Z;0;-
3;marionevaschulte;❤️;2021-06-13T09:24:24.000Z;0;-
4;marionevaschulte;❤️;2021-06-12T05:36:18.000Z;0;-
5;marionevaschulte;❤️;2021-06-12T05:36:02.000Z;0;-
6;silencestable;Ich finde dieses Projekt soo unterhaltsam!😍;2021-06-11T13:24:17.000Z;0;-
7;flowgrow___;👏👏👏;2021-06-11T09:41:44.000Z;2 likes;-
8;dirndl.schnitte.diy;Ein sehr starkes Projekt!!! Ich frag mich nur ob Hans und Sophie Scholl wirklich so gestochenes Hochdeutsch gesprochen haben. Oder vielleicht doch eher mit schwäbischen Dialekt? Und ob Alex einen russischen Akzent hatte?;2021-06-11T05:56:27.000Z;1 like;-
9;dirndl.schnitte.diy;Ein sehr starkes Projekt!!;2021-06-11T05:53:22.000Z;0;-
10;piadeppermann;Ich habe eine Frage: meine Alex Sophie als er sagte die Liebe seines Lebens sei eine verheiratete Frau?;2021-06-10T23:19:30.000Z;0;-
11;4real._.mxf;Lebt sofie sholl noch ??? Sie wurde doch getötet ?;2021-06-10T16:35:55.000Z;0;-
11-1;coco.el6;@4real._.mxr nicht dein Ernst...;2022-02-14T12:14:20.000Z;2 likes;11
11-2;4real._.mxf;@coco.el6 ja was denn 😂;2022-02-14T16:50:25.000Z;0;11
11-3;coco.el6;@4real._.mxr jaa sie ist tot..leider leider..aber bitte du musst das doch wissen 😬 Das ist quasi nur eine Aktion wo ihr Leben ab 1942 nachgespielt wird, so in etwa.;2022-02-14T16:56:32.000Z;0;11
11-4;4real._.mxf;@coco.el6 ja ich wusste nicht über sie 😂;2022-02-14T17:11:49.000Z;1 like;11
11-5;coco.el6;@4real._.mxr wirklich?? Garnichts?? 😳;2022-02-14T17:27:02.000Z;1 like;11
11-6;4real._.mxf;@coco.el6 naja weiß nur das sie geköpft oder wie heißt wurde;2022-02-14T21:24:18.000Z;0;11
11-7;coco.el6;@4real._.mxr na Hauptsache das nh...Als wenn da nicht mehr wäre...;2022-02-14T21:33:10.000Z;1 like;11
