Link: ;https://www.instagram.com/p/CZeA_34MKb3/
Id/Reply-Id;User;Comment;Date;Likes;Reply To CommentId
1;mome_de_fruil;Wie sähe wohl die Welt aus in der es Frieden in der Stadt gäbe, die du unter dem Namen Stalino kennst?😢;2022-02-20T13:53:10.000Z;0;-
2;micky.peachick;Ein Glück! Wie konnte Fritz denn gerettet werden?;2022-02-03T20:17:30.000Z;1 like;-
3;bobbybear999;Ein großartiges Projekt. Mit Angst lese ich die kommenden drei Wochen weiter. 🥲;2022-02-03T00:41:34.000Z;1 like;-
4;easynina;Etwas Süsses wäre gut;2022-02-02T22:05:15.000Z;0;-
5;netterholger;Verpflegung, Getränke, warmer Tee, eine Dusche, neue saubere Anziehsachen;2022-02-02T21:57:39.000Z;0;-
6;pumpkinqueen27;Liebe Sophie, ich muss jetzt Mal sagen, wie toll dein Kleid ist!!😍😍 Selbst genäht?;2022-02-02T17:00:54.000Z;0;-
7;lyd.ia_lue;Ich hätte ihm vielleicht einen Brief und einen getragenen Schal oder so geschickt. Klingt albern, aber den Geruch von einem Geliebten Menschen bei sich zu haben kann gegen Heimweh und Kummer helfen.;2022-02-02T17:00:27.000Z;1 like;-
8;judoananas99;Socken;2022-02-02T16:45:19.000Z;0;-
9;gwen_gloeckchen;Liebe Sophie! Ich bin sooooo froh, dass dein Fritz gerettet ist! 🥲😌😁 Wenigstens einer, der heim kommt! Was ein Glück! 🍀 Wenn du ihm ein Foto von dir schicken magst freut er sich ganz bestimmt! Vielleicht auch ein Foto von euch beiden?! 💕 Oder einen selbst gestrickten Schal von dir?🎁🧣 Liebe Grüße an alle Blütenblätter der weißen Rose!;2022-02-02T16:01:28.000Z;2 likes;-
10;sebfischer2;Warme Kleidung.;2022-02-02T15:47:35.000Z;0;-
11;hasemaus1973;Ich freu mich sehr für euch. Dein Fritz würde sich bestimmt über etwas persönliches von dir freuen. Ein Brief, ein gemaltes Bild und/oder ein Foto.;2022-02-02T15:22:44.000Z;0;-
12;ulrikeruest;Meine liebe Sophie, ich freue mich so sehr für dich❤️ und mach dir nicht so viele Gedanken darüber, was du ihm schicken könntest. Für ihn ist es das wertvollste das du an ihn denkst und dazu reicht auch ein liebevoll geschriebener Breif mit einem schönen Gedicht;2022-02-02T15:02:41.000Z;0;-
13;kubinetz;Nivea Creme ist immer gut;2022-02-02T14:06:59.000Z;2 likes;-
14;anjamuller565;Seife, warme Kleidung wie einen Schal oder Socken , einen Brief und eine schöne Zeichnung? Essen hält sich wahrscheinlich nicht gut und Kaffee dürfte schwer zu bekommen sein.;2022-02-02T14:00:34.000Z;0;-
