Link: ;https://www.instagram.com/p/CZb4EyhMkjZ/
Id/Reply-Id;User;Comment;Date;Likes;Reply To CommentId
1;la.all;Peinlich die echte Würde sich 5x im Grab umdrehen 🤮🤮🤮;2022-03-04T19:21:19.000Z;5 likes;-
2;action_rozay;Das ist so unangebracht und gehört gelöscht;2022-02-28T08:14:13.000Z;4 likes;-
3;jah_natty_nono;Was für ein pervertiertes Bild von Sophie Scholl. Wie kommt man als seriöser Sender auf so eine marktmasche. Grauenhaft.;2022-02-24T16:45:36.000Z;3 likes;-
4;temotiontattoo;Abfaaaahrt! ✈️ nix geht über stabile panzerschokolade 🍫;2022-02-22T23:00:47.000Z;0;-
5;ohhhhhh_johnny;Ist es das nicht wert? Ich weiß nicht. Kurze Produktivität steigern für ne handfeste Sucht nach Meth. Ist das hier noch Bildungsauftrag oder sollte man das schon als Werbeanzeige markieren müssen? Frage für meinen Meth-Dealer;2022-02-21T14:39:11.000Z;1 like;-
6;__michel.sb__;Es ist schlimm was die Menschen heutzutage alles nehmen😢;2022-02-21T07:33:01.000Z;0;-
7;_louis_stoleyourbxtch_;Junkie 🤦🏽;2022-02-21T07:29:59.000Z;5 likes;-
8;shligunkel;erstmal auf ne bubbel;2022-02-21T00:06:24.000Z;0;-
9;zwei42vierzigein81achtzig;Richtig geil swr und br 👏👏👏 glorifikation von Amphetaminen 😂😂😂 und für so ein Schwachsinn soll ich gez zahlen??? Und wenn ich es nicht bezahle komme ich in den knast??? Ich fühle mich wie... ähmm... ich lasse das...;2022-02-20T19:22:17.000Z;1 like;-
10;klebertreter341;Erstmal schön auf Meth Party machen;2022-02-19T15:46:53.000Z;0;-
11;k.e.albayrak;was für scheiß respektlose posts sind das;2022-02-19T14:29:22.000Z;1 like;-
12;nicoharam;und wo ist der link?;2022-02-19T13:09:22.000Z;0;-
13;christian_hartn_offical;Drogen verherrlichen und Dummheit ist das selbe. oh Gott fickt euch mit eurer Propaganda. Ich krieg nen Föhn wenn ich so einen Mist lese! Natürlich, um sich gegen das dritte Reich aufzulehnen bedarf es Pervitin. Als ob die perversen Ideologien des dritten reiches nicht reichen um dagegen zu demonstrieren. Nein es bedarf Methamphetamin um gegen die Kraken Ideologien des dritten reiches zu sein! Na klar nur drogensüchtig können dagegen sein, alle anderen machen „den Trend mit.“ fickt euch und nein eure Nazi Propaganda! #ichbinsophiescholl #ihrseitsodumm #fcknazis #fuckoff #fcknzs #fckafd;2022-02-19T02:23:57.000Z;0;-
14;michaela_hanauer;Was für ein erschreckend verharmlosender Name für so eine Droge!;2022-02-08T12:16:13.000Z;1 like;-
15;jpsebastian;Gute Aktion. 10k+ likes gegenüber den früheren Posts. Finde ich gut, dass ihr krasse Themen ansprecht und keine Vorbehalte habt, historische Tatsachen zu nutzen, um Aufmerksamkeit zu erregen. Alles, was die Geschwister Scholl Gesprächsthema bleiben lässt, ist willkommen. Auch Respekt für das kluge Handling der kritischen Kommentare.;2022-02-05T05:40:10.000Z;0;-
16;andreas.steinhoefer;Dega Sophie schon wieder übel druff mach mal langsam, so ist dein Körper ne;2022-02-04T15:21:02.000Z;0;-
17;_yung.eu_;Wenn man sich mal vor Augen führt wie weit verbreitet Pervitin damals war. Luftwaffe, Heer, selbst im Haushalt für die Hausfrauen in Form von Pralinen.;2022-02-04T13:44:22.000Z;0;-
18;_applebanger_;"Das ist schon heftig... Aber ihr seid erwachsen, und euch der Risiken bewusst, gerade als Medizinstudenten. Kann und will euer Verhalten nicht verurteilen, denn ich kenne auch Menschen, die ihre Stressphasen nicht ohne die Drogen Alkohol oder Nicotin durchstehen können. Oder in anderen Fällen auch nur ihren Alltag. Das ist auch schädlich, aber es ihre eigene Verantwortung. Die Belastung, unter der IHR steht, ist auch noch unverhältnismäßig höher, ihr wusstet ja, dass ihr in Lebensgefahr schwebt und euch keine Fehler erlauben durftet. ""Panzerschokolade""... wieder ein interessantes Detail gelernt.";2022-02-04T10:54:41.000Z;0;-
19;j3_rome;Absolut unangemessener Post;2022-02-04T09:16:47.000Z;16 likes;-
20;jefhod;Danke für die deutsche Übung auf Netflix. Du bist die beste. :,);2022-02-04T09:05:55.000Z;0;-
21;hawalabanking24;Bisschen über Ziel hinausgeschossen oder?;2022-02-04T07:48:53.000Z;8 likes;-
22;hawalabanking24;Was ist das hier wie kann das sein?!🤯;2022-02-04T04:14:08.000Z;8 likes;-
23;notsokute;Ist das euer scheiss Ernst?;2022-02-03T23:37:41.000Z;6 likes;-
24;postdeutsche.memes;Wie man eine historische Figur so trivialisieren kann - mal davon abgesehen, dass Sophie Scholl nicht die Musterwiderstandskämpferin war - das geht wieder nur bei deutschen Internetformaten. Chapeau für diesen Beitrag 😖;2022-02-03T22:59:49.000Z;74 likes;-
25;ankame.am;Es wäre sicherlich möglich anders über Drogen aufzuklären, anstatt nach einer langen Liste positiver Aspekte zu erwähnen, dass es Nebenwirkungen haben kann. Mit dem Zeug haben sich die Wehrmachtssoldaten auch enthemmt und in die geistige Lage versetzt, die grausamsten Kriegsverbrechen zu begehen, sollte man nicht vergessen. Arbeitet ihr im Marketing für Meth-Dealer?;2022-02-03T22:23:18.000Z;19 likes;-
26;derskobi;@denisk91_;2022-02-03T21:05:03.000Z;1 like;-
27;nico.hertz;merkt ihr noch was??;2022-02-03T19:12:47.000Z;1 like;-
28;andreakoenigsmann;Ich kann Eure Motivation so gut verstehen, aber das ist beängstigend... Und trotzdem finde ich es wichtig, dass auch diese Aspekte angesprochen und gezeigt werden...;2022-02-03T17:40:45.000Z;0;-
29;lexy.kon;@opajott @somachensalle Das Pervitin ist mal wieder in aller Munde 😲;2022-02-03T17:30:12.000Z;2 likes;-
30;casestudiesinhypocrisy;Nie Nie Nie Wieder Deutschland!;2022-02-03T16:01:30.000Z;4 likes;-
31;lowersaxonyrockers;Da hat temmler wirklich feines Zeug hergestellt;2022-02-03T15:49:50.000Z;0;-
32;cara157;@steffi_gutacker;2022-02-03T11:09:30.000Z;1 like;-
33;missbuffy12;😮;2022-02-03T09:13:43.000Z;0;-
34;papabear_actual;Das soll in keinster Weise eine Entschuldigung oder gar Rechtfertigung sein, jedoch sollte bei Fragen wie „Wie konnte die Gesellschaft das einfach so mitmachen?“ bedacht werden, dass ab einem bestimmten Punkt ein relevantes Konsumverhalten in sämtlichen Bereichen gegeben war und Pervitin eine enthemmende Wirkung hat. Nochmal in aller Klarheit: das soll niemanden entschuldigen oder die Gräueltaten in Weltkrieg und Holocaust relativieren.;2022-02-02T22:48:57.000Z;0;-
35;shiraz.maysum;Du solltest unbedingt noch mehr nehmen, damit du noch schneller und effektiver gegen die Kriegsmaschinerie arbeiten kannst. Darum geht es doch, oder? 💯👊🏽;2022-02-02T22:31:51.000Z;0;-
36;andy.henriksson;Wo gibt's das zu kaufen ?;2022-02-02T22:04:18.000Z;0;-
37;mountainhiking20;Nein, das damalige Medikament 💊 „Panzerschokolade“ (heute als Droge bekannt) sollte man nicht einnehmen um effizienter arbeiten zu können. ☝️;2022-02-02T20:11:10.000Z;0;-
38;michistela;Baldigst damit aufhören und besser mit Zucker wach halten. Hat weitaus mildere Auswirkungen;2022-02-02T19:14:58.000Z;0;-
39;dory1703;Nein das ist es nicht wert!;2022-02-02T18:55:16.000Z;0;-
40;is123is456gehtesab;sehr unrealistischer/ahistorischer Post. Methamphetamin war ab 1941 schon als BTM klassifiziert. War Sophie Scholls Konsum belegt??;2022-02-02T18:25:07.000Z;2 likes;-
41;bilgili.uretmen_official;Voll auf Amphetamine... War das denn auch wirklich so mit ihr oder ist das fiktiv?;2022-02-02T18:11:20.000Z;0;-
42;enila_1703;"Waren das famals ""legale"" Drogen?";2022-02-02T16:28:09.000Z;0;-
43;alek.bley;Kann an im Zweifelsfall auch zerbröseln und durch die Nase Schnupfen. Nebenwirkungen sind halb so wild.;2022-02-02T15:00:50.000Z;0;-
44;czudemq;bisschen meth zum wach werden;2022-02-02T14:58:36.000Z;0;-
45;breakingbad82;Ich habe ein wenig Angst vor dem 22.2., bin gespannt, wie es umgesetzt wird.;2022-02-02T14:31:21.000Z;0;-
46;jessejonkman;For anyone wondering about contemporary usage: on pretty much all sides of the Syrian civil war there's massive consumption of Captagon, a similar methamphetamine that basically fueled ISIS.;2022-02-02T13:27:30.000Z;0;-
47;georgdus;@ichbinsophiescholl Ich überlege gerade, zeitgleich mit Euch Euer nächstes Flugblatt in vielen Briefkästen in Neu-Ulm zu verteilen. Heute mit dieser großen Community können wir Euer Flugblatt ganz breit streuen. Was meinst Du zu dieser Idee? An alle: wer macht mit?;2022-02-02T11:03:56.000Z;0;-
48;buecherjunge_dd;Das Zeig haben bis in die Fünfziger Jahre auch Bergsteiger genommen. Gerade bei den Erstbesteigungen verschiedener Achttausender im Himalaya.;2022-02-02T10:29:07.000Z;0;-
49;buecherjunge_dd;Es gab auf der Gegenseite auch sogenannte „Fliegerschokolade“ in der Pervitin aber wirklich in der Schokolade war…;2022-02-02T09:21:11.000Z;0;-
50;chiemgauperle;Liebe Sophie, nimm bitte nicht soviel davon. Ansonsten alles gute und mach weiter so.;2022-02-02T09:05:15.000Z;1 like;-
51;j_k_remer;Weiterhin ein tolles Projekt das seinesgleichen sucht! Mich würde interessieren wo wir zeitlich gerade sind, bzw. wann es auf den (traurige) Höhepunkt der Geschichte zugehen wird (also in realer Zeit).;2022-02-02T08:56:34.000Z;10 likes;-
52;steffeto73;@ard hier werden wohl Drogen in anderen Zusammenhängen thematisiert. Die Diskussion läuft euch aus dem Ruder....;2022-02-01T23:38:48.000Z;1 like;-
53;dominikbleil;Muss man das thematisieren?! Drogen?;2022-02-01T22:49:57.000Z;0;-
54;nochmal.papa;Also so ganz sind diese Mittel nicht aus der Mode - die Amerikaner haben in den Irakkriegen ihre Piloten und andere Soldaten damit gepusht. Heute verschreiben wir es an Kinder mit ADHS- aber wer bin um mir ein Urteil zu bilden.;2022-02-01T22:45:53.000Z;6 likes;-
55;netterholger;Wofür ist die Pille Sophie? Gegen Angst?;2022-02-01T22:44:46.000Z;0;-
56;lena.aurnhammer2020;Woher hast du denn das her?;2022-02-01T22:05:51.000Z;0;-
57;katie_von_vengerberg;Ich musste nachschlagen was panzerschokolade ist. Ich finde es erschreckend wie leicht man früher an Drogen gekommen ist. Und dass das als Heilmittel verkauft wurde.;2022-02-01T22:04:25.000Z;0;-
58;fishyks2010;Yep und es hat gewirkt. Mein Opa hat mit dem Zeug am Frankreich Feldzug mit gemacht und tagelang nicht geschlafen.;2022-02-01T21:41:38.000Z;0;-
59;susanne_eichhammer;Nein!!! Bitte nicht!!!;2022-02-01T21:33:08.000Z;0;-
60;aleoma2000;Du warst drogensüchtig?;2022-02-01T21:11:44.000Z;0;-
61;moebius_86;Ok, heute haben Sie mit diesem Account und Ihrer Herangehensweise, die ich bewundernswert finde, endgültig das Niveau von Instagram verlassen. Dieser Post schafft Verantwortung, aber die haben Sie von Anfang an übernommen. Das Projekt ist in diesen Zeiten im Wert kaum zu hoch einzuschätzen!;2022-02-01T21:08:27.000Z;2 likes;-
62;hamburger_krawall_deern_666;Die Sache für die du kämpfst ist es wert,aber nicht deine Gesundheit;2022-02-01T21:01:41.000Z;0;-
63;clemenskropp;Heroin hat man bei Husten zu der Zeit auch aus der Apotheke bekommen.;2022-02-01T20:57:59.000Z;0;-
64;gibsn06;"Wo bekommt man das🙂
Für ein Schulprojekt versteht sich";2022-02-01T20:43:39.000Z;0;-
65;katrinelstermeier;Viele Soldaten die Pervitin konsumiert haben sind nach dem Krieg an den Spätfolgen gestorben. Es sollte die Soldaten aufputschen und anheizen. Grausam.;2022-02-01T20:40:22.000Z;0;-
66;teachers4future9;Ich denke an dich, liebe @ichbinsophiescholl - bitte passt auf euch auf;2022-02-01T20:39:28.000Z;6 likes;-
67;rwz21;@tabeafak @isabelle.mai glaube, dass interessiert euch auch;2022-02-01T20:28:26.000Z;2 likes;-
68;jmaeier;Danach ab auf den Rave, erst mal absteppen 😂;2022-02-01T20:22:20.000Z;0;-
69;christoph.frdr93;Klinisch hergestelltes Methamphetamin.;2022-02-01T20:21:14.000Z;0;-
70;klrbyyy;Nein Sophie, das ist es nicht wert! Pass bitte auf dich auf und hör auf deinen Körper! ❤️;2022-02-01T20:15:41.000Z;1 like;-
71;thekaththatneverheals;Aber wenn ich auf insta poste dass ich auf speed bin, werd ich heisl genannt 🤔;2022-02-01T20:03:35.000Z;1 like;-
72;susikauslue;Schrecklich wenn ihr zu Drogen greifen müsst damit ihr diesen Wahnsinn aushaltet.;2022-02-01T19:47:55.000Z;0;-
73;bettine1960;Liebe Sophie, war gestern nicht Christoph bei euch und hat mit euch die Geburt seiner kleinen Tochter Katharina gefeiert? Hast du mitbekommen, dass er deinem Bruder ein Blatt Papier gegeben hat? Wenn ihr nun dieses Pervitin nehmt, dann denkt bitte daran, dass es euch nicht nur wach, sondern auch leichtsinnig und unüberlegt machen kann. Es geht ja nicht nur um euch. Hans hat mit Christophs Schreiben eine große Verantwortung übernommen.;2022-02-01T19:41:31.000Z;5 likes;-
74;oscarthepalm;Dieser Historychannel ballert Meth holy shit.;2022-02-01T19:41:29.000Z;1 like;-
75;christinemayr21;Wo hast Du die denn her bekommen?;2022-02-01T19:41:17.000Z;0;-
76;mimifutzi;Ich bin wirklich immer aufs Neue begeistert von diesem Kanal! Die Geschichte von der Weißen Rose ist sicher Vielen hier bekannt, aber die kleinen, jedoch feinen Infos aus den Zeitzeugenberichten und Tagebüchern sind wirklich hochinteressant!! 👏 Ich möchte gar nicht an die nächsten 3 Wochen denken... Chapeau! Für Eure Arbeit hier ❤️;2022-02-01T19:40:41.000Z;2 likes;-
77;nopxlsemaddox;Du nimmst percs?;2022-02-01T19:01:11.000Z;0;-
78;baersimoto;Lass es dir schmecken. 🍫;2022-02-01T18:42:51.000Z;0;-
79;istnichtwahr2020;Nein! Das ist es nicht!;2022-02-01T18:41:59.000Z;0;-
80;anajedob;"Sehr empfehlenswert zum Thema Pervitin ist der Roman ""Unter der Drachenwand"" von Arno Geiger.";2022-02-01T18:35:18.000Z;0;-
81;pet2737;Pass auf dich auf;2022-02-01T18:31:28.000Z;1 like;-
82;arni_nullsiebenelf;Pervitin in Prüfungsphase 🙄;2022-02-01T18:14:45.000Z;0;-
83;paperphilo;Warum solltet ihr Drogen brauchen?;2022-02-01T18:02:41.000Z;0;-
84;jan.hubrich;So häufig vergessen! Danke, dass ihr das auch mal dargestellt habt!!! ❤️❤️❤️ @ichbinsophiescholl;2022-02-01T17:41:52.000Z;0;-
85;fruehstuecksmuesli;Gab es eigentlich ein Mindestalter für Panzerschokolade oder wurde das auch Kindern gegeben? 🤔😔;2022-02-01T17:40:13.000Z;2 likes;-
86;juliesteinberg;Hier ist meine GEZ Gebühr mal richtig gut investiert.;2022-02-01T17:36:06.000Z;3 likes;-
87;beemaja4u;👎👎👎;2022-02-01T17:35:15.000Z;0;-
88;roggejaqueline;Ich fühle mich jetzt ein bisschen dumm, ich hab immer gedacht das wäre richtige Schokoladen Stückchen in denen das Medikament eingearbeitet wurde 😂;2022-02-01T17:33:42.000Z;3 likes;-
89;wondertonk52;Nein! Das ist es nicht wert!😑;2022-02-01T17:30:41.000Z;0;-
90;timbo.laenzen;Milka?;2022-02-01T17:24:25.000Z;1 like;-
91;ulrikemunner;Nein,niemals ist es das wert.Nie,nich abhängig machen.;2022-02-01T17:22:58.000Z;1 like;-
92;greater_gabbard;Ich muss der Redaktion ja mal wieder ein ganz grosses Lob aussprechen. Immer wenn man denkt, man weiss schon fast alles über die Geschwister Scholl, packt ihr wieder eine neue Facette drauf. Das Sophie unter Medikamenten Einfluss gearbeitet hat, erklärt vielleicht die erhöhte Risikobereitschaft und den tödlichen Leichtsinn.;2022-02-01T17:19:25.000Z;13 likes;-
93;photography_by_ben21;@ichbinsophiescholl 😱😱😵Bei aller Liebe. Das geht garnicht. Bin echt schockiert, was man so alles erfährt über Sophie Scholl.;2022-02-01T17:18:28.000Z;1 like;-
94;milou_et_nous;🙌;2022-02-01T17:13:15.000Z;0;-
95;anras71;…;2022-02-01T17:06:44.000Z;0;-
96;mysterious_flower_art;Das ist so traurig, wenn man weiß, was bevorsteht...;2022-02-01T16:59:23.000Z;1 like;-
97;myri.ell.e;Wenn so getan wird als ob es ein Kanal ist der damals aktiv war, dann finde ich den Kommentar „nicht nochmal nehmen“ völlig ok. Es kann ja auch abgestimmt werden auf diesem Kanal. Es kann nicht mehr beeinflusst werden ist klar. Aber es wird einem das Gefühl vermittelt etwas bewirken zu können oder Teil von etwas zu sein. Und das finde ich gut.;2022-02-01T16:53:10.000Z;3 likes;-
98;theresahenkes;Bitte pass auf dich auf! Das kann keine Lösung sein😮;2022-02-01T16:50:13.000Z;0;-
99;stocki_2018;Woher habt ihr die „Panzerschokolade“ bekommen? Zu dieser Zeit war das Mittel doch nicht mehr frei zu bekommen, oder?;2022-02-01T16:46:59.000Z;0;-
100;holtegele;Heute heisst Christal Meth . Ein ganz fieses Zeug . Sei vorsichtig .;2022-02-01T16:45:51.000Z;1 like;-
101;nika_in_the_flow;Wao toll was ihr alles thematisiert!;2022-02-01T16:43:10.000Z;0;-
102;rot5555555;Entsetzlich, dass Soldaten ihre eigene Gesundheit auf diese Weise aufs Spiel setzten. Noch dazu für die schrecklichen Ziele Dritter. Ich finde auch nicht, dass andere Zwecke die Einnahme von Panzerschokolade rechtfertigen.;2022-02-01T16:40:40.000Z;0;-
103;changed.by.popular.demand;"„Der 22 Jahre alte Hein schrieb in einem Brief aus dem besetzten Polen am 9. November 1939 an seine Familie in Köln: „Der Dienst ist stramm, und Ihr müsst verstehen, wenn ich späterhin Euch nur alle zwei bis vier Tage schreibe. Heute schreibe ich hauptsächlich um Pervitin...Euer Hein.“

„Hein“ wurde später ein weltbekannter Schriftsteller. Der junge Frontsoldat war Heinrich Böll, Literaturnobelpreisträger von 1972. Das Mittel „Pervitin“, um das er eindringlich bat: ein jetzt illegales Methamphetamin, chemische Bezeichnung N-Methylamphetamin, firmiert aber heutzutage eher unter dem Namen Crystal Meth, Ice oder Crystal-Speed.“

https://www.faz.net/aktuell/gesellschaft/gesundheit/die-karriere-des-crystal-meth-14113009.html";2022-02-01T16:33:28.000Z;10 likes;-
104;christine.binggeli;😢ist eine belastende Zeit für alle .....bewundere den Mut, die innere Kraft von Sophie.....und der aktiven Mitglieder der weißen Rose;2022-02-01T16:32:11.000Z;2 likes;-
105;geschichten_aus_dem_wildgarten;Näääh Sophie. Lass ma bleiben.;2022-02-01T16:28:15.000Z;1 like;-
106;anabyinsta;Finger weg von dem Zeug! Das Gefährlich! Das kann dich körperlich und geistig abhängig machen!;2022-02-01T16:22:19.000Z;52 likes;-
107;marioviertel;Drogen machen leichtsinnig;2022-02-01T16:20:12.000Z;0;-
108;gwen_gloeckchen;Liebe Sophie! Bitte nimm die Panzerschokolade nicht mehr! Ich kenne diese Dinge von LSD! 😢😱 Pass auf dich auf, mit einer Vergiftung wars das mit den Flugblättern... ☹📃📃📃📃📃;2022-02-01T16:14:28.000Z;3 likes;-
109;mariannehannemann;😢;2022-02-01T16:12:47.000Z;0;-
110;jawiesodasdenn;Und wir bewegen uns mit riesigen Schritten auf das Ende zu.....;2022-02-01T16:01:48.000Z;1 like;-
111;fs12093;Heute weiß ja eh keiner wie alt er wird. Man könnte morgen tot sein, also lieber die Zeit intensiv nutzen, die man hat.;2022-02-01T16:01:11.000Z;1 like;-
112;ton_sarkasm;Walter white gefällt das;2022-02-01T15:57:18.000Z;1 like;-
113;si.mo_ne;Was genau war/ ist denn Panzerschokolade??;2022-02-01T15:40:42.000Z;7 likes;-
114;josinepouwels;Ich hoffe gerade dat Hans und Sophie die Pervetin im Gefängnis hatten damit ihre Angst gedämft war. Furchte aber das das nicht der Fall war;2022-02-01T15:40:03.000Z;0;-
115;oberkantelberg;Eure Gruppe fliegt eh bald auf, von daher haut raus, was ihr an Kraft noch habt und arbeitet, was ihr könnt. Das lange, gesunde Alter wird euch leider nicht beschieden sein und dann sind die Langzeitfolgen der Drogen auch egal...;2022-02-01T15:32:11.000Z;1 like;-
116;anditaglieber;"""Pervertin"" würde in diesem Fall besser passen, als ""Pervitin"". Harte Drogen euphemistisch als ""Panzerschokolade"" zu bezeichnen und an Soldaten zu verteilen, damit sie besser funktionieren, ist schon ziemlich pervers.";2022-02-01T15:29:45.000Z;1 like;-
117;anjamuller565;Mach bitte trotzdem Pause!! Schlaf Dich aus. ❤️;2022-02-01T15:26:53.000Z;0;-
118;nina.weishaupt;Gibt es Studien zu Langzeitfolgen bei Soldaten, die während des zweiten Weltkrieges Pervitin eingenommen haben?;2022-02-01T15:24:37.000Z;7 likes;-
119;marikokurama;Und was hat die Schauspielerin jetzt wirklich genommen, TeamSoffer? 🙂;2022-02-01T15:21:14.000Z;1 like;-
120;arivide0;Dieser moment, wenn die panzerschokolade kickt, aber der alle flugblätter schon ausgeteilt sind. 😮😳🤯🥴;2022-02-01T15:14:13.000Z;5 likes;-
121;jassu_ella;"Heute besser bekannt als ""Crystal Meth"".";2022-02-01T15:10:52.000Z;1 like;-
122;sylvia.stoehr.sst;Alles furchtbar 😢😢😢;2022-02-01T15:10:47.000Z;0;-
123;kalliteknos;Das ist Crystal Meth und hat zu viele Nebenwirkungen. Finger weg von dem Scheiß. Du brauchst einen klaren Verstand.;2022-02-01T15:10:47.000Z;1 like;-
