Link: ;https://www.instagram.com/p/CRrPiPtsGCj/
Id/Reply-Id;User;Comment;Date;Likes;Reply To CommentId
1;lucksinho;Ganz prima;2021-07-26T15:49:45.000Z;0;-
2;s.sternie;Wie glücklich können wir sein in Friedenszeiten zu leben;2021-07-25T14:15:14.000Z;1 like;-
3;queenofthebottom;"@lea.03_i Informier dich über den Widerstand damals. War es richtig und wichtig, eine Bombe im Führerbunker zu zünden oder Flugblätter zu drucken? Vieles war nur ein Tropfen auf den heißen Stein. Gefordert war eine Zivilgesellschaft, die in großen Teilen aufsteht und das hat damals nicht geklappt. Du bist Teil einer Zivilgesellschaft, egal was du tust ist wichtig wenn es das richtige Signal sendet. Informier dich über Zivilcourage: Wie kannst du sicher helfen, wenn du Zeuge von beispielsweise Diskriminierung wirst. Und du kannst dich in antifaschistischen Gruppen engagieren, viele Parteien, Gewerkschaften, Vereine... haben einen antifaschistischen Grundsatz. Sprich mit deinen Lehrern, ob ihr in Deutsch nicht Sophie Scholl oder Anne Frank lesen könnt oder der nächste Wandertag nicht ein KZ oder ähnliches betreffen kann. Es gibt so vieles was man tun kann - wichtig ist, daß man überhaupt etwas tut. Als ich in deinem Alter war, haben ich und andere jede Pause mit unserem ""Schulnazi"" diskutiert. Das hat nichts gebracht, heute ist er eine Führungsfigur in der Szene. Aber er wusste, dass er an unserer Schule alleine ist mit seiner Meinung und daß er Gegenwind bekommt.";2021-07-25T13:25:35.000Z;1 like;-
4;jonny.banger;Ich dachte ihr seid traurig das die im Krieg eingezogen wurden da freut man sich doch nicht Sophie;2021-07-24T10:49:25.000Z;0;-
5;ines_s_2;❤️;2021-07-24T10:47:30.000Z;1 like;-
6;winterbluete;Seit gestern (?) hängt an besagtem Zaun ein großes Plakat mit dem berühmten Foto und klärt über die historische Bedeutung und die weitere Nutzung auf.;2021-07-24T10:46:59.000Z;0;-
7;narzissus32;Es wäre schön wenn der Zaun als Erinnerungsstätte erhalten bliebe - noch steht er ja wohl - die Zeit hat neulich darüber berichtet.;2021-07-24T10:22:28.000Z;0;-
8;runningkili;Diese Beiträge und dieses Projekt sind sensationell. Danke dafür!;2021-07-24T09:59:30.000Z;0;-
9;nebula.finn;Hallo. Wir haben im Ort wo ich lebe ( Krauchenwies) dieses Kinderheim/ Reichsarbeitsgebäude wo Sophie Scholl längere Zeit gelebt hat.;2021-07-24T08:28:44.000Z;1 like;-
10;nebula.finn;Hallo. Wir haben im Ort wo ich lebe ( Krauchenwies) dieses Kinderheim/ Reichsarbeitsgebäude wo Sophie Scholl längere Zeit gelebt hat.;2021-07-24T08:07:24.000Z;1 like;-
11;buecherjunge_dd;Ich finde die Idee der Zeichnungen sehr schön, das „originale Nachstellen“ ist hier gar nicht nötig. Die Bilder regen zum Weitersuchrn an.;2021-07-24T05:54:32.000Z;0;-
12;buecherjunge_dd;https://www.sonntagsblatt.de/artikel/kultur/der-zaun-vor-dem-das-beruehmteste-foto-der-weissen-rose-entstand-soll-bald-weichen Auf dem Originalbild sind die Männer auch Feldwebel, zumindest Unteroffizier, erkennbar am Kragenrand der Uniform, während Auf dem Foto hier der Alexander Schmorell Soldatenschulterstücke trägt.;2021-07-24T05:48:49.000Z;10 likes;-
13;tramfreak4;Der historische Zaun sollte doch jüngst abgerissen werden. Oder hat das historische Gewissen gesiegt?;2021-07-23T21:53:27.000Z;0;-
14;steffisophie80;"Mein Lieblingsfoto von #sophiescholl 😍 ich verfolge Dich mit solchem Herzblut!! Mein Vater gab mir als zweiten Namen Sophie, wir heißen auch Scholl mit Nachnamen und meine Facharbeit in Geschichte schrieb ich über Sophie Scholl und die Weiße Rose - ich habe Rotz und Wasser geheult bei Deinen Tagebüchern ❤️
Danke, danke, danke für die Teilhabe an Deinen letzten Tagen 😢";2021-07-23T20:52:01.000Z;30 likes;-
15;ohitsdarkoutside;Das geht an die Nieren.;2021-07-23T20:39:12.000Z;1 like;-
16;matneupa;"Wie ein dürrer Sand ist meine Seele, wenn ich zu Dir beten möchte, nichts anderes fühlend als ihre eigene Unfruchtbarkeit. Mein Gott, verwandle Du diesen Boden in eine gute Erde, damit dein Samen nicht umsonst in sie falle, wenigstens lasse auf ihr die Sehnsucht wachsen nach Dir, ihrem Schöpfer, den sie so oft nicht mehr sehen will. Ich bitte Dich von ganzem Herzen, zu Dir rufe ich, „Du“ rufe ich, wenn ich auch nichts von Dir weiß, als dass in Dir allein mein Heil ist, wende Dich nicht von mir, wenn ich Dein Pochen nicht höre, öffne doch mein taubes Herz, mein taubes Herz, gib mir die Unruhe, damit ich hinfinden kann zu einer Ruhe, die lebendig ist in Dir.

(Sophie Scholl, 15. Juli 1942)";2021-07-23T20:35:48.000Z;6 likes;-
17;so.lebt.frau.schroeder;Dieser Account müsste von allen Geschichtslehrern Deutschland verfolgt werden und vor allem deren Schülern👏 Es ist unsere verdammte Pflicht, aus der Vergangenheit zu lernen und unsere nachfolgende Generation aufzuklären‼️;2021-07-23T20:09:25.000Z;18 likes;-
18;andersanni;😢;2021-07-23T19:14:34.000Z;2 likes;-
19;netratz;🔥❤️;2021-07-23T19:07:52.000Z;2 likes;-
20;sonjasetout;Hach, ich hatte ja etwas gehofft ihr hättet dieses Bild mit dem Cast nachgestellt. :) Nichtsdestotrotz ein großartiges Projekt! Bin auf Willi Graf gespannt! Ich hatte das große Glück seine Schwester Anneliese mehrere Male treffen und mit ihr Zeit verbringen zu können. Sicherlich taucht sie nicht bei euch auf. Sie war in die Aktionen der Weißen Rose nicht involviert. Herzlichen Dank für eure Arbeit! Weiter so! ❤️;2021-07-23T18:02:51.000Z;4 likes;-
21;humans_sucks_;Vielleicht ist das jetzt etwas unpassend, aber mein Großvater der im selben Alter wie Sophie (*19.05.1921) war, wurde während des Krieges als junger Wehrpflichtiger, ebenfalls hauptsächlich an der Ostfront eingesetzt, und wenn ich hier die ganzen Geschichten über Hans, Alex oder auch Fritz lese, hat man schon ein wenig das Gefühl, sich in seine damalige Situation ein wenig besser hinein denken zu können, da das Projekt mitunter auch wahre Fallbeispiele aufzeigt, wie junge Menschen diese Zeit damals erlebt haben.;2021-07-23T18:00:48.000Z;54 likes;-
22;annie_henning_bayern;Kommt jetzt auch Willi Graf?;2021-07-23T17:39:48.000Z;2 likes;-
23;annie_henning_bayern;Das Bild meinte ich;2021-07-23T17:38:25.000Z;0;-
24;coco_14juli;Respekt für dieses Projekt! Ich würde aber auch gerne jeweils die Originalaufnahmen dazu sehen. Das würde den Account abrunden. Vielen Dank!;2021-07-23T17:17:23.000Z;11 likes;-
25;susanne_k_aeferchen;👏👏;2021-07-23T17:09:06.000Z;2 likes;-
26;schwarzdu;Ich möchte das nie erleben müssen und kämpfe mit aller meiner demokratischen Macht für eine Welt ohne Krieg und gegen Menschenfeindlichkeit. Als Mutter als Frau und als Mensch 🔥#reinhardmay #meinesöhnegebichnicht;2021-07-23T17:03:35.000Z;10 likes;-
27;nlmuc87;Das ist ein schönes Bild. Vielleicht steht bald ein Stück des Zaunes in Neuhausen. :) https://www.abendzeitung-muenchen.de/muenchen/ein-zaun-stueck-als-neuer-weisse-rose-gedenkort-art-717918;2021-07-23T17:02:26.000Z;5 likes;-
28;katharina.helling;"An diesem Tag verließ auch der Transport II/19 mit 50 Jüd*innen München Richtung Theresienstadt.
Von den insgesamt 50 Personen dieser Deportation überlebten 16 die Shoah.
Die Waggons mit Deportierten waren oft an reguläre Züge der Reichsbahn angehängt. So z. B. auch an Züge, die Soldaten der Wehrmacht zur Ostfront transportierte.
Kam es auf der Reise zu Bombenangriffen der Alliierten, blieben die Züge während des Fliegeralarms an den Bahnhöfen stehen und die Passagiere konnten sich in Schutzräume begeben; nicht aber die Deportierten, die in ihren Waggons eingesperrt blieben.
Die systematischen Deportationen aus Deutschland begannen im Herbst 1941 und waren größtenteils im Frühjahr 1943 abgeschlossen. Zielgebiete waren die von der Wehrmacht eroberten Gebiete östlich der Reichsgrenze bestimmt.
Auf Grund des „nicht nur vorübergehenden Aufenthalts im Ausland“ ging ggf vorhandenes Vermögen an den Staat.

Die Namen der Deportierten, teilweise mit weiteren Informationen zu deren Biographien können hier nachgelesen werden:

https://gedenkbuch.muenchen.de/
(Über die Sidebar von der Startseite: Verfolgungsgeschichte -> Deportationen)";2021-07-23T17:01:53.000Z;77 likes;-
29;hauptstadtlady50;Ich drücke die Daumen 🤞, dass es bei den 2,5 Monaten bleibt und ihr euch gesund wieder seht.;2021-07-23T16:48:21.000Z;4 likes;-
30;jasmschu;Müssen Hans und Alex dort das Praktikum machen und sozusagen verwundete Soldaten versorgen oder müssen sie kämpfen an der Ostfront? Ich hoffe, dass den beiden nichts passiert ..;2021-07-23T16:47:52.000Z;5 likes;-
31;marisolvintagehist;I love this!!!;2021-07-23T16:44:23.000Z;2 likes;-
32;foolondah_ill;digga nehmt doch wenigstens nen echten pinsel in die hand;2021-07-23T16:40:39.000Z;2 likes;-
33;lea.03_i;Sophie, wie wusstest du was zu tun ist um etwas zu verändern? Momentan sind wieder Ähnliche Themen im Mittelpunkt und ich weiß nicht was ich tun soll. Ich bin erst 14 und kann daher nicht viel ändern und helfen doch ich fühle mich schuldig nichts zu tun. Kannst du mir ein Rat geben?;2021-07-23T16:36:50.000Z;59 likes;-
34;missaenna;Als Medizinstudentin muss ich auch heute Famulaturen ableisten. Ich bin sehr froh, dass ich mir den Ort aussuchen darf und nicht gezwungen werde an eine Front zu fahren. Die Eindrücke dort bekommt man bestimmt nie wieder aus dem Gedächtnis raus.;2021-07-23T16:35:15.000Z;35 likes;-
35;lea.03_i;Ich hoffe auch, dass ihnen nichts passiert.;2021-07-23T16:34:47.000Z;6 likes;-
36;serafinaelora;Swing;2021-07-23T16:19:19.000Z;3 likes;-
37;julio_carl1310;Heißt es nicht Feldwebeln?;2021-07-23T16:09:25.000Z;6 likes;-
38;ulrikemunner;Ich wünsche Dir viel Kraft,für alles was noch kommt.;2021-07-23T16:07:06.000Z;7 likes;-
39;robodoer;Der Zaun steht noch heute in München https://www.instagram.com/p/CDWEcv8JC58/?utm_medium=copy_link;2021-07-23T16:05:05.000Z;27 likes;-
40;ichbinsophiescholl;#TeamSoffer Die von Édith Carron gefertigte Illustration basiert auf dem weltberühmten Foto, das die Mitglieder der Weißen Rose und andere Mitglieder der Studentenkompanie am 23. Juli 1942 bei ihrer Verabschiedung am Ostbahnhof zeigt. Das Foto wurde von Jürgen Wittenstein aufgenommen, der ebenfalls Medizin studierte und ein gemeinsamer Freund der Gruppe war. Die Originalaufnahme zeigt Hubert Furtwängler, Hans Scholl, Raimund Samüller, Alexander Schmorell und Sophie Scholl, die Illustration wurde jedoch an die aus unserem Projekt bisher bekannten Charaktere und Mitglieder der Weißen Rose angepasst. Traute Lafrenz begleitete die Freunde an diesem Tag nicht zum Ostbahnhof. Christoph Probst war zwar am Ostbahnhof, jedoch nicht auf dem Gruppenfoto zu sehen.⁠;2021-07-23T16:03:39.000Z;443 likes;-
