Link: ;https://www.instagram.com/p/CRMBOL1IpYA/
Id/Reply-Id;User;Comment;Date;Likes;Reply To CommentId
1;markus_gschwind;"Danke für die Zusammenfassung.
Ist das “Was zu sagen hätte ich” ein in einem entsprechenden Kontext belegtes Originalzitat oder eine moderne Rückprojektion?";2021-07-13T07:18:09.000Z;2 likes;-
2;ines_s_2;💓;2021-07-12T10:48:24.000Z;0;-
3;insa_regenberg;😢😢😢😢😢;2021-07-12T10:41:57.000Z;0;-
4;insa_regenberg;😂🔥;2021-07-12T10:41:38.000Z;1 like;-
5;jenny.about;Ich glaub an dich, das machst du💪🏻🥰;2021-07-11T17:11:00.000Z;4 likes;-
6;anjamuller565;Du hast soviel zu sagen und wirst soviele Menschen erreichen !!!;2021-07-11T16:37:43.000Z;2 likes;-
7;sven.meyer.33483;Super Aktion, danke dafür 🤗;2021-07-11T16:11:27.000Z;5 likes;-
8;mchen_12345;👏🔥🔥;2021-07-11T16:00:22.000Z;3 likes;-
9;netratz;🔥❤️;2021-07-11T15:03:13.000Z;5 likes;-
10;_yoga_tanz;Nachdenken ist immer gut.;2021-07-11T14:18:47.000Z;4 likes;-
11;heikerahls;Manchmal ist es besser einen Brief nicht abzuschicken denn es hätte Fritz Sorgen bereitet und ihn vielleicht abgelenkt sich selbst in diesem Irrsinn zu schützen ❤️🌈🕊;2021-07-11T13:52:30.000Z;8 likes;-
12;lachstulle;Du hast ein Gesicht wie ein Engel;2021-07-11T13:36:53.000Z;3 likes;-
13;hauptstadtlady50;Danke 🙏 für die Zusammenfassung dieser Woche liebe Sophie. Ich wünsche dir Kraft und Gelassenheit 🙋‍♀️🌞😍.;2021-07-11T13:29:45.000Z;12 likes;-
14;marceldomeier;🙏🏻🕊;2021-07-11T13:25:51.000Z;6 likes;-
15;ami.hsk;Vielleicht fragen sich einige was das nun mit diesem Beitrag auf sich hat : nun ja, speziell mit dem Inhalt nicht aber allgemein mit der Seite @ichbinsophiescholl sicherlich . Menschen wurden gefoltert , getötet , Vergewaltigt , geschlagen , und bis auf das abgrundtiefste gedemütigt . Säuglinge … Motiv : rassismus & Hass gegen eine bestimmte Volksgruppe , muslimische Menschen .;2021-07-11T13:16:46.000Z;11 likes;-
16;ami.hsk;11.7 das Gedenken an den Genoziden in Srebrenica #neverforget . 8372 wurden hingerichtet . Bis heute findet man nicht alle Leichen und Knochen . Viele Familien wurden zerstört. Babys wurden im Alter von paar Tagen getötet . Und Europa hat zugesehen . Liebe Grüße aus Bosnien;2021-07-11T13:11:24.000Z;11 likes;-
16-1;olafvonrothkirch;@ami.hsk Der Mensch ist das schlimmste Tier unter den Tieren und nie aus der Vergangenheit lernen... 😢😭😭😭;2021-07-11T18:35:50.000Z;2 likes;16
16-2;nadine_travelsusa;@olafvonrothkirch Tiere töten nie aus Spass, Sadismus oder im Kriegsrausch...die Bezeichnung Mensch ist schon ganz passend, denn der Mensch ist oft das schlimmste Übel.;2021-07-11T18:45:10.000Z;6 likes;16
16-3;olafvonrothkirch;@nadine_travelsusa sehr richtig und leider auch sehr wahr 😢;2021-07-11T19:47:36.000Z;0;16
17;sonnenschein1976;👏;2021-07-11T13:09:23.000Z;7 likes;-
18;michelhrn;👏👏;2021-07-11T13:02:32.000Z;6 likes;-
19;n1el_s;Wyldes Projekt hier🔥;2021-07-11T13:02:28.000Z;1 like;-
