Link: ;https://www.instagram.com/p/CSCaMn2j6Hg/
Id/Reply-Id;User;Comment;Date;Likes;Reply To CommentId
1;koledclo;Du spinnst Kylo !!!!;2021-10-27T09:02:52.000Z;0;-
2;mehrwertsraub;Geil!;2021-08-05T20:59:28.000Z;5 likes;-
3;joolz_nolan;❤️❤️;2021-08-02T23:17:58.000Z;0;-
4;schloeglmelli;Das ist menschlich 🙌;2021-08-02T19:49:57.000Z;0;-
5;headtalking;Ihr habt das tatsächlich verdammt gut gemacht, extrem sensationell!;2021-08-02T13:33:12.000Z;0;-
6;ines_s_2;❤️;2021-08-02T10:19:30.000Z;0;-
7;vvilldance187;😢;2021-08-02T09:26:47.000Z;0;-
8;joanna_syr;Du verhälst nicht wie eine albernde Person Sophie als das ist völlig normal, Menschenkontankt auf einer so gefühlsamen und intimären Weise auszusuchen ! Du hast es mit ihm erlebt, diese unheimlich reale Verbindlichkeit. Dafür würde ich alles geben, diesen Kontakt mit einem Mensch auszutauschen !;2021-08-02T06:35:52.000Z;0;-
9;joanna_syr;Du verhälst nicht wie eine albernde Person Sophie als das ist völlig normal, Menschenkontankt auf einer so gefühlsamen und intimären Weise auszusuchen ! Du hast es mit ihm erlebt, diese unheimlich reale Verbindlichkeit. Dafür würde ich alles geben, diesen Kontakt mit einem Mensch auszutauschen !;2021-08-02T06:35:37.000Z;0;-
10;shona.sheep;@lde_55;2021-08-01T22:26:08.000Z;0;-
11;einsteincollapsed;Wird Sophie Fritz nocheinmal treffen?😢;2021-08-01T20:51:37.000Z;1 like;-
12;wene_beinhart;Da wird der Nagel hart! 😂;2021-08-01T19:48:14.000Z;1 like;-
13;teachers4future9;Sophie liebe ist nicht sentimentaler Quatsch! Es ist die stärkste Kraft im menschlichen Leben! Genieße sie und koste sie aus. Und wenn du so stark vermisst dann liebst du auch so sehr! Und sicherlich denkt auch er an dich!;2021-08-01T19:37:33.000Z;6 likes;-
14;team_wedemann_holz;❤️du vermisst ihn❤️;2021-08-01T19:21:20.000Z;4 likes;-
15;btrix1411;Nein, das ist Liebe und Sehnsucht;2021-08-01T19:14:41.000Z;5 likes;-
16;kajazm;@ichbinsophiescholl ist das dein Bruder ?;2021-08-01T18:41:34.000Z;2 likes;-
