Link: ;https://www.instagram.com/p/COSgpehnqpQ/
Id/Reply-Id;User;Comment;Date;Likes;Reply To CommentId
1;hamlethummel;So habe ich mich doch nicht getäuscht. Kann mich erinnern, auch an Interviews eines anderen Mitglieds der Weißen Rose. Dieses wurde zu einer Gefängnisstrafe verurteilt und ist, meines Wissens nach, mittlerweile verstorben.;2022-01-01T11:23:43.000Z;2 likes;-
2;hamlethummel;Täusche ich mich, oder hat Inge Scholl nicht auch noch als ältere Dame Interviews gegeben?;2022-01-01T11:06:36.000Z;7 likes;-
2-1;ichbinsophiescholl;@hamlethummel #TeamSoffer Inge Scholl war maßgeblich daran beteiligt, dass die Weiße Rose nach Kriegsende bekannt wurde. Sie gab mehrere Interviews, auch als ältere Frau.;2022-01-01T11:21:11.000Z;21 likes;2
3;mr.damion13;😍;2021-10-11T09:36:14.000Z;0;-
4;julia.obst.79;Was ist aus Inge geworden?;2021-06-12T13:59:43.000Z;4 likes;-
5;helen.wheels_;Diese Projekt ist total wichtig! Ich liebe die Ausbildung von Instagram! Die Schwester der Sophie Scholl sieht sehr nett aus 💖;2021-05-25T18:14:23.000Z;3 likes;-
6;leo.s.94;Super Projekt🔥;2021-05-21T08:03:18.000Z;1 like;-
7;huhngaby;👏;2021-05-19T21:53:19.000Z;0;-
8;puenkteleingingallein;@zer_pero;2021-05-18T01:06:34.000Z;1 like;-
9;krokodilgemuese;Wenn hier schon ein Post zu Inge Scholl ist, wieso wird hier nicht erwähnt, dass Inge Scholls Buch von 1952 ziemlich geschönt und an manchen Stellen schlicht gelogen ist? Man könnte ja erwahnen, dass Inge sehr kreativ war und die Realität bisschen versteht hat manchmal. Was soll der Sinn dieses Accounts sein, wenn er nicht aufklärt?;2021-05-16T08:38:05.000Z;4 likes;-
10;_raphael828;Schizophrenia;2021-05-12T17:16:55.000Z;0;-
11;mjclash89;Huh!!!! Some one help me to. Find her sister, inge ❤️😍😍😍❤️❤️ she is more then best 💘 :);2021-05-10T16:57:52.000Z;0;-
12;pen.is.cool_haha.get.it;Das ist aber süß von der inge!;2021-05-10T07:09:46.000Z;1 like;-
13;laura_abra;Einfach genial ! 👏👏👏❤️;2021-05-09T23:52:13.000Z;1 like;-
14;romanvantijgersma;@nanne._nb ben je drink? Want ik wil je yoghurt zijn😍;2021-05-09T14:10:12.000Z;0;-
14-1;nb.westt;@fotoshoot_78 ben je mijn toetsenbord, want ik wil je de tiefus slaan😍;2021-05-09T14:10:58.000Z;0;14
15;nb.westt;Please explain;2021-05-09T14:10:11.000Z;0;-
15-1;romanvantijgersma;@nanne._nb ich bin sweinrond haar;2021-05-09T14:11:00.000Z;0;15
16;nb.westt;Is ze joods?;2021-05-09T14:10:05.000Z;0;-
17;nb.westt;Ich kanne nicht verstehen;2021-05-09T14:09:48.000Z;0;-
18;romanvantijgersma;Piemol in mijn neus;2021-05-09T14:08:59.000Z;1 like;-
18-1;nb.westt;@fotoshoot_78 jij bent echt een stouterd;2021-05-09T14:09:27.000Z;0;18
19;marcus.kleijn;Genial! ❤️;2021-05-09T10:11:12.000Z;0;-
20;asz4blog;Grandioses Projekt und tolle Umsetzung.;2021-05-09T02:23:35.000Z;0;-
21;rogerhagmann;@lintje_nrg;2021-05-08T19:29:42.000Z;0;-
22;simadogwalking;Spürbarer war Sophie Scholl nie 💗 Tolles Projekt 👌🏼👌🏼;2021-05-08T09:27:40.000Z;1 like;-
23;miss_____morrison;Wahnsinn! Das ist mal ein super Projekt! Sehr interessant;2021-05-07T22:05:10.000Z;1 like;-
24;vina_leben;❤️;2021-05-07T22:00:21.000Z;1 like;-
25;chicharrera_si;Gänsehaut... gerade wenn man sich mit der Zeit des Nationalsozialismus auseinandersetzen. Mir fehlen die Worten. Ein großartiges Projekt welches eine Flut von Gedanken in mir zulässt.;2021-05-07T18:46:10.000Z;1 like;-
26;anni.f4;Richtig tolle Idee😍♥️;2021-05-07T16:41:22.000Z;1 like;-
27;muller_elke;❤️;2021-05-07T14:55:59.000Z;1 like;-
28;alperin_limonu1;Eine super tolle Idee👏👏;2021-05-07T09:12:09.000Z;2 likes;-
29;nathaliechaufournais;👏 tolle Idee, ich hoffe die Jungendliche unserer Zeit werden schätzen, dass sie doch noch Glück haben. Die Jahre der Kriege, vor ein paar Jahren sogar in an unsere Türe in Bosnie und Serbien waren deutlich schlimmer;2021-05-07T08:18:12.000Z;2 likes;-
30;dr.volkertiemann;Ich verpasse keine. Post. Versprochen.;2021-05-06T18:01:49.000Z;1 like;-
31;schuheundmeer;Mega Idee!!! 👏👏👏👏👏 DANKe!! 😀;2021-05-06T10:23:38.000Z;1 like;-
32;mellybackt;Toll, dass auch die „Normalität“ nicht zu kurz kommt...;2021-05-06T10:11:52.000Z;1 like;-
33;henriette_mopsfidel;❤️;2021-05-06T07:23:31.000Z;1 like;-
34;geronimo_gallery;❤️❤️❤️❤️;2021-05-05T23:15:55.000Z;2 likes;-
35;mama.apfel;UUUUUNGLAUBLICH GENIAL!!! DANKE DAFÜR ❤️;2021-05-05T17:35:54.000Z;1 like;-
36;re_gina_nana;Mega Projekt 👍🏼...bin gespannt und freu' mich drauf 😍;2021-05-05T17:20:02.000Z;2 likes;-
37;green_brown_eyes;Meine liebe @diedunkleprinzessin , wäre das was für dich? In diese Richtung weiß ich ja kaum was.;2021-05-05T14:52:21.000Z;2 likes;-
37-1;_.mxrls._;@green_brown_eyes ja wäre es 🥰;2021-05-05T14:58:44.000Z;1 like;37
38;luulasmundo;Ich durfte sie in den 90 Jahren mit meiner Klasse treffen u über @ichbinsophiescholl interviewen es war so faszinierend u auch traurig 😢;2021-05-05T14:20:17.000Z;3 likes;-
39;pia.scharf;Unsere Inge @hfg.archiv.ulm - eine großartige Frau. 🔥;2021-05-05T11:53:38.000Z;3 likes;-
40;dodobird1402;Mega Aktion, danke dafür. Ich freue mich, von Anfang an dabei zu sein ❤️;2021-05-05T07:37:08.000Z;1 like;-
41;biba.butze;Harmoniemonster 🤩 - Was für ein tolles Wort, liebe Anne! Hab's direkt adoptiert. Kenne da auch so'n paar Exemplare... Zum Glück sind's meistens sehr liebe Monster. Liebe Grüße - auch an Inge 🤗;2021-05-05T03:03:42.000Z;8 likes;-
41-1;peoplecallmepaula;@biba.butze wer ist Anne ? 🤨;2021-05-05T20:08:47.000Z;4 likes;41
