Link: ;https://www.instagram.com/p/CWnTJvGs3Hb/
Id/Reply-Id;User;Comment;Date;Likes;Reply To CommentId
1;kimderzimmer;"Ich finde es mega bescheuert, dass ""sophie"" hier eine Diskussion über die vertrauenswürdigkeit von willi Graf anstellt.";2021-11-26T08:26:27.000Z;0;-
1-1;leonie.fra.lu;@kimderzimmer wieso? kann doch gut sein dass sie erstmal skeptisch gegenüber neuen Mitgliedern war;2021-11-29T10:16:26.000Z;0;1
2;frozen_atlantis;Yess;2021-11-25T20:41:53.000Z;0;-
3;summerlife_today;"Ihr habt einen Wortfehler. Es müsste heißen ,, da hat er sich entschieden verweigert""";2021-11-25T07:10:18.000Z;0;-
3-1;ichbinsophiescholl;"@summerlife_today #TeamSoffer Danke für deine Nachricht. Der Satz sollte aber stimmen, meinst du nicht?
""- der (also der Hitlerjugend) er sich entschieden verweigert hat"" Oder verstehen wir deinen Hinweis falsch?";2021-11-25T08:28:46.000Z;11 likes;3
3-2;monnahpotter;@summerlife_today Lies es mal so … „der (Hitlerjugend) hat er sich entschieden verweigert“;2021-11-25T22:55:52.000Z;0;3
3-3;summerlife_today;@ichbinsophiescholl Okay, jetzt ergibt es Sinn. Hab das so nicht gelesen. 👍🏻;2021-11-26T12:35:13.000Z;0;3
4;kathafuer;@ichbinsophiescholl So ganz kann ich die Diskussion jetzt nicht nachvollziehen. Laut eurer „Story“ hatte „Sophie“ kein Problem damit auf ihrer Reise einer ganzen Reihe ihr unbekannten Menschen zu vertrauen. Und ausgerechnet bei Willi Graf, den ihr Bruder schon kennt, soll das jetzt ein Problem sein? Das ist absolut unlogisch…;2021-11-24T15:03:36.000Z;3 likes;-
4-1;ichbinsophiescholl;@kathafuer #TeamSoffer Sophies Gesprächsthemen auf der Reise unterscheiden sich fundamental von denen, welche hier unter den Mitgliedern der Weißen Rose besprochen werden. Unbekannte Leute in Widerstandsaktivitäten einzubinden, war immer mit einem sehr großen Risiko verbunden. Außerdem hatten Sophie Scholl und Willi Graf nie ein sonderlich enges Verhältnis, was unter anderem an Willis Frauenbild gelegen haben könnte, z.B. hat er Sophie in seinen Aufzeichnungen nie namentlich erwähnt (nachzulesen in Gottschalk, Maren: Wie schwer ein Menschenleben wiegt, S. 255).;2021-11-24T15:48:39.000Z;5 likes;4
4-2;kathafuer;@ichbinsophiescholl Die Diskussion dreht sich ja um die generelle Frage, wem man vertrauen darf/soll, unabhängig vom Inhalt. Und auch wenn die Bekannten von der Reise vielleicht weniger eingeweiht waren als es Willi als Mitglied gewesen ist, so hätten ihr diese Leute genauso gefährlich werden können. Immerhin hat sie von denen Geld angenommen, also müssen sie, bis zu einem gewissen Grad, informiert gewesen sein. Deswegen seh ich aus Sicht der Vertrauensfrage da keinen großen Unterschied.;2021-11-24T17:19:21.000Z;1 like;4
4-3;heikegumz;"@ichbinsophiescholl Ich finde gut, dass ihr zeigen wollt, wie groß das Risiko ist, weitere Personen in Widerstandsaktivitäten einzubinden. Aber ich verstehe nicht den Unterschied zu den Kontakten auf der Reise - ging es da nicht auch darum, Unterstützer*innen für die ""Weiße Rose"" zu finden?";2021-11-24T17:53:45.000Z;2 likes;4
5;kaydeegriffey;Ist das Willi Graf? Ich wusste nie, wer der Namensgeber unserer Willi-Graf Schule in Saarbrücken war. Sehr interessant, jedoch habe ich im Unterricht nie von ihm gehört, sehr Schad;2021-11-24T14:51:35.000Z;3 likes;-
5-1;maja_furiaroja;@kaydeegriffey Krass... An unserer Christoph-Probst-Realschule kommt dem Thema keiner aus. Besonders an den Geburts- und Todestagen gibt es immer kleine Projekte und Aktionen.;2021-11-24T21:54:25.000Z;1 like;5
6;anjamuller565;Ich denke ja. Hör am besten auf Deine Intuition. Seid vorsichtig!!;2021-11-24T13:51:08.000Z;0;-
7;fleur_db_;Alles Gute zum Geburtstag Hans. genieße es mit deinen Freunden. Küsse;2021-11-24T07:35:38.000Z;1 like;-
8;fleur_db_;Alles Gute zum Geburtstag Hans. genieße es mit deinen Freunden. Küsse;2021-11-24T07:34:46.000Z;0;-
9;4ndr3_1997;Was sind bündische Umtriebe?;2021-11-24T06:51:50.000Z;1 like;-
9-1;ichbinsophiescholl;"@4ndr3_1997 #TeamSoffer “Bündische Jugend” ist eine Sammelbezeichnung für Jugendbünde wie Pfadfinder und Wandervogelgruppen, in denen sich Jugendliche in der Weimarer Republik organisiert zusammenschlossen. Gemeinsam machten sie z. B. Wanderfahrten ins Grüne. Von den Nationalsozialisten wurden sie aufgelöst und verboten. Wer sich über dieses Verbot hinwegsetzte, machte sich wegen ""bündischer Umtriebe"" strafbar.";2021-11-24T09:11:04.000Z;5 likes;9
10;texelbiene;Ich finde sehr schwer zu entscheiden, wem man Vertrauen kann. Es ist brandgefährlich.;2021-11-24T06:18:50.000Z;0;-
10-1;ichbinsophiescholl;@texelbiene Jeder Mensch, der eingeweiht wird, birgt eine gewisse Gefahr. Wir brauchen jedoch weitere Unterstützung. Und bislang habe ich keinen Grund, ihm zu misstrauen.;2021-11-24T08:59:36.000Z;0;10
11;raul_mccallister007;❤️;2021-11-24T05:13:28.000Z;0;-
12;sunshine__inmymind;Wenn er sich der HJ verweigert hat, hat er schon einmal sehr großen Mut bewiesen und einiges riskiert. Glaube er würde es wieder tun.;2021-11-24T04:31:10.000Z;2 likes;-
12-1;ichbinsophiescholl;@sunshine__inmymind Es spricht viel dafür, dass ich ihm mein Vertrauen schenken kann.;2021-11-24T08:57:55.000Z;6 likes;12
13;nmg_roma;Der sieht nett aus. Und bei dem ganzen sozialen und politischen Druck nicht in die Hitlerjugend einzutreten - da hat er Mut und Wertefestigkeit bewiesen. „Strenger Katholik“ wäre jetzt für mich persönlich nicht so der Renner 😉 , aber schau halt mal … 😘;2021-11-24T01:27:38.000Z;0;-
14;annie_henning_bayern;Hans Scholl hatte im September Geburtstag;2021-11-24T00:04:31.000Z;0;-
15;annie_henning_bayern;Unbedingt. Denn er ist derjenige, der keinen einzigen in Haft verriet;2021-11-24T00:00:08.000Z;1 like;-
16;miri_ammama;Mein Opa hieß Willi Graf. Er war auch nie in der hitler Jugend. Weil seine Eltern auch nicht in der Partei waren hat sein Lehrer oft Schläge an ihn ausgeteilt. Ich erinnere mich gut an seine Geschichten;2021-11-23T21:29:41.000Z;0;-
