Link: ;https://www.instagram.com/p/CaZkUB1MLCP/
Id/Reply-Id;User;Comment;Date;Likes;Reply To CommentId
1;nashi_234berlin;Wer auch immer du bist. Ich stehe dir bei;2022-02-27T19:32:36.000Z;0;-
2;hulya6583;Was für ein bewegendes Projekt...das tut mir so leid für die jungen Menschen 😢;2022-02-27T05:58:14.000Z;1 like;-
3;simone_treburg;Wie gern ich auch dorthin auswandern würde. Aber jetzt ist nichts mehr gut und es ist überall so schwer ein gutes Leben führen zu können.;2022-02-26T19:54:01.000Z;0;-
4;feeligran;Ich finde es schön, dass Traute so lange lebt und Elisabeth so lange gelebt hat. Es ist, als hätten sie für Hans und Sophie mit gelebt. ❤️;2022-02-26T12:10:35.000Z;8 likes;-
5;schenkelchristoph;👏;2022-02-26T09:30:59.000Z;0;-
6;annie_henning_bayern;Einfach nur grauslig;2022-02-26T08:26:09.000Z;0;-
7;katharina.dammer;Ein Instagram Projekt von Traute ab dem Tag der Verhaftung wäre interessant. Wie sie von den Hinrichtungen erfährt und wie es für sie weiter geht....;2022-02-26T07:00:23.000Z;2 likes;-
8;jawiesodasdenn;Lasst sie bitte in Ruhe.;2022-02-25T22:52:52.000Z;0;-
9;ute.kues70;Katie;2022-02-25T17:57:21.000Z;0;-
10;hedgehogwithoutspikes;Was für ein langes Leben. So schoen, dass sie ihr Medizinstudium beendet hat. Hat sie denn auch als Ärztin prsktiziert?;2022-02-25T17:07:04.000Z;5 likes;-
11;scripturine;Man, welch unfassbar abartiges Tun: Da schicken sie sie los, um die Unterschrift für ein Gnadengesuch zu holen, wahrscheinlich wohl wissend, dass dieses sicher ohnehin abgelehnt werden wird, weswegen das Urteil dann auch gleich vollstreckt wird. Man, wenn ich mir vorstelle, dass just in diesem Moment jemand im Kreml sitzt, der ungefähr diesen Humor hat, wird mir schlecht. 😔;2022-02-25T15:02:53.000Z;14 likes;-
12;carlalotta5;weitere Informationen darüber?;2022-02-25T15:01:14.000Z;0;-
13;carlalotta5;Es ist Traute Lafrenz gelungen, die Körper von Sophie, Hans und Christoph aus der Gerichtsmedizin „freizukaufen“. Das allein ist ja schon sehr sehr mutig, da es sie verdächtig macht und in den Fokus der Gestapo rückt. Gibt es;2022-02-25T15:00:55.000Z;8 likes;-
14;misses_biggs;❤️;2022-02-25T14:59:30.000Z;0;-
15;heyke_mindset;Was für eine tapfere und mutige Frau 🙏.;2022-02-25T14:33:37.000Z;7 likes;-
16;sylviayakal;"@ichbinsophiescholl geschichte war in der Schule immer mein Lieblingsfach und ich habe in diesem Fach auch maturiert; es sollte aber auch an Schulen âhnliche Projekte geben, dann wâren vielleicht mehr Schüler an Vergangenem interessiert, denn unser Verstândnis dafür kann uns vieles, was sich heute ereignet, erklâren …";2022-02-25T14:24:42.000Z;4 likes;-
17;lisa_maria_luna;Was die Frau sich denken muss.. sie hat so lange gekämpft und ihre Leute sterben sehen, um dann Trump und den scheiss mit der Ukraine und viel anderes leid mitzuerleben. 🤦🏻‍♀️😰;2022-02-25T14:20:23.000Z;7 likes;-
18;jenniferfeargus;Danke für den Hinweis zur Biografie. Diese werde ich mir mal besorgen und lesen;2022-02-25T14:20:20.000Z;2 likes;-
19;petra.autonomade.photography;Wie kam traute aus dieser Sache raus...sie wurde als einzige nicht zum Tode verurteilt;2022-02-25T14:12:48.000Z;16 likes;-
20;brittandlove;Es gibt ein schönes Interview mit ihr in der BZ 👏;2022-02-25T14:12:03.000Z;1 like;-
21;sabine_schmieder79;Ich habe das gestrige Live verpasst, wann kommt wieder ein neues?;2022-02-25T13:35:26.000Z;7 likes;-
22;photo_wolke;Kennt Frau Lafrenz-Page das Projekt trotz ihren hohen Alters eigentlich? Und ggf. ja, wisst ihr, wie sie darüber denkt?;2022-02-25T13:34:07.000Z;18 likes;-
23;rinki_mania;❤️❤️❤️;2022-02-25T12:54:53.000Z;0;-
24;k.kortmann;👏👏👏;2022-02-25T12:52:33.000Z;0;-
25;princess_pietsch;"Weiß man, warum sie ""nur"" ins Gefängnis musste und nicht wie die anderen zum Tode verurteilt wurde? Sie war doch genauso Mitglied.";2022-02-25T12:45:34.000Z;7 likes;-
26;_ta.raxacum_;@ichbinsophiescholl wo sind die ganzen Lives zu finden? Sie würden gespeichert, oder?;2022-02-25T12:41:51.000Z;3 likes;-
