Link: ;https://www.instagram.com/p/CX5mhF5MoAW/
Id/Reply-Id;User;Comment;Date;Likes;Reply To CommentId
1;hypnoliebe;Habe neulich gehört, dass Fritz Sophies Schwester geheiratet hat! Mega dreist!;2021-12-27T06:23:03.000Z;0;-
2;starrfaithful;Happy Xmas from England;2021-12-26T15:12:45.000Z;0;-
3;vallikonich;:''-/;2021-12-26T08:07:02.000Z;0;-
4;betti.nwn;Ich vermisse meinen Opa, der leider letztes Jahr Mitte Dezember gestorben ist :(;2021-12-25T23:54:05.000Z;0;-
5;lena.aurnhammer2020;Meine Schwester ist sonst auch immer da 😢❤️;2021-12-25T23:10:37.000Z;0;-
6;hessen_ben;🎄❤️🙏😢;2021-12-25T22:58:50.000Z;0;-
7;irene.garbe3;Meine Freunde;2021-12-25T22:16:22.000Z;1 like;-
8;dach_claudia;Wir haben Corona Pandemie und ich bin traurig, wie sehr sich manche Menschen dadurch verändert haben im negativen Sinne. Ich erkenne manche kaum wieder und habe sie irgendwie verloren....😓;2021-12-25T22:03:05.000Z;3 likes;-
9;miwagner212;Meine Eltern auf jedenfall 😢;2021-12-25T21:48:57.000Z;0;-
10;thorsten_kiebe;"Schau gern bei @wirhaltenzusammen__ vorbei. 😊
Die Seite steht für mehr Transparenz & Toleranz. Bei uns sind alle Willkommen - geimpft & ungeimpft. 🧡";2021-12-25T20:35:45.000Z;0;-
11;madame.ladylike;Meine Oma. 🎄🙏🏼;2021-12-25T18:16:53.000Z;3 likes;-
12;baldr_243;Meine Oma. Und mein Opa der dieses Jahr leider verstorben ist. Unsere Familie ist immernoch in tiefer Trauer 😢;2021-12-25T17:54:05.000Z;4 likes;-
13;teachers4future9;Ich vermisse meine Großeltern;2021-12-25T17:45:33.000Z;2 likes;-
14;heikerahls;🌹Glaube an Wunder, denn sie passieren immer wieder, auch in Kriegszeiten 🕊Eines Tages sitzt ihr alle vereint unter dem Weihnachtsbaum, vielleicht dann schon mit Euren Kindern 🌈;2021-12-25T17:22:27.000Z;0;-
15;susabuechner;Die letzten Weihnachten in deren Leben 😢;2021-12-25T16:58:22.000Z;0;-
16;sabeth.as;Dieses Jahr konnten zwei meiner Kinder nicht wie geplant anreisen, weil sie sich mit Corona infiziert hatten und daher an ihren Studienorten in Quarantäne bleiben mussten. Das war schon traurig. Wir haben uns dann zum Zoomen verabredet. Dadurch waren sie fast doch bei uns und wir wussten, dass es ihnen gut geht. Daher ist diese Situation überhaupt nicht mit damals vergleichbar. Diese Ungewissheit und Sorge um liebe Menschen zur damaligen Zeit muss einem viel Kraft gekostet haben.;2021-12-25T16:47:01.000Z;1 like;-
17;michaela_hanauer;Frohe Weihnachten! 🌟;2021-12-25T15:58:48.000Z;1 like;-
18;kleineloewenschwester;@ichbinsophiescholl Ich vermisse diese Weihnachten wieder meinen Papa, der vor vier Jahren verstorben ist, und den ich jeden Tag aufs Neue und besonders auch zu Weihnachten vermisse.🕯✨;2021-12-25T15:41:04.000Z;1 like;-
19;cookyc.1969;Im Nachlass meines Opas habe ich diesen Brief meines Opas an meine Oma gefunde. Ich glaube, wir wissen es gar nicht mehr zu schätzen in welch friedlichen Zeiten wir trotz aller Krisen und Probleme leben dürfen. https://www.instagram.com/p/CX6MtGLo2L6U_aZJO4mEV6jYVCU-guM2MQp1t40/?utm_medium=copy_link;2021-12-25T14:48:40.000Z;2 likes;-
20;oljaaaljaaa;"Danke für ""eine Kerze anzünden und ein Gebet sprechen"" - werde ich heute Abend nachholen🕯.";2021-12-25T14:32:58.000Z;0;-
21;macphisto_75;Frohes Fest, liebe Sophie und Familie!;2021-12-25T13:03:22.000Z;5 likes;-
22;annie_henning_bayern;Leider wirst du nächstes Weihnachten nicht feiern;2021-12-25T12:40:48.000Z;0;-
23;saniis_bookworld_;Meine mama😢🙈;2021-12-25T12:25:47.000Z;5 likes;-
24;meinfoodblog1;"Dieser Account bringt die Emotionen von damals total gut rüber. Ich hab gestern einer ehemaligen Kollegin frohe Weihnachten gewünscht und sie meinte sie sei noch in der Arbeit weil ""Arbeit macht frei"". Versteht auch nicht warum ich dass nicht in Ordnung fänd. man weiß so viel über damals und trotzdem macht man noch jokes drüber 😒";2021-12-25T12:22:43.000Z;21 likes;-
25;rpiakatharina;Ich vermisse sie alle. So gerne erinnere ich mich an die Zeit 🎄im Kreis aller Angehörigen. Wir waren immer in der Eifel und meistens lag Schnee. Schnee und Weihnachten gehören für mich zusammen. Meine Mutter hatte immer ein leckeres Essen gezaubert. Es sind schöne Erinnerungen .;2021-12-25T12:19:07.000Z;3 likes;-
26;i.r.4878;Meine Familie in Deutschland die ich schon 2.5 Jahre nicht gesehen habe. 😢;2021-12-25T12:02:09.000Z;0;-
27;changed.by.popular.demand;"„Sabotage in Rüstungs- und kriegswichtigen Betrieben, Sabotage in allen Versammlungen, Kundgebungen, Festlichkeiten, Organisationen, die durch die nationalsozialistische Partei ins Leben gerufen werden. Verhinderung des reibungslosen Ablaufs der Kriegsmaschine (einer Maschine, die nur für einen Krieg arbeitet, der allein um die Rettung und Erhaltung der nationalsozialistischen Partei und ihrer Diktatur geht). Sabotage auf allen wissenschaftlichen und geistigen Gebieten, die für eine Fortführung des gegenwärtigen Krieges tätig sind - sei es in Universitäten, Hochschulen, Laboratorien, Forschungsanstalten, technischen Büros. Sabotage in allen Veranstaltungen kultureller Art, die das ""Ansehen"" der Faschisten im Volke heben könnten. Sabotage in allen Zweigen der bildenden Künste, die nur im geringsten im Zusammenhang mit dem Nationalsozialismus stehen und ihm dienen. Sabotage in allem Schrifttum, allen Zeitungen, die im Solde der ""Regierung"" stehen, für ihre Ideen, für die Verbreitung der braunen Lüge kämpfen. Opfert nicht einen Pfennig bei Straßensammlungen (auch wenn sie unter dem Deckmantel wohltätiger Zwecke durchgeführt werden). Denn dies ist nur eine Tarnung.“
#wirsindeuerbösesgewissen #flugblattweisserose";2021-12-25T11:48:24.000Z;6 likes;-
28;christine.binggeli;❤️;2021-12-25T11:45:26.000Z;1 like;-
29;changed.by.popular.demand;„Wir feiern morgens um 7 Uhr Gemeinschaftsmesse. Es sind im ganzen 12 Mann. Ein kurzer Spaziergang zur Saar. Vater hat eingeladen, wir sitzen mit Sechsen im Lokal. Dann bin ich für die Familie da, wir sind seit langem zusammen, es geht familiär zu, wie wir es von früher gewohnt sind. Bei Dunkelheit ein kurzer Spaziergang mit Vater. Am Abend ist wieder die Familie zusammen.“ Willi Graf: Briefe und Aufzeichnungen, S. 91;2021-12-25T11:41:37.000Z;4 likes;-
30;saili1971;@ichbinsophiescholl ...ist das ein Original Bild von Fritz?;2021-12-25T11:30:18.000Z;0;-
31;changed.by.popular.demand;"Ulm, den 26. Dezember 1942
Mein Lieber Fritz!
Wie mag es dir am Weihnachtsabend zu Mute gewesen sein? Ich wünsche mir, daß Du trotz Deiner Umgebung, trotz dem fehlenden Weihnachtsbaum und den fehlenden Gaben Deiner Freunde froh gewesen bist, denn alles das ist es ja nicht, was uns an diesem Abend die Freude weckt. Und diese Freude will ja zu Dir genauso kommen wie zu mir, vielleicht hat sie den Weg in dein Herz gefunden.";2021-12-25T11:25:40.000Z;8 likes;-
32;goutarist;Ich befürchte Sophies Wunsch nach einem Weihnachtsfrieden wird enttäuscht werden... Sitzt Fritz Hartnagel zu diesem Zeitpunkt noch im Kessel von Stalingrad oder ist er bereits ausserhalb?;2021-12-25T11:00:16.000Z;0;-
33;kathii_ub;ich vermisse meinen Bruder 😭😭;2021-12-25T10:54:08.000Z;1 like;-
34;sternfunken_;Ich vermisse einen Menschen, der mich wahrscheinlich nicht vermisst.... ❤️;2021-12-25T10:35:32.000Z;2 likes;-
35;fraeulein_doro_loves_life;Wenn ich diesen Post lese, zerbricht mir das Herz, da das Sophies letztes Weihnachtsfest sein wird ( 3 Monate später wurde sie ja verhaftet und hingerichtet 😢);2021-12-25T10:32:34.000Z;26 likes;-
36;thiloinsta;Leider erst jetzt entdeckt. Was für ein tolles Projekt! Für mich bist Du Sophie eine der größten deutschen Heldinnen!! Wer weiss wie man selber in dieser Zeit gewesen wäre. Danke Dir!;2021-12-25T10:32:00.000Z;2 likes;-
37;katrinpruchniewski;"Hoffentlich könnt ihr euch bald wieder sehen.
Ich habe, zum Glück, keinen lieben Menschen den ich vermisse.
Das ist ein Segen.🌟";2021-12-25T10:24:35.000Z;5 likes;-
38;claudia.z81;Meinen Papa der vor 7 Jahren ganz überraschend starb... 😢;2021-12-25T10:11:56.000Z;4 likes;-
39;margotkorb;Ich habe richtig Angst vor dem Ende von Sophie;2021-12-25T10:07:30.000Z;7 likes;-
40;ankegopfert;Ich vermisse meine Papa er ist schon 4 Jahre tot.;2021-12-25T09:59:27.000Z;6 likes;-
41;helgadancke;"Ich vermisse meine Eltern, die schon so lange nicht mehr bei mir sind und Frank, den Sohn meiner jung verstorbenen Freundin, der seit Sommer verschwunden ist. Es macht mich immer wieder traurig, wenn ich Sophies Worte lese, mit dem Wissen, dass die Nazischergen ihrem Leben und dem ihrer Mitstreiter bald ein brutales Ende setzen werden.
Danke für diese Produktion, die uns in Zeiten, in denen soviel Hass und Gewalt nach oben gespült wird, daran erinnert, dass es unsere Aufgabe ist, für Frieden zu sorgen und einen erneuten Terror zu verhindern.";2021-12-25T09:58:51.000Z;17 likes;-
42;ally04012013;Meine Eltern vermisse ich ❤️;2021-12-25T09:51:45.000Z;3 likes;-
43;frau_pony_huetchen;Ich vermisse meinen Papa, der letztes Jahr kurz nach Weihnachten gestorben ist, und meine Oma, die schon vor einigen Jahren gestorben ist.;2021-12-25T09:48:54.000Z;3 likes;-
44;j.schmi;Meinen Vater;2021-12-25T09:46:38.000Z;1 like;-
45;angie_s_1;Meine Familie 😢 sie alle sind Sterne am Himmel und schauen von oben herunter....gerade an Weihnachten fehlen sie mir am meisten;2021-12-25T09:39:21.000Z;10 likes;-
46;wonder_alice23;Es bricht mir das Herz, wenn ich Sophie so sprechen höre! Wie sehr wünsche ich ihr Frieden und alle Lieben um sie herum!;2021-12-25T09:34:07.000Z;47 likes;-
47;nina_georgsdottir;Ich vermisse meine Mutter, die dieses Jahr gestorben ist...;2021-12-25T09:21:41.000Z;18 likes;-
48;bastel_suse;Meine Mutter ist dieses Jahr gestorben und mein Bruder vor drei Jahren.Ich vermisse sie sehr.;2021-12-25T09:10:45.000Z;15 likes;-
