Link: ;https://www.instagram.com/p/CUTJUbDIQtX/
Id/Reply-Id;User;Comment;Date;Likes;Reply To CommentId
1;ulrikeruest;Ach liebe Sophie, es muss echt hart sein in solch einer Zeit zu leben, dass man Angst haben muss, wenn man eine andere Meinung hat und ich finde es toll, dass du der Zwangsarbeiterin dein Brot gegeben hast! Ich hoffe, dass ihr bald die Freitheit bekommt die ihr euch wünscht! Fühle dich gedrückt liebe Sophie;2021-09-29T10:13:54.000Z;0;-
2;anit0708;Habe irgendwie verpasst wieso Sophie nicht mehr in der Fabrik arbeiten muss, kann das einer erklären?;2021-09-28T12:22:11.000Z;3 likes;-
2-1;ichbinsophiescholl;@anit0708 #TeamSoffer Sophie‘s Dienst wurde verkürzt und deshalb arbeitet sie nicht mehr in der Fabrik. In den Feedpostings der letzten Woche kannst du dir, alles was du verpasst hast, noch einmal anschauen!;2021-09-30T08:01:37.000Z;4 likes;2
3;hogwarts_brick_chick;Was Sophie wohl sagen würde, wenn sie wüsste, dass Politiker vor einem Linksrutsch warnen und gleichzeitig eine rechte Partei so hohe Ergebnisse bei einer Wahl in Thüringen und Sachsen einfährt?;2021-09-27T03:49:03.000Z;11 likes;-
3-1;kobold_rauber;@hogwarts_brick_chick Genau darüber habe ich heute Morgen auch nachgedacht 😢 Ich denke, die Mitglieder der Weißen Rose würden sich im Grabe umdrehen. Einfach nur erschreckend und traurig 😔;2021-09-27T06:52:55.000Z;2 likes;3
3-2;hogwarts_brick_chick;@kobold_rauber bei der Tagesschau stand in einer Umfrage, dass 46 % der Afd wähler finden, dass sich ihre Partei mehr von rechts abgrenzen sollte. Wie man da trotzdem die Afd wählt, obwohl man sie zu rechts findet, geht mir nicht in den Sinn;2021-09-27T07:02:45.000Z;5 likes;3
3-3;kobold_rauber;"@hogwarts_brick_chick Whhaaaat? Das hatte noch gar nicht gesehen 😮
Ich weiß nicht, was in den Köpfen vorgeht. Nicht viel schätze ich…";2021-09-27T07:24:00.000Z;0;3
3-4;hogwarts_brick_chick;@kobold_rauber https://www.tagesschau.de/wahl/archiv/2021-09-26-BT-DE/umfrage-afd.shtml;2021-09-27T07:27:21.000Z;0;3
4;tam1805;Ich bin jedes mal total gespannt wie deine nächste Woche ist, ob ihr oder du erfolgreich seid im Kampf gegen den Terror, ob du vielleicht Momente hast, in denen du einfach eine junge Frau sein kannst, einfach die Seele baumeln lassen. Und dann je mehr Wochen ich deine Geschichte verfolge, um so mehr beschleicht mich ein komisches Gefühl, ganz wie du sagst, es liegt etwas in der Luft...;2021-09-26T21:22:46.000Z;7 likes;-
4-1;tam1805;und ich habe ziemlich Respekt vor dem Tag, an dem vielleicht etwas schief läuft, oder der Krieg noch näher an euch ran kommt. Haltet durch, euer Kampf lohnt sich bestimmt für nachfolgende Generationen;2021-09-26T21:24:52.000Z;2 likes;4
4-2;ichbinsophiescholl;@tam1805 #TeamSoffer Vielen Dank! Es freut uns,dass du dabei bist!;2021-09-30T07:52:37.000Z;1 like;4
