Link: ;https://www.instagram.com/p/CY6uQWllQHX/
Id/Reply-Id;User;Comment;Date;Likes;Reply To CommentId
1;netterholger;Du brauchst auch mal eine Pause Sophie;2022-01-21T23:20:30.000Z;0;-
2;leons_foto_channel_;Fahrt doch nach Hamburg oder nach Wien;2022-01-21T15:56:42.000Z;0;-
3;diwiak;Kommt nach Wien, ich geb euch einen Kaffee aus 😉;2022-01-20T17:01:12.000Z;0;-
4;giusy79_;Gute Idee! Aber pass auf dich auf ❤️;2022-01-20T13:38:33.000Z;0;-
5;sjoerdhart;"Helaas doet de vertaling van Duits naar Nederland hart niet.
Jammer";2022-01-20T08:59:25.000Z;1 like;-
6;barbiefch;"Liebe Sophie, wie und wann kam es eigentlich zu der Bezeichnung ""Weiße Rose"" für diese Widerstandsgruppe? Ich sehe das Symbol und den # heute zum ersten Mal!";2022-01-20T07:50:55.000Z;0;-
7;fraubolle_fotografiert;Lass das lieber und mach eine längere Pause…😢;2022-01-20T06:37:15.000Z;0;-
8;masson4733;Da Tübingen ja eine Studentenstadt ist, liegt ein Abstecher dorthin sicher nahe. Dort könntet ihr weitere Verbündete gewinnen.;2022-01-19T22:22:44.000Z;0;-
9;fashioninstanz;Pass auf DICH AUF!!!! 😍;2022-01-19T19:24:13.000Z;1 like;-
10;befreeinyourheart;Mich würde mal interessieren ob es noch Bilder von diesen Flugblättern gibt? Was stand da denn genau drauf?;2022-01-19T19:14:43.000Z;8 likes;-
11;irene.garbe3;Alles Gute geh nach Tübingen;2022-01-19T19:14:22.000Z;3 likes;-
12;jo_gi_mm;Memmingen ist ein schönes Städtchen 😊;2022-01-19T19:11:14.000Z;0;-
13;caroles710;Gibt es eigentlich noch irgendwelche Originalflugblätter ?;2022-01-19T19:03:52.000Z;1 like;-
14;changed.by.popular.demand;Wie ist die Weiße Rose eigentlich an die Fahrkarten gekommen? Das war doch gar nicht so einfach, oder? Dafür brauchte man doch Erlaubnisse?;2022-01-19T18:23:50.000Z;2 likes;-
15;sonnengoettin_68;🙌🙌;2022-01-19T18:16:42.000Z;0;-
16;riso5400;Vielleicht ein Umweg nach Konstanz, du kennst dich doch da schon ein bischen aus ( Inselhotel mit Fritz);2022-01-19T18:07:46.000Z;0;-
17;susikauslue;Diese kleinen Filme gefallen mir total gut! Man kann sich richtig vorstellen wie sie gearbeitet haben.;2022-01-19T17:56:26.000Z;3 likes;-
18;milla_altvtr;Hättet ihr doch schon Internet gehabt!!;2022-01-19T17:54:02.000Z;0;-
19;windmuehleim;😍😮😢😢dein armen Arm❤️das versteh ich die gleiche Bewegung und so lange hintereinander❤️;2022-01-19T17:53:48.000Z;1 like;-
20;christine.binggeli;🙌;2022-01-19T17:16:11.000Z;0;-
21;benedict_mirow;Oh Mensch, passt bloß auf Euch auf!;2022-01-19T16:47:18.000Z;0;-
