Link: ;https://www.instagram.com/p/CUclbiQsezP/
Id/Reply-Id;User;Comment;Date;Likes;Reply To CommentId
1;weltgebetstag_hessen;😢;2021-10-02T12:38:20.000Z;0;-
2;petiflo;❤️;2021-10-02T06:02:31.000Z;0;-
3;naumann493;Es ist nicht die Bevölkerung, die hungert, es sind Kinder Frauen und Männer, es sind nicht Kriegsgefangene, sondern Menschen: Väter, Brüder, Männer! Liebe Sophie, ich Wein einwenig zu spät und ich rechtzeitig, um dir heute am 1.10. zu sagen: sie werden bestraft werden, ihre Taten müssen sie büßen, in Nürnberg wird ein Welttribunal urteilen und verurteilen. Mord verjährt nicht und deshalb ist heute im Jahr 2021 noch ein Strafprozess gegen Beschuldigte möglich, denen eine aktive Mitwirkung am holocaust und an den Verbrechen der Nazis vorgeworfen wird! Verliere also nicht deinen Mut, der aus einer Wut erwächst, die ich verstehe! Kämpfe bis zu letzt! Du bist super;2021-10-01T23:08:30.000Z;1 like;-
4;christophergreverode;❤️;2021-10-01T17:10:42.000Z;0;-
5;lu.exe0;Mein Opa hatte als Kind im Krieg oft nichts zu essen und als er letztes Jahr an Krebs erkrankte und essen fast unmöglich für ihn war , hat er sich an diese Zeit zurück erinnert, davon erzählt und geweint. Nie habe ich ihn vorher weinen sehen…;2021-10-01T13:52:04.000Z;0;-
6;phtevie;Kriege führen nicht nur Menschen.;2021-10-01T08:38:39.000Z;0;-
7;kalmanburg;Ich klicke auf das Herz weil ich diese Posts so unfassbar gut finde obwohl mein Herz blutet ob der Gedanken an den Krieg und diese fürchterliche Schlacht um Stalingrad;2021-10-01T07:28:54.000Z;0;-
8;_alexdust;😓;2021-10-01T06:27:49.000Z;0;-
9;schokoevy;Oft wurden die Briefe der Soldaten geschwärzt, damit keine Details bekannt werden.;2021-10-01T05:59:07.000Z;0;-
10;lukasgemeindefuerth;Nie wieder Krieg!!! NIE WIEDER!!!! 🕊🕊🕊;2021-10-01T05:13:39.000Z;2 likes;-
11;charlieflame;😍;2021-10-01T05:01:27.000Z;0;-
12;sebfischer2;😢 Das diese Briefe durch die Zensur gingen..😮;2021-10-01T03:07:52.000Z;0;-
12-1;katharina.helling;"@sebfischer2 Die Feldpost konnte, angesichts der unglaublichen Maße an Postsendungen, geschätzt 40 Milliarden, nur stichprobenartig kontrolliert werden. Der Historiker Klaus Latzel, der intensiv zu Feldpost gearbeitet hat, kommt zu dem Schluss, dass die Zensurmaßnahmen angesichts dieser Massen nur geringe Wirkung zeigten (Latzel, Soldaten, S. 25ff.). Für die Betroffenen konnten die Folgen nichtsdestotrotz hingegen drastisch sein, so wurden ca. 30.000-40.000 Menschen wegen Wehrkraftzersetzung verurteilt (Ziemann, Feldpostbriefe, S. 164).
//
Quelle: Briefe als Zugang zu einer Alltagsgeschichte des Nationalsozialismus -
Christine Hartig
Hamburger Alltagsgeschichten im NS
Universität Hamburg / Hamburg Open Online University
//
https://storage.sbg.cloud.ovh.net/v1/AUTH_e8fb231d58fc40ed9af2a222b6ee4c49/KONTENA-PRODUCTION-HOOU/6b53b271-3997-4f0d-a555-3d00efee313c/original.pdf";2021-10-01T07:59:30.000Z;1 like;12
12-2;sebfischer2;@zuagroastebayrischeschwaebin Danke für die Info. 👍🏽 Und so kamen die Informationen dann in die Heimat...😮 Bei den Dimensionen aber auch wieder: Es gab nicht wenige Mutige und die Heimat kann nicht sagen: Wir wussten von nichts.;2021-10-01T08:04:19.000Z;1 like;12
12-3;katharina.helling;@sebfischer2 ja, das glaube ich auch (bzw ist historisch mittlerweile auch ziemlich eindeutig belegt soweit ich weiß). Lese da gerade auch die Tagebücher von Anna Haag (1940-1945), die super spannend sind, weil sie sehr gut schreibt, aber auch sehr erschütternd…, wegen der Vielzahl von Beobachtungen/Gesprächen, die sie schildert…;2021-10-01T08:19:52.000Z;0;12
13;netratz;🔥❤️;2021-10-01T03:02:02.000Z;0;-
14;sasscha777;Mein Opa war auch dort und danach 7 Jahre in Gefangenschaft in Sibirien. Meine Oma hatte eine ganze Kiste mit Briefen aus dieser Zeit und immer wenn ich darin lese, bewundere ich, wie sie sich gegenseitig Mut und Hoffnung gemacht haben, das alles zu überstehen. ❤🕊;2021-09-30T22:53:54.000Z;7 likes;-
15;akkieemmaneel;❤️😢;2021-09-30T21:49:34.000Z;0;-
16;katja.rufa;"Wenn ich mich richtig erinnere, gehört mein Großvater zu den Soldaten, die damals in Stalingrad eingekesselt waren.
Er hat nie viel erzählt von der Zeit. Wenn, dann davon wie sehr sie Hunger gelitten haben. Einmal hat er davon erzählt, dass sie das Fleisch, eines seit mehreren Tagen toten Pferdes gegessen haben. Als meine Großmutter fragte, ob sie denn das Fleisch zumindest gebraten hätten, war seine Antwort nur, wir hatten kein Feuer.
Selbst bis ins hohe Alter wurde bei meinen Großeltern kein noch so trockenes Brotstück weg geworfen. Wenn meine Großmutter darum bat, dass frische Brot zu essen und das alte Stück wegwerfen wollte, sagte mein Opa immer, wir wären froh gewesen, wir hätten damals trockenes Brot zum essen gehabt.";2021-09-30T20:42:33.000Z;181 likes;-
16-1;ichbinsophiescholl;@katja.rufa #TeamSoffer Danke, dass du diese Geschichte mit uns teilst!;2021-10-01T06:14:05.000Z;34 likes;16
17;___eva__maria___;Ich kann dazu auch das Projekt Starless in Stalingrad empfehlen. Die dort veröffentlichte Feldpost eines in Stalingrad stationierten Soldaten ist sehr berührend. Ein Bruder meiner Urgroßmutter ist leider in Stalingrad gefallen, die Familie erfuhr nie wirklich etwas um abschließen zu können.;2021-09-30T20:26:37.000Z;1 like;-
18;mennoroode;Krieg ist schrecklich, dein Tagebuch gibt mir einen schönen Einblick ins Leben;2021-09-30T19:40:10.000Z;1 like;-
19;sdw_consulting;Vielen Dank für diese einzigartige Serie. 👏;2021-09-30T19:34:03.000Z;1 like;-
20;laila_trende;Krieg ist so etwas fürchterliches. Man kann ihn sich wahrscheinlich gar nicht so richtig vorstellen, wenn man ihn nicht erlebt hat.;2021-09-30T18:53:31.000Z;0;-
21;team_wedemann_holz;😢;2021-09-30T18:52:31.000Z;0;-
22;king_bird_illustration;💔;2021-09-30T18:23:37.000Z;1 like;-
23;meliskleinewunder;Wie funktionierte das Briefe Schreiben an der Front? Wie kann man sich das vorstellen? Man sitzt im Zelt, schreibt, und gibt es dann… wem? Sind sie nicht ständig in Angst bzw Beschuss? 😮;2021-09-30T17:48:01.000Z;0;-
23-1;phoebzy;@meliskleinewunder ich glaube, man hat mich immer an vorderster Front gekämpft. Im ersten Weltkrieg gab es immer wieder einen Austausch von Truppen, Mal ist man an die Front gefahren, Mal ist man dann wieder ein paar Kilometer in sein eigenes Gebiet zurück gefahren, um sich dort zu erholen und die verletzten wieder abzuholen. Man war nicht wirklich 4bzw. 6 Jahre direkt vorne an der Front.;2021-09-30T17:58:46.000Z;1 like;23
24;ben.reuter.3;Mein Opa war als Gebirgsjäger um diese Zeit auf dem Weg in den Kaukasus, also an Stalingrad vorbei. Für ihn war der Krieg dann im Winter zu Ende, als sie von der Roten Armee quasi abgeschnitten wurden. Mit viel Glück hat er die Gefangenenschaft überlebt und wurde dann schwer krank nach Hause entlassen. Ich hoffe Dein Liebster wird noch von Stalingrad weg kommen, ehe der Winter einbricht.;2021-09-30T17:20:16.000Z;2 likes;-
25;k_regenbogen;😢;2021-09-30T16:49:56.000Z;0;-
26;theshadow000;cringe;2021-09-30T16:43:04.000Z;0;-
27;d.osm0215;Nicht zu Glauben was Menschen alles verursachen.Krieg und Leid und all das wofür?Es tut weh zu wissen welchen Schmerz all diese Menschen erleiden mussten.;2021-09-30T16:28:26.000Z;3 likes;-
28;sunshine__inmymind;Ich kann deine Angst um Fritz verstehen, du bist so weit weg und hast keinen Kontakt zu ihm. 😢;2021-09-30T16:21:39.000Z;4 likes;-
28-1;ichbinsophiescholl;@sunshine__inmymind Vielleicht sollte ich schöne Gedanken in ihm pflanzen und über die Zukunft nachdenken - Darüber was nach dem Krieg sein wird. Meinst du das würde ihm Mut machen?;2021-09-30T16:41:11.000Z;10 likes;28
28-2;sunshine__inmymind;@ichbinsophiescholl Wenn er deinen Brief liest, wo du dir eine schöne Zukunft nach dem Krieg ausmalst, dann gibt ihm das bestimmt Hoffnung. Es hilft immer positiv zu denken. Bleib stark!;2021-09-30T17:01:11.000Z;0;28
29;holtegele;Ich denke vielen wurde damals die Information vorenthalten . Wie es wirklich im Krieg stand .;2021-09-30T15:53:03.000Z;0;-
29-1;katharina.helling;"@holtegele Trotz der Versuche des Regimes konkrete Taten zu vertuschen bzw nicht direkt anzusprechen, war in weiten Teilen der Bevölkerung vieles bekannt. Es waren einfach zu viele Personen in Verwaltung, Fabriken, Wehrmacht, SS etc in die Taten involviert, die ihren Familienangehörigen erzählten, was los war.

Anna Haag, wohnhaft in Stuttgart, Schriftstellerin, Journalistin und spätere Politikerin (SPD) und Abgeordnete im Baden-Württembergischen Landtag, notierte zB am 29.09.1942 folgendes in ihrem Tagebuch, woraus mE deutlich wird, was man alles wissen „konnte“ und aich was man daraus folgerte… Einträge dieser Art gibt es zahlreiche…:

„Trostlos! Ich traf bei Bekannten mit einem Priester der Christengemeinschaft (Anthroposophen) zusammen. Er hat Amt und Brot verloren, die Nazis haben seine Kirche aufgelöst, das Vermögen kassiert, die Schule geschlossen, die Häuser mit SS oder etwas ähnlich Edlem belegt. Aber der Mann und »Priester«? Er wünscht den deutschen Sieg! Er wünscht den deutschen Sieg, obwohl er schmerzlich empfindet, was im Namen Deutschlands
geschehen ist und täglich geschieht! Er weiß, was wir für Blutbäder mit den Juden angerichtet haben, was wir in Polen, in Russland, in der Tschechei usw. getan haben. Und doch wünscht er den deutschen Sieg. Warum? fragte ich ihn. Weil die Anglo-Amerikaner im Falle ihres Sieges das deutsche Volk vernichten würden! Verhungern, umkommen lassen!
»So? Da will ich Ihnen sagen, Herr Priester: Tausendmal lieber will ich verhungern, will auf irgendeine elende Weise umkommen, als dass dieser Schrecken aller Schrecken siege!«
Der »Priester« zuckte mitleidig und hoheitsvoll die Schultern.
»Herr, vergib ihr, denn das Weib weiß nicht, was es spricht!« So sprach sein Gesicht. Vielleicht geht er hin und zeigt mich an! Nun wohl!“
//
Quelle: Anna Haag, Denken ist heute überhaupt nicht mehr in Mode - Tagebuch 1940-1945, S. 222";2021-09-30T17:32:25.000Z;4 likes;29
30;4ndr3_1997;Wie ist er da raus gekommen ist?;2021-09-30T15:33:29.000Z;0;-
31;jeylina28;"Gestern erst hab ich den Film ""Der Pianist"" angeschaut. Vor diesem Hintergrund berührt mich dieses Projekt noch mal ganz anders. Was bin ich dankbar für ein bisher und hoffentlich andauerndes kriegsfreies Leben, ohne Angst vor Verfolgung, Folter und Tod. Haben sich Sophie und Fritz noch einmal wiedergesehen bevor sie ermordet wurde?";2021-09-30T15:23:57.000Z;35 likes;-
31-1;ichbinsophiescholl;@jeylina28 #TeamSoffer Fritz und Sophie haben sich das letzte Mal im Mai 1942 gesehen und standen durch ihren regen Briefverkehr bis zu Sophies Verhaftung in Kontakt.;2021-09-30T15:32:59.000Z;18 likes;31
31-2;ava.santimea;@ichbinsophiescholl wie lange und wie weit geht das Projekt eigentlich? bis zur Verhaftung, oder auch die Verhandlungen bis zur Hinrichtung? ich hab letztens eine Menge über die Verhandlungen gelesen und fand Sophie darin so unfassbar stark und standhaft, fände es spannend wenn wir hier in dem Projekt auch noch davon erfahren... liebe Grüße!;2021-09-30T16:06:44.000Z;8 likes;31
31-3;ichbinsophiescholl;@ava.santimea #TeamSoffer Vielen Dank für deinen Kommentar und schön, dass du dabei bist! Wir freuen uns, dass dich Sophies Geschichte und ihr Wirken so berührt. Wir zeigen die letzten 10 Monate ihres Lebens und das Projekt endet mit Sophies Verhaftung.;2021-09-30T16:15:02.000Z;27 likes;31
31-4;nizi_4489;@ichbinsophiescholl beim lesen hab ich sofort Gänsehaut bekommen 😢 tolles Projekt bitte macht weiter so! Es gibt noch viele andere Menschen, die nicht in Vergessenheit geraten sollen🙌;2021-09-30T18:13:51.000Z;5 likes;31
31-5;ava.santimea;@nizi_4489 richtig, ich wünsche mir ja zb ein solches Projekt mit Anne Frank... 😬;2021-09-30T19:14:30.000Z;9 likes;31
31-6;nizi_4489;@ava.santimea ja total. An Anne Frank hab ich auch gedacht :);2021-09-30T19:15:51.000Z;4 likes;31
31-7;barbara_gurtner;@ava.santimea das ist eine tolle idee!;2021-09-30T19:15:53.000Z;1 like;31
31-8;katharina.helling;"@nizi_4489 @ava.santimea
Zu Anne Frank gab es bereits ein ähnliches Projekt; falls es Euch interessiert:

@annefrankhouse_official via deren YouTubeKanal auf niederländisch (Untertitel in vielen Sprachen, u. a. deutsch verfügbar) - hier wurden auch diverse Erklärvideos mit Hintergründen etc produziert.

Andere Projekte dieser Art sind (alle bereits abgeschlossen, können aber noch ‚nachgeschaut‘werden):

@eva.stories - über ein polnisches jüdisches Mädchen (auf englisch)

Und noch etwas ähnliches zu einer anderen Epoche: 2019 wurde ein junge Frau auf dem Kanal der @tagesschau in den letzten Wochen und Monaten vor dem Mauerfall begleitet. Die Charaktere in dieser Geschichte sind fiktiv, es wurden viele Originalaufnahmen von damals verwendet. Alle Stories können hier abgerufen werden: @norasommerfeld

Weitere, zB auch aktuell laufende Projekte, kenne ich leider nicht.";2021-10-01T07:48:02.000Z;2 likes;31
32;tilldyn;Solche Informationen konnte man in Briefen von der Front schreiben, ohne dass sie zensiert wurden?;2021-09-30T15:11:47.000Z;1 like;-
32-1;miklenke;@tilldyn Ich habe in einem ausführlichen Kommentar auf diese Frage gelesen, dass Milliarden von Briefen geschrieben wurden und daher nur stichprobenartig manche Briefe überprüft wurden. Die Chance bestand also, dass solche Briefe nicht entdeckt wurden.;2021-10-02T12:47:28.000Z;1 like;32
32-2;tilldyn;@miklenke ergibt Sinn, danke für die Antwort!;2021-10-02T13:02:31.000Z;0;32
33;sui_los_gatos;Wurde die Feldpost eigentlich inhaltlich kontrolliert oder konnten die Soldaten frei über ihre Erlebnisse berichten ohne Repressalien zu befürchten?;2021-09-30T14:54:06.000Z;3 likes;-
33-1;ichbinsophiescholl;@sui_los_gatos #TeamSoffer Die Briefe wurden stichprobenartig geöffnet und kontrolliert um zu Vermeiden das Kriegsinformationen und Vorgehen preisgegeben wurden. Die Feldpost-Prüfstellen leiteten diese Informationen dann an die Spionage in Berlin weiter. Dort wollte man auch herausfinden, wie die Stimmung der Soldaten war. Bei rund 40 Milliarden Postsendungen wurden 30.000-40.000 verschiedener Vergehen festgestellt und Verurteilungen ausgesprochen. Vor diesem Hintergrund war es sehr gefährlich für Fritz und Sophie, dass sie so offen über ihre Abneigung gegen den Krieg schrieben.;2021-09-30T15:27:05.000Z;13 likes;33
33-2;sui_los_gatos;@ichbinsophiescholl danke, das war sehr interessant;2021-09-30T18:33:32.000Z;0;33
33-3;ichbinsophiescholl;@sui_los_gatos #TeamSoffer Gerne!;2021-09-30T18:38:54.000Z;1 like;33
34;drejo76;"❤❤❤❤
Es ist für mich ein Komisches Gefühl hier Deine Geschichte zu sehen, wohlwissend wie sie aus geht....
Wie mutig Du bist, kämpfst, für den Frieden, Freiheit und Gleichstellung aller..... und dann sehe ich unser heutiges Deutschland, und man bekommt das Gefühl, als ob Dein Erbe, und das derer, die so sehr dafür gekämpft haben, daß wir heute so leben dürfen und können wie wir es tun, mit Füssen getreten und vergessen wird....
Wir brauchen mehr Geschwister Scholl";2021-09-30T14:39:24.000Z;11 likes;-
34-1;phoebzy;Noch schlimmer ist es, dass genau die Leute, die die Nachfolger der nsdap feiern, diejenigen sind, die sich selber im Widerstand sehen. Erst neulich die Diskussion mit bekannten gehabt: sie sind erleuchtet, nur ihre Fakten sind die wahren Fakten und alle anderen sind Schlafschafe. Traurig. Ich wünschte, es gäbe Zeitreise. Verpflichtend für drei Monate in das NS Deutschland zurückreisen....;2021-09-30T17:55:38.000Z;2 likes;34
35;michael.gebler;❤️;2021-09-30T14:39:09.000Z;0;-
36;paulchen_panzer;Gestern Abend nochmal Schindlers Liste geguckt... In weiser vorraussicht das ich dann definitiv nicht mehr schlafen kann aber es muss einfach immer wieder ins Gedächtnis gerufen werden. Auch wenn die Verfilmung nicht 100%ig ist.;2021-09-30T14:26:48.000Z;0;-
37;oj1305;Mein Opa war in Stalingrad und ist da wahrscheinlich heute noch irgendwo. Seine Tochter hat er nie gesehen. Die Feldpost mit dem Bild kam zurück, weil unzustellbar. Krieg ist zu nix nutze. Außer für die Profiteure.;2021-09-30T14:18:37.000Z;5 likes;-
37-1;sui_los_gatos;Bei uns genauso. Mein Opa ist auch in Russland gefallen und hat seine 2 Monate alte Tochter nie kennen gelernt.;2021-09-30T14:52:41.000Z;1 like;37
37-2;olga_von_huhn;Mein Uropa ist auch noch dort irgendwo. :( Habe letztens alte Fotos und Briefe sehen dürfen von ihm an meine Uroma. Erschütternd und so endlos traurig.;2021-10-01T06:28:19.000Z;3 likes;37
38;martina_mordt;Soooo schlimm 😞 mich wundert das überhaupt Briefe an/durchkommen 😞;2021-09-30T14:03:31.000Z;1 like;-
38-1;ichbinsophiescholl;@martina_mordt Ja, wenn auch unregelmäßig. Manchmal muss ich Wochen auf einen Brief warten. Deswegen möchte ich mich auch mit der Antwort beeilen. Man weiß ja nie, wie lang der Weg zu Fritz ist.;2021-09-30T19:35:23.000Z;3 likes;38
39;annie_henning_bayern;Eins ist sicher: Du bist kein Held, wenn Du kämpfst;2021-09-30T14:03:25.000Z;0;-
40;beatrice_englaender;OMG was für eine unendlich grausame Welt !;2021-09-30T14:02:30.000Z;1 like;-
