Link: ;https://www.instagram.com/p/CPBTe7jHkEW/
Id/Reply-Id;User;Comment;Date;Likes;Reply To CommentId
1;kfk.15;Und dass gibt's immer noch in 2021, Sophie;2021-07-01T09:59:05.000Z;0;-
2;sajjad_beheshtii;Intresting;2021-06-10T07:39:43.000Z;0;-
3;pictureviktoria;@lena_amelita;2021-05-28T20:13:37.000Z;1 like;-
4;andrea_adri_19;Die Schauspilerin bekommt 12 Points von MIRRRRRRRRRR.;2021-05-27T14:59:17.000Z;0;-
5;plasa_gemeinschaft;"Und das in Zeiten von Frau Merkel, Frau Wagenknecht, Frau Clinton und co.

Was die Zeit uns alles bringt <3";2021-05-26T17:05:32.000Z;0;-
6;helmidiflaoui;I love you'r eyeeeees 🔥🔥🔥🔥🔥🔥🔥🔥❤️❤️;2021-05-25T23:48:47.000Z;0;-
7;l.kr5;Luna Wedler beste Schauspielerin;2021-05-25T19:14:41.000Z;0;-
8;lenaschwarzgruber;@leahinterho;2021-05-24T10:00:24.000Z;1 like;-
9;elise._.xd;👏;2021-05-22T08:21:51.000Z;0;-
10;ni_ka_1998;Liebe Sophie, ich gebe dir und deinen Worten völlig recht. An wen denkst du, wenn du das schreibst? Außer an dich, natürlich :) welche Frau begeistert, inspiriert dich?;2021-05-22T07:51:34.000Z;1 like;-
11;mllerleon;Die kenne ich. Das ist Jana aus Kassel.;2021-05-21T10:47:01.000Z;1 like;-
12;schoolsven;❤️👏😘;2021-05-20T22:31:14.000Z;1 like;-
13;netterholger;Dann bleibe wütend und beweise das Gegenteil Sophie!!;2021-05-20T20:27:07.000Z;1 like;-
14;rinakubra;Gänsehautprojekt❤️;2021-05-20T18:13:01.000Z;1 like;-
15;_mvxli;Wie stolz die echte Sophie Scholl wohl ist. Ich bin so begeistert von dieser Seite, einfach toll😍😍;2021-05-20T15:56:04.000Z;1 like;-
16;_maks_.r;❤️❤️❤️❤️❤️;2021-05-20T12:02:06.000Z;1 like;-
17;_linus05;Sophie, mach weiter so. Frauen, gerade so wie du, können einen großen Einfluss auf die Geschichte haben. Zeit mit überflüssigen altbackenen Mustern zu brechen. Zeit umzudenken und alle Geschlechter mit gleichem Wert zu betrachten.;2021-05-20T09:42:11.000Z;1 like;-
18;jtrogler;In diese Falle gehen so viele.;2021-05-20T09:12:29.000Z;1 like;-
19;sabri_sub31;#girlpower🎉 🤜🤛🎉;2021-05-20T07:16:31.000Z;0;-
20;lyntonfalconer_;Würde mir Empathie in der Politik wünschen, Psychopathen haben wir genug, egal welchen Geschlechts.;2021-05-20T01:36:36.000Z;0;-
21;annika_stz03;"""Emotions cloud judgement""";2021-05-19T22:33:32.000Z;0;-
22;tunisstar44;Toll! Wahnsinn ich bin so froh hier in deinem leider viel zu l kurzen Leben scrollen zu dürfen. 😍Du Heldin 😍;2021-05-19T20:54:02.000Z;0;-
23;saturnbienen;So viel hat sich da nicht geändert...;2021-05-19T19:22:11.000Z;0;-
24;eileen_a_tieno;Liebe Sophie, deine Schwester wird fast 16 Jahre unter einer deutschen Kanzlerin leben. Eurer Generation und der Generation eurer Töchter verdanken eure Enkeltöchter ein ganz anderes Leben ❤️ (zugegeben: auch 2021 ist noch viel zu tun);2021-05-19T19:04:16.000Z;0;-
24-1;eileen_a_tieno;@eileen_a_tieno Und PS: Liebe Sophie, in 2021 kann ich mir überhaupt nicht vorstellen, dass ein Mann auch Kanzlerin werden kann. Insbesondere dann nicht, wenn ich mir die Männer anschaue, die in diesem Jahr Kanzlerin werden wollen.;2021-05-19T19:06:03.000Z;1 like;24
25;iggy._.koggy;Hübsch❤️🙌🔥;2021-05-19T18:50:01.000Z;0;-
26;tba_ana;Hätte Sophie auf ihren Verstand gehört, hätte sie das gleiche gemacht wie die meisten, zu viele zu der Zeit. Aber ihr Herz muss ihr gesagt haben, dass es nicht richtig war, und eine starke Leidenschaft ist in ihr entbrannt etwas dagegen zu unternehmen..aus Liebe zur Gerechtigkeit und Menschheit. Ich finde das ziemlich weiblich.;2021-05-19T18:36:11.000Z;1 like;-
27;leseratte_lui;Wie wahr! Schon an dir sieht man, dass Frauen auch stark sind und Grips haben! 💭💪;2021-05-19T18:15:16.000Z;0;-
28;corneliushein;So ein Quatsch. Genau Sophie, zeig es denen;2021-05-19T17:02:13.000Z;0;-
29;muc.pb;bist du nicht tod ?;2021-05-19T17:00:17.000Z;1 like;-
30;minna_im_garten;Liebe Sophie, ich komme aus der Zukunft. Leider muss ich dir sagen, dass wir dieses Problem auch im Jahr 2021 noch habe. Frauen haben viel erreicht — sie sitzen in Firmenvorständen, sind Rennfahrerinnen, verdienen ihr eigenes Geld und verwalten es auf IHREN eigenen Konten, Frauen entscheiden selber, ob sie arbeiten oder nicht und wir hatten jetzt 15 Jahre lang sogat eine Bundeskanzlerin. Und dennoch sind wir Männern gegenüber nicht gleichgestellt, weder in den Köpfen, noch faktisch. Aber es gibt auch weiterhin Hoffnung! 😉;2021-05-19T16:40:18.000Z;0;-
31;_sarlett_;Ich liebe diese zeitreisen auf imstagram ein tolles Projekt 👏 weiter so. Ich hoffe die Junge Generation kann was lernen. Nicht so wie die peinliche Nummer mit der Jana aus Kassel.;2021-05-19T15:50:07.000Z;0;-
32;barbara_brigitta;Euer Portal ist das beste was ich mir anschaue...alle anderen profilieren sich nur....die habe ich gelöscht!...so authentisch zu spielen...einfach genial...nur das Ende will ich nicht sehen...tut mir zu weh;2021-05-19T15:42:07.000Z;0;-
33;reading_withtheblondgirl;Ohja das geht mir genauso🙄 das hat sich leider nicht geändert. Frauen werden oft als minderwertig angesehen und von Männern schlecht behandelt. Aber nicht mit mir😊;2021-05-19T15:35:34.000Z;0;-
34;raumausstattung_stein;ohne uns Frauen wären die Männer hilfloser ... und ihre Nachkommen bekommen sie auch ohne uns nicht hin ... wer hat also hier die Macht?!? WIR !!! wir, Frauen können Multitasking: Haushalt, Kinder und hart Arbeiten, egal wo ... nicht nur damals, sondern ganz besonders jetzt 2021 zu Coronazeiten;2021-05-19T14:27:13.000Z;0;-
35;ire.li;👏;2021-05-19T14:17:47.000Z;0;-
36;werklabor.solothurn;Ach, liebe Sophie...wenn Du wüsstest wie wenig sich diesbezüglich wirklich in den Köpfen der männlichen Gesellschaft geändert hat! Und wie wenig sich die jungen Frauen dagegen auflehnen...oder noch besser wie gerne die jungen Frauen mit diesem Erwartungsbild kokettieren oder sich reinpressen lassen. Wie wenig ihnen (und auch mir in meinen jungen Jahren) bewusst ist/war, wie verheerend das Bedienen dieser weiblichen (äusserlichen) Pseudoideale für die eigene Entwicklung ist.;2021-05-19T13:47:57.000Z;0;-
37;pascal18021999;Endlich mal ein sinnvolles Profil was die Geschichte aufleben lässt. Super Arbeit die ihr euch macht um uns das alles so rüberzubringen. Hut ab!;2021-05-19T11:43:09.000Z;0;-
38;wakki01;Ihr macht das hier richtig gut. Sehr großes Lob und mehr davon 👏👏👏;2021-05-19T11:31:00.000Z;0;-
39;withabecken;👍genau so !!!☺️;2021-05-19T11:11:11.000Z;0;-
40;bejolo2014;"Durch alle Jahrhunderte hat es starke und intelligente Frauen gegeben. Wie Du Sophie.
Und depperte Männer die um sich keilen wenn sie glauben es wird ihnen etwas weggenommen.
Fortschritte scheinen nur in Trippelschritten zu passieren.
Aber die Anzahl der Männer die es realisieren wird kontinuierlich größer. Auch meine Mutter (deine Generation Sophie) hat dafür gesorgt das ich einer geworden bin.
Dennoch zehrt es an den Nerven.";2021-05-19T10:17:37.000Z;1 like;-
41;domiplf;🔥;2021-05-19T08:56:21.000Z;0;-
42;domiplf;🔥;2021-05-19T08:56:21.000Z;0;-
43;domiplf;🔥;2021-05-19T08:56:20.000Z;0;-
44;domiplf;🔥🔥;2021-05-19T08:56:19.000Z;0;-
45;domiplf;Waschbär;2021-05-19T08:56:18.000Z;0;-
46;domiplf;Hallo;2021-05-19T08:56:13.000Z;0;-
47;chiangelus;Klingt wie die ideale der Werteunion;2021-05-19T08:46:06.000Z;0;-
48;ichbindieheidi;Kaum zu glauben, dass dies Mal das allgemeine Frauenbild war. Bin um das Umdenken und die Treiber dahinter dankbar...🔥 und traurig das diese Treiber in der heutigen Zeit teilweise auch noch/immer noch nötig sind.;2021-05-19T08:42:32.000Z;0;-
49;steffi_helm;Das Gefühl kenne ich auch gut. Wenn andere meinen, man sei zu dumm, um Dinge zu erfassen und durchblicken. Arme Seelen ...;2021-05-19T08:23:43.000Z;4 likes;-
49-1;ichbinsophiescholl;@frl_smilla Arme Seelen, du sagst es. Ich werde es ihnen zeigen! Ich kann Fühlen und Denken, und politisch sein kann und darf ich ganz genauso.;2021-05-19T09:29:58.000Z;56 likes;49
50;vulcau_deniz;Diese Logik endet aber auch schon sehr schnell! Insofern das wenn man sich um andere Menschen kümmert, mann ja auch denken muss um eine Lösung für ein Problem zu finden! 😅;2021-05-19T08:11:20.000Z;1 like;-
51;mezzogini;Finde ich super! Nur leider übertreiben es viele Frauen, besonders wenn sie Führungspositionen haben und behandeln Männer wie Dreck. 🙄;2021-05-19T07:39:57.000Z;0;-
52;paulanermartini;@therealbirn.baum 1,3/10;2021-05-19T07:24:31.000Z;0;-
52-1;therealbirn.baum;@paulanermartini uff;2021-05-19T07:25:33.000Z;0;52
53;autorin_carolin_helm;Hm... Nicht ganz richtig. Bauchgefühl ist ganz, ganz wichtig und sollte nicht ignoriert werden. Du kannst ja selbst nicht von dir weisen, dass dir die Politik der Nazis Bauchschmerzen macht.;2021-05-19T07:15:08.000Z;0;-
53-1;ichbinsophiescholl;@autorin_carolin_helm Wohl Recht hast du, Bauchschmerzen habe ich schon lang. Doch merke ich, wie mein Herz... ja meine Gefühle mich noch immer irreleiten, auf meinen Verstand ist meist Verlass.;2021-05-19T09:32:07.000Z;25 likes;53
54;nature_healing_snowy;Trifft gut auf 2021 zu;2021-05-19T07:13:54.000Z;0;-
55;mathilda.harbering2018;Obwohl Emotionalität und Empathie natürlich auch eine Stärke ist!;2021-05-19T06:49:12.000Z;1 like;-
56;sabine.hagedorn;Stimmt. In Teilen bis heute.;2021-05-19T05:53:10.000Z;0;-
57;ichbindieheidi;Kaum zu glauben, dass dies Mal das allgemeine Frauenbild war. Bin um das Umdenken und die Treiber dahinter dankbar...🔥 und traurig das diese Treiber in der heutigen Zeit teilweise auch noch/immer noch nötig sind.;2021-05-19T04:38:12.000Z;1 like;-
58;lifeofkadi;Ich denke nicht, dass das Eine das Andere ausschließt. Genau das macht uns doch zu Menschen, dass wir denken UND fühlen können. Und wenn du glaubst du würdest nur deinen Verstand benutzen, dann liegst du ganz falsch, denn es sind deine Gefühle, die dir sagen, dass das was geschieht Unrecht ist 😉 Man kann also ruhig öfters auch auf sein Herz hören;2021-05-19T00:46:01.000Z;1 like;-
59;yaqamar;Und aus gegebenem Anlass: Frausein ist kein Gefühl.;2021-05-18T23:16:55.000Z;0;-
60;unterhuberchristian21.8.1898;Hübsch☺️👍;2021-05-18T23:00:16.000Z;0;-
61;mil_178;Ich liebe liebe lieeebe @ichbinsophiescholl wie gut Sie das rüberbringt 👏🙌🔥 wie alles damals war und die Biografie der Sophie wiedergibt!😍;2021-05-18T22:38:02.000Z;1 like;-
62;slltnt;You talk from my heart ❤️;2021-05-18T22:26:19.000Z;1 like;-
63;brusseecharlie;Great shot 👏;2021-05-18T21:59:11.000Z;0;-
64;silvia1lola;"diesen ""Kampf"" gibt es immer noch.. es hat sich einiges getan - doch ist es noch lange nicht abgeschlossen: eine wirkliche Gleichberechtigung auf allen Ebenen !❤️ Wir denken und handeln weiter!🙂";2021-05-18T21:44:26.000Z;0;-
65;elsnerklaus;❤️;2021-05-18T21:27:43.000Z;0;-
66;bett__ina_;Zu deiner Zeit waren viele Frauen politisch. Aber aus einem andern Stand als du. Warum hast du das nicht gesehen.;2021-05-18T21:06:16.000Z;0;-
67;_petropolis_;@bur.yilmaz;2021-05-18T21:05:26.000Z;1 like;-
68;macht.chancen.gleich;In 80 Jahren haben wir diese Klischees sicher überwunden und nutzen die Fähigkeiten aller. Was sonst?;2021-05-18T21:04:12.000Z;1 like;-
69;bett__ina_;Hi Sophie. Bin jetzt etwas ketzerisch. Du hast einen Anspruch an deine Gefühle und deinen Stand als Frau. Hast du eigentlich von Kommunisten gehört. Bert Brecht? Weil? Sie haben auch von Frauen geschrieben, gesungen. Die sind weniger privilegiert als du aufgewachsen. Warum habt ihr euch nicht mit dem Proletariat zusammen getan? Zu;2021-05-18T21:04:08.000Z;0;-
70;ernst.jetzt;Agree on this!;2021-05-18T20:58:27.000Z;0;-
71;thisisnaadja;👏;2021-05-18T20:45:53.000Z;0;-
72;lilly_0432_;Habt ihr gestern im Video nur so getan oder wirklich miteinander geschlafen??;2021-05-18T20:44:38.000Z;0;-
73;gabiwenderdel;Sind das eigentlich Originalzitate oder nur Worte, wie sie Sophie Scholl vermutlich gedacht haben könnte? Wirklich ein tolles Projekt. So kommt einem eine historische Person noch mal näher. Hoffentlich macht das Schule und wir können noch andere historische Personen begleiten.;2021-05-18T20:41:12.000Z;1 like;-
73-1;ichbinsophiescholl;"@gabiwenderdel #teamsoffer
„Ich aber finde, dass zuerst das Denken kommt und dass Gefühle oft irre leiten, weil man über dem Kleinen, das einen vielleicht unmittelbar betrifft, vielleicht am eigenen Leib, das Große kaum mehr sieht"" ist ein Originalzitat aus einem Brief von Sophie an Fritz 1940. Die restliche Caption wurde sinngemäß aus weiteren Briefen Sophies entnommen, entspricht also ihren tatsächlichen Gedanken. In dem Buch „Damit wir uns nicht verlieren: Briefwechsel 1937-1943"" findest du viele weitere Briefe und Gedanken Sophies. Danke für deine lieben Worte!";2021-05-19T09:44:33.000Z;2 likes;73
74;nadinhe84;Das geht mir auch immer mal wieder so! Es gibt zu viele Männer, die uns Frauen immer noch zu wenig zu trauen. Das wird wohl so bald nicht völlig auszumerzen sein. Leider.;2021-05-18T20:40:52.000Z;1 like;-
75;anna.listisch;Auch heute macht der weibliche Intellekt noch vielen, wenn nicht sogar den meisten Männern Angst. Warum eigentlich? Welche Nachteile haben sie durch meine (weibliche) Intelligenz?;2021-05-18T20:40:28.000Z;1 like;-
76;gudruneva;@helena_marie_brand;2021-05-18T20:35:13.000Z;0;-
77;miss.rotfuchs;Sieht man doch aktuell auch wieder bei vielen Kommentaren, die sich gegen Annalena Baerbock richtigen. Sie wird als Frau in höchstem Maße sexistisch angegriffen. Widerlich sowas... 🙄;2021-05-18T20:34:52.000Z;0;-
78;suziswift62;👏👏👏;2021-05-18T20:25:03.000Z;0;-
79;ly.wie.li.nur.nicht.mit.i;Lieb die Message! So wichtig einfach!!! 👏🏼;2021-05-18T20:23:41.000Z;0;-
