Link: ;https://www.instagram.com/p/CY53xoJsH_w/
Id/Reply-Id;User;Comment;Date;Likes;Reply To CommentId
1;jojo_v.07;❤️;2022-01-20T18:59:52.000Z;0;-
2;x_x_natascha_x_x;Hey Sophie. Richtig stylo siehst du aus ! Du bist ein alltime Classic ❤️ #modewiederholtsich 👌🏽;2022-01-19T21:01:29.000Z;1 like;-
3;the_cellist;Berührender Text und so wahr auch in den heutigen Zeiten;2022-01-19T20:51:56.000Z;0;-
4;conna_bn;Unerträglich, und keiner scheint was draus gelernt zu haben. Ich sage nur Ukraine!;2022-01-19T20:25:21.000Z;0;-
5;schneeseekleerehzehfee;Sophie , welchen Tag schreiben wir heute?;2022-01-19T17:38:59.000Z;4 likes;-
6;belipfeifer;Zahlen Sophies Eltern ihr Studium, oder wie verdiente sie sich das Geld?;2022-01-19T16:27:12.000Z;2 likes;-
7;sfhan44;Amazing;2022-01-19T15:57:34.000Z;0;-
8;kathbes20;Ist bekannt ob oder wieviel Fritz über die weiße Rose wusste und wie er dazu stand?;2022-01-19T15:04:06.000Z;3 likes;-
9;laurieontheroad;Der Fritz wird es schaffen Sophie;2022-01-19T14:59:06.000Z;0;-
10;janpatrickliesegang;Ich will nicht, dass dieser Quatsch von meinen Rundfunkgebühren bezahlt wird... 🙄;2022-01-19T14:29:59.000Z;1 like;-
11;jeany_crx;Haben Sophie und Fritz sich noch einmal wieder gesehen?;2022-01-19T14:13:21.000Z;2 likes;-
12;sylviodonner;Es gab Konzerte? Wie hat man sich das vorzustellen @ichbinsophiescholl;2022-01-19T12:24:51.000Z;1 like;-
13;christine.binggeli;🙌;2022-01-19T10:45:05.000Z;0;-
14;changed.by.popular.demand;"19. Januar 1943, Konzentrationslager Auschwitz
Die Kommandantur des KL Auschwitz wird vom WVHA angewiesen, die den Angehörigen bzw. deutschen Dienststellen übersandten Kleidungsstücke verstorbener Häftlinge sorgfältig von Blutflecken zu reinigen.

Quelle: Danuta Czech: Kalendarium der Ereignisse im Konzentrationslager Auschwitz-Birkenau 1939-1945, S. 387.";2022-01-19T10:16:12.000Z;9 likes;-
15;eggi0383;"Ist Fritz eigentlich ""im Kessel"" oder außerhalb? Weil die im Kessel sind ja größtenteils umgekommen oder, nach Gefangenschaft verschollen. Da haben es leider richtig wenig (im Verhältnis) nach Hause geschafft.";2022-01-19T10:10:36.000Z;4 likes;-
16;christophergreverode;Du kannst Fritz gerade nicht helfen außer durch Liebe und Gebet und Beistand. Genieße Dein Leben so gut es geht, genieße Deine Freiheiten, solange sie währen. Ich glaube, das würde Fritz gefallen.;2022-01-19T10:08:08.000Z;3 likes;-
17;martina_mordt;Es ist kaum zu begreifen was dort passiert, und zu Hause gehen die Menschen in die Uni oder zu Konzerten…ich glaube, hätte es damals tatsächlich schon so etwas wie Instagram gegeben, wäre vieles nicht möglich gewesen. So haben viele Menschen nur die Wochenschauen gesehen und geglaubt was dort gezeigt wurde, oder sie wollten es glauben 😞;2022-01-19T10:05:39.000Z;5 likes;-
18;annie_henning_bayern;Stalingrad wäre anders ausgegangen, wenn Paulus früher kapituliert hätte. Das verurteile ich an ihn. Ich meine, ein Kommandeur, der zu sieht, wie seine Armee sinnlos verhungert und erfriert. Ein Kommandeur, der weiß, dass er nicht siegen kann und es keine Chance mehr gibt;2022-01-19T09:58:09.000Z;2 likes;-
19;marita_von_wuff;Wenn Fritz nach dem Krieg Elisabeth geheiratet hat was wurde dann aus Ortl?;2022-01-19T09:54:24.000Z;4 likes;-
