Link: ;https://www.instagram.com/p/CZjD_W8sW3U/
Id/Reply-Id;User;Comment;Date;Likes;Reply To CommentId
1;ansgarwfl;Gebe ihr die neueste Zeitung zum lesen das heitert immer auf den Ausdruck eurer Kampagne. Schenke ihr auch einen Strauß Blumen. Hatte Sophie damals eigentlich einen Notfall Plan falls sie irgendwie erwischt werden sollten was sie auch wurden?;2022-02-08T21:41:03.000Z;0;-
2;meliundmehr;Mich hat damals der Kinofilm schon so fertig gemacht 😢;2022-02-06T19:31:23.000Z;0;-
3;jiska_;Eine deiner Zeichnungen!;2022-02-05T22:34:31.000Z;0;-
4;peaceandlove_hh;"Du kannst doch so schön malen. Male doch ein Bild. Das kannst Du auch im Zug, lass dich von der vorüberziehenden Landschaft inspirieren.
Viel Glück 🍀";2022-02-05T12:04:35.000Z;4 likes;-
5;nennabx;Liebe Sophie, ich finde auch, Du könntest etwas wunderschönes zeichnen. Da wird sich Deine Mama sehr erfreuen! Pass auf Dich auf und bleib gesund 🍀;2022-02-05T07:03:43.000Z;0;-
6;lyalldavey;diese projekt hat mir sehr gefallen. ich kenne was bald passiert. ich habe so viel stolz fur Sophie. Das welt war so sehr sehr glucklich ein mensch wie Sophie. wir lieben ihr.;2022-02-05T06:17:33.000Z;0;-
7;josidiamondt;Ach wie schön! Ich freue mich, dass es meinem Geburtstagszwilling gut geht und ihr aufatmen könnt. Deiner Mutter und Inge Gute Besserung! 🍀;2022-02-05T00:22:35.000Z;0;-
8;netterholger;Vielleicht Schokolade, oder ein Freundschaftsbändchen oder sowas? Einen schönen Geburtstag jedenfalls für Fritz!;2022-02-04T23:56:24.000Z;0;-
9;_enya_m_;Ich finde Zeichnungen super als Mitbringsel oder generell als Geschenk, Lieblingstier oder Erinnerungen die man mit der Person verknüpfunt kommen gut an;2022-02-04T21:17:32.000Z;0;-
10;zoe.undnedzoey;Dieser Account und die ganze Arbeit, die hier dahintersteckt, ist wirklich toll und beeindruckend! Ich frage mich allerdings immer wieder, warum Sophies Schwester Elisabeth hier nie gezeigt oder auch nur erwähnt wird, das finde ich irgendwie irritierend, könnt ihr dazu etwas sagen?;2022-02-04T20:40:02.000Z;2 likes;-
11;_sven_w;Backe ihr ein Mamorkuchen was selbst gemachtes ist immer was schönes 😊;2022-02-04T20:17:05.000Z;0;-
12;annaisabel_r;Zwiebel Saft. Macht gesund und Zwiebeln sind vielleicht noch aufzutreiben...;2022-02-04T18:34:19.000Z;0;-
13;_sonja.eberle_;🙌;2022-02-04T18:05:42.000Z;0;-
14;nichtsophiescholl;"Am Morgen des 4. Februar 1943 tauchen in München Wandanschriften an unterschiedlichen Orten auf.

Wer die Urheber sind, kommt erst später heraus. Alexander Schmorell hat eine 25 x 15 Zentimeter große Schablone angefertigt. Mit Pinsel und Teerfarbe werden die Parolen angebracht. Am Eingang des Universitätsgebäudes schreiben Hans Scholl, Willi Graf und Alexander Schmorell am 4. und am 9. Februar 1943 in großen Buchstaben mehrmals „Freiheit“ und „Nieder mit Hitler“.";2022-02-04T18:03:37.000Z;4 likes;-
15;kerstinleabaldzuhn;@larpbastelblog;2022-02-04T17:25:00.000Z;0;-
16;decoolsteopa;Eine Hanschen Jensen Torte 😍;2022-02-04T17:23:04.000Z;0;-
17;xmy_dreamworldx;Vielleicht ein selbstgemaltes Bild mit einem schönen Gedicht dazu? Das freut meine Mutter immer sehr 😊❤;2022-02-04T17:13:01.000Z;2 likes;-
18;jasxin.dk;Pfefferminztee oder generell Tee wäre doch was;2022-02-04T16:34:07.000Z;0;-
19;aquaria379;😢;2022-02-04T16:32:40.000Z;0;-
20;karina_boldys;Wenn Du Zeit für Deine Mutter hast ist das Mitbringsel genug.;2022-02-04T16:29:50.000Z;0;-
21;madeleine_roi;So eine erstaunliche und mutige Geschichte - auch wenn ich so wie jeder hier das Ende kenne - habt ihr eine tolle Arbeit hingelegt !;2022-02-04T15:01:45.000Z;3 likes;-
22;karinweiblen;Vielleicht freut sich deine Mutter über ein paar Weidenkätzchen, deren Knospen dann im warmen Zimmer aufgehen. Allererste Frühlingsboten...;2022-02-04T14:49:11.000Z;0;-
23;andrea_whatever_;Folge euch seit Anfang an, ich finde die Idee die Geschichte der Geschwister Scholl und Anhänger so zu zeigen wirklich super. Es bedrückt mich sehr zu wissen das es bald ein Ende hat. Danke für euren Einsatz ❤️;2022-02-04T14:48:23.000Z;2 likes;-
24;adnomama;Nimm deiner Mama ein paar Zweige mit. Die blühen bald.;2022-02-04T14:33:16.000Z;1 like;-
25;andrea_whatever_;Folge euch seit Anfang an, ich finde die Idee die Geschichte der Geschwister Scholl und Anhänger so zu zeigen wirklich super. Es bedrückt mich sehr zu wissen das es bald ein Ende hat. Danke für euren Einsatz ❤️;2022-02-04T14:31:02.000Z;10 likes;-
26;5a3eth;Blumen 🌷?;2022-02-04T14:27:00.000Z;0;-
27;shaka_nat;Vielleicht ein Foto von dir und Hans? Ich brauche immer Hilfe, wenn ich ein Geschenk für meine Mutter kaufe. Dein Besuch wird auch ein Geschenk ❤️;2022-02-04T13:15:08.000Z;0;-
28;alexavram01;Könntet ihr eventuell eine Film-Serie machen? Es ist sehr viel Arbeit, aber das würde eine sehr gute Serie werden. Vielleicht werdet ihr auch sehr berühmt. Grüße aus Tegernsee!;2022-02-04T13:14:05.000Z;0;-
29;gwen_gloeckchen;Stimme brombeer-eis Worten absolut zu! Komme gesund bei deinen Lieben an, das ist das tollste Geschenk, dass du deiner Familie -und uns!!😊- machen kannst! Habt ein schönes Wochenende, ihr Lieben!;2022-02-04T13:09:53.000Z;0;-
30;jogroe;@g.groe;2022-02-04T13:07:26.000Z;0;-
