Link: ;https://www.instagram.com/p/CUZ880WsV53/
Id/Reply-Id;User;Comment;Date;Likes;Reply To CommentId
1;ines_s_2;❤️;2021-09-30T10:40:48.000Z;0;-
2;zekstr;Otl-Sache?;2021-09-30T07:20:51.000Z;0;-
3;deutsch4az;🔥🇹🇷🇦🇿🇩🇪🌹👌;2021-09-29T19:41:14.000Z;0;-
4;netratz;🔥❤️;2021-09-29T18:39:03.000Z;0;-
5;_pfote_aufs_herz_;Klavier spielen kann ich nur empfehlen, ich spiele selber schon sehr sehr lange 👏🏼 - Mach einfach das was du möchtest;2021-09-29T17:24:59.000Z;14 likes;-
5-1;ichbinsophiescholl;@_pfote_aufs_herz_ Ja das Klavier ist einfach ein wunderschönes Instrument!;2021-09-29T17:34:00.000Z;6 likes;5
6;such_a_precious_jewel;Musik hat keine Grenzen ❤️;2021-09-29T15:58:29.000Z;8 likes;-
6-1;ichbinsophiescholl;@such_a_precious_jewel Da hast du Recht! Kannst du ein Instrument spielen?;2021-09-29T15:59:28.000Z;3 likes;6
6-2;such_a_precious_jewel;@ichbinsophiescholl ich hab früher auch Flöte gespielt ( Sopranund Altflöte ) aver bin durch meine Lieblingsband inspiriert worden E- Gitarre zu lernen ❤️🎸. Für mich das tollste Instrument ever !;2021-09-29T16:03:01.000Z;3 likes;6
6-3;ichbinsophiescholl;@such_a_precious_jewel #TeamSoffer Das klingt super!;2021-09-29T17:18:46.000Z;3 likes;6
7;line_nelly89;Musik macht Glücklich ❤️❤️❤️;2021-09-29T14:50:12.000Z;2 likes;-
7-1;ichbinsophiescholl;@line_nelly89 Ja und es lenkt ein wenig ab! Es tut so gut, wieder etwas Kreatives zu machen!;2021-09-29T15:52:54.000Z;2 likes;7
8;miezzekatze;Finds ja krass wie sehr sich die Kinderzimmer bzw Jugendzimmer verändert haben. Heute sind die Vollgestopft mit Nonsens den man eigentlich nicht braucht.;2021-09-29T13:59:09.000Z;3 likes;-
9;katrinpruchniewski;"Viel Spaß beim Musizieren.
Das ist eine schöne Ablenkung.🌹";2021-09-29T13:35:05.000Z;13 likes;-
9-1;ichbinsophiescholl;@katrinpruchniewski Das stimmt. Nicht nur für Vater, sondern auch für uns!;2021-09-29T13:40:58.000Z;5 likes;9
10;katesfavourites;Oh wie toll. Ich bin gespannt, ob euer Vater es hören kann. 😊;2021-09-29T13:14:00.000Z;2 likes;-
11;camillavictoriavoigt;Na das ist doch mal was ❤️;2021-09-29T13:12:57.000Z;2 likes;-
12;elakuehn72;Freue mich, dass Inge dabei ist ... ich war mir nicht ganz sicher, ob sie mitmachen würde ... jetzt könnt ihr zusammen eurem Vater eine Freude machen und ihn ein wenig ablenken. ❤️;2021-09-29T13:01:51.000Z;13 likes;-
12-1;ichbinsophiescholl;@elakuehn72 Ich musste ja auch ordentlich Überredungsarbeit leisten. Aber es hat sich gelohnt - ich bin froh, dass sie dabei ist!;2021-09-29T13:05:06.000Z;10 likes;12
13;helmutkeimel;Musik ist immer gut, besonders für die Seele.;2021-09-29T12:48:19.000Z;2 likes;-
14;giusy79_;Ich finde es schön das ihr zusammenhält, und somit eurem Vater eine Freude macht und ihn auf andere Gedanken bringt! 😍;2021-09-29T12:43:49.000Z;3 likes;-
