Link: ;https://www.instagram.com/p/CYEAfX4Fp8O/
Id/Reply-Id;User;Comment;Date;Likes;Reply To CommentId
1;elen.a.dorable;"Sex als freiwillige, respektvolle Begegnung zweier Menschen - das ist für Christinnen und Christen eine unaufgebbare Konsequenz der Vorstellung, dass wir Gottes Ebenbilder sind (1. Mose 1,27) Wenn im zweiten Buch Mose steht, man sollte keine Jungfrau vorehelich entjungfern darf man nicht vergessen, dass es im alten Israel nicht um Gefühle und Anstand und ""Moral"", sondern um eine wirtschaftliche Angelegenheit ging. Die entjungferte Braut hatte auf dem Heiratsmarkt keine Chancen mehr. Dafür musste die Familie finanziell entschädigt werden - durch Heirat oder Brautpreis";2021-12-29T20:42:25.000Z;1 like;-
2;diwiak;Wann haben sich Fritz u Sophie eigentlich verlobt?;2021-12-29T18:37:51.000Z;0;-
3;u.h.1963;Wer erfindet eigentlich die ganzen Geschichten hier?;2021-12-29T17:08:05.000Z;0;-
4;alexesawatzkiplasticienne;Unter einem Hut ist viel Platz ☺️;2021-12-29T16:38:46.000Z;0;-
5;cookieguroo;"Liebe Sophie, da fallt mir ein alter Spruch ein:
„Gott erlaubt vieles, was der Mensch verbieten möchte“.";2021-12-29T16:11:16.000Z;0;-
6;anjamuller565;❤️Liebe Sophie, wichtig sind nur die Liebe und die schönen Erinnerungen. Der Krieg ist schlimm genug und niemand weiss was kommt. Ob ihr nun verheiratet seid oder nicht ist total unwichtig. Bitte erhole Dich gut an Deinen freien Tagen bis die Uni wieder anfängt.;2021-12-29T15:59:20.000Z;7 likes;-
7;dragonflyabby;Ich finde es gut dass der Glaube der Sophie Scholl geleitet hat auch thematisiert wird auch bei Aspekten wie Beziehung & Sex. Ob man damit übereinstimmt oder nicht kann jeder selbst entscheiden. Aber ich finde es gut dass ihre Bedenken und Entscheidungen sehr akurat wieder gegeben werden auch wenn diese heute nicht mehr als modern gelten. Das zeichnet diese Serie aus und zeichnet aus meiner Sicht ein ungeschöntes und echtes Bild davon wer Sophie Scholl war.;2021-12-29T15:43:42.000Z;2 likes;-
8;natascha.ponczeck;Liebe Sophie, es mag blasphemisch klingen, aber Maria war damals mit Joseph lediglich verlobt, als Jesus geboren wurde. Ja, er war Gottes Sohn und sie eine Jungfrau (wenn man dies 100% so annimmt), aber deren Zeitgenossen werden dies sicherlich auch für eine dumme Ausrede gehalten haben. Aber auch wenn wir dies mal bei Seite lassen: Gott liebt alle seine Kinder. Wie kann Liebe, die ehrlich ist und aus tiefstem Herzen kommt, da falsch sein?;2021-12-29T15:42:17.000Z;0;-
9;dr.volkertiemann;Ja;2021-12-29T15:02:40.000Z;0;-
10;whggeo1;Liebe Sophie, bitte sei vorsichtig mit den Flugblättern! Der Hausmeister an der Uni ist sehr gefährlich!;2021-12-29T14:25:06.000Z;0;-
