Link: ;https://www.instagram.com/p/CUXAn2CjiX3/
Id/Reply-Id;User;Comment;Date;Likes;Reply To CommentId
1;hellwichjustin;Die Gedanken 🔥;2021-10-07T10:12:53.000Z;0;-
2;we.love.saarland;❤️❤️❤️;2021-09-29T19:08:15.000Z;0;-
3;birgit_palmer;Mein Lieblingslied in der Schule 😍;2021-09-29T16:27:55.000Z;4 likes;-
3-1;ichbinsophiescholl;@birgit_palmer Hast du das Lied gesungen oder auf einem Instrument gespielt?;2021-09-29T16:35:30.000Z;0;3
3-2;birgit_palmer;@ichbinsophiescholl gesungen, konnte leider nur Blockflöte lernen, da meine Eltern kein Geld für Unterricht hatten. Aber gesungen habe ich viel. Dann mit meinen Kindern und jetzt mit meinen Enkelinnen. Ihr Lieblings Lied ist im Moment “Bunt sind schon die Wälder”. Die älteste ist drei.;2021-10-01T13:55:33.000Z;0;3
3-3;ichbinsophiescholl;@birgit_palmer Da wird deine Enkelin aber in den kommenden Wochen viele Gelegenheiten haben ihr Lieblingslied zu singen. Auch ich freue mich auf den Herbst!;2021-10-01T14:13:50.000Z;2 likes;3
4;kleokleozh;❤️;2021-09-29T14:02:11.000Z;1 like;-
5;irene.garbe3;Total;2021-09-29T10:08:26.000Z;1 like;-
6;gabbert277;👏👏👏❤️😍;2021-09-29T05:35:46.000Z;1 like;-
7;beatrice_englaender;Treffender kannst du es nicht besingen 😉;2021-09-28T21:46:36.000Z;2 likes;-
8;felicitas.hecker;Was für ein Text! Ich mag das Lied auch sehr gerne. .. 😍;2021-09-28T21:44:40.000Z;3 likes;-
8-1;ichbinsophiescholl;@felicitas.hecker Genau wie ich! Es ist wohl die Mischung aus rein musikalischer, melodischer Schönheit und zusätzlich inhaltlicher Tiefe, die mich so berührt. Schön, dass das so viele andere Menschen auch erkennen!;2021-09-29T08:34:35.000Z;1 like;8
9;muenchnerliebe;Wunderschöne Intonation! Von wem ist das?;2021-09-28T21:29:33.000Z;0;-
10;paulvoneifeldorf;Hat Sophie sich in ihren Tagebucheinträgen oder Briefen Mal zu diesem Lied geäußert? :);2021-09-28T20:43:00.000Z;0;-
10-1;heikegumz;"@paulvoneifeldorf Sie hat in einem Brief, den sie an ihren Vater ins Gefängnis geschrieben hat, darauf angespielt: ""Von vielen Freunden, denen ich Dir schrieb, soll ich Dich grüßen, sie bauen alle an der Mauer von Gedanken, die um Dich sind, Du spürst doch, daß Du nicht allein bist, denn unsere Gedanken, die reißen die Schranken und Mauern entzwei: die Gedanken –!“
(07.09.1942)";2021-09-29T10:27:08.000Z;2 likes;10
10-2;paulvoneifeldorf;@heikegumz danke, sehr interessant und spannend!;2021-09-29T23:17:57.000Z;1 like;10
11;paulvoneifeldorf;"Es ist eines dieser Lieder, bei denen man einfach die Kraft der Worte darin spürt. Bei diesem Lied, wie z.B. auch bei ""Von guten Mächten"" fühle ich immer die Geschichte, den Schmerz, die Emotionen dahinter. Ich finde das immer bewegend und beeindruckend.";2021-09-28T20:42:09.000Z;0;-
12;schocla69;❤️🙏❤️;2021-09-28T20:12:36.000Z;0;-
13;anni.lu__;Ich liebe dieses Lied ❤️;2021-09-28T19:51:44.000Z;0;-
14;mariazbauer;Das ist so mutig!;2021-09-28T19:39:27.000Z;1 like;-
15;fischleins_anja82;Da habe ich so lange drauf gewartet. Habe diese Szene schon als Jugendliche sooo berührend gefunden ... ein wundervolles Lied.;2021-09-28T19:16:47.000Z;1 like;-
16;fischleins_anja82;Das passt perfekt;2021-09-28T18:48:43.000Z;1 like;-
17;nin.rckmn;passt auf jeden Fall! aber pass auf dich auf, ja?;2021-09-28T18:37:30.000Z;0;-
18;andrea.schnitz;Ein wundervolles Lied 😍 ich bin echt dankbar, dass ich es bei meinem Nebenjob im Seniorenheim kennengelernt habe ❤️;2021-09-28T18:31:31.000Z;0;-
19;juwelchen78;❤️;2021-09-28T17:48:07.000Z;0;-
20;brittawerberg;"Ein großartiges Lied, das mir jedesmal eine Gänsehaut ""macht"". P.S. Die Strophe passt perfekt zu Deinem Papa 🍀";2021-09-28T17:04:54.000Z;1 like;-
21;ava.santimea;"ich liebe das Lied! da ich in einer missbräuchlichen Familie aufgewachsen bin, wo es hieß, man könne meine ""bösen"" Gedanken jederzeit lesen und mich dafür bestrafen, hat dieses Lied nach der Therapie eine sehr starke Bedeutung für mich gewonnen. ich finde die Auswahl für deinen Vater perfekt und drücke euch die Daumen! wenn Inge nicht mitmacht, vielleicht Mutter? geht es notfalls auch alleine? viel Glück und viel Kraft! 🍀";2021-09-28T16:35:12.000Z;2 likes;-
21-1;ichbinsophiescholl;@ava.santimea #TeamSoffer Danke für das Teilen deines sehr persönlichen Bezugs zu diesem Lied. Es freut uns zu hören, dass es auch heute einigen Menschen viel bedeutet und ihnen durch schwere Zeiten hilft!;2021-09-29T09:59:03.000Z;2 likes;21
22;th5555lu;❤️;2021-09-28T15:54:54.000Z;0;-
23;fa_lu_2002;Das Lied ist super, wir mussten es in der Grundschule auswendig lernen und ich kann es immer noch. Einfach ein tolles Lied über die Freiheit.😊;2021-09-28T15:52:48.000Z;0;-
24;isalita79;Absolut🙏🏿;2021-09-28T15:34:11.000Z;1 like;-
25;larsvommars82;"Der erste große Schritt in die Arme der Gestapo. Um Wilhelm Busch zu zitieren: ""Wehe, Wehe, wenn ich auf das Ende sehe.""";2021-09-28T14:59:30.000Z;0;-
25-1;ichbinsophiescholl;@larsvommars82 Vater war mutig und hat dafür mit dem Schritt ins Gefängnis bezahlt. Ich habe viel von ihm gelernt. Und wenn ihm das Lied Zuversicht gibt, dann gehe ich dafür auch Ärgernisse ein.;2021-09-28T15:30:12.000Z;1 like;25
25-2;heikegumz;"@ichbinsophiescholl Worin bestand denn die mutige Tat von Robert Scholl? Ist es wirklich schon ""mutig"" in einem privaten Gespräch mit vermeintlich Gleichgesinnten, ohne jede Veränderungsabsicht negativ über Hitler und das mögliche Kriegsende zu reden?
Gehört zu ""Mut"" nicht ein Bewusstsein dafür, sich in eine gefährliche Situation zu bringen - und auch ein Ziel, ein Sinn, wegen dem man diesen Schritt geht? Ist es sonst nicht enfach unüberlegtes, leichtsinniges Handeln?
Eine sinn- und ziellose Unvorsichtigkeit bereits zu ""Mut"" hochzustilieren, empfinde ich ein bisschen wie Hohn gegenüber Menschen, die in dieser Zeit mutig waren, indem sie im Bewusstsein der Gefahr z. B. versucht haben, gezielt politisch zu informieren oder Verfolgte zu retten.";2021-09-28T20:09:20.000Z;2 likes;25
25-3;ichbinsophiescholl;@heikegumz #TeamSoffer Sophie Scholl war durchaus stolz auf die Haltung, die ihr Vater zeigte. Da es unter Strafe stand, schlecht über das Regime zu sprechen, taten viele dies nicht. Aus Angst, aufzufliegen, schwiegen sie. Robert Scholl artikulierte trotz der Gefahr seinen Unmut und das beeindruckte seine Tochter. Sie sah die Gefängnisstrafe gar als eine Art Auszeichnung (vgl. Gottschalk, S. 240). Wie genau Mut zu definieren ist und ob das Handeln von Robert Scholl weise war - darüber erlauben wir uns hier kein Urteil.;2021-09-29T10:34:45.000Z;4 likes;25
25-4;heikegumz;"@ichbinsophiescholl Danke für die Antwort und ja, da der Kommentar in der Rolle von ""Sophie"" war, habt ihr Recht – sie war wohl stolz auf ihren Vater.
Mit Abstand betrachtet fällt es mir dennoch schwer, diese ""Tat"" hier (und in anderen Posts) so hochzujubeln: Er hat sich in einem privaten Gespräch, von dem er dachte, dass es unter Gleichgesinnten stattfindet, ""verquatscht"". Das entspricht nach keiner mir bekannten Definition einer Form von widerständigem Handeln. Bzw. nach dieser Definition wären wahrscheinlich einige Deutsche ""mutig"" gewesen – denn natürlich wurde im privaten, geschlossenen Kreis Kritik geübt, wurden Witze über Hitler verbreitet… Und wenn man Pech hatte, wie Robert Scholl, hörte zufällig jemand mit, der doch nicht gleichgesinnt war und angezeigt hat.
Gleichzeitig hat sich Robert Scholl an allen anderen Stellen, an denen er offen und evtl. auch wirksam hätte Kritik üben können, stattdessen mit dem NS-System arrangiert. Auch ging seine Sympathie für den NS weit genug, um mit einem einflussreichen Nazi befreundet zu sein, der zuständig war für Deportation jüdischer Menschen, Kranker und Behinderter sowie für Verfolgung und Terrorisierung politischer Gegner*innen. Er hat also implizit den NS gestützt und für sich selbst Vorteile gesichert. Das muss man nicht be- oder verurteilen, aber es adäquat darzustellen und einzuordnen, fände ich schon gut. Denn ""mutig"" ist eben auch eine Bewertung. Aber – wie gesagt – an dieser Stelle war meine Kritik wahrscheinlich nicht passend, weil hier aus der Perspektive von ""Sophie"" geantwortet wurde.";2021-09-29T12:10:21.000Z;1 like;25
26;tam1805;@ichbinsophiescholl okay, dann hab ich das verwechselt;2021-09-28T14:22:53.000Z;0;-
27;_yoga_tanz;Das Lied passt sogar häufig wunderbar. Aber diese dritte Strophe in der Tat wie die 👊 aufs 👁️;2021-09-28T14:01:48.000Z;0;-
28;heikewiedenlubbert;Perfekt👍;2021-09-28T13:43:07.000Z;0;-
29;raikmcfly;Wie schön heute hier zu sein,September 2021,zum Glück ein 1982er;2021-09-28T13:26:44.000Z;0;-
30;hey_x_anna;Das Lied habe wir schon oft in der Schule gesungen, ich finde es auch schön😊;2021-09-28T13:20:36.000Z;0;-
31;anne.ahu;"""Der Mond ist aufgegangen"" passt auch. Nicht ganz so plakativ, aber auch ein feiner Text.";2021-09-28T12:58:47.000Z;1 like;-
32;mayacura;Ich muss bei dem Lied einfach immer an die gmx Werbung denken 🤷🏼‍♀️😅 good job, Marketing;2021-09-28T12:40:16.000Z;0;-
33;kati_schwalbe;Ja, das Lied passt super! Aber es provoziert auch, und in dieser Zeit kann das zu Ärger führen. Du bist so mutig, Sophie! Das berührt mein Herz. Und ich bin sicher, dass sich dieser Mut letztlich lohnt.;2021-09-28T12:39:45.000Z;1 like;-
33-1;ichbinsophiescholl;@kati_schwalbe Ganz Vaters Tochter!;2021-09-28T15:30:45.000Z;7 likes;33
34;homa.2015;Genau richtig...;2021-09-28T12:30:30.000Z;1 like;-
35;alexesawatzkiplasticienne;❤️❤️;2021-09-28T12:21:35.000Z;2 likes;-
36;netratz;🔥❤️;2021-09-28T12:11:17.000Z;0;-
37;marenschueler;Schönes Lied, aber extrem mutig, es dort in der Öffentlichkeit zu dieser Zeit zu spielen. Ich kann Inge verstehen. Nicht das man dann euch erst recht beobachtet, wenn man rausbekommt, wer ihr seid.;2021-09-28T12:05:35.000Z;1 like;-
37-1;ichbinsophiescholl;@marenschueler Es könnte uns Ärger einhandeln, aber um Vater ein wenig Zuversicht zu geben lohnt es sich allemal!;2021-09-28T12:50:51.000Z;2 likes;37
38;green105day;Ein schönes Mut-mach-Lied, ich singe es immer, wenn ich mit meinem Hund im Wald spazieren gehe.;2021-09-28T12:01:27.000Z;1 like;-
39;karimo_6400;Ich liebe Studentenlieder;2021-09-28T11:59:54.000Z;1 like;-
40;tam1805;Ist das Lied nicht verboten worden?;2021-09-28T11:59:34.000Z;2 likes;-
40-1;ichbinsophiescholl;@tam1805 #TeamSoffer Die Nationalsozialisten haben das Lied nicht verboten.;2021-09-28T12:32:31.000Z;6 likes;40
41;nice_nicer_neises;Super Idee 🥰👌;2021-09-28T11:55:57.000Z;1 like;-
42;bommelschaf;Und wie der Text passt ☺️;2021-09-28T11:49:46.000Z;1 like;-
43;martin.gueth;Immer eine gute Wahl!;2021-09-28T11:36:58.000Z;1 like;-
44;f__beirami;could you please say the name of this music??;2021-09-28T11:29:32.000Z;0;-
44-1;asommerlatte;@f__beirami Die Gedanken sind frei;2021-09-28T12:47:33.000Z;0;44
45;verena_gras;Das Lied ist einfach wunderbar. Kenne ich seit meiner Kindheit. 👏;2021-09-28T11:22:11.000Z;8 likes;-
45-1;ichbinsophiescholl;@verena_gras Und es wird nicht alt!;2021-09-28T13:00:39.000Z;4 likes;45
46;gedankensueppchen;Liebe Sophie, auch ich kenne das Lied. Ich lebe nur in einer Zeit, wo Menschen es als frei ansehen, dass ihre geschriebenen ausgesprochenen Gedanken ruhig andere Menschen stetig verletzen dürfen oder den Schaden für sie anheizen. Ist sowas für dich ein Inbegriff für freie Gedanken?;2021-09-28T11:21:16.000Z;0;-
46-1;ichbinsophiescholl;@gedankensueppchen Absolut nicht! Denn zum harten Geist gesellt sich ein weiches Herz!;2021-09-28T15:31:41.000Z;8 likes;46
46-2;gedankensueppchen;@ichbinsophiescholl Danke dir ❤️. So sehe ich das auch.;2021-09-28T15:49:05.000Z;0;46
47;kathrin.noreikat;Sehr passend!;2021-09-28T11:07:02.000Z;1 like;-
48;markusvahlbrock;Passt perfekt;2021-09-28T11:05:13.000Z;1 like;-
49;ines_s_2;👍❤️;2021-09-28T11:01:51.000Z;0;-
50;katrinpruchniewski;Mir gefällt das auch sehr gut.😌;2021-09-28T10:58:55.000Z;1 like;-
51;tanja.bracher;Ihr dürft keine Angst zeigen, Angst macht sie nur noch stärker, spielt das Lied so laut ihr könnt, wer weiß vielleicht erreicht es ja den einen oder anderen und fängt mal wieder das Denken an, denn das tun wir Menschen leider immer weniger. Hab Mut Sophie und stecke alle damit an.💜;2021-09-28T10:57:32.000Z;0;-
51-1;ichbinsophiescholl;@tanja.bracher Es fällt mir ja schon schwer, Inge dafür zu begeistern...;2021-09-28T15:32:17.000Z;0;51
51-2;tanja.bracher;@ichbinsophiescholl Sie wird bestimmt mitmachen, sie ist deine Schwester und es ist für euren Vater, aber ich kann es verstehen, mutig zu sein gegen so eine gewaltige Macht ist nicht leicht. Du bringst mich zum nachdenken, wäre ich so mutig???;2021-09-28T16:44:01.000Z;1 like;51
52;milla_altvtr;Heutzutage könntest du es vor dem Knast singen, aber zu deiner Zeit wäre es nicht ratsam.;2021-09-28T10:56:22.000Z;0;-
53;anjamuller565;Das passt sehr gut!!;2021-09-28T10:51:30.000Z;2 likes;-
54;re1908ro;Das war das Lieblingslied meines Opas (Jahrgang 1902). ❤️;2021-09-28T10:49:14.000Z;2 likes;-
55;miezie1973;Passt absolut... könnte aber ganz schön nach hinten losgehen als Provokation🙈😔;2021-09-28T10:46:21.000Z;0;-
56;moon_light_3009;Die eigenen Gedanken sind das einzige was uns keiner nehmen kann. Und das sollte man sich bewahren.;2021-09-28T10:44:23.000Z;0;-
57;dr.volkertiemann;Ein Extra-Herz❤️;2021-09-28T10:41:29.000Z;0;-
58;zuzusarita;❤️;2021-09-28T10:33:53.000Z;1 like;-
59;beeo_fresh;Nach wie vor aktuell👏;2021-09-28T10:30:36.000Z;1 like;-
60;jesbenzac8;Absolut passend 👏;2021-09-28T10:26:11.000Z;2 likes;-
61;henriqueta1202;Jaaaaa! 👏👏🙏🙏😢😢❤️❤️;2021-09-28T10:12:09.000Z;1 like;-
62;helgadancke;Besser kann man es einfach nicht formulieren - und das gilt eben immer und überall- zum Glück. Ein kleiner Trost 👍;2021-09-28T10:07:02.000Z;2 likes;-
63;stephanie.schobert;dieses Lied haben wir jedes Jahr zum Kamenzer Forstfest gesungen. Alle Schulkinder der Stadt, in weiß gekleidet und mit Blumen geschmückt ziehen durch die Stadt raus in den Forst und singen Lieder ❤️;2021-09-28T10:06:47.000Z;0;-
64;noki1968;❤️❤️❤️❤️toll!!;2021-09-28T10:03:07.000Z;1 like;-
