Link: ;https://www.instagram.com/p/CO5yZnjnqE_/
Id/Reply-Id;User;Comment;Date;Likes;Reply To CommentId
1;r_pklps;Und das ist sie auch...;2021-11-24T08:40:46.000Z;0;-
2;my.kind.of.pics;Nee, tue Gutes! Schlecht ist bitchy, fällt auf einen zurück. Denk dran, man sieht sich immer zweimal im Leben! 😊😉 HDGDL;2021-06-08T21:36:36.000Z;1 like;-
3;maroooooni;faschistische kackscheisse. ein grund mehr, warum ich die aktion mit dem account hier komisch finde...;2021-06-04T14:30:41.000Z;0;-
4;eineloutusblume;🙌;2021-06-03T17:30:51.000Z;1 like;-
5;plasa_gemeinschaft;Die Welt sucht ja schon verzweifelt nach dem geeigneten Gegenmittel :D erdbeben, vulcanausbrüche, orkane, tornados, überschwemmungen, pandemien, giftiges viehzeugs....mal schauen was noch so kommt!;2021-05-26T16:49:32.000Z;1 like;-
6;marcel.linke.1;Oh Sophie, Du öffnest mir die Augen!;2021-05-25T06:30:26.000Z;1 like;-
7;marcel.linke.1;Oh Sophie, Du öffnest mir die Augen!;2021-05-25T06:28:25.000Z;0;-
8;elashomestory;@sally_tackle so wahr!!!;2021-05-23T14:19:55.000Z;1 like;-
8-1;sally_tackle;@elashomestory absolut😢;2021-05-23T15:15:57.000Z;1 like;8
9;boxxes_inc;Truth- the universe does not need us;2021-05-21T23:00:16.000Z;0;-
10;zocker2393;Die welt ist für uns alle ein Paradies ❤❤;2021-05-21T20:13:43.000Z;0;-
11;maritimesmuseum;Ein bisschen Kontext wäre an: Sophie Scholl zitiert offensichtlich hier Friedrich Nietzsche. Oder, besser gesagt, sein Zarathustra: Also Sprach Zarathustra, Zweiter Teil, Von großen Ereignissen. Ob sie direkt Nietzsche gelesen hat, @ichbinsophiescholl ?;2021-05-20T19:40:22.000Z;2 likes;-
12;artby_sophieb;Stell dir vor es ist Ökofaschismus;2021-05-20T12:33:11.000Z;2 likes;-
13;trustinharmony888;Ist dieses Misanthropische Weltbild wirklich Zielführend in eine liebevollere Welt, für ein Miteinander? Wenn man den Mensch als „Krankheit“ bezeichnet, hasst man dann nicht auch sich selbst? Und wie kann jemand der sich selbst hasst, Liebe zu seinem Gegenüber empfinden?;2021-05-20T08:03:42.000Z;0;-
14;mariacrom;Wie kann ein Account, der Geschichte aufarbeiten möchte, so einen Schwachsinn posten? Das ignoriert die Verhältnisse, die zum Faschismus geführt haben und vereinfacht das schlimmste Verbrechen der Menschheitsgeschichte zu einem ”Problem menschlicher Natur“.;2021-05-19T07:11:00.000Z;1 like;-
15;gerrit_osabal;Einige Menschen sind wie eine Krankheit der Erde, aber es gibt auch Menschen, die sich gegen diese Menschen wehren. Letztere sind nicht schlecht.;2021-05-18T19:40:16.000Z;0;-
16;christine_segaud;Wohl hart aber immer mehr bin ich mit diesem Gedanken leider einverstanden 😘;2021-05-18T16:52:10.000Z;0;-
17;ebibge;Würde ein Grundeinkommen unser Mindset ändern? Würden wir weniger wie Tiere ums Überleben kämpfen wollen?;2021-05-18T09:40:13.000Z;0;-
18;bellwilli;👍🌻;2021-05-18T06:20:06.000Z;0;-
19;f_12_sehic;Sehr gute Umsetzung einer tollen Idee. Besonders für Jüngere ist das ein sehr gutes Projekt um mehr über das Leben von Sophie Scholl zu erfahren. Toll gemacht.👍👍;2021-05-17T20:14:49.000Z;41 likes;-
19-1;ichbinsophiescholl;@f_12_sehic #teamsoffer Danke für das liebe Feedback! Genau das war die Motivation dahinter und wir freuen uns sehr, dass wir auf diese Weise so viele Menschen erreichen können!;2021-05-18T11:32:12.000Z;33 likes;19
19-2;kiros233;"@ichbinsophiescholl das finde ich auch. Top Umsetzung in die moderne Welt. Die Influencer der damaligen Zeit. Wie die Neuauflagen (Reboots) einiger Filme.
Das könnte man sicherlich auch für einige andere historische Personen adaptieren.";2021-05-23T07:13:07.000Z;0;19
20;dark_marie_;@mischa_behre;2021-05-17T20:03:17.000Z;0;-
21;franceposellaphotography;Versteh ich;2021-05-17T16:17:08.000Z;0;-
22;schmarliese;Ich bin immer noch tief betroffen von diesem Post, @ichbinsophiescholl. Ich hatte deswegen keinen schönen Tag. Ihr macht hier was mit Menschen, was richtig bedenklich ist.;2021-05-17T13:49:56.000Z;1 like;-
23;kammerer.katja;❤️;2021-05-17T11:51:32.000Z;0;-
24;_bosski;Ökofaschismus powered by ÖR. I love it;2021-05-17T11:17:22.000Z;0;-
