Link: ;https://www.instagram.com/p/CSXH2VIDz3h/
Id/Reply-Id;User;Comment;Date;Likes;Reply To CommentId
1;koledclo;Sehr shon;2021-10-27T09:00:42.000Z;0;-
2;erfolg_mit_mike;😢;2021-08-12T16:13:50.000Z;0;-
3;wiltrudu.ber;Ü;2021-08-12T13:25:32.000Z;0;-
4;wushmaschine;Charakteristika einer Diktatur: Etwas wollen, aber nicht dürfen, stattdessen: müssen... Sich enthalten, das gibt es nicht;2021-08-11T04:54:04.000Z;8 likes;-
4-1;ichbinsophiescholl;@wushmaschine Schrecklich! Von eigener Entscheidungsfreiheit ist nicht mehr viel übrig... jetzt muss ich unfreiwillig dabei helfen, Munitionsteile herzustellen für einen Krieg, den ich verachte.;2021-08-11T08:08:33.000Z;8 likes;4
4-2;wushmaschine;@ichbinsophiescholl Wenn ich mich recht erinnere, wirst du in der Munitionsfabrik eine Zwangsarbeiterin kennenlernen, die Patronen fehlerhaft zusammenbaut, so dass sie nicht funktionieren. 😀 Das wird dich beeindrucken, aber auch erschrecken. Denn die Frau wird verhaftet & abgeführt...;2021-08-11T15:58:28.000Z;1 like;4
5;wushmaschine;Charakteristika einer Diktatur: Etwas wollen, aber nicht dürfen, stattdessen: müssen... Sich enthalten, das gibt es nicht;2021-08-11T04:53:52.000Z;1 like;-
6;kavag.bubatz;Wow wie man die Sätze liest und gefühlt 100 Jahre zurück geworfen wird. ❤️;2021-08-10T15:02:07.000Z;1 like;-
7;bodivkovic;❤️;2021-08-10T13:26:52.000Z;0;-
8;anna_falkenhorst;Da läuft es einem kalt den Rücken runter, wenn man das liest. Wie muss es erst sein, dort zu arbeiten😢;2021-08-10T13:20:06.000Z;2 likes;-
9;helmidiflaoui;I don't wanna see it happened at oll•••~` I don't wanna see any one in this word see you in a moment of weekness or seeing you tears~`•••you are precious to me baby'''''''''''''''' & you alway's will be❤️❤️❤️[{~'. Liber😍❤️❤️❤️~`•••••••••••••••••••••••••••••••••••••🔥;2021-08-10T13:01:24.000Z;0;-
10;tobias.hols;Pech😂;2021-08-10T11:44:04.000Z;0;-
11;m5maja;Mit wird richtig übel bei dem, was alles passiert ist. Grausam, wie Menschen die Achtung und den Respekt vor anderen Menschen verlieren. Sich als etwas besseres empfinden und sich in der großen Masse hinter ihren Taten verstecken. Wenn alle mit euch aufgestanden wären, hätte die Geschichte ein besseres Ende!;2021-08-10T11:32:30.000Z;2 likes;-
12;eweha63;😢;2021-08-10T11:21:24.000Z;0;-
13;paula.goyke;😮😢;2021-08-10T10:05:53.000Z;0;-
14;alexesawatzkiplasticienne;"Ist schon ne große Schweinerei. Meine Mutter hatte Glück. Ihr Vater hat sie dazu bewogen eine Lehrerinnenausbildung anzufangen. Somit musste sie nicht in die Munitionsfabrik. Da war ihr Vater strikt dagegen. Der hat sogar Juden bei sich versteckt und durchgefüttert. Er hatte einen Schlachter-und Metzgereibetrieb. War total riskant, aber er hat‘s getan und das macht mich stolz auf ihn.
Halte durch!!";2021-08-10T09:57:41.000Z;2 likes;-
15;kerstinmuehlhuber;Die Ernte zu retten und Arbeit auf dem Feld verrichten zu müssen wäre viel sinnvoller. Aber hilft nichts.. besser den Dienst in der Fabrik antreten als aufzufallen, dein Vater will dich nach Ende seiner Haft ja wieder sehen:);2021-08-10T08:37:06.000Z;1 like;-
16;chriisii_jo;Meine verstorbene Oma (geb.1924) hat mir als ich noch klein war so viel über diese Zeit und ihre Erlebnisse während des Krieges erzählt... Sie hat als junge Frau auch in Deutschland in einer Fabrik gearbeitet. Ich kann mich zwar nicht erinnern was genau dort hergestellt worden ist, aber sie wusste viel über gewisse Arbeitsschritte in der Metallverarbeitung. Die Zeit war damals sicher unvorstellbar schwierig und hat die Menschen geprägt. Meine Oma war eine sehr starke und dankbare Frau von der ich viel gelernt hab. Ich lebe mit eurem Projekt richtig mit. Toll umgesetzt 👏🏻;2021-08-10T06:43:52.000Z;3 likes;-
17;venaliaa_;😂;2021-08-10T05:56:08.000Z;0;-
18;honigkuchenmausi;Furchtbar, was damals geschah. Ich habe letztens erst erfahren, dass mein Urgroßvater sich Hitler-kritisch geäußert hatte und es ihm dann nahegelegt wurde schnellstmöglich der SA beizutreten, da er sonst abgeholt werden würde und nicht mehr wieder käme. Viele sind Hitler aus freien Stücken gefolgt, aber man darf nie vergessen, dass es auch viele aus Angst um Leib, Leben und Familie taten.;2021-08-10T05:32:08.000Z;2 likes;-
19;netratz;🔥❤️;2021-08-10T04:52:47.000Z;0;-
20;marenschueler;Vielleicht besser für dich erstmal den Schein zu waren. Besonders wenn deine Familie schon beobachtet wird. Deine wirklichen Gedanken kann dir keiner nehmen. Liebe Grüße und halte durch.;2021-08-10T02:22:12.000Z;2 likes;-
21;wene_beinhart;Na ja, Kopf hoch. Die Zwangsarbeiter in den Geheimstollen u.a. sind viel übler dran;2021-08-09T23:09:34.000Z;1 like;-
22;hutzelwicht;"Damals als junges Mädchen schon mehr Rückgrat als Menschen die heute in waffenproduzierenden Unternehmen arbeiten.

#man #siemens #rohdeundschwarz #rheinmetall #thyssenkrupp #mbda #airbus #hecklerandkoch #jenoptik #mtu #diehldefence #kmw #krausmaffeiwegmann

etc pepe";2021-08-09T22:41:26.000Z;1 like;-
