Link: ;https://www.instagram.com/p/CRJ_KIBs7Ix/
Id/Reply-Id;User;Comment;Date;Likes;Reply To CommentId
1;zauberflow;Könnt ihr hier nicht noch ein alternatives Ende einbauen? Zusätzlich? Mir gefällt das Ende der Geschichte nicht 🙈🙈;2021-07-13T18:12:28.000Z;1 like;-
2;heikegumz;"Huber war meines Wissens nach kein Kriegsgegner, sondern hat den von Deutschland begonnen Krieg in den ersten Kriegsjahren vollständig befürwortet und noch bis in seinen Textentwurf des 6. Flugblattes der Weißen Rose (also Januar 43) als Verteidigungskampf gegen den Bolschewismus gesehen. Er wollte die Adressat*innen des Flugblatts auffordern ""Stellt euch weiterhin in den Dienst unserer herrlichen deutschen Wehrmacht."" U.a. diese Passage wurde von Hans Scholl und Alexander Schmorell in der Endredaktion des Flugblattes gestrichen.
Oder gibt es dazu inzwischen aktuellere Erkenntnisse?";2021-07-11T20:51:49.000Z;2 likes;-
2-1;katharina.helling;"@heikegumz Ich hab was aus nem Buch von Wolfgang Benz, 2017: Danach habe Huber keinen Hehl aus seiner völkischen, antisemitischen Einstellung gemacht. In jungen Jahren wollte er der Wehrmacht beitreten, wurde wg einer körperlichen Behinderung/Einschränkung aber mehrfach abgewiesen. Der NSDAP ist er lange nicht beigetreten, aber wohl eher weil er dem Lager der christlich-katholisch orientierten Bayrischen Volkspartei nahe stand. Beitritt erfolgte dann 1940, sicher aus strategischen Gründen bzgl seiner Karriere (wg Geburt eines weiteren Kindes war Einkommensverbessrung wohl auch wichtig). Das „mediokre und vulgäre der Nazis“ war ihm zuwider.

„Seine Philosophie-Vorlesung war für Hörer aller Fakultäten eine Attraktion, nicht zuletzt wg der Sottisen über Zeitläufe und Prominente der NSDAP. (…)
Vom Nationalsozialismus trennten Huber nicht so sehr die programmatischen Linien. (…) Das Verhältnis Hubers zur Partei und zum NS-Regime war lange Zeit durch Konsens mit den Staatszielen bei gleichzeitiger Distanz zu Protagonisten und Methoden bestimmt. Es verschlechterte sich vor dem Hintergrund des Scheiterns der akademischen Ambitionen Hubers und radikalisierte sich wegen der Ein- und Übergriffe nationalsozialistischer Funktionäre in den Universitätsbetrieb. Maßgeblich für die Hinwendung Hubers zum Widerstand war die militärische Situation, die Katastrophe von Stalingrad, ausgelöst durch den Dilettantismus und den Starrsinn des obersten Befehlshabers Hitler. Kurt Huber war ein Mann des späten konservativen Widerstands, ein Patriot, der gegen die Diktatur Hitlers und seiner Partei nationale Mythen beschwor und den Geist der Freiheitskriege, die Anfang des 19. Jahrhunderts die Bildung einer deutschen Nation in der Sehnsucht nach
Einheit und Freiheit eingeleitet hatten: >Studentinnen! Studenten! Auf uns sieht das deutsche Volk! Von uns erwartet es, wie 1813 die Brechung des Napleonischen, so 1943 die Brechung des nationalsozialistischen Terrors aus der Macht des Geistes.< Dieser Appell im letzten Flugblatt der Weißen Rose war das Bekenntnis Kurt Hubers.“
… also zumindest diese Quelle scheint diese Auffassung/Einschätzung Hubers weiter zu teilen.";2021-07-12T11:40:38.000Z;7 likes;2
2-2;heikegumz;@zuagroastebayrischeschwaebin Vielen Dank für die Recherche und Ergänzung!;2021-07-12T13:29:51.000Z;2 likes;2
2-3;katharina.helling;"@heikegumz gerne 😊 - bin ganz froh, dass du das angesprochen hast; hätte es sonst glaub gar nicht nochmal nachgelesen.";2021-07-12T17:16:36.000Z;1 like;2
2-4;dzzpscl;@zuagroastebayrischeschwaebin Ist das aus ´Die Weiße Rose´? könntest du mir hierzu eventuell die seitenzahl nennen? besten dank.;2022-02-18T14:11:32.000Z;0;2
2-5;katharina.helling;@dzzpscl das ist aus dem „Die Weisse Rose. 100 Seiten“ von Wolfgang Benz erschienen beim Reclam Verlag. Huber wird auf den Seiten 62-65 portraitiert. Da ist das entnommen.;2022-02-18T14:19:54.000Z;1 like;2
2-6;dzzpscl;@zuagroastebayrischeschwaebin besten dank;2022-02-18T15:20:03.000Z;1 like;2
3;manujj_04;Ihr seid soooo mutig! 🌿;2021-07-11T19:39:27.000Z;0;-
4;susanne_k_aeferchen;👍 👍;2021-07-11T17:13:35.000Z;0;-
