Link: ;https://www.instagram.com/p/CUpt_dMMcXu/
Id/Reply-Id;User;Comment;Date;Likes;Reply To CommentId
1;we.love.saarland;🤍🤍🤍;2021-10-09T05:00:50.000Z;0;-
2;joanna_syr;Bedauerlicherweise werden Soldaten während dieses scheissen Krieges zum Opfer fallen! Wir müssen ihnen Trost spenden und sie angemessen für ihre Dienst verehren!;2021-10-07T08:56:15.000Z;0;-
3;klaragison;😢;2021-10-06T19:40:34.000Z;0;-
4;eweha63;😢;2021-10-06T11:00:46.000Z;0;-
5;die.eiblberts;😢;2021-10-06T09:34:06.000Z;0;-
6;hartlkoenig;Es ist grossartig dass Ihr Sophie Scholl und allem was sie uns mitteilen wollte, auf dieser Weise eine Stimme gebt. Danke;2021-10-06T06:31:17.000Z;0;-
7;hi_its.me.steffi;Schrecklich!!😢😨;2021-10-06T06:11:11.000Z;0;-
8;gert_iiiiiiii;Ich finde diese insta-Serie sehr toll! Das zeitliche und optionale Nachempfinden der Situation ist sehr eindrücklich!;2021-10-06T06:00:32.000Z;37 likes;-
8-1;ichbinsophiescholl;@gert_iiiiiiii #TeamSoffer Vielen Dank für deine lobenden Worte! Schön, dass du Teil unseres Projekts bist.;2021-10-06T09:57:36.000Z;8 likes;8
9;as.dren;Ns goes brr brrrrrr;2021-10-05T21:55:57.000Z;0;-
10;7251_caroline;Mein Opa ist von dort körperlich unversehrt zurück gekommen. Er war wohl in Kriegsgefangenschaft geraten...? Er hat nie über seine Erlebnisse gesprochen - soweit meine Mutter - seine Tochter - es weiß. Und und trotzdem tragen wir beide sein Leid in uns weiter. Das NICHTS, dass sich zwischen einem und seiner Umwelt manifestiert. Die Bezugsperson ist nicht erreichbar. Keiner der Nazis hat sich überlegt was sie ihren Kindern und Enkeln antun. Ich weiß auch nicht, wie ich meinenm Kind (5J) das alles erklären soll.;2021-10-05T20:24:22.000Z;6 likes;-
10-1;gert_iiiiiiii;@7251_caroline fürs Erste würde ich ihr gar nix erzählen. 🏵️;2021-10-06T05:58:54.000Z;0;10
11;badcrows.official;Wir hatten in unserer Schule ein Zeitzeugen Gespräch mit einem Sinto, und ich bin immer noch geschockt was damals alles passiert ist :(;2021-10-05T20:15:54.000Z;1 like;-
12;sabrinaeamy;Liebe Sophie, du erinnerst mich jeden Tag daran, wie gut wir es eigentlich haben. Ich hoffe Fritz kommt wohlbehalten nachhause.;2021-10-05T19:08:21.000Z;4 likes;-
13;_i_like_to_be_different_;Was macht der Krieg und die Erfahrungen aus einem? Wie geht man mit den gemachten Erlebnissen um? Es ist unvorstellbar, das Grauen und das Leid dieses sinnlosen Kriegs.;2021-10-05T19:01:55.000Z;9 likes;-
13-1;ichbinsophiescholl;@_i_like_to_be_different_ Das kann auch ich dir nicht beantworten, aber vielleicht wird Fritz es mir bald berichten können. Obwohl er natürlich auch nur die eine Seite des Krieges kennt...;2021-10-05T19:19:13.000Z;10 likes;13
14;_claudia_leo_;Mir kommen wieder alte Familiengeschichten hoch. Der ältere Bruder meiner Mutter, der in Stalingrad war, der nur, weil er n Kopfschuss hatte, da vorzeitig rauskam und Zeit seines Lebens mit Kugel im Kopf lebte und daher nicht Medizin studieren durfte...Er konnte nie darűber reden...;2021-10-05T18:49:43.000Z;2 likes;-
14-1;angelika_1958;@_claudia_leo_ ja das ist so, viele die an der Ostfront waren, kamen entweder mit erfrorenen oder fehlenden Gliedmassen, oder nach langer Gefangenschaft aus sibirischen Lagern oder gar nicht mehr nach Hause. Keiner der Heimkehrer hat über das erlebte gesprochen. Alle hofften nur das es nie wieder einen Krieg geben wird😢;2021-10-05T19:56:38.000Z;3 likes;14
15;zigajettchen;Wird Fritz von Leonard Schleicher gespielt? :);2021-10-05T17:37:09.000Z;7 likes;-
15-1;ichbinsophiescholl;@zigajettchen #TeamSoffer Genau! Die vollständige Besetzung ist auf den Seiten des SWR einsehbar.;2021-10-05T17:41:41.000Z;7 likes;15
16;andreapfeiffer53;Mein Opa ist 1942 in Stalingrad gefallen.So musste meine Mama Jahrgang 1943 ohne Vater aufwachsen.Wieviel Leid dieser Krieg gebracht hat...Sowas darf nie wieder passieren 😢;2021-10-05T17:26:19.000Z;6 likes;-
17;holtegele;Ein Cousin von meiner Mutter hat Stalingrad überlebt er ist gerade noch rausgekommen ,aber hat auch gesagt das es die Hölle war .;2021-10-05T16:28:03.000Z;4 likes;-
17-1;ulrikemunner;@holtegele Ein Nachbar, war bei Stalingrad,er ist so erkrankt, dass er nie wieder arbeiten konnte.Erzählt hat er nicht darüber, hat eigentlich keiner aus der Generation.;2021-10-05T20:00:51.000Z;1 like;17
17-2;holtegele;@ulrikemunner ja er hat es mir selber erzählt .;2021-10-05T20:10:15.000Z;1 like;17
17-3;ulrikemunner;@holtegele Das ist gut,dass dein Cousin erzählen konnte,in meiner Umgebung, war es leider nicht so.;2021-10-05T20:13:42.000Z;1 like;17
17-4;holtegele;@ulrikemunner er;2021-10-05T20:14:32.000Z;1 like;17
17-5;holtegele;@ulrikemunner er hat gesagt das man da offen drüber reden sollte . Er hat es damals schwer verletzt überlebt . Für ihn war der Krieg vorbei . Er ist kurze Zeit nach dieser Erzählung gestorben . Ich habe mir viele Dokus darüber angeschaut . Dieser Krieg und wie jeder andere sinnlos ist;2021-10-05T20:20:46.000Z;1 like;17
18;lyrikerin_dieseelenmuse;Es ist so furchtbar im Krieg zu sein. Die Soldaten und ihre Angehörigen sind so viel Schmerz und Elend ausgesetzt. Sie werden die schrecklichen Bilder und Alpträume nie wieder los. 😢;2021-10-05T16:02:21.000Z;9 likes;-
18-1;ichbinsophiescholl;@lyrikerin_dieseelenmuse Auch ich mag gar nicht erahnen, was Fritz' Augen alles schon erblicken mussten...;2021-10-05T17:42:46.000Z;8 likes;18
19;karl.friesland;"Mein Cousin ist in Stalingrad ""verschollen"". Die Familie hat irgendwie immer gehofft, er käme wieder. Ich habe ihn nie kennenlernen können.";2021-10-05T15:51:55.000Z;12 likes;-
19-1;xmy_dreamworldx;@karl.friesland mein herzliches beileid 🙏🏻;2021-10-05T16:09:41.000Z;4 likes;19
19-2;sui_los_gatos;@karl.friesland mein Opa ist auch vermisst. Meine Oma hat nach dem Krieg mit ihren Kindern lange gehungert, da sie ihn offiziell nicht für tot erklärt wollte. Aber ohne Todeserklärung bekam sie keine Witwenrente. Und als Hausfrau hatte sie ja kein Einkommen;2021-10-05T18:31:36.000Z;6 likes;19
20;marie.thie;"Wir sind am Wochenende noch alte Briefe (auch um die Jahre 42 rum) bei meiner Großmutter durchgegangen, von ihrem Onkel (als Bruder & Schwester aber aufgewachsen) aus Russland versendet. Schrecklich, herzzerreißend, hat auch Karten gemalt und Gedichte von dort geschrieben (ist mit Anfang 20 nicht lebend zurückgekommen).... ein unfassbares Leid. (""Russland, du Mörder meiner Jugend"" heißt es zB).";2021-10-05T15:43:01.000Z;28 likes;-
20-1;karl.friesland;"@marie.thie Dabei war es nicht ""Russland"", das ihm und so vielen anderen die Jugend, das Leben geraubt hat... 😢";2021-10-05T15:53:16.000Z;10 likes;20
20-2;marie.thie;"@karl.friesland Da hast du absolut recht. ""Russland"" als seine Zeit dort und das Kriegsgeschehen.";2021-10-05T16:18:50.000Z;4 likes;20
20-3;karl.friesland;@marie.thie Ich verstehe das und kenne solche Sätze ebenfalls, z. T. noch deutlich drastischer. Es erschreckt mich, damals wie heute.;2021-10-05T16:23:08.000Z;4 likes;20
20-4;a_buecherwurm;@marie.thie 😢;2021-10-05T16:37:12.000Z;1 like;20
20-5;kathafuer;@karl.friesland Genau! Ich nehme an, “Russland” und vor allem seiner Bevölkerung wäre es auch lieber gewesen, wenn es nicht angegriffen worden wäre…;2021-10-05T19:30:38.000Z;5 likes;20
20-6;marie.thie;@kathafuer absolut!;2021-10-05T20:02:47.000Z;1 like;20
21;katharina.helling;"Während sich Fritz Hartnagels Hoffnungen vor dem Winter die Don-Wolga-Region verlassen zu können und weiter in Richtung Süden ziehen zu können zerschlugen und er wie von #teamSoffer mit den Schrecken vor Ort konfrontiert war und mit kaum vorhandenen Mitteln und im Wettlauf gegen die Zeit versuchte ein Winterlager aufzubauen, waren manche Soldaten auch auf Heimaturlaub…
//
Anna Haag bekam im Zug ein Gespräch von zwei Soldaten auf Heimaturlaub mit, welches sie am 26.09.1942 in ihrem Tagebuch beschrieb:

„Ich fuhr mit zwei Urlaubern im Zug: einer kam aus dem Westen, der andere vom Osten. Der vom Westen berichtete von dem Hass der Bevölkerung, der vom Osten erzählte von den Massenerschießungen der Juden, und erschrocken über seinen ei­genen Mut und seine Unvorsichtigkeit, versuchte er, das Vorge­hen als Notwehr erklärend zu rechtfertigen. Beide aber waren sich über eines klar: Sollte die englische Invasion gelingen und die Russen infolgedessen entlastet werden, so würde weder ein deut­scher Soldat aus dem Osten, noch einer aus dem Westen lebendig heimkommen! Und beide - so entsetzlich ihnen der Gedanke war - ließen durchblicken, dass man weder den Russen, noch den Feinden im Westen einen Blutrausch würde verübeln können, nach alldem, was wir dort getan haben! Aber beide waren sich darüber klar: Aus diesem Grunde - und nur aus diesem Grunde müssen wir eben kämpfen bis zum Äußersten.“
//
Quelle: Anna Haag, Denken ist heute überhaupt nicht mehr in Mode, S. 220";2021-10-05T15:38:37.000Z;33 likes;-
21-1;katharina.helling;"Als ich das las, lief mir ehrlich gesagt ein kalter Schauer über den Rücken.. und Anna Haag schildert diverse solcher Situationen. Nicht nur von Soldaten die ‚dabei‘ waren, sondern auch von vielen daheim gebliebenen, die wussten/mitbekommen haben, was an in den besetzten Gebieten passiert, wie der Krieg geführt wird, was mit den deportierten Jüd:innen passiert.
Sie wussten es, und und sie wussten wie grausam es war… und folgerten nicht, dass das alles ein Ende finden muss. Sondern dass sie „kämpfen müssen bis zum Äußersten“.

So dachten bestimmt nicht alle, aber der Kriegsverlauf zeigt ja, dass sehr viele bis zum Schluss bis zum äußersten kämpften... Und damit auch bis zum Äußersten für das Regime kämpften.";2021-10-05T17:01:22.000Z;7 likes;21
22;traumtaenzerin79;Liebe Sophie, ich hoffe er übersteht den harten Winter und kommt wohlbehalten wieder zu DIR nach Hause in Deine Arme 🙏;2021-10-05T15:31:45.000Z;14 likes;-
22-1;ichbinsophiescholl;@traumtaenzerin79 Das hoffe ich auch. Am liebsten hätte ich ihn jetzt hier in meinen warmen Armen!;2021-10-05T15:42:01.000Z;22 likes;22
23;bindungsraum.kempten;Was wurde aus Fritz?;2021-10-05T15:25:37.000Z;8 likes;-
23-1;jana.meee;@bindungsraum.kempten Er heiratet nach dem Krieg Sophies kleine Schwester Elisabeth (bin mir bei dem Namen nicht 100%ig sicher).;2021-10-05T15:30:01.000Z;6 likes;23
23-2;30159er;@jans__mika Elisabeth Hartnagel;2021-10-05T15:36:46.000Z;4 likes;23
23-3;tu__bay;@jans__mika ja er heiratet Elisabeth;2021-10-05T15:36:46.000Z;2 likes;23
23-4;ichbinsophiescholl;@bindungsraum.kempten #TeamSoffer Fritz wird seinen Einsatz an der Ostfront überleben. Nach der Hinrichtung von Sophie und Hans stand er der Familie Scholl bei und lernte in dieser Zeit auch Elisabeth, Sophies Schwester, näher kennen. Die beiden heirateten nach Kriegsende und verbrachten ihr Leben zusammen. Außerdem studierte er nach dem Krieg Jura und wurde später Richter in Ulm und Stuttgart. Neben seinem Beruf engagierte er sich in der Friedensbewegung und wurde Mitglied der SPD.;2021-10-05T15:38:47.000Z;179 likes;23
23-5;monika_lmt;@jans__mika Sophie ist 1921 geboren, Elisabeth 1920 und somit ist Sophie die jüngere Schwester;2021-10-05T17:42:00.000Z;3 likes;23
23-6;sui_los_gatos;@ichbinsophiescholl ist Elisabeth schön in der Serie vorgekommen?;2021-10-05T18:28:40.000Z;0;23
23-7;sui_los_gatos;@sui_los_gatos schon;2021-10-05T18:29:01.000Z;0;23
23-8;darial_lb;@ichbinsophiescholl wo ist dann Elisabeth gerade? Ich denke sie war gar nicht in diese Seite gezeigt;2021-10-17T13:25:10.000Z;1 like;23
24;ichbinsophiescholl;"#TeamSoffer In einem Brief vom 14.09.1942 an Sophie schreibt Fritz über geplante Winterunterkünfte und von seinen Eindrücken vom Elend im zerbombten Stalingrad. Scholl, Hartnagel: Damit wir uns nicht verlieren, S.406f.⁠
Mitte September war die Wehrmacht unter großen Verlusten ins Stadtzentrum Stalingrads vorgedrungen. Zu diesem Zeitpunkt war absehbar, dass die Kampfhandlungen nicht vor dem Winter beendet sein würden. ⁠
Für einen Überblick empfehlen wir euch das Video ""Stalingrad"" von @mrwissen2gogeschichte .";2021-10-05T15:25:12.000Z;157 likes;-
24-1;heikegumz;"@ichbinsophiescholl Für die gesamte Schlacht um Stalingrad wird von ca. einer halben Million getöten Soldaten auf beiden Seiten ausgegangen.
Die Zahl der in Stalingrad getöteten Zivilist*innen ist schwer zu beziffern: Während bei Kriegsausbruch Stalingrad knapp 500.000 Einwohner*innen hatte, zählte sie bei der Rückeroberung durch die Rote Armee, weniger als 8.000 Einwohner*innen. Schätzungen gehen von ca. 80.000 aus der Stadt geflüchteten Menschen aus, von denen jedoch wiederum eine große Anzahl auf der Flucht verhungerte.";2021-10-05T15:56:32.000Z;11 likes;24
24-2;heikegumz;"@heikegumz Quellen: https://de.statista.com/themen/6484/zweiter-weltkrieg/
https://www.ifz-muenchen.de/heftarchiv/2006_1_4_l%C3%BCbbers.pdf";2021-10-05T15:57:29.000Z;6 likes;24
24-3;brombeer_eis;@ichbinsophiescholl hat sie Fritz eigtl nochmal sehen können bevor..?;2021-10-05T16:53:40.000Z;0;24
24-4;kathrin.mst;@ brombeer_eis leider nein 😢;2021-10-05T20:15:35.000Z;1 like;24
