Link: ;https://www.instagram.com/p/CQHMbLIs525/
Id/Reply-Id;User;Comment;Date;Likes;Reply To CommentId
1;lorenz_rmg;Toll dass wenigstens ein paar Menschen versucht haben wiedersagend zu leisten;2021-07-14T08:38:29.000Z;0;-
2;micha_hnvr14;lol;2021-06-28T06:23:59.000Z;1 like;-
3;micha_hnvr14;lol;2021-06-28T06:22:22.000Z;0;-
4;flow_8070;"Es ist einfach unvorstellbar zu sehen, wie ein paar sehr Junge Menschen, die sogar noch die Indoktrinationversuche von HJ und BDM durchlaufen haben, den Mut und die Moral haben, ihr eigenes Leben für so ein scheinbar hoffnungsloses Unterfangen aufs Spiel zu setzen.

Und das während erwachsene, gebildete und eigentlich politisch gefestigte Intellektuelle sich den offensichtlichen Lügen des NS-Propagandaapparats einfach so hingegeben haben.

Dieses Projekt ist einfach eine sehr authentische und ehrliche Reflexion der Geschehnisse, und hat mir - wie sicher vielen Anderen - eine neue Sichtweise eröffnet: wir können niemals den Mut und die moralische Überzeugung dieser jungen Menschen begreifen und uns nie genug daran ein Vorbild nehmen.

Vielen Dank dafür!";2021-06-17T18:04:15.000Z;1 like;-
5;constanzesaam;Weiß Fritz etwas über eure Aktivitäten ?;2021-06-17T14:51:30.000Z;9 likes;-
5-1;ichbinsophiescholl;"#teamsoffer Liebe @constanzesaam,
Fritz wusste nicht ausdrücklich von den Aktionen der Weißen Rose, doch bat Sophie ihn um 1000 Reichsmark ""für einen guten Zweck"" und um einen Bezugsschein für einen Vervielfältiger.";2021-06-17T16:06:20.000Z;18 likes;5
6;plasa_gemeinschaft;warum nutzt ihr nicht das internet um eure texte zu verteilen?;2021-06-17T14:08:13.000Z;0;-
7;barbara_e_euler;Sehr bewegend.;2021-06-17T13:01:20.000Z;0;-
8;tremmlinger;Ich hatte das große Glück, einen Geschichtslehrer zu haben, der es wichtig fand, zu zeigen, das es in dieser dunklen Zeit mutige Menschen gab, die aller Gefahr zum Trotz den Willen hatten, etwas verändern zu wollen. Die Stärke und Mitgefühl zeigten.. weit über alles hinaus, was wir uns heute vorstellen können. Euch hier so zu sehen, treibt mir die Tränen in die Augen und ich habe einen Kloß im Hals. Ich fiebere mit und bin stolz. Stolz auf euch, die diese Geschichte neu aufleben lassen und stolz auf die Menschen damals, die gegen alle Widrigkeiten für Menschlichkeit und gegen das Unrecht gekämpft haben.;2021-06-17T08:08:07.000Z;2 likes;-
9;tremmlinger;Ich hatte das große Glück, einen Geschichtslehrer zu haben, der es wichtig fand, zu zeigen, das es in dieser dunklen Zeit mutige Menschen gab, die aller Gefahr zum Trotz den Willen hatten, etwas verändern zu wollen. Die Stärke und Mitgefühl zeigten.. weit über alles hinaus, was wir uns heute vorstellen können. Euch hier so zu sehen, treibt mir die Tränen in die Augen und ich habe einen Kloß im Hals. Ich fiebere mit und bin stolz. Stolz auf euch, die diese Geschichte neu aufleben lassen und stolz auf die Menschen damals, die gegen alle Widrigkeiten für Menschlichkeit und gegen das Unrecht gekämpft haben.;2021-06-17T08:07:48.000Z;0;-
10;stephan.frederik.becker;Großartiges Foto.;2021-06-16T18:49:18.000Z;0;-
11;petermuller742;"@ghostpictures klar, welche Rollen sollten Deiner Meinung nach Nicht ""mit weißen deutschen Männern und Frauen besetzt"", werden, etwa die Nazirollen? Ich glaube du hast das Konzept das Diversity wirkliche Erinnerung braucht nicht verstanden. Klingt für mich eher nach der Argumentation von diesen Coronaleugnern die auf einmal alle verfolgt werden ""genau wie Sophie Scholl"".";2021-06-16T09:10:29.000Z;2 likes;-
12;ghostpictures;Ich finde es voll schade dass ihr alle Rollen mit weißen deutschen Männern und Frauen besetzt habt. #Diversity kennt ihr?;2021-06-16T07:55:48.000Z;0;-
12-1;8bitmusic;@ghostpictures Das ist Geschichte. Kein Wunschfilm.;2021-11-09T11:29:53.000Z;3 likes;12
12-2;ghostpictures;@8bitmusic kann man trotzdem mit POC oder LGBTQ Charakteren besetzen. Gerade weil es mit Social Media spielt. Doof. 😭;2021-11-09T12:42:28.000Z;0;12
12-3;8bitmusic;@ghostpictures Nein, kann man bei so einer Darstellung nicht. 😅 Weil es A) keinen Sinn macht und B) die Geschichte verfälscht.;2021-11-09T13:13:52.000Z;2 likes;12
12-4;ghostpictures;@8bitmusic du wirst lachen, wird schon ganz oft gemacht und von den Medien forciert. Z.B. bei Amazon studios (was nochmal deutlich ein anderer Schnack ist) dürfen nur Homosexuelle Schauspieler, homosexuelle Rollen verkörpern. Ansonsten haben sich auch deutsche Produktionen verpflichtet mehr Gendervielfalt zu besetzen. Weiße junge Frauen und alte weiße Männer haben wir nun oft genug sehen müssen. Bridgerton ist ein gutes Beispiel wie man historisch und angemessen für die black community inszenieren kann.;2021-11-10T07:42:51.000Z;0;12
12-5;8bitmusic;@ghostpictures Ich seh das halt anders als du. ^^;2021-11-10T07:57:43.000Z;0;12
13;sophie__blume;Sowie hier wie sie war ihre Geschichte;2021-06-16T05:12:50.000Z;0;-
14;sophie__blume;Anne Frank würde mich auch sehr interessieren;2021-06-16T05:12:35.000Z;0;-
15;sophie__blume;Sowie hier wie sie war ihre Geschichte;2021-06-16T05:11:59.000Z;0;-
