Link: ;https://www.instagram.com/p/CRo0-uOssou/
Id/Reply-Id;User;Comment;Date;Likes;Reply To CommentId
1;samazhin.hawraman;🤍🤍👌;2021-08-03T01:25:22.000Z;0;-
2;kajazm;@ichbinsophiescholl seit ihr ein paar ?;2021-07-27T08:41:40.000Z;1 like;-
3;wollkneul_sockenbart_;So ein wunderbares Projekt 😍;2021-07-24T21:37:36.000Z;0;-
4;giftmuell;"Moin Sophie, wenn ich Du wäre würde ich am 18. Februar 1943 nicht in Universität München gehen. ;))";2021-07-24T11:02:26.000Z;0;-
5;becksche_nbg;Wenn ich euch beide sehe. Eure Augen. Selbst ohne zu wissen was passieren kann, ist es so beängstigend, so berührend...so unbeschreiblich. Ich wünschte so sehr...alles wird gut.;2021-07-23T22:09:11.000Z;1 like;-
6;konstanntin16;Danke für eure so wunderbaren Einblicke in euer so kurzes Leben. Wie gern würde ich euch beschützen und vor der großen Gefahr beschützen. Ihr wart soooo tolle junge Menschen. Eine Schande wie man mit euch verfahren ist. 😍😍😍😍;2021-07-23T21:37:22.000Z;0;-
7;sven.meyer.33483;Ein ganz tolles Projekt, freu mich auf jeden neuen Beitrag. Bin sogar nur deswegen zu Insta gekommen. War skeptisch noch eine Sozialapp. Man hat je kaum Zeit 🙈😩.;2021-07-23T17:57:44.000Z;0;-
8;susanne_k_aeferchen;👏👏;2021-07-23T17:16:37.000Z;1 like;-
9;ines_s_2;❤️‍🔥;2021-07-23T11:04:37.000Z;1 like;-
10;j.s.l.s;Habe gerade die Story mit dem Abschied gesehen..Hat mich zum weinen gebracht, da ich mir nie vorgestellt habe wie schmerzhaft es sein musste für alle Familienmitglieder..Musste danach auch an die Brüder meiner Uroma denken, wo einer an die Ostfront, ein anderer nach Frankreich und wieder ein anderer nach Italien geschickt worden sind..Nur einer kam wieder, der der in Frankreich stationiert war...;2021-07-23T09:00:58.000Z;2 likes;-
11;hanna.zobel.56;Es ist so furchtbar, zu wissen, wie es endet;2021-07-23T08:22:50.000Z;1 like;-
12;j.s.l.s;Habe gerade die Story mit dem Abschied gesehen..Hat mich zum weinen gebracht, da ich mir nie vorgestellt habe wie schmerzhaft es sein musste für alle Familienmitglieder..Musste danach auch an die Brüder meiner Uroma denken, wo einer an die Ostfront, ein anderer nach Frankreich und wieder ein anderer nach Italien geschickt worden sind..Nur einer kam wieder, der der in Frankreich stationiert war...;2021-07-23T06:52:36.000Z;2 likes;-
13;evaschmidt8202;Ich mag mir das Zenario garnicht vorstellen. Bedrückend🙈;2021-07-23T06:29:52.000Z;0;-
14;liliansiderius;❤️❤️❤️;2021-07-23T06:25:15.000Z;1 like;-
15;liliansiderius;❤️❤️❤️;2021-07-23T06:21:22.000Z;1 like;-
16;_closest_2_hell_;Besorgt? Ich glaub Hans hat schlicht & einfach Angst. Riesengroße Angst. Und das zu Recht, Sophie.;2021-07-23T03:08:59.000Z;5 likes;-
17;_.galskap;❤️❤️;2021-07-23T01:49:38.000Z;1 like;-
18;theshadow000;cringe;2021-07-23T00:31:12.000Z;0;-
