Link: ;https://www.instagram.com/p/CVhqjQWDeo8/
Id/Reply-Id;User;Comment;Date;Likes;Reply To CommentId
1;filiz.de_;Passt vielleicht nicht unbedingt unter diesen Post, aber an genau diesem Tag im Jahr 1942 ist der aus Hamburg stammende Widerstandskämpfer Helmuth Hübener mit nur 17 Jahren hingerichtet worden... #Widerstand #HelmuthHübener;2021-11-09T19:22:44.000Z;1 like;-
2;zeilenvollerworte;Ich liebe Inge 😍;2021-11-04T11:35:49.000Z;1 like;-
3;jochenhayek;"wie wird sich Inge fühlen, wenn das mit der Weißen Rose ""herauskommt"" und Hans und Sophie getötet werden? die beiden haben das etwas ausgeheckt und sie nicht mit einbezogen – das wird sicher auch ein Päckchen sein, das Inge mit sich herumtragen wird";2021-10-30T11:19:15.000Z;1 like;-
4;bernhardosterwind;Ich habe Sie im Rahmen eines Schulprojektes mal persönlich getroffen. Sie hat neben der Erinnerungsarbeit für die Weiße Rose Pionierarbeit für die VHS Idee und die Förderung von Menschen mit Trisomie 21 getan. Politisch war sie in der Friedensbewegung sehr aktiv. inge aicher-scholl;2021-10-30T07:49:10.000Z;4 likes;-
5;lin_sch28989;Was ist eigentlich aus Inge geworden?;2021-10-30T06:04:13.000Z;1 like;-
6;johannaa.mst;stark 🔥;2021-10-29T14:16:16.000Z;0;-
7;scaglione9029;❤️❤️❤️❤️❤️;2021-10-29T13:03:45.000Z;1 like;-
8;the.possum.way.of.living;Habe einige Interviews mit Inge gelesen und fand die alle sehr bewegend. Obwohl das ganze sie sehr traumatisiert hat, auch ihre eigene Verhaftungen, war sie so unglaublich stark und hat später ja auch noch viel geleistet für die Gesellschaft. Eine tolle Frau 💕;2021-10-28T15:42:19.000Z;0;-
9;minh._.grn;Fleißig🙌🔥;2021-10-28T07:43:06.000Z;1 like;-
10;sessie2912;@ichbinsophiescholl wieso sieht man deine anderen Schwestern nicht?;2021-10-28T07:35:39.000Z;0;-
11;vallikonich;So interessant, das wir auf diesem Weg deine Schwester kennenlernen (sogar in Farbe...) und deine Sorge der Geheimhaltung... :-O;2021-10-28T07:17:18.000Z;0;-
12;ariane.stark2018;❤️ schön !;2021-10-28T06:52:03.000Z;1 like;-
13;olivia_flatzlsteiner;@ichbinsophiescholl war das Wirklichkeit, dass Sophie, Otl bei der Weißen Rose haben wollte und ihn heimlich traf um ihn dazu zu bringen? (:;2021-10-28T06:08:34.000Z;0;-
14;markus.strauss;Könntest Du sie einweihen, und sie würde Dir sagen dass Du für den Versuch etwas zu ändern an den Verbrechen und Morden sterben wirst, würdest Du aufhören?;2021-10-27T22:27:22.000Z;0;-
15;svenglyxpilz;Inge ist vielleicht die beste BüglerIN der Welt, aber ich bin ein besserer Bügler!;2021-10-27T22:09:58.000Z;0;-
16;lena.aurnhammer2020;Was ist eigentlich aus otl geworden?❤️;2021-10-27T20:31:22.000Z;0;-
17;_julia.arling_;Und, hat euer Vater euer Musikstück denn jetzt eigentlich gehört?;2021-10-27T20:09:46.000Z;2 likes;-
18;slothmarbletree;100 Tage noch nicht vorbei ???;2021-10-27T18:48:33.000Z;0;-
19;rpiakatharina;Du bist ja zur Zeit in Ulm, sind die anderen Mitglieder der weißen Rose zur Zeit aktiv im Widerstand, in München ? Oder sind alle in den Semesterferien nach Hause gefahren?;2021-10-27T18:05:40.000Z;1 like;-
20;glinzerkram;Ich habe auch so eine Inge und sie heisst Beate und ich liebe sie genauso ❤️;2021-10-27T16:32:25.000Z;0;-
21;kos.mel;Warum kommt Deine Schwester Elisabeth kaum in der Geschichte vor?;2021-10-27T15:53:44.000Z;2 likes;-
22;netratz;🔥❤️;2021-10-27T14:19:51.000Z;1 like;-
23;katharina.helling;".
🗓 Himmler ordnet am 27. Oktober 1942 an, die Bewohner des Gettos Pinsk umgehend zu ermorden
〰️
Befehl (geheim) an Höheren SS- und Polizeiführer Ukraine, Prützmann, (beglaubigte Durchschrift)
〰️
Der Wehrmachtsführungsstab teilt mir mit, daß die Strecke Brest–Gomel immer mehr durch Bandenüberfälle leidet und dadurch der Nachschub für die kämpfende Truppe in Frage gestellt wird.

Auf Grund der mir vorliegenden Meldungen ist das Ghetto in Pinsk als Zentrale der gesamten Bandenbewegung in den Pripjet-Sümpfen anzusehen.

Ich befehle Ihnen daher, trotz Bestehens wirtschaftlicher Bedenken, das Ghetto in Pinsk sofort auszuheben und zu vernichten. 1000 männliche Arbeitskräfte sind, falls es die Aktion erlaubt, sicherzustellen und der Wehrmacht für die Fabrikation der Holzhütten zu überstellen. Die Arbeit dieser 1000 Arbeitskräfte darf jedoch nur in einem geschlossenen und sehr bewachten Lager stattfinden. Falls diese Bewachung nicht garantiert ist, sind auch diese 1000 zu vernichten.
〰️
Quelle: https://die-quellen-sprechen.de/08-208.html
〰️
Mehr zu Pinsk(weißrussisch Пінск; russisch Пинск; polnisch Pińsk) damals zu Polen gehörig - heute in Belarus gelegen, kann hier nachgelesen werden: https://www.holocaust.cz/de/geschichte/nazistische-konzentrationslager-und-ghettos/ghettos/pinsk/";2021-10-27T13:44:48.000Z;12 likes;-
24;evie_lu;Und Elisabeth?;2021-10-27T13:11:54.000Z;0;-
