Link: ;https://www.instagram.com/p/CPsv70VNO5v/
Id/Reply-Id;User;Comment;Date;Likes;Reply To CommentId
1;ohhh.schau.mal;💚;2021-06-10T21:42:57.000Z;0;-
2;team_moehrchen;Eh wie cool :D;2021-06-09T16:18:38.000Z;0;-
3;manon.noix;Vielen Dank für diese so bedeutende Initiative! Es war, bleibt und wird immer so sein: Menschlichkeit ist das was uns alle miteinander verbindet. Es ist unsere Pflicht aufeinander zu achten. Es ist toll zu sehen, dass ihr diese Botschaft der Geschwister Scholl weiter verbreitet ❤️;2021-06-07T18:40:45.000Z;2 likes;-
4;tazzo_1234;😍;2021-06-07T09:24:37.000Z;0;-
5;philine.conrad;wo war Sophie Scholl die letzten 15 Monate?;2021-06-06T20:13:26.000Z;0;-
6;netratz;🔥❤️;2021-06-06T17:30:50.000Z;0;-
7;bastiraptor;Jaman dafür bezahlen wir Rundfunkgebühren;2021-06-06T09:56:32.000Z;0;-
8;radomira.mi.9;Liebe Sophie Scholl, warst du vielleicht heimlich in Lisa Remppis verliebt und es war dir nur nicht bewusst? 🤣😂 😇;2021-06-06T06:50:35.000Z;0;-
9;huerm05;❤️❤️;2021-06-06T06:25:30.000Z;0;-
10;ms_i_dont_know;lasst mal alles abfallen und genießen u Kraft tanken 👏😍❤️ und nur einfach ihr selbst sein 🔥;2021-06-06T00:32:18.000Z;0;-
11;martina.v.iv;Viel Spaß!;2021-06-05T19:35:56.000Z;0;-
12;sprukas.leen;Ich nicht;2021-06-05T18:33:26.000Z;0;-
13;sandra.jansen.tierschutzlehrer;Die Natur macht den Kopf frei und lässt Sorgen vergessen, Ideen entwickeln, Gedanken sortieren;2021-06-05T17:09:36.000Z;0;-
14;somegreenspirits;😍😍😍;2021-06-05T13:46:09.000Z;0;-
15;lana74;Das Herz der Ausstattungsabteilung weint ganz leise, beim Anblick des Notausgangsschildes. Zu 90% war es abgedeckt... da gab es wohl ein spontanes Foto.... und das Rock’n’Roll Team ist halt auch menschlich... irgendwann wird man betriebsblind..... aber es ist und war das beste Team ever! 🔥❤️;2021-06-05T13:00:50.000Z;5 likes;-
15-1;becky_fuchs;@lana74 ❤️;2021-06-05T18:42:34.000Z;1 like;15
16;gurkensalatistlecker;Ich war vor einer Woche auch in der Uni, das ist so ein krasses Gefühl wenn man sie vorher in deinen stories sieht;2021-06-05T12:38:39.000Z;0;-
17;landmaedchen85;So sollte der Geschirruntericht an den Schulen stattfinden. Dann würden die Jugendlichen sich auch dafür interessieren. Super Projekt 👏👏👏;2021-06-05T12:18:29.000Z;0;-
18;collybirds;Ich finde es eher berührend, dass ausgerechnet das Fluchtweg/Notausgang Schild noch hängt.... Liebe Sophie, wir wohnen mitten im Grünen und Meer ist in der Nähe.Kommt gern her!🤗❤️;2021-06-05T12:01:09.000Z;0;-
19;holle0815;@ichbinsophiescholl Tolle und moderne Art der Jugend geschichtliche Personen und Ereignisse nahe zu bringen 👍Gerade in der heutigen Zeit ist es wieder wichtig den Menschen Toleranz anderen gegenüber zu bringen 👍🤓;2021-06-05T10:45:02.000Z;0;-
20;apfel.pfluecker;Aber Mittsommer ist doch erst in ein paar Wochen, oder? 😉;2021-06-05T10:37:16.000Z;0;-
21;simsarahbiim;Atin;2021-06-05T10:07:06.000Z;0;-
22;softwind.94;Sophie ❤️❤️;2021-06-05T09:49:06.000Z;1 like;-
23;hobbitly;Viel Spaß❤️;2021-06-05T09:15:21.000Z;1 like;-
23-1;ichbinsophiescholl;@hobbitly Dankeschön 🤍;2021-06-05T10:43:29.000Z;7 likes;23
24;_eximie_;Genießt den Ausflug und das kleine Stückchen Freiheit 😊;2021-06-05T05:26:16.000Z;0;-
24-1;ichbinsophiescholl;@_eximie_ Das werden wir in vollen Zügen! 🌼;2021-06-05T10:07:03.000Z;3 likes;24
25;_eximie_;Genießt den Ausflug und das kleine Stückchen Freiheit 😊;2021-06-05T05:12:56.000Z;1 like;-
26;dorobuch.art;Gute Idee- das mache ich morgen auch!;2021-06-05T05:02:09.000Z;1 like;-
27;colorful.rise;Das klingt so schön ✨🌿🦋 liebe es auch in der Natur zu sein. Erholt euch gut :);2021-06-05T01:39:16.000Z;1 like;-
28;katrin_kpunkt;Danke für dieses Format! Ich hoffe es erreicht viele Menschen!;2021-06-04T23:44:02.000Z;18 likes;-
28-1;ichbinsophiescholl;@katrin_kpunkt #teamsoffer Liebe Katrin, vielen Dank! 🤍;2021-06-05T10:08:16.000Z;6 likes;28
29;tehrl;Das ist eine großartige Idee, Sophie. Ich habe auch schon mal unter freiem Himmel übernächtigt. Es war wunderbar. Über mir nur die Sterne. Das Licht der Stadt und der Trubel waren weit weg. Keine Fahnen und Aufmärsche. Alles war friedlich. Ach könnt‘s jeden lieben Tag so sein...;2021-06-04T22:53:38.000Z;3 likes;-
29-1;ichbinsophiescholl;@tehrl Das hört sich unfassbar schön und frei an. Daran werde ich denken... 💭;2021-06-05T10:09:03.000Z;3 likes;29
30;walderamichael;❤️;2021-06-04T22:50:52.000Z;1 like;-
31;hussam_3213;sehr schön wie immer 😍😍😍😍😍😍;2021-06-04T22:05:06.000Z;1 like;-
32;dominicvovo;❤️;2021-06-04T21:30:44.000Z;1 like;-
33;filccarolin;👏👏👏;2021-06-04T20:41:23.000Z;1 like;-
34;fischbachehrlich;❤️;2021-06-04T20:38:24.000Z;1 like;-
35;torssten_;Wie cool ist das denn bitte 😍;2021-06-04T20:13:52.000Z;1 like;-
36;susanne.bamberger.50;Viel Spaß 😍 beim zelten 🙌🔥;2021-06-04T19:58:15.000Z;2 likes;-
37;abo_um_die_welt;Wie lange hat die Planung dieses Projekts denn gedauert? Es ist so umfassend 😍;2021-06-04T19:48:25.000Z;1 like;-
38;tinas_notizblog;Danke für dieses tolle Projekt. Sophie Scholl, die weiße Rose und auch die Familie Scholl waren/sind/ ist für mich ein großes Vorbild, schon seit Jugendzeiten! 😍;2021-06-04T19:46:11.000Z;10 likes;-
38-1;ichbinsophiescholl;@tinas_notizblog #teamsoffer Das freut uns sehr zu hören. Schön dass dich dieses Projekt so mitnimmt und du dabei bist! 🤍;2021-06-05T10:10:22.000Z;3 likes;38
39;wonderwoman_pinar;Wieso kommt Hans Freundin Traute nicht mit?;2021-06-04T18:40:36.000Z;0;-
40;theoweber82;Leuke foto;2021-06-04T18:24:11.000Z;0;-
41;anjaaa_a;Viel Spaß euch beim Zelten ❤️;2021-06-04T17:46:05.000Z;1 like;-
42;tina1732020;Asche auf mein Haupt. Stehe mit der Tastatur im Clinch😂 Will sagen, Sophie packt es an😍;2021-06-04T17:42:46.000Z;1 like;-
43;tina1732020;Sophie, bist halt eine Macheton;2021-06-04T17:41:17.000Z;0;-
44;tina1732020;Sophie, du Machero;2021-06-04T17:40:56.000Z;0;-
45;bine_pieris_japonica;Das ist genau das richtige Wetter dafür! Schön. Fahrt ihr an einen See?;2021-06-04T17:15:48.000Z;2 likes;-
46;olafvonrothkirch;Super! 🤗🤗🤗🤗👍;2021-06-04T16:57:43.000Z;1 like;-
47;falk_loneroptic;Respekt an diesen Account, dass ist mal Bildung wie sie sein sollte ich bin begeistert von dieser Idee;2021-06-04T16:46:43.000Z;16 likes;-
47-1;ichbinsophiescholl;@falk_loneroptic #teamsoffer Lieber Falk, vielen lieben Dank für dein positives Feedback! Schön dass du Teil dieses Projekts bist!;2021-06-05T10:45:01.000Z;2 likes;47
48;anjamuller565;Das war sehr nett von der Freundin. Viel Spaß in der Natur...mal weit weg von den Nazis und dem Alltagsstress.;2021-06-04T16:22:11.000Z;1 like;-
49;nico___org;Viel Spassssss❤️;2021-06-04T16:17:38.000Z;1 like;-
50;fotosabse;Mega coole Idee, viel Spaß 😊;2021-06-04T15:53:37.000Z;1 like;-
51;c_theskadi_;Ooh das hört sich schön an, hoffentlich komme ich mit meinen Freunden diesen Sommer auch dazu. Ich wünsch euch ganz viel Spaß dabei!🙌;2021-06-04T15:44:19.000Z;1 like;-
52;die_moehre;"Wird dieses Projekt eigentlich jetzt ""in Echtzeit"" bis Februar gehen oder wie lange ca?";2021-06-04T15:44:14.000Z;114 likes;-
52-1;dani.bielefeld;"""Der Kanal @ichbinsophiescholl startet am 4. Mai. Das ist der Kalendertag, an dem sich Sophie auf die Zugfahrt nach München zum Studium begibt. Von da an postet sie über das ganze Jahr bis hin zu ihrer Verhaftung im Februar.""";2021-06-04T16:46:23.000Z;32 likes;52
52-2;ichbinsophiescholl;@dani.bielefeld @die_moehre #teamsoffer Genau so ist es!;2021-06-04T17:18:15.000Z;270 likes;52
52-3;iamadaaydreamer;@evelyne.britt;2021-06-04T17:39:50.000Z;1 like;52
52-4;die_moehre;@ichbinsophiescholl @dani.bielefeld vielen Dank!;2021-06-05T07:42:58.000Z;0;52
53;mohadeseh.safdarian;👌🏻;2021-06-04T15:37:38.000Z;1 like;-
54;btrix1411;Toller Plan, man sieht wie sehr du dich freust;2021-06-04T15:33:10.000Z;2 likes;-
55;eptingsabine;Tolle Idee Sophie, vergesst den Wein nicht 😉;2021-06-04T15:26:36.000Z;2 likes;-
56;wood_freak83;Oh das klingt toll, bin auch sehr gerne draußen in der freien Natur unterwegs, wünsche euch ganz viel Spaß (mir kommt da die etwas unwichtige Frage in den Sinn, ob man im 3 Reich wild campen durfte, ist ja heute fast überall verboten in der BRD);2021-06-04T15:18:31.000Z;1 like;-
57;charlott.lars;Dann viel Spaß 🍀🌻🏞️;2021-06-04T15:10:34.000Z;1 like;-
58;daniel_vs_addi;Genieße es, ich war auch vor kurzem in der Natur und es tat mir unbeschreiblich gut. Frei atmen können. Seinen Gedanken freien Lauf lassen oder komplett ausschalten. Sophie das tat mir mehr als gut.;2021-06-04T15:04:29.000Z;2 likes;-
59;silvianehonegger;So spannend inszeniert ❤️;2021-06-04T15:03:37.000Z;0;-
60;joanna_syr;So eine rausgelassene Aktivität, in der Natur zu übernachten und sich eine kleine Auszeit zu nehmen !;2021-06-04T14:49:16.000Z;1 like;-
61;lachstulle;Carpe diem, liebe Sophie;2021-06-04T14:48:34.000Z;3 likes;-
62;annie_henning_bayern;Herrlich;2021-06-04T14:48:13.000Z;1 like;-
63;abdelkoudous2003;Kann jemand hier erklären was passiert in diesem Stories und Diese lange Geschichte, Ich habe diese Person bei solchen Filmen gekannt, sie ist ein äe großartige Schauspielerin ,die ich sehr viel liebe , aber ich weiss nicht ob das ihre eignen Konto ist .🤔;2021-06-04T14:47:35.000Z;2 likes;-
63-1;hansi693712;@abdelkoudous2003 das wird hier eigentlich gut erklärt: https://www.swr.de/ich-bin-sophie-scholl/darum-gehts-bei-ich-bin-sophie-scholl-100.html;2021-06-04T15:41:05.000Z;1 like;63
63-2;abdelkoudous2003;@hansi693712 ich danke dir , aber ich habe noch eine Bitte, wie heißt diese Schauspielerin eigentlich?;2021-06-04T19:01:55.000Z;1 like;63
63-3;ichbinsophiescholl;@abdelkoudous2003 #teamsoffer Die Schauspielerin heißt Luna Wedler;2021-06-05T10:18:48.000Z;36 likes;63
63-4;abdelkoudous2003;@ichbinsophiescholl Ok vielen Dank Sophie😁😁😁;2021-06-05T22:26:09.000Z;1 like;63
64;heikekohnen.x;So schön! Mein Kind und ich schlafen im Sommer oft auf der Terrasse hinter unserem Haus;2021-06-04T14:47:12.000Z;1 like;-
65;molly._.magdich;Viel Spaß dabei;2021-06-04T14:46:42.000Z;1 like;-
66;stevevandeeds;Nutzt die Sonnenstrahlen! Ein Sturm zieht auf…;2021-06-04T14:43:13.000Z;9 likes;-
67;__marisa.____;Sehr schöne Idee und viel Spaß 😍☀️;2021-06-04T14:42:52.000Z;1 like;-
68;meralsandra;Hallo Sophie wir waren letzten Sonntag in deiner Geburtsstadt Forchtenberg und der Burgruine wo du auch gerne gespielt hast es sind auch Rosen gepflanzt die an euch erinnern. Unsere Mädels haben viele Bilder gemacht. Es ist ein mystischer Ort. Wir wohnen ca. 20 km von Forchtenberg entfernt.;2021-06-04T14:34:30.000Z;5 likes;-
69;red_winona;Mal was anderes, als trostloser Alltag. Genießt eure Auszeit ❤️;2021-06-04T14:32:29.000Z;1 like;-
70;fabianwassmus;Hey Sophie ich möchte mich bei dir bedanken das du uns dein Leben hier mit uns teilst du bist die beste 😊😊;2021-06-04T14:25:00.000Z;9 likes;-
71;gwen_gloeckchen;Viel Spaß ihr Lieben!! 👍🌸🍀😉;2021-06-04T14:07:56.000Z;2 likes;-
72;antjes_bunte_box2;Einfach Seele baumeln lassen. Kopf frei bekommen. Zelten ist eine schöne Idee. Was nehmt ihr mit zu essen? 🙌;2021-06-04T14:05:41.000Z;11 likes;-
72-1;ichbinsophiescholl;@antjes_bunte_box2 Mal schauen, aber wir packen bestimmt eine Menge Leckereien ein!;2021-06-04T15:21:24.000Z;14 likes;72
73;susanne_k_aeferchen;🤗🤗;2021-06-04T14:05:09.000Z;1 like;-
74;wunder_herz;Klasse! Ich liebe Zelten auch, das wird immer ein kleines Abenteuer 😍😅👌🏼 viel Spaß schon mal!;2021-06-04T13:59:04.000Z;2 likes;-
75;phil__bz;Nehmt genug Decken und Getränke mit... 😂;2021-06-04T13:54:26.000Z;1 like;-
76;dagama.outdoor;Es gibt nichts schöneres, als draussen in der Natur zu schlafen. Ein Zelt braucht man dafür aber auch nicht zwingend. 😉 Mache ich regelmäßig. Viel Spaß euch.;2021-06-04T13:52:51.000Z;1 like;-
77;rumiki1701;😂;2021-06-04T13:49:40.000Z;0;-
78;carol.jci;Diese Idee ist so schlau und inspirierend, weiter so🙌;2021-06-04T13:47:11.000Z;1 like;-
79;woppmartin;Sucht euch einen schönen See!;2021-06-04T13:46:20.000Z;2 likes;-
80;parents4future_darmstadt;Oder Ihr nehmt die Fahrräder und macht am Wochenende bei den Aktionstagen gegen den Autobahnbau mit. Was da nämlich in Deutschland noch vor 1933 begann, wird in der Zukunft zu einem echten Problem.;2021-06-04T13:43:52.000Z;4 likes;-
80-1;lena.1306;@parents4future_darmstadt 😂😂 bitte nicht..😂;2021-06-04T14:16:17.000Z;1 like;80
81;_dennis.bln__;Dieses Fluchtwegschild hinten links zerstört komplett die Illusion 💀;2021-06-04T13:43:41.000Z;3 likes;-
