Link: ;https://www.instagram.com/p/CV5DXmHDqIh/
Id/Reply-Id;User;Comment;Date;Likes;Reply To CommentId
1;_.l.o.r.e.n.a._;Ich denke dass sein benehmen war schlecgte. Sad ist nicht ein singe dass wir kann macht zwischen schwester;2022-01-12T08:47:34.000Z;0;-
2;nikeflury;very mean;2021-12-17T08:18:48.000Z;0;-
3;iisa__official_;Ich hoffe du und Otl hab eine schöne Zeit!! Überleg dir das nochmal mit Inge, ob du ihr das Geheimnis erzählen willst sie ist deine Schwester und Familie hat keine Geheimnisse voreinander!! Viel spaß noch;2021-11-08T05:00:31.000Z;1 like;-
4;yellowweather;Du musst ja nicht alle Details erwähnen, aber sie sollte es grob wissen, damit das Vertrauensverhältnis bestehen bleibt;2021-11-07T20:00:39.000Z;1 like;-
5;achat2433;Der Otl ist wirklich sehr gut drauf, das ist schön wenn du dich mit ihm gut austauschen kannst, das ist für dich bereichernd und befreiend in Tagen wie diesen.;2021-11-07T19:40:31.000Z;1 like;-
6;ilsekoerber;👏🙌❤️;2021-11-07T07:35:27.000Z;1 like;-
7;annaisabel_r;Der ist wirklich niedlich😍;2021-11-06T20:17:09.000Z;0;-
8;philsender;Ploppi;2021-11-06T09:19:14.000Z;4 likes;-
9;angiwepberlin;Ist schon ein Hübscher 😍;2021-11-06T08:38:59.000Z;0;-
10;noepictales;Müsste er nicht Uniform tragen?;2021-11-06T07:43:38.000Z;0;-
11;josiaskrettek;Cool 👍🦋;2021-11-06T00:14:49.000Z;0;-
12;just_me_from_germany_;"Ich bin immer noch jedes mal aufs neue erstaunt und erschrocken, wie selbstverständlich dieser Account in der aktuellen Zeit für mich geworden ist. Es zeigt eine, zum Glück, lange vergangene Zeit aber es holt einen so dahin oder die Zeit zu einem, das man das Gefühl hat, es passiert grad hier und jetzt in unserem Land. Ich empfinde so dermaßen Angst vor dem Tag, an dem Sophies, Hans und derer aller Beteiligter Geschichte ""endet""... Ganz ganz großen Respekt für diese Leistung und von ganzem Herzen danke! Danke das ihr der Handy Generation von Jugendlichen, die all euren Weg leider nicht außerhalb ihrer Handy Welt finden würden, so nahebringt, sie mitnehmt und ihnen eine Welt zeigt, die soviel anders war als es die unsere heut zu Tage ist... Das ist sie unter anderem auch wegen eurem Mut! Ich empfinde große Demut, jetzt quasi vor Ort, eure unfassbare Geschichte miteeben zu dürfen...es gewichtet das ganze nochmal viel mehr, als wenn man es ""nur"" aus Büchern kennt, rundet es so zusagen ab. Hut ab!";2021-11-05T22:37:34.000Z;14 likes;-
12-1;ichbinsophiescholl;@just_me_from_germany_ #TeamSoffer Vielen herzlichen Dank für dein Lob! Wir freuen uns sehr, dass das Projekt so viele Leute begeistert und zum Nachdenken anregt.;2021-11-11T11:43:51.000Z;2 likes;12
13;wene_beinhart;Wie und wo feiert ihr Christoph's Burztag morgen?🎂🍰🥧☕ (*1919).;2021-11-05T21:11:44.000Z;0;-
14;chris_tine0603;Ist bekannt ob Inge ihrer Schwester die Lügen verzeihen und sie im Nachhinein verstehen konnte? Also dass sie geschwiegen hat um Inge zu schützen.;2021-11-05T19:52:33.000Z;7 likes;-
14-1;josifreese;Und bei der Gelegenheit gleich noch eine Frage: Haben Inge und Otl später geheiratet?;2021-11-06T08:45:33.000Z;1 like;14
14-2;ichbinsophiescholl;@josifreese #TeamSoffer Inge erfuhr erst nach der Verhaftung von Sophie und Hans von der Weißen Rose. Auch war sie zeitweise eifersüchtig, weil Sophie und Otl in engem Kontakt standen. Eine wie in unserer Story dargestellte Szene hätte also gut so oder so ähnlich stattfinden können. Da Inge nach dem Krieg und nach dem Ende des NS-Regimes maßgeblich daran beteiligt war, das Wirken der Weißen Rose bekannt zu machen, kann wohl davon ausgegangen werden, dass sie ihrer Schwester und ihrem Bruder verziehen hat, wenn es darum geht, dass sie nicht eingeweiht wurde. Und ja, Inge und Otl heirateten nach dem Krieg im Jahre 1952.;2021-11-06T09:11:33.000Z;47 likes;14
15;waltings_blue;❤️❤️❤️;2021-11-05T19:52:04.000Z;0;-
16;karinamelone3484;Hach Sophie 😢 - hättest da mal vorher drangedacht! Aber hinterher is man immer schlauer! Teilst Du mit uns die Tipps, die Du bekommst?;2021-11-05T17:29:46.000Z;0;-
17;__marisa.____;Es ist jetzt gerade Schwierig es Inge zu erzählen, aber es wäre besser wenn du es ihr erzählst, sie muss es einfach verstehen!!!;2021-11-05T17:03:05.000Z;8 likes;-
17-1;ichbinsophiescholl;@__marisa.____ Ich glaube, dass sie tief im Inneren weiß, dass sie sich da keine Sorgen machen muss. Einfach wird es für sie dennoch nicht!;2021-11-05T17:13:47.000Z;7 likes;17
18;kathafuer;Was bringt es im Nachhinein davon zu erzählen? Da wurde doch schon gelogen. Das macht dann nichts mehr besser.;2021-11-05T15:42:35.000Z;5 likes;-
18-1;ichbinsophiescholl;@kathafuer Das schlechte Gewissen nagt an mir… Und stell dir vor, wie es Inge gehen wird, wenn sie es nur von Otl erfährt und nicht von mir!;2021-11-05T16:42:11.000Z;0;18
18-2;kathafuer;@ichbinsophiescholl Ja, dass die Gefahr besteht war klar. Für Inge macht aber ein Geständnis im Nachhinein das Ganze fast noch schlimmer. Vorher wäre sie wahrscheinlich nur dagegen gewesen, jetzt kommt noch dazu, dass sie angelogen wurde…;2021-11-05T17:12:38.000Z;2 likes;18
18-3;ichbinsophiescholl;@kathafuer Meinst du, ich sollte gar nichts erzählen?;2021-11-05T17:17:59.000Z;3 likes;18
18-4;kathafuer;@ichbinsophiescholl Würde ich nicht mehr, nein. Ich finde, wenn man im Nachhinein etwas „beichtet“, von dem man eigentlich schon vor der Tat gewusst hat, dass es jemanden sehr verletzt, dann macht man das nur für sich selbst, für das eigene schlechte Gewissen. Ich versuche mir dann vorher eine Alternative zu überlegen oder aber zumindest nicht zu lügen. Dann gibts zwar manchmal (heftigen) Streit, aber meiner Erfahrung nach machen Lügen alles nur viel schlimmer. Und meine Schwester könnte ich dauerhaft sowieso nicht anlügen 😍, die Option kann ich ohnehin streichen;2021-11-05T17:41:43.000Z;1 like;18
19;karolinamalwina;Sophie, ich wusste gar nicht, dass du und Otl euch kanntet! Wie schön!;2021-11-05T15:00:04.000Z;10 likes;-
19-1;ichbinsophiescholl;@karolinamalwina Wir sind sogar sehr eng miteinander befreundet! Otl ist ein wunderbarer Mensch!;2021-11-05T16:38:00.000Z;8 likes;19
19-2;wene_beinhart;@karolinamalwina @ichbinsophiescholl Daher Aicher-Scholl 😉😉;2021-11-05T21:12:57.000Z;1 like;19
19-3;karolinamalwina;@wene_beinhart 😮🤯😮;2021-11-05T22:34:48.000Z;0;19
19-4;ichbinsophiescholl;@wene_beinhart @karolinamalwina #TeamSoffer Nach dem Krieg heirateten Inge und Otl und Inge nahm dann den Nachnamen Aicher-Scholl an.;2021-11-11T11:39:58.000Z;1 like;19
20;_kechab_;And he's good-looking, damn...;2021-11-05T14:52:56.000Z;0;-
21;sebastian_aus_bielefeld;Mir war garnicht bewusst, dass otl aicher so eng mit den scholls war... Und das als schriftsetzer/Grafiker... 😬;2021-11-05T13:39:41.000Z;2 likes;-
22;zep.mel;Was ein hübscher 🥴;2021-11-05T13:06:11.000Z;5 likes;-
23;vroni.cxd;Wie ist es denn mit Otl und Inge nach dem Krieg weiter gegangen?;2021-11-05T12:57:38.000Z;0;-
23-1;ichbinsophiescholl;@vroni.cxd #TeamSoffer Otl Aicher gründete zusammen mit Inge Scholl und Max Bill 1953 die Hochschule für Gestaltung in Ulm und er war einer der bedeutendsten Grafikdesigner des 20. Jahrhunderts. 1952 heirateten Inge und er.;2021-11-05T13:20:44.000Z;26 likes;23
23-2;heikegumz;"@ichbinsophiescholl Inge Scholl gründete zudem die Ulmer Volkshochschule, die sie auch bis 1974 leitete.
Sie schuf damit wegweisende Bildungseinrichtungen, die sich nach der Befreiung vom Nationalsozialismus dem Aufbau der Demokratie verpflichtet fühlten.

Inge widmete sich zudem über Jahrzehnte der Erinnerungsarbeit an die ""Weiße Rose"" und vor allem ihre Geschwister, prägte das Gedenken an sie in der BRD.
Ohne ihre Arbeit spielten Hans und Sophie Scholl mit Sicherheit nicht die bedeutende Rolle, die sie sie heute im öffentlichen Erinnern in Deutschland spielen - sondern wären evtl. ähnlich bekannt wie z.B. Charlotte Eisenblätter, Hella Hirsch oder Marianne Cohn... Um nur einige Beispiele von Frauen zu nennen - zwei davon in Sophies Alter - die ebenfalls an der Erstellung von Flugblättern beteiligt waren bzw. Mitglied einer Widerstandsgruppe waren bzw. sogar jüdischen Kindern das Leben gerettet haben.
Kurz: ohne Inge Scholl würde sich wahrscheinlich auch niemand besonders für ein Insta-Projekt über ihre Schwester interessieren... weil einfach kaum jemand sie kennen würde.";2021-11-05T20:11:39.000Z;12 likes;23
23-3;kathafuer;@heikegumz Umso trauriger ist es, dass Inge hier fast nur als bügelndes Dummchen dargestellt wird. Man muss nur Interviews mit ihr lesen, um zu wissen, dass ihr dieses Bild nicht gerecht wird. Und sogar in der dargestellten Zeit war sie nicht nur Hausfrau, sondern auch berufstätig.;2021-11-06T11:57:02.000Z;4 likes;23
23-4;maaarysoool;@heikegumz Danke für den Hinweis auf die Namen von drei weiteren jungen, mutigen Frauen aus dem Widerstand. Sehr interessant, ihre Geschichten nachzulesen.;2021-11-07T09:22:14.000Z;2 likes;23
