Link: ;https://www.instagram.com/p/CaR8yxIM3t8/
Id/Reply-Id;User;Comment;Date;Likes;Reply To CommentId
1;textelle;Fritz ist ja Soldat und kämpft für das „Vaterland“. Ändert Sophies Tod etwas in seiner Haltung gegenüber Hitler und dem Krieg?;2022-02-26T10:29:13.000Z;1 like;-
2;munixtagram;Das ist unfassbar. Einfach unfassbar;2022-02-25T04:45:22.000Z;0;-
3;pippilotta7658;😢😢😢😢😢😢😢😢😢😢😢;2022-02-24T11:40:43.000Z;0;-
4;silke_lpz;❤️;2022-02-24T11:16:59.000Z;0;-
5;smvben;Es ist unfassbar und heute leider wieder aktuell wie damals: Ein einzelner Fanatiker treibt ganze Nationen, unendlich viele Familien und unschuldige Menschen in Krieg, Verzweiflung und Tod 😢😢😢;2022-02-24T10:52:27.000Z;0;-
6;petraaartep;💔;2022-02-24T10:33:35.000Z;0;-
7;l_i_s_a__l;Ein unglaublich tolles Projekt was ehemaliges Zeitgeschehen wieder aufleben lässt. Ihr habt etwas ganz großartiges geschafft- ihr habt Geschichte greifbar und erlebar gemacht. Dafür das Medium Instagram zu nutzen ist wirklich genial. Ich habe mit großer Spannung alles mitverfolgt, es regt zum Nachdenken an und zum Hinterfragen, danke für diesen wahnsinnig wertvollen Content.;2022-02-24T06:06:51.000Z;0;-
8;rafi_.k;Das tut so weh zu lesen 😢;2022-02-24T01:07:02.000Z;0;-
9;netterholger;Luna Wedler, das hast du ganz toll gemacht!!! Ich hatte wirklich etwas das Gefühl, ich könnte wirklich mit Sophie sprechen. Du hast sie wirklich zum Leben erweckt!!! Sie freut sich bestimmt im Himmel!!! Kannst du denn meine ganzen Worte, die von Herzen kamen, stellvertretend für Sophie annehmen? Irgendwie bist du für mich immernoch Sophie.............🙂;2022-02-23T23:33:11.000Z;0;-
10;netterholger;Das ganze ist eine riesige Sauerrei!!! Sophie und die anderen sind für ihre Überzeugung zu Unrecht gestorben!!! Diese Schweine haben diese mutigen Menschen umgebracht, weil Sophie und die anderen für Frieden gekämpft haben!!! ..........Aber das haben sie nicht umsonst getan!!! Sophie und die anderen der weißen Rose, ich ziehe wirklich meinen Hut vor euch!! Und trotz des sicheren Wissens, dass ihr sterben müsst, habt ihr eure Haltung/Meinung/Einstellung nicht geändert und habt ganz bewusst den Tod in kauf genommen!!! Ganz toll und mein allerhöchster Respekt!!!;2022-02-23T23:27:47.000Z;0;-
11;megiinlove;Ätzend so was…. Unmöglich furchtbar….für Flugblätter…unbegreiflich wie man das rechtfertigt🤯;2022-02-23T21:27:22.000Z;0;-
12;martinawelsandt;👏;2022-02-23T21:22:49.000Z;0;-
13;sari.travni;😢;2022-02-23T21:13:34.000Z;0;-
14;nadinekleinen84;❤️😭;2022-02-23T20:16:08.000Z;1 like;-
15;purrfect.drug;Unglaublich 😞;2022-02-23T18:23:17.000Z;0;-
16;harley.loves.cheese;Ergreifend 😢;2022-02-23T17:35:24.000Z;0;-
17;instavonkilian;@ichbinsophiescholl In dem Absatz zu Fritz steht, dass er von der Verhaftung erfahre, nachdem Sophie und Fritz tot sind, aber dann würde das doch keinen Sinn mehr ergeben, dass er noch ein Gnadengesuche schreibt? Ist das falsch oder wurden Hans und Sophie tatsächlich schon in der Zeit hingerichtet, während der Brief über die Verhaftung noch unterwegs war?;2022-02-23T17:22:45.000Z;0;-
18;mmedimanche;🖤;2022-02-23T17:06:28.000Z;0;-
19;nyaguldberg;🤍;2022-02-23T15:44:57.000Z;0;-
20;revlykke;Oh Gott, wie schlimm das sein muss, wenn man verzweifelt versucht, für seine Kinder zu kämpfen und es nicht um irgendeine Lapalie geht, sondern um Leben und Tod... Kann man sich echt nicht vorstellen. Wie weit weg dann solche Streitigkeiten um eine Note besser oder schlechter auf dem Zeugnis mit Lehrern wirken 🤯🤯🤯;2022-02-23T15:44:34.000Z;0;-
21;annlies1;❤️;2022-02-23T14:45:13.000Z;0;-
22;lubububbles;❤️;2022-02-23T14:33:41.000Z;0;-
23;dezemberkind_im_wunderland;😢;2022-02-23T14:04:38.000Z;0;-
24;floris.maya;😢;2022-02-23T12:54:21.000Z;0;-
25;a_buecherwurm;😢😢😢;2022-02-23T12:47:00.000Z;0;-
26;tinejaneite;Ich lese gerade in der Story vom 23.02.22, dass die Eltern erst am nächsten Tag von der Vollstreckung des Urteils informiert wurden. Wurde ihnen nicht mitgeteilt, wann das Urteil vollstreckt wird? Die Scholls konnten ihre Kinder ja noch mal sehen. Dann vermute ich mal, dass es den Verurteilten auch erst kurzfristig mitgeteilt wurde, wann das Urteil vollstreckt wird.;2022-02-23T12:07:37.000Z;0;-
27;amue.2001;😢;2022-02-23T10:37:13.000Z;0;-
28;_jo.2005;Was sagt ihr zur ernst zu nehmenden Kritik des ZDF Magazin Royale von Jan Böhmermann gegenüber diesem Account?;2022-02-23T10:06:44.000Z;0;-
29;sewfrida;Vielen Dank für das tolle Projekt! Sophie in ihrem Alltag zu begleiten war schön und ich wusste nicht, wie schnell es letztendlich zu Verhaftung und Verurteilung kam. Meine Tochter ist jetzt in dem Alter von Sophie, wie schrecklich für die Eltern, Geschwister und Partner. ❤️;2022-02-23T09:15:54.000Z;0;-
30;carina.alana.ayurveda;😢😢😢😢😢😢;2022-02-23T08:11:59.000Z;0;-
31;broken_heart1983;Ein wundervolles Projekt, ich sage herzlichen Dank für den wundervollen Beitrag.;2022-02-23T07:51:26.000Z;0;-
32;nadjamolitor_happyheartyoga;Vielen Dank für diese wichtige Arbeit! Meine 7-jährige Tochter hat vor ein paar Tagen den Kiraka-Podcast zu den Geschwistern Scholl gehört und dann verständlicherweise ganz viele Fragen. Diese konnten wir dann Dank dieses Projektes mit Bildern und Inhalt füllen. Vielen Dank ❤️;2022-02-23T07:40:33.000Z;1 like;-
33;polarakrobat;Der Brief der Eltern... Man spürt die Verzweiflung, das Leid, das geht mir sehr Nahe 😢;2022-02-23T07:36:00.000Z;0;-
34;amelie_eckelmann;Könnt ihr den Live Talk bitte bitte speichern und zugänglich machen! 🙌🙌🙌;2022-02-23T07:27:29.000Z;0;-
35;vanneym;"Wirklich ein tolles aber auch herzzerreißendes Projekt. Danke dafür! 👏 Ich fände das auch mit Anne Frank ganz interessant.
Wird es noch andere solche Projekte geben?";2022-02-23T06:58:54.000Z;0;-
