Link: ;https://www.instagram.com/p/CQX_pVLnalp/
Id/Reply-Id;User;Comment;Date;Likes;Reply To CommentId
1;2021locke;👍;2021-06-23T16:07:46.000Z;0;-
2;pelemegelee_unofficial;@frauenvondamals Realitätscheck... Eine gute Weise, sich der Realität zu nähern und die Kirche im Dorf zu lassen. Und sich zu vergegenwärtigen, dass bereits Leute nicht mehr arbeiten dürfen, weil sie ihre Meinung vertreten (Impfverweigerer etc.). Das soll alles nicht so schlimm sein zu dem, was ich bereits geschrieben habe. Die Kompetenz, trotzdem gegen Krieg zu sein und das Leben und Sterben von Sophie Scholl als Mahnung zu betrachten, sollte gerade heute trotzdem möglich sein. Die Dummheit des Menschen hört nämlich offenbar nicht auf.;2021-06-22T05:56:52.000Z;1 like;-
3;ali_tejida;I’m no my mom b un n ni we no p un 👎 me;2021-06-22T01:22:54.000Z;0;-
4;ali_tejida;P lo up;2021-06-22T01:22:42.000Z;0;-
5;t.potatoes_westberlin;🙌;2021-06-21T21:05:13.000Z;0;-
6;marunde23;😢;2021-06-21T17:57:10.000Z;0;-
7;68emirhan.kmz;Schreib morgen nh Arbeit über den 2ten Weltkrieg bin übrigens auf einer geschwister scholl Schule kp warum ich das verlangen hätte das jz zu erwähnen aber ich habs gemacht😂;2021-06-21T17:09:55.000Z;0;-
8;knobbi_19_03;Eure Flugblätter sind deshalb so wichtig Sophie, um die Menschen zum Umdenken zu bringen. Aber seid vorsichtig, die Wände haben Ohren. Auch gibt es seit 1940 Widerstand im Heer. Hochrangige Offiziere haben sich die Geheimesache Walküre zu Eigen gemacht und auf sich umgeschrieben. Sowie ein Attentäter Erfolg hat und Hitler getötet wird, tritt Walküre in Kraft. Du siehst, ihr kämpft nicht alleine. Wichtig ist, daß Alex und die anderen sofort die Stadt verlassen müssen, sollte jmd von Euch verhaftet werden. Das ist wichtig Sophie, damit jmd überleben wird.;2021-06-21T15:46:18.000Z;1 like;-
9;susanne_k_aeferchen;👍;2021-06-21T15:29:31.000Z;0;-
10;gwen_gloeckchen;Völkischer Beobachter würde ich auch nicht lesen! Da krieg ich ja Augenkrebs!!!! 🤮🤮🤮;2021-06-21T15:17:35.000Z;0;-
11;chri.st697;Danke;2021-06-21T15:15:56.000Z;1 like;-
12;juju1.964;👏👏;2021-06-21T14:53:13.000Z;0;-
13;roesch.markus;Is das ein Foto einer Orginale Ausgabe oder ein Replica?;2021-06-21T14:35:48.000Z;2 likes;-
14;pelemegelee_unofficial;"""andere Sender wichtig""... An dem Punkt wiederholt sich Geschichte. Narrative werden eingeimpft, Andersdenkende denunziert. Dieser Aspekt hat Parallelen in 2021.";2021-06-21T14:23:49.000Z;2 likes;-
15;thwdrehbuch;👏;2021-06-21T14:18:48.000Z;0;-
16;josef_stalin_the_communist;Das werden wir sehen!;2021-06-21T13:34:53.000Z;2 likes;-
17;herrhundebraten;Zumindest für Osteuropa war der Sieg der Russen letztendlich eine Wahl zwischen Pest und Cholera. Die Diktatur von Stalin war ähnlich schlimm wie die von Hitler.;2021-06-21T13:28:26.000Z;5 likes;-
18;dorispopinga;Letzte Woche war ich in Donaustauf. Picknick bei Sonnenuntergang auf der Walhalla. Eine Büste von Sophie Scholl ist dort mit vielen anderen ehrenvollen Berühmtheiten (allerdings überwiegend Männern) ausgestellt. Ihr Leben berührt mich gerade sehr. ❤️🙏;2021-06-21T12:54:41.000Z;11 likes;-
19;juralady;Ich danke für diese guten Infos... Das wusste ich noch gar nicht...;2021-06-21T12:39:33.000Z;3 likes;-
20;forgesomelore;@ichbinsophiescholl Ganz starker Insta-Blog 👏 Sophie! Geht einem sehr nahe, wie zerbrechlich Frieden und Demokratie sind.;2021-06-21T11:41:27.000Z;3 likes;-
21;eickmanndagmar;Es ist wirklich unfassbar, welchen großen Anteil die Propaganda an der Verblendung der deutschen Bevölkerung in dieser Zeit hatte. Alle verfügbaren Medien wurden genutzt, um den Leuten das Gehirn zu vergiften. Daher ziehe ich ganz tief meinen Hut vor all denen, die dagegen angekämpft haben und dabei auch ihr Leben riskiert haben. Chapeau!;2021-06-21T11:15:21.000Z;4 likes;-
22;gabielpunkt;Es erschreckt mich, wie auch heute noch viele Menschen Informationen aus dubiosen Quellen beziehen ( s. z.B. Querdenker) anstatt seriöse Medien zur Meinungsbildung zu nutzen;2021-06-21T11:13:55.000Z;4 likes;-
23;sightseeing_munich;Wie war es um das Radio bestellt, war es einfach, auch andere Sender zu hören, viele sogar internationale?;2021-06-21T10:37:37.000Z;1 like;-
24;annie_henning_bayern;Stalingrad war grausam. Ich verurteile da die Kommandeure, die wussten, was passieren wird und zu sahen statt auszubrechen bzw zu kapitulieren. Die Weihnachtsrede war auch Fake: Achtung ich rufe noch einmal Stalingrad. Hier ist Stalingrad..... Von wegen. War irgendwo in Russland;2021-06-21T10:21:06.000Z;2 likes;-
25;annie_henning_bayern;Der BBC war verboten. Gott sei Dank wurde er trotzdem gehört. Von Leuten, die die Wahrheit hören wollten;2021-06-21T10:17:24.000Z;5 likes;-
26;katharina.helling;Ist auch bekannt wie bzw ob sich Sophie Scholl während der langen Zeit beim Reichsarbeitsdienst informierte? Das Jahr vor dem Umzug nach München hat sie ja gar nicht mehr zu Hause gewohnt und war da auch nur selten, oder?;2021-06-21T10:05:09.000Z;3 likes;-
27;stef_short;😢Nur mit einer freien, unabhängigen und kritischen Presse kann Demokratie auf Dauer funktionieren.;2021-06-21T09:51:08.000Z;9 likes;-
28;_yoga_tanz;"Schon wieder kann man dir nur beipflichten: ""Gott sei Dank gibt es noch andere Wege, um an seine Nachrichten zu kommen."" Welche anderen Sender waren das denn damals?";2021-06-21T09:26:21.000Z;6 likes;-
29;na._.fun;War es damals eigentlich möglich auch ausländische sender zu empfangen? Z. B französische? Gerade in Grenzregionen?;2021-06-21T09:07:55.000Z;3 likes;-
30;sidar.dnz;Einen großen Applaus an alle, die hier mitgewirkt haben 👏;2021-06-21T08:53:19.000Z;37 likes;-
31;joyaskristinakatharina;Ist es eigentlich bekannt ob, wie und wo die weiße Rose ausländische Medien also die “Feindsender” gehört haben? 🤷🏻‍♀️;2021-06-21T08:46:59.000Z;1 like;-
32;anjamuller565;Du machst das richtig gut!!;2021-06-21T08:46:54.000Z;4 likes;-
