Link: ;https://www.instagram.com/p/CRj6CR8MQa8/
Id/Reply-Id;User;Comment;Date;Likes;Reply To CommentId
1;mathias_andrae;@werthnorman dein Tatendrang in allen Ehren, aber allein für dieses Papier stand damals schon der Tod. Was würdest du denn in einer solchen Situation machen? Ich sag dir, ich hätte in diesem System save den Schwanz eingezogen. Ich hab in der DDR schon gecheckt, wie „mutig“ meine Fam und ich sind. Meinen Respekt habt ihr, @ichbinsophiescholl ich wünschte, ich könnte in Hinblick auf Ungerechtigkeit genauso klaren Verstandes bleiben. ich habe es schon erlebt, das ich es nicht konnte.;2021-12-07T07:22:07.000Z;1 like;-
2;_sevinay_24erz_;"Jetzt wo ich diese Briefmarken sehe habe ich in meine Sammlung geschaut und habe wirklich ganz viel ""Deutsches Reich Briefmarken"" 🤦‍♀️";2021-12-06T20:05:13.000Z;0;-
3;chrisbu0194;Eine starke Aktion und Engagement gegen den Krieg und gegen Hitler, welches viel Mut erfordert. Macht ihr euch keine Gedanken was alles passieren könnte, wenn man die Gruppe oder auch einzelne Mitglieder von euch verrät oder entdeckt? Für die Nationalsozialisten ist dies ja Hochverrat, worauf die Todesstrafe steht.;2021-07-24T16:16:06.000Z;4 likes;-
4;flo04641;Ich bewundere undhabe vollen Respekt gegenüber der weißen Rose. Ich glaube ich hätte das mich damals nicht getrau2😅;2021-07-23T21:46:59.000Z;2 likes;-
5;schneeseekleerehzehfee;Mir würde das Herz in die Hose rutschen wenn ich die Briefe einwerfen würde . Hut ab vor so viel Mut;2021-07-22T18:37:11.000Z;2 likes;-
6;berg372;❤️;2021-07-22T16:54:03.000Z;1 like;-
7;mariusmayeer;Ja reicht 💪🏼;2021-07-22T11:29:04.000Z;0;-
8;werthnorman;Euer Aktionismus in allen Ehren, aber glaubt Ihr die Versendung von 200 Flugblättern kann etwas gehen dieses Menschenverachtende Regime ausrichten?;2021-07-22T08:53:59.000Z;8 likes;-
9;pic_of_jfb;Bist du nicht auch diese bioheckerin;2021-07-22T08:41:23.000Z;0;-
10;christinesehle.de;Euer Account ist eine ganz wunderbare Idee, Jüngeren diesen Teil deutscher Geschichte näherbringen. Ich verfolge jeden Post von euch. Danke fürs immersive Erleben 🙏🏻👏;2021-07-22T07:24:44.000Z;29 likes;-
11;jensk_iii;@ichbinsophiescholl für den Fall, dass ihr irgendwo Marken finden auf denen ein Typ ist der Höcke heißt, könntet ihr uns bitte helfen! Wir leben in 2021 und sind vor solchen A….Löch… immer noch nicht gefeit!;2021-07-21T21:27:24.000Z;2 likes;-
12;enderfly2.03;Schon krass wie die Propaganda sich sogar auf Briefmarken auswirkte;2021-07-21T20:43:18.000Z;0;-
13;acklenkes;Sehr gut umsetzt von allen Beteiligten. Ein tolles Format 👍;2021-07-21T19:59:52.000Z;0;-
14;sarah.14.06;Ich verfolge euch bzw dich schon die ganze zeit und liebe die storys.. Und bin jetzt schon traurig weil ich weiß wie es enden wird uff 😢;2021-07-21T19:02:17.000Z;5 likes;-
15;janschulzpro;Hast Du nicht Angst dass die Gestapo das sieht, wenn Du das hier so öffentlich postest? 😉;2021-07-21T17:50:52.000Z;4 likes;-
16;mausiundmama;🙈😂 Ich war letztens übrigens etwas irritiert, als ich dich in 'Biohackers' gesehen habe. Hatte tatsächlich einige Probleme umzuschalten und konnte in den paar Tagen die ich für die Sendung gebraucht habe euren Instagram Account nicht ansehen 😂.;2021-07-21T17:31:11.000Z;0;-
17;baumlross;Das ist eine kluge Überlegung...wie tragisch dass die Mörderische Bosheit diabolisch gesteuerten Menschen trotzdem tödlich war...;2021-07-21T17:00:58.000Z;0;-
18;bulstrode;Der Satz „Selbst, wenn sie dann zur Gestapo getragen werden, wissen die nicht sofort….“ macht einen schon traurig.;2021-07-21T14:45:44.000Z;0;-
19;gianna.libera9;Ich habe einfach zwei solche Briefmarken (von meinen Urgroßvater). Ich überlege immer wenn ich sie sehe, ob ich sie nicht zerreißen sollte, mache es aber nie.;2021-07-21T14:11:48.000Z;2 likes;-
20;ulrikemunner;Hallo Sophie, sind dies originale Briefmarken, aus der Zeit?Die Requisiten sind auch aus der Zeit.?Euer Format,läßt mich mitfiebern,auch wenn man wei8,was passiert ist.;2021-07-21T11:54:55.000Z;38 likes;-
21;minervagroeschl;"Liebe Sophie,
Ich wünsche mir du konntest in der Zukunf reisen und alles was momentan in Deutschland los ist sehen. Viel Kraft beim Briefe senden und sei vorsichtig!!!!";2021-07-21T11:03:03.000Z;2 likes;-
22;augustaschacht;"Die Gestapo war, obwohl sie Geheime Staatspolizei heiß, bekannt. Ihr Netzwerk an Informanten war weit gespannt. Aber auch ganz ""normale Deutsche"" haben zahlreich ""verdächtige Aktivitäten"" an die Gestapo gemeldet.";2021-07-21T09:35:15.000Z;1 like;-
