Link: ;https://www.instagram.com/p/CUMmNHbD_eo/
Id/Reply-Id;User;Comment;Date;Likes;Reply To CommentId
1;larissa.hckr;Leute bin ich die einzige die an Tag 1 oder 2 immer richtig starke Schmerzen hat, dass sie selbst im Bett nicht ruhig liegen kann sondern sich hin und her dreht ?;2021-10-10T00:04:21.000Z;7 likes;-
1-1;24o2.leo;@larissa.hckr nein, geht mir genau so und ist ohne Schmerzmittel überhaupt nicht auszuhalten..;2022-02-18T21:37:54.000Z;0;1
2;farin_fazliu0;Im Bett liegen, ein Buch lesen oder ein paar folgen von meiner Lieblingsserie gucken ☺👀;2021-10-07T09:27:44.000Z;0;-
3;journey3.14;Seit meiner Endonetriumablation habe ich keine Blutung und keine Schmerzen mehr. 5/5 Sternen, beste Entscheidung meines Lebens 🤗;2021-09-26T13:49:47.000Z;2 likes;-
4;graefin_von_paris;Endometriosis;2021-09-26T05:55:51.000Z;1 like;-
5;olafvonrothkirch;Endometriose? 🤔😢;2021-09-25T21:59:23.000Z;0;-
6;tarah.ni;@go_in_and_win;2021-09-25T21:03:53.000Z;0;-
7;constyy_;Habe brutale Kopfschmerzen;2021-09-25T20:58:53.000Z;0;-
8;franzib.aus.dd.an.der.e;Wärmflasche und Bett hilft manchmal leider nicht mehr 😢;2021-09-25T18:23:46.000Z;0;-
9;j.ritter42;Ich lese gerade ein historisches Buch, das im frühen 2;2021-09-25T15:41:43.000Z;2 likes;-
9-1;j.ritter42;@j.ritter42 im frühen 18. Jahrhundert spielt, da benutzten die Frauen trockenes. Moos;2021-09-25T15:44:02.000Z;2 likes;9
10;quasimodo5;Dafür haben wir Männerschnupfen. Eine Krankheit der Neuzeit. Die gab es zu deiner Zeit noch nicht.;2021-09-25T12:48:10.000Z;3 likes;-
11;yveche;Ich werd froh sein, wenn ich sie bald los bin #menopause #ole #uterusspende #moeglichmachen;2021-09-25T12:06:56.000Z;0;-
12;thomaskrueger.official;Ja! Männer sollten auch mal die Probleme haben. Welch Untier ich doch bin, dass ich dummerweise ein Mann geworden bin (weil Männer haben ja nie Probleme) und mich dafür rechtfertigen muss keine Frauen geworden zu sein. Bestrafung an meine Eltern! Ironie off;2021-09-25T11:29:01.000Z;0;-
12-1;thomaskrueger.official;@thomaskrueger.official *Frau geworden;2021-09-25T11:29:18.000Z;0;12
13;rotewaffe;Sport, Sport, Sport und wenn es mitten in der Nacht sein muss. 20 Minuten und die Schmerzen haben sich gelöst und konnte weiterschlafen. 😂;2021-09-25T09:12:58.000Z;0;-
14;celinelinek;Dieser Text passt nach so vielen Jahren leider immer immer noch zu unserer Gesellschaft..;2021-09-25T08:32:33.000Z;6 likes;-
