Link: ;https://www.instagram.com/p/CSpk_pDs2op/
Id/Reply-Id;User;Comment;Date;Likes;Reply To CommentId
1;heikegumz;"Und während das Bild hier unbeabsichtigt Assoziationen zu den Bildern aus Afghanistan auslöst, finde ich den eigentlichen Bezug zum Thema des Accounts erschütternd: Damals waren es andere Staaten, die die in Deutschland Verfolgten nicht aufnahmen und sie so in den Tod zurückschickten. Heute sind ""wir"" es, die selbst diejenigen nicht aufnehmen, die nun in Lebensgefahr sind, weil sie uns unterstützt haben. Sogar die heutigen Begründungen der Staaten, warum sie nicht aufnehmen, ähneln denen 1938 auf der Konferenz von Evian.";2021-08-17T12:24:03.000Z;2 likes;-
1-1;katharina.helling;@heikegumz Genau das! Ich dachte, dass der Account eigtl auch auf tagesaktuelles Geschehen Bezug nehmen wollte. Das Thema Flucht/Aufnahme von Flüchtlingen war mehr oder weniger hier auf dem Kanal jetzt ja schon öfter Thema und hat durch die Situation in Kabul/Afghanistan jetzt ja wieder eine ganz neue hochaktuelle Brisanz bekommen (was am Mittelmeer passiert/Frontex etc will ich dadurch nicht klein reden). Da muss es doch was geben, wie man das aufnehmen kann. Die Flucht/Reise von Irma hat man ja auch untergebracht.;2021-08-17T13:35:17.000Z;1 like;1
2;annidee92;Sind diese geposteten Bilder tatsächlich von Sophie Scholl, habt ihr die angemalt oder selbst kreiert?;2021-08-17T11:04:36.000Z;0;-
2-1;ichbinsophiescholl;"@annidee92 #TeamSoffer Alle Illustrationen auf diesem Kanal stammen von der Illustratorin Édith Carron und sind meist Originalen Sophies nachempfunden. Die Originalzeichnung auf der dieser Post basiert ist im Archiv des Instituts für Zeitgeschichte München-Berlin zu finden und wurde 1989 in ""Sophie Scholl's Peter Pan & Wendy"" abgedruckt. Liebe Grüße!";2021-08-17T13:09:10.000Z;19 likes;2
2-2;annidee92;@ichbinsophiescholl vielen Dank für die ausführliche Antwort.;2021-08-17T13:14:34.000Z;1 like;2
3;knobbi_19_03;Der freie Fall im Traum bedeutet die Angst vor dem Verlust der Kontrolle. Und diese Kontrollabgabe der Meinungsfreiheit und vieles mehr im dritten Reich, symbolisiert dein Traum vom Fallen.;2021-08-17T10:37:44.000Z;0;-
3-1;ichbinsophiescholl;@knobbi_19_03 Das ist sehr gut möglich. Ich habe bereits lang das Gefühl, die Kontrolle und meine Selbstbestimmung an dieses grauenhafte Regime abgegeben zu haben...;2021-08-17T13:06:11.000Z;3 likes;3
4;eleoxore;Mit 2 schon? 😮;2021-08-17T10:20:16.000Z;0;-
5;hauptstadtlady50;"Guten Morgen liebe Sophie, ich habe die Geschichte von Peter Pan erst entdeckt als ich sie meinen Kindern vorlas. Später sahen wir uns auch verschiedene Verfilmungen an, besonderes den Film ""Hook"" von 1991mit Robin Williams als Peter Banning / Peter Pan und Dustin Hoffmann als Captain Hook (eine Fortsetzung der eigentlichen Geschichte: Peter hat Nimmerland verlassen, ist erwachsen geworden und hat Wendy's Enkelin Moria geheiratet und mit ihr einen Sohn und eine Tochter. Beim einem Besuch bei Wendy entführt Hook Peters Kinder und Glöckchen holt Peter zurück nach Nimmerland, damit er seine Kinder retten kann.) haben meine Kinder geliebt. Wünsche dir einen wunderbaren und gesunden Dienstag 🙋‍♀️🌞😍.";2021-08-17T07:10:15.000Z;1 like;-
6;myrmichaela;Sich die Phantasie eines Kindes im Laufe des Lebens erhalten zu können ist das Beste was einem passieren kann - 🤩🌈🌈🌈Hat Dich Kunst eigentlich schon immer interessiert liebe Sophie?;2021-08-17T06:59:04.000Z;1 like;-
6-1;ichbinsophiescholl;@myrmichaela Oh ja, die Leichtigkeit und Phantasie eines Kindes beizubehalten kann wohl auch die düstersten Situationen des Lebens erhellen! Die Kunst liebte ich schon immer. Eigentlich all die Künste! Das Schreiben, Zeichnen, Musizieren, ...;2021-08-17T07:50:30.000Z;2 likes;6
7;anjamuller565;Ich wusste als ich Schülerin war gar nicht dass Du künstlerisch so begabt bist. Sowas lernt man nicht im Geschichtsunterricht. Gut dass es dieses Projekt gibt!! 👏👏👏👏;2021-08-17T06:43:22.000Z;1 like;-
8;ichbinjuedin_ichbindeutsche;Als Kind habe ich oft davon geträumt, dass Peter Pan mich aus meinem gewalttätigen Elternhaus nach Nimmerland entführt und diese Träume meiner dortigen Erlebnisse haben manches erträglicher gemacht.;2021-08-17T06:29:54.000Z;2 likes;-
