Link: ;https://www.instagram.com/p/CSENWcvMXQq/
Id/Reply-Id;User;Comment;Date;Likes;Reply To CommentId
1;its.me_sonja;Super, die Entscheidung!;2021-08-11T09:26:35.000Z;2 likes;-
1-1;ichbinsophiescholl;@its.me_sonja #TeamSoffer Wir freuen uns auch sehr, das Projekt mehr Menschen zugänglich machen zu können!;2021-08-11T11:18:24.000Z;4 likes;1
2;kovacshuni;thank youuuuu 👏👏👏 I've been watching the episodes with my phone's google translate camera application pointing to my computer screen, translating the german subtitles on the fly, as fast and as correct as it could. It's a mess but still something 😀 Great series!! 👏;2021-08-05T16:23:38.000Z;3 likes;-
2-1;ichbinsophiescholl;@kovacshuni #TeamSoffer Amazing to hear that you’ve been such a dedicated follower and glad that the English subtitles will make it a bit easier now. :);2021-08-06T09:22:25.000Z;2 likes;2
3;kapowsuperbat;Hurray! Now I will be able to understand your posts 😘;2021-08-04T05:40:47.000Z;0;-
4;ryley.george;This is wonderful news, thank you Sophie. I think it is a wonderful idea to share your life story with us on Instagram and I have been enjoying the German posts, even though I understand very little.;2021-08-03T21:51:08.000Z;5 likes;-
4-1;ichbinsophiescholl;@ryley.george #TeamSoffer We’re really happy to hear that! Thank you for all your support.;2021-08-04T15:56:29.000Z;1 like;4
5;baby.alive.unicorns;Thank you so much! I am an American, and I am often curious of what you say!;2021-08-03T13:40:30.000Z;0;-
6;simonperkins2016;Wonderful, thank you!;2021-08-03T09:48:25.000Z;0;-
7;afxeloni;@memorivera27;2021-08-03T04:36:59.000Z;0;-
8;victorria.morgan_;Thank you!!!!! I can read German somewhat but am not confident enough to converse. Thank you!!!!!;2021-08-02T23:43:21.000Z;1 like;-
9;instagrammerized;Thank you 🙏🏼;2021-08-02T21:54:11.000Z;2 likes;-
10;martin.parkes.98;Very pleased to hear that you are providing an English language version. I've enjoyed the challenge of trying to understand with my school German. However, I'm sure the English language version will help others understand the bravery of Sophie and her brave friends stand against Nazism.;2021-08-02T20:35:42.000Z;4 likes;-
11;mary.stod;Yessssss now I don't have to type everything into Google Translate! ❤️ Thanks to you all for this fabulous account. History is a huge passion of mine, and your content is 🔥🔥🔥;2021-08-02T19:46:35.000Z;7 likes;-
