Link: ;https://www.instagram.com/p/CRb-QgoMvoh/
Id/Reply-Id;User;Comment;Date;Likes;Reply To CommentId
1;benutzername_mode_bln;Es ist erstaunlich woher diese Ideen kommen. Big brother is watching you ?! #bigbrother #ichbinnichtsophiescholl;2021-07-25T09:54:52.000Z;0;-
2;kajazm;Sophie riecht am Blatt, weil Hans es angefasst hat;2021-07-19T12:43:54.000Z;0;-
3;baumlross;❤️;2021-07-19T11:14:18.000Z;1 like;-
3-1;baumlross;@baumlross wie wahr!!! Heute erforscht die interdisziplinäre Wissenschaft Sophies Erfahrungshypothese;2021-07-19T11:16:26.000Z;0;3
4;ami.vdv;*Christophs;2021-07-18T12:32:06.000Z;0;-
5;_yoga_tanz;Gleichermaßen schrecklich wie aufregend, eine sehr treffende Beschreibung.;2021-07-18T11:16:06.000Z;2 likes;-
6;kidsofadelaide;👌🏽🤗;2021-07-18T10:39:15.000Z;1 like;-
7;danni._69;Gerüche sind, glaube ich, die stärksten Auslöser für Erinnerungen. So geht es mir jedenfalls....wenn ich Holzschutzlasur rieche, muss ich immer an meine Kinderzeit im Zoo denken, als ich dort Ponymädchen war😀🐎;2021-07-18T08:37:46.000Z;1 like;-
8;ofseasandpools;#marcelproust;2021-07-17T22:53:42.000Z;2 likes;-
9;stier1967;Ich habe noch heute den Geruch von meiner Ex oft in der Nase, die hatte immer einen süßlichen körperlichen Geruch, oHNE Perfum oder Deo oder sonstwas...unsere Trennung ist aber schon volle 12,5 Jahre her, und, es war meine erste große Liebe....obwohl erst mit 40 kennengelernt😮;2021-07-17T22:16:09.000Z;1 like;-
10;svendlenz;Ja, der Geruchssinn und die verknüpften Erinnerungen sind etwas besonderes. Er trägt mich durchs Leben und ist mir ein großer Schatz. Der Duft von nahen Menschen, dem Nordseestrand, der Heide und der Kiefern, dem ersten frisch gekauften Buch und natürlich von gutem Essen und Getränken. Schade, dass man nicht immer die drohende Gefahr wittert… wie gerne hätte ich Dir dabei geholfen, Sofie.;2021-07-17T21:30:16.000Z;2 likes;-
11;anjamoyeli;Oh ja ich habe auch so eine ganz besondere Geruchs-Erinnerung die mich jedes Mal total unvorhersehbar trifft und plötzlich diese Gefühle und Erinnerungen hervorruft! Faszinierend! 😊;2021-07-17T21:10:16.000Z;4 likes;-
11-1;ichbinsophiescholl;@anjamoyeli Darf ich fragen, was deine Erinnerung ist? Oder ist sie privat und gehört nur in ein Tagebuch? 🔏;2021-07-20T08:31:34.000Z;1 like;11
11-2;anjamoyeli;"@ichbinsophiescholl Lagerfeuergeruch 🔥😍
In meiner Heimatstadt Memmingen finden alle 4 Jahre die Wallenstein Festspiele statt mit verschiedenen mittelalterlichen Gruppen, die eine Woche lang den Wallenstein-Sommer nachspielen. Da bin ich mit meiner Familie dabei seitdem ich 2 bin :) und dieser Lagerfeuergeruch ist bei mir so krass mit diesem Event verbunden dass ich jedes Mal sofort dahin „gebeamt“ werde wenn ich das rieche! @wallenstein_memmingen";2021-07-20T08:49:56.000Z;5 likes;11
12;die_derudis;Ich habe letztens das Waschmittel gekauft, welches meine Oma immer benutzt hat und habe dann unsere Bettwäsche damit gewaschen. Jetzt muss ich gerade nur den Wäscheschrank aufmachen und bin bei dem Duft auf einmal wieder klein und kuschel mich im Bett an meine Oma an und fühle mich einfach nur geborgen 😍 immer ein kleiner Glücksmoment ❤️;2021-07-17T20:32:21.000Z;11 likes;-
12-1;ichbinsophiescholl;@die_derudis Das ist ja schön! Auf einmal ist Oma wieder ganz nah. ❤️;2021-07-20T08:28:56.000Z;1 like;12
13;horst_sander;👍;2021-07-17T20:19:51.000Z;2 likes;-
14;ava.santimea;ich liebe diesen Geruch von frisch bedruckten Papier. auch in Bücher stecke ich wortwörtlich gerne meine Nase rein.;2021-07-17T20:19:41.000Z;2 likes;-
14-1;ichbinsophiescholl;@ava.santimea Ich auch schon immer! Jetzt verbinde ich den Geruch auch noch mit schönen Momenten aus meiner Anfangszeit in München.;2021-07-20T08:29:37.000Z;2 likes;14
15;sume555;Ha! Das UniRechenzentrum in Heidelberg riecht noch wie früher. Es ließe sich mit verbundenen Augen messerscharf identifizieren.;2021-07-17T19:24:28.000Z;2 likes;-
16;comingout_mit_lone;☺️;2021-07-17T19:08:34.000Z;2 likes;-
17;giusy79_;Stimmt durch Gerüche wird vermeintlich Vergessenes wieder hervorgeholt.🙌❤️;2021-07-17T19:00:59.000Z;3 likes;-
18;missboneshaker;Der Geruch, wenn die ersten Regentropfen auf heißen, trockenen Asphalt fallen. Der Geruch eines bestimmten Aftershaves... der Geruch von Holzrauch vermischt mit Ringelblumenöl.... Da knipst es mir sofort die entsprechenden Erinnerungen an. ❤️;2021-07-17T18:59:31.000Z;2 likes;-
19;hauptstadtlady50;Unser Geruchssinn ist mit dem Teil unseres Gehirns verbunden, welches Erinnerungen abspeichert. 🙋‍♀️🌛🍸.;2021-07-17T18:43:32.000Z;6 likes;-
19-1;missboneshaker;@hauptstadtlady50 Das ist toll.;2021-07-17T18:56:37.000Z;3 likes;19
20;ichbinjuedin_ichbindeutsche;Düfte sind oft mit Erinnerungen verbunden, wenn ich Lavendel reiche muss ich unwillkürlich an meine Großmutter denken. Und wenn ich ein bestimmtes Aftershave richte oft an meinen ersten Freund.;2021-07-17T18:25:59.000Z;4 likes;-
21;_frolleinschnabelstedt_;Ich verbinde Gerüche auch……besonders finde ich es, wenn man Gerüche riecht, die man lange in der Vergangenheit gerochen hat…..dann kommen lange verborgene Erinnerungen hoch 😍😢😮;2021-07-17T18:15:15.000Z;15 likes;-
21-1;ichbinsophiescholl;@_frolleinschnabelstedt_ Faszinierend und schön zugleich, dass man sich so leicht in Vergangenes zurück versetzt fühlt! 💭;2021-07-20T08:27:40.000Z;1 like;21
22;katjuschka82;Druckpapier kann ich nicht riechen, da bekomme ich keine Luft. Aber wenn ich quarkspitzen mache, dann habe ich Bilder im Kopf. Wie wir als Kinder gewartet haben bis meine Oma die frischen quarkspitzen gezuckert und warm auf der kommode vor ihrer Wohnung stehen hat. Und dann sind wir hin geschlichen und haben und eine gemobst. Oder erinnerst du dich an diesen roten Hustensaft? Den haben wir jeden Abend bekommen und Oma verkaufte ihn uns als Kinder Schnaps. Wobei die Kinder von mir einen Hustensaft hatten der ihm recht nah kam mit Geruch und ich war sofort in Erinnerungen.;2021-07-17T17:57:12.000Z;20 likes;-
