Link: ;https://www.instagram.com/p/CRRtn65M7xf/
Id/Reply-Id;User;Comment;Date;Likes;Reply To CommentId
1;adri.s.autorin;Soll das heißen, dass Sophie, Fritz nicht wirklich geliebt hat? Dass er nur ein Freund war? Irgendwie traurig...;2021-07-16T17:33:18.000Z;0;-
2;riekerollinghoff;Wie lange geht dieses Projekt?;2021-07-14T12:47:33.000Z;0;-
2-1;a_derian_creature;@riekerollinghoff bis zu Sophies Tod. Ingsesamt die letzten 10 Monate ihres Lebens;2021-07-15T09:34:47.000Z;0;2
2-2;a_derian_creature;@riekerollinghoff auf dem Account @ichbinsophiescholl steht in der Beschreibung ein Link für eine Internetseite. Dort wird das ganze Projekt auch nochmal erklärt;2021-07-15T09:35:42.000Z;1 like;2
3;masson4733;Fritz Hartnagel hat ja glaube ich nach dem Krieg Sophies Schwester Elisabeth geheiratet?;2021-07-14T09:27:23.000Z;0;-
3-1;heikegumz;@masson4733 Ja, er hat nach der Hinrichtung von Hans und Sophie deren Familie unterstützt und 1945 Elisabeth geheiratet. Er wurde nach dem Krieg in der BRD Richter und war sehr engagiert in der Friedensbewegung.;2021-07-14T11:48:05.000Z;1 like;3
4;www_peace_com;@ichbinsophiescholl wird es von all dem ganzen einen kinofilm geben? Das würde mich sehr freuen 🦚☮️;2021-07-14T09:06:28.000Z;3 likes;-
5;s._johanna;Seid ihr getrennt?;2021-07-14T06:40:55.000Z;0;-
5-1;a_derian_creature;@s._johanna jain, er ist im Krieg und sie eben in München. Die beiden sind trotzdem ein Paar und bleiben mit Briefen in Kontakt;2021-07-15T09:31:46.000Z;0;5
6;freyaswulf;Es ist schön, dass man Bilder machen kann. Sie können einen an so viel Schönes erinnern, ohne, dass die Bilder, wie im Kopf jemals verblassen;2021-07-14T06:10:34.000Z;2 likes;-
7;thisisulle;Wie schön dass du dich bei deiner Familie am unbeschwertesten fühlst, das zeigt doch von großem Glück ! Und als Mama wünsche ich mir, dass es meinen Kindern auch so ergeht.;2021-07-14T05:56:20.000Z;4 likes;-
8;sume555;Am unbeschwertesten bei der Familie!!!! Oh!!! Darüber muss ich nachdenken.;2021-07-14T04:14:00.000Z;1 like;-
9;annie_henning_bayern;Ich liebe meine Eltern und meinen Bruder. Sie sind die beste Familie der Welt. Umso mehr habe ich Angst, wenn unsere Eltern sterben;2021-07-13T22:07:55.000Z;4 likes;-
10;kira.951er;Hey! Liebe das Projekt! Aber eine Frage: Passt das aktuelle Datum immer zu den Videos/Beiträgen die gepostet werden? Also waren die Ereignisse ebenfalls an dem Datum an dem es gepostet wird?;2021-07-13T21:45:23.000Z;50 likes;-
10-1;wieelenamitj;@kira.951er ich gehe davon aus, dass dies so ist☺️;2021-07-13T23:29:15.000Z;2 likes;10
10-2;ichbinsophiescholl;@kira.951er #TeamSoffer Vielen Dank für das Lob! Ja, das Projekt läuft parallel zu den historischen Gegebenheiten mit.;2021-07-14T07:10:10.000Z;196 likes;10
10-3;katharina.helling;@ichbinsophiescholl liebes Team, bitte nicht falsch verstehen, aber wegen der Frage „waren die Ereignisse ebenfalls an dem Tag an dem sie gepostet wurden“ erlaube ich mir insofern zu spezifizieren, dass in bestimmten Fällen aus dramaturgischen Gründen die Zeitabläufe, wie wir sie hier sehen, nicht immer ganz parallel zu den historischen Begebenheiten stattfinden. Bei den teilweise ergänzten fiktiven Szenen versteht sich das von selbst.;2021-07-14T12:37:13.000Z;1 like;10
10-4;mandiii.e;@ichbinsophiescholl ich finde diesen Kanal auch super, habe aber eigentlich eher eine Produktionsfrage... Dreht ihr parallel auch oder ist das alles schon bereits lange abgedreht? :);2021-07-14T18:28:37.000Z;2 likes;10
10-5;ichbinsophiescholl;#TeamSoffer @_mandy.eisenk_ Es ist bereits alles abgedreht! Liebe Grüße!;2021-07-15T08:30:25.000Z;7 likes;10
