Link: ;https://www.instagram.com/p/CXiUPlFDmXe/
Id/Reply-Id;User;Comment;Date;Likes;Reply To CommentId
1;bestagersteffi73;"Elisabeth Kübler-Ross sah in der Metamorphose von der Puppe( Raupe) zum Schmetterling, den Übergang der Seele von dem physischen Körper hin zu der ätherischen Veränderung. Der Sterbende, die Sterbende wird zum Schmetterling und ist wieder ""ganz"" im Sinne von gesund oder ohne Schaden. In ihrer Sicht auf den Tod, gibt es nur einen Wechsel der Räume, was ja in jedem Fall ein tröstlicher Gedanke ist.";2021-12-17T20:29:02.000Z;0;-
2;frankoulrich;Schmetterlinge sind poetische Wandler. Ohne diese Leichtigkeit und diese Freude am Schönen hättest du vielleicht nicht die Kraft gefunden zu ertragen und v.a. Zu widerstehen.;2021-12-17T18:34:22.000Z;0;-
3;riso5400;Hat schon mal jemand davon geträumt in ein Schmetterling verwandelt zu werden? Stell ich mir schön vor. Meine Träume sind meist chaotisch und ich vermische einfach Situatioben aus dem Alltag miteinander, was mich halt so beschäftigt.;2021-12-17T06:17:50.000Z;0;-
4;karinamelone3484;"Hallo Sophie! Machst Du sowas? So Traumdeuterei is doch schon bisserl HokusPokus, oder🙈?
Was interessiert Dich daran?";2021-12-16T19:52:49.000Z;0;-
5;lupusinulm;Ich denke, der Traum ist ein notwendiger seelischer Ausgleich zu deiner momentanen realen Welt. Ihr möchtest du entfliehen, schwerelos, leicht, wie ein Schmetterling.... 🦋;2021-12-16T18:26:08.000Z;0;-
6;trici97;„Leben ist nicht genug“ , sagte der Schmetterling. „Sonnenschein, Freiheit und eine kleine Blume gehören auch dazu.“ Hans Christian Andersen;2021-12-16T16:23:19.000Z;4 likes;-
7;_kelly_sommer_live_;Immer wenn ich einen Schmetterling sehe, denke ich an Sophie...🌟;2021-12-16T14:39:36.000Z;0;-
8;rebeccaschmitz_rs;Mich würde interessieren, wie Sophie sich ihre Zukunft nach dem Krieg vorgestellt hat. Gefiel ihr ihr Studium, welchen Beruf wollte sie ausüben?;2021-12-16T14:02:55.000Z;0;-
9;rpiakatharina;"Für mich bedeutet ein Schmetterling immer, Freude,Farbe ,Leichtigkeit und Freiheit.
Vielleicht träumt Dein Unterbewusstsein davon,weil Du Dir diese Dinge doch zu wünschst.";2021-12-16T12:49:20.000Z;6 likes;-
10;wxnterkind;Kann mir jemand sagen welches Datum/Jahr jetzt grade ist? Also bei Sophie natürlich 😉;2021-12-16T12:44:16.000Z;2 likes;-
11;carrycarty1976;Das heißt das du stirbst 22.2.;2021-12-16T12:29:28.000Z;0;-
12;heikegumz;"#TeamSoffer: Gibt es Hinweise, dass die reale Sophie einen solchen Schmetterlings-Traum hatte? Und dass sie sich wirklich so viel mit Traum-Deutung beschäftigte wie es hier im Account den Anschein hat?

Ansonsten zum Schmetterling: seit der Antike Symbol der Flüchtigkeit des Lebens und der Metarmorphose der unsterblichen Seele. Wurde in diesem Verständnis seit Ende des 18./Beginn des 19. Jh. in Deutschland auf christl. und v.a. auch jüdischen Friedhöfen zunehmend genutzt.";2021-12-16T11:24:33.000Z;8 likes;-
13;katrinpruchniewski;Vielleicht ist es die Leichtigkeit des Lebens, was du dir zurück wünscht.🦋;2021-12-16T11:06:04.000Z;5 likes;-
14;katharina.helling;".
🗓 16.12.1942

◾️ Besetzte sowjetische Gebiete

Die jüdische Bevölkerung von Charkow (Ukraine) wird zur Übersiedlung in ein Barackenlager außerhalb der Stadt gezwungen. Die Schuppen, in denen die Menschen untergebracht werden, sind nicht beheizbar. Viele sterben an Kälte, Unterernährungen und Krankheiten. Drei Wochen später beginnen die Deutschen damit, jeweils mehrere hundert Menschen zu einer Schlucht zu bringen und dort zu erschießen. Insgesamt 15.000 jüdische Frauen, Männer und Kinder werden auf diese Weise ermordet.

◾️ Generalgouvernement/Auschwitz

Mit dem zweiten Transport aus dem Lager der ""Umwandererzentrale"" werden Polen aus der Region Zamosc nach Auschwitz eingeliefert; 38 Männer und 48 Frauen werden als Häftlinge registriert. (Czech, S. 361)

◾️ Gestapochef Müller schickt Himmler einen Plan zur Deportation von 45.000 Juden nach Auschwitz, um die dortigen Rüstungsbetriebe mit mehr Zwangsarbeitern zu versorgen. Die Transporte könnten zwischen 11. und 31. Januar 1943 stattfinden; bis zum 10. Januar könne die Reichsbahn wegen des verstärkten Wehrmachts-Urlaubsverkehrs keine zusätzlichen Sonderzüge bereitstellen.

Die 45.000 Juden könnten sich so verteilen: 30.000 Menschen aus dem Bezirk Bialystok, 10.000 aus dem Ghetto Theresienstadt, sowie 3.000 aus den Niederlanden und 2.000 aus Berlin. Unter den aus Theresienstadt zu Deportierenden sollten 5.000 arbeitsfähige Menschen sein, ""die bisher für im Ghetto erforderliche kleinere Arbeiten eingesetzt waren, und 5.000 im Allgemeinen arbeitsunfähige, auch über 60 Jahre alte Juden, um bei dieser Gelegenheit den im Interesse des Ausbaues des Ghettos zu hohen Lagerstand von etwa 48.000 etwas herunterzudrücken. Hierfür bitte ich Sondergenehmigung zu erteilen. Es würden, wie bisher, für den Abtransport nur Juden, die über keine besonderen Beziehungen und Verbindungen verfügen und keine hohen Auszeichnungen besitzen, erfaßt.""

""In der Zahl von 45.000 ist der arbeitsunfähige Anhang (alte Juden und Kinder) mit inbegriffen. Bei Anlegung eines zweckmäßigen Maßstabes fallen bei der Ausmusterung der ankommenden Juden in Auschwitz mindestens 10.000 bis 15.000 Arbeitskräfte an."" (IMT, PS-1472)
⤵️";2021-12-16T10:44:29.000Z;10 likes;-
15;ajwilson79;😢;2021-12-16T10:40:36.000Z;0;-
16;cbatou;sich grämen - ein schönes Wort, das leider inzwischen fast ausgestorben ist. 👍;2021-12-16T09:32:06.000Z;1 like;-
17;heikegumz;"Siegmund Freud (dessen Veröffentlichungen sich u.a. stark auf Traumdeutung beziehen), 1926:
„Meine Sprache ist deutsch. Meine Kultur, meine Erziehung sind deutsch. Ich hielt mich geistig für einen Deutschen, bis ich das Anwachsen des Antisemitismus in Deutschland und Deutsch-Österreich beobachtete. Seitdem ziehe ich es vor, mich einen Juden zu nennen.“
Im NS wurden 1933 auch seine Bücher verbrannt. Nach dem ""Anschluss"" Österreichs floh Freud, der nach NS-Ideologie als ""jüdisch"" galt, 1938 nach England.";2021-12-16T09:25:34.000Z;10 likes;-
18;kaja0301;Liebe Sophie, wir haben alle keine Kristallkugel 🔮. Träume deuten zu wollen, kommt orakeln gleich. In Träumen finden sich Gefühle und Gedanken, die Dich durch den Tag begleiten, wieder. Da kannst Du sie auch finden 😉;2021-12-16T09:15:15.000Z;4 likes;-
19;mond_kind;Ich mache immer Traumdeutung! 🙌;2021-12-16T08:38:59.000Z;2 likes;-
20;giusy79_;Als die Raupe dachte, ihr Leben sei vorbei, wurde sie zum Schmetterling 🦋 😍;2021-12-16T08:38:38.000Z;16 likes;-
21;waldrandkunst;"Ich habe das gefunden: ""Träume von Schmetterlingen sind besonders häufig zu beobachten bei Menschen, denen eine neue Lebensaufgabe in Verbindung mit Verantwortung bevorsteht.""";2021-12-16T08:35:35.000Z;30 likes;-
22;mamamulle;Du weißt es noch nicht, aber eines Tages wirst du deine Flügel ausbreiten & einer der schönsten Schmetterlinge sein 🌈🦋;2021-12-16T08:19:33.000Z;41 likes;-
23;martina_koe123;🦋;2021-12-16T08:16:56.000Z;0;-
24;the_running_mystery;Mach dir über deinen Traum nicht so viele Gedanken. Sonst wirst du nur enttäuscht;2021-12-16T08:06:00.000Z;3 likes;-
