Link: ;https://www.instagram.com/p/CX04NuKs6Uk/
Id/Reply-Id;User;Comment;Date;Likes;Reply To CommentId
1;hi_its.me.steffi;Ja, ich lebe in meiner Heimat.;2021-12-27T17:04:41.000Z;0;-
2;maxi__sun;Wir waren vom 23. Bis 25. In der Heimat bei unseren Eltern /schwiegereltern. War sehr schön. Nun sind wir aber wieder zu Hause und genießen hier die Zeit :);2021-12-26T10:10:04.000Z;0;-
3;ara_de_seer;Meine Heimat ist Ulm und ich liebe diese Stadt 😍 Schöne Feiertage, egal was oder wie ihr alle feiert 🙌;2021-12-25T07:53:30.000Z;0;-
4;teabooksandmycats;Die letzten 3 Jahre haben wir in Ulm gewohnt und meine Familie wohnt bei Stuttgart. Jetzt wohnen wir aber wieder in der Nähe, damit sie ihre Enkel öfter sehen können.;2021-12-25T07:10:33.000Z;0;-
5;breymartina;Meine alte Heimat ist Friedberg/Bayern, seit fast 25 Jahren lebe ich mit meiner Familie in Oberbayern. Nach Friedberg komme ich kaum noch, da nur noch meine Schwester lebt, die fast nie Zeit hat 😢;2021-12-25T00:57:45.000Z;0;-
6;marinahoffrogge;Mit der Ausbildung bin ich weggezogen. Meine Mutter kam hinterher. Wir verbringen Weihnachten unterschiedlich. Je nachdem wie wir arbeiten müssen. Mal mit Familie, mal mit Freunden;2021-12-24T23:03:31.000Z;0;-
7;riki82515;Münchener, manche sind schon seltsam - Stadtgschwerl;2021-12-24T17:04:03.000Z;0;-
8;bilderbuch_mami;Ich wohne 400 km von der Heimat weg. Ich schaffe es leider viel zu selten hin 😢;2021-12-24T15:08:11.000Z;0;-
9;sira_lovely;Ich lebe sehr weit entfernt von meiner Heimat Bremen . Nämlich in Amerika. Schaffe es aber bisher jedes Jahr zu Besuch zu kommen ❤️;2021-12-24T14:17:11.000Z;0;-
10;barbiefch;Ich lebe ca. 950 km nördlich meiner Geburtsstadt. Komme maximal 2 bis 3 mal im Jahr dorthin zurück. In Zeiten der Pandemie maximal 1 mal;2021-12-24T12:56:38.000Z;0;-
11;netterholger;Das ist schön Sophie, habt eine schöne Zeit in Ulm und schöne Weihnachten;2021-12-24T12:27:02.000Z;0;-
12;sebastian_aus_bielefeld;Nach 21 Jahren ist mir Bielefeld eine Heimat geworden. In Münster, wo ich aufgewachsen bin, leben nur noch zwei meiner alten Freunde. Alle anderen sind weg gezogen. (Stuttgart, Braunschweig, Potsdam, Düsseldorf, Wiesbaden und Montreal) In Zeiten, als noch viele zu ihren Eltern gefahren sind, haben wir uns (min. 15 Jahre lang) an Heiligabend zu einem gemeinsamen Frühstück getroffen. Das war immer ein schöner Moment.;2021-12-24T08:07:40.000Z;0;-
13;theotherottershop;Puh, die Frage fängt schon an, wo Heimat anfängt und auch wieder aufhört 😅 die Hälfte meiner Familie kommt auch aus der Gegend von Ulm, da kommen wir aber so gut wie nie hin.. 😢😓 Seit gestern bin ich jetzt wieder in meinem Elternhaus, morgen geht es zur Familie meines Freundes und den Tag danach zu meiner Wohnung. Die letzten Tage war ich bei meinem Freund - 120km von meiner Wohnung entfernt. Ich vermiss ganz oft den Winter, den wir in Ulm mal hatten - das war richtig schön mit ganz viel Schnee. Hier ist es einfach nur kalt - aber von Schnee ist weit und breit nichts zu sehen 😢❄ ich wünsche frohe Weihnachten und besinnliche Feiertage 😊 ich hoffe, dass ich zwischen all dem Herumfahren mal zum Genießen und durchatmen kommen kann ^-^;2021-12-24T05:19:45.000Z;0;-
