Link: ;https://www.instagram.com/p/CRoBaGTKZWm/
Id/Reply-Id;User;Comment;Date;Likes;Reply To CommentId
1;adrians_instastube;Sophie Scholl ist und bleibt ein Vorbild im Kampf gegen Rechtsextremismus, Antisemitismus, Homophobie und co. Leider ist es heute noch immer weltweit ein Thema das Menschen auf Grund ihres Aussehens, ihrer Religion, ihrer Sexualität und co ausgegrenzt und diskriminiert werden! Und das darf niemals geduldet werden. Schon garnicht im 21 Jahrhundert wo uns die Vergangenheit gelehrt hat. Wäret den Anfängen!;2022-01-05T22:36:26.000Z;1 like;-
2;sylvia_rautenberg;❤️❤️❤️❤️;2021-07-25T15:34:29.000Z;0;-
3;benutzername_mode_bln;Big brother is watching you?! #ichbinnichtsophiescholl;2021-07-25T09:51:37.000Z;0;-
4;jumpin52;Pass auf dich auf!;2021-07-25T08:17:47.000Z;0;-
5;wene_beinhart;"Die Nürtinger Bewährungshelferin S. Kopp würde dich als ""querulatorisch"" und ""eigensinnig"" bewerten 😂";2021-07-24T22:10:08.000Z;0;-
6;david_matern;Danke für Eure großartige Arbeit.;2021-07-24T21:46:53.000Z;0;-
7;me13la6nie;Ich finde dieses Projekt so MEGA TOLL!!! So eine super Idee, dies in der heutigen modernen Art zu kommunizieren! Ich hoffe, dass ihr auf diese Weise viele Menschen erreicht! 👍🏻👍🏻👍🏻;2021-07-23T22:02:51.000Z;0;-
8;andreavillwock;😍😍😍;2021-07-23T11:16:06.000Z;0;-
9;schwarzmalerei13;🖤🔥🖤;2021-07-23T10:47:44.000Z;0;-
10;_yoga_tanz;Gesellschaftliche Normen sollten immer hinterfragt werden.;2021-07-23T09:42:54.000Z;0;-
11;zauberflow;"Najaaa. Also, eine Zeitlang hieltst du schon was von den zu deiner Zeit vorherrschenden Gesellschaftlichen Normen und hast beim Bund Deutscher Mädchen leidenschaftlich mitgemacht ;) trotzdem, schöner Wandel in die richtige Richtung…";2021-07-23T09:21:42.000Z;1 like;-
12;wencke_koe;Das zeigt mir immer wieder, WIE wichtig Widerstand ist! Und vor allem spricht man noch heute von Euch! ❤ #ichmachdanichtmit;2021-07-23T08:18:53.000Z;0;-
13;jacky_bruderauf4pfoten;Mich macht es immer sehr traurig 😢 Wenn sie gewusst hätte, wie wenig Zeit ihr noch bleibt. Zeit kann so schnell vorüber gehen...egal welche Jahreszahl 😢;2021-07-23T06:32:50.000Z;0;-
14;jacky_bruderauf4pfoten;Mich macht es immer sehr traurig 😢 Wenn sie gewusst hätte, wie wenig Zeit ihr noch bleibt. Zeit kann so schnell vorüber gehen...egal welche Jahreszahl 😢;2021-07-23T06:27:51.000Z;0;-
15;laura.gulizia;@stefanie_bohnen ❤️;2021-07-23T05:36:40.000Z;1 like;-
