Link: ;https://www.instagram.com/p/CTXmBk9sXp0/
Id/Reply-Id;User;Comment;Date;Likes;Reply To CommentId
1;claudiakeupen;❤️🙌;2021-09-10T15:38:49.000Z;0;-
2;marcucciopatrizia;❤️;2021-09-05T12:06:57.000Z;0;-
3;veryinsignificantperson;👏👏👏👏👏👏👏;2021-09-05T09:58:01.000Z;0;-
4;theshadow000;Cringe!;2021-09-04T22:18:57.000Z;0;-
5;theshadow000;Cringe!;2021-09-04T22:18:42.000Z;0;-
6;ichbinsophiescholl;#TeamSoffer Die heutige Situation mit der Hitler-Diktatur zu vergleichen ist unangebracht. Solche Aussagen widersprechen nicht nur jeglichen Fakten, sondern sind auch respektlos den damaligen Opfern gegenüber. Wir freuen uns über angeregte Diskussionen, behalten uns aber vor, bei Verstößen gegen unsere Netiquette etwaige Kommentare zu entfernen.;2021-09-04T17:07:40.000Z;203 likes;-
6-1;resiresolut;@smorgasbordoflife https://www.deutschlandfunk.de/das-magazin-rubikon-journalistischer-grenzgaenger.2907.de.html?dram:article_id=390378;2021-09-05T05:52:09.000Z;0;6
6-2;hofsonnen;@smorgasbordoflife Ich bin zutiefst schockiert so über ungeimpft zu denken, es gab und gibt viele Dinge, wie z.B. Masernimpfung, Pockenimpfung etc die Pflicht sind und niemand regt sich darüber auf. Aber bei dieser Impfung schon? Jeder wird weiterhin die Wahl haben, aber ggfs als ungeimpft damit leben müssen, sich vorher auf eigene Kosten testen zu lassen.;2021-09-05T06:13:04.000Z;11 likes;6
6-3;laura.t034;"@smorgasbordoflife Entschuldige mal aber hier wird ein Vergleich gezogen zwischen einer verdammten Impfung und einem Menschen bzw. einer Personengruppe. Es ist deine verdammte Freiwillige Entscheidung, ob du dich impfen lässt oder nicht und Geld bezahlst für die Testpflicht aber war es die Entscheidung der Juden ermordet zu werden?

Haben die sich auch gegen irgendwas nicht impfen lassen und wurden somit ausgegrenzt? Das ist verdammt nochmal respektlos zu behaupten oder allein diesen Vergleich zwischen Juden und Ungeimpften zu ziehen.

Juden haben sich nicht selber in diese Situation gebracht und sie hatten nicht einfach die Möglichkeit Geld zu bezahlen und dann wieder ihr Leben zu leben wie vorher auch.

Nein sie durften unter keinen Umständen irgendwas machen.
Ungeimpfte können sich doch ganz einfach frei Testen und keiner sagt, dass Ungeimpfte eine Schande sind. Es ist noch immer eine freiwillige Angelegenheit.

Wenn ihr Impfgegner seid dann seid es ruhig aber diese Vergleiche zwischen Ungeimpft und Juden geht mir endgültig gegen den Strich.";2021-09-05T06:52:39.000Z;25 likes;6
6-4;zevzev347;@ichbinsophiescholl ich finde es schade wenn Beiträge gelöscht werden. Jede Stimme sollte seinen Platz haben. Es hält unser Bewusstsein wach, wenn wir viele Seiten hören. Die Entscheidung, welche Aussage für einem selbst stimmig ist kann und wird jeder für sich selbst treffen. ❤️;2021-09-06T07:18:08.000Z;2 likes;6
7;heikegumz;"Eva v. Redecker: ""Ich beobachte entsetzt, wie stark sich derzeit in verschiedenen Gruppen der Freiheitsbegriff verkettet mit einem Recht, zu zerstören und Leben zu gefährden. Man spürt offenbar seine Freiheit nur, wenn man sie wüst verwenden kann: Die Meinungsfreiheit ist erst zu spüren, indem man andere verletzen darf, die Konsumfreiheit, indem man in Benzinschleudern fahren kann, und die öffentliche Bewegungsfreiheit, indem man anderen ins Gesicht husten darf […] Solche Freiheit gebärdet sich als gefährliche Rücksichtslosigkeit, wenn wir die Schranke, die die anderen für uns sind, einfach durchbrechen wollen.""";2021-09-04T14:52:40.000Z;17 likes;-
7-1;heikegumz;@heikegumz Quelle: https://www.zeit.de/kultur/2020-12/eva-von-redecker-corona-freiheit-mobilitaet-philosophie?wt_zmc=sm.ext.zonaudev.twitter.ref.zeitde.share.link.x;2021-09-04T14:53:09.000Z;1 like;7
8;frauenvondamals;Du hättest dir wohl auch nicht träumen lassen, dass sich mal Mensche auf dich berufen, die ihre Freiheit dadurch beschnitten fühlen, dass sie eine Atemschutzmaske tragen müssen, während weltweit so was wie die Spanische Grippe wütet, und die sich mit dir vergleichen, weil sie sich weigern, sich dagegen impfen zu lassen.;2021-09-04T10:53:24.000Z;31 likes;-
9;nellybochem;Richtig;2021-09-04T08:48:38.000Z;0;-
10;deswahnsinnsjuengstetochter;Es wäre so schön, wenn jemand mal so ein Projekt aufzieht und es da um eine Person mit Behinderung geht, andere People of Colour oder vielleicht eine queere Person. Ich folge diesem Account hier zwar sehr gerne und finde die schauspielerische Leistung auch hervorragend, aber dennoch fehlt mir ein wenig die generelle Repräsentation diverser Gruppen. Gerade für uns als LGBTQIA+ Community wäre die NS Zeit auch katastrophal gewesen und in die Richtung habe ich leider noch nie etwas gesehen.;2021-09-04T08:26:43.000Z;7 likes;-
10-1;heikegumz;"@deswahnsinnsjuengstetochter Ja, für die LGBTQIA+ - Community war die NS-Zeit katastrophal und tw. lebensgefährlich. Es gab viele Verurteilungen zu §175, mit harten Zuchthausstrafen oder KZ. Hans Scholl war wahrscheinlich bisexuell - belegt ist zumindest eine Beziehung zu einem anderen Jungen, als Hans 16, 17 war, für die er angeklagt worden ist - allerdings nicht bestraft wurde. Das ist hier im Account einmal kurz erwähnt worden, aber nicht vertieft, weil es vor der Zeit stattfand, in der die Geschichte hier spielt.
Und ich stimme dir total zu, dass es gut wäre, wenn auch an diese Gruppe der im NS verfolgten Menschen stärker in einem Format wie diesem oder in anderen Kontexten mehr erinnert würde.";2021-09-04T08:51:26.000Z;8 likes;10
11;_yoga_tanz;Das geht uns ganz genauso. Ohne Freiheit ist alles nichts.;2021-09-04T06:51:42.000Z;2 likes;-
12;netratz;🔥❤️;2021-09-04T00:13:20.000Z;0;-
13;nataliafell;Mal eine andere Frage, giebt es auch andere historische Projekte wie dieses? Falls ja bitte sagt bescheid... Ein herzlichen Dank an alle Beteiligten für diesen Projekt ❤️;2021-09-03T21:17:59.000Z;7 likes;-
13-1;katharina.helling;Der Account folgt @eva.stories - das ist ähnlich. Und auf dem YouTubeKanal des @annefrankhouse_official gibt es etwas zu Anne Frank. / also das kenn ich (eine rein fiktive Geschichte gab‘s 2019 zum Mauerfall bei @tagesschau - kann hier nachgeschaut werden: @norasommerfeld - ein anderes auch aktuell laufendes Projekt kenne ich leider nicht.;2021-09-03T21:49:05.000Z;5 likes;13
13-2;nataliafell;@zuagroastebayrischeschwaebin vilen lieben Dank 👏;2021-09-04T07:55:00.000Z;3 likes;13
14;babydee1;Kämpfe weiter liebe Sophie, du kannste es noch nicht sehen, aber du wirst damit die Geschichte ändern! Du wirst einen Unterschied in dieser Welt machen! ❤️;2021-09-03T21:16:23.000Z;10 likes;-
15;katha_reist;So wahr!;2021-09-03T20:42:46.000Z;2 likes;-
16;riso5400;Sophie, wo spürst du die Unfreiheit am meisten?;2021-09-03T20:37:57.000Z;6 likes;-
17;_frolleinschnabelstedt_;Ach Sofferl! Wie gerne würde ich mit dir zusammen ‚die Gedanken sind frei‘ singen…!!!!!ganz laut……aber du darfst es ja maximal im geheimen Summen……was eine gemeine Zeit!!!;2021-09-03T20:11:57.000Z;3 likes;-
17-1;katharina.helling;Sophie spazierte mit ihrer Mutter und Inge jeden Abend zum Gefängnis um die Frankfurter Zeitung für Robert Scholl abzugeben (das war eigtl nicht üblich, aber Robert hatte wohl Fürsprecher, bzw wurde es immer aus irgendeinem Grund irregulär gestattet). Manchmal nahm sie ihre Blockflöte mit und spielte vor dem Gefängnis dieses Lied, in der Hoffnung der Vater würde es hören (Maren Gottschalk, Wie schwer ein Menschenleben wiegt, Kap 15);2021-09-03T20:33:12.000Z;8 likes;17
18;_frolleinschnabelstedt_;Ich singe da auch direkt….die Gedanken sind frei….ich Liebe dieses Lied!!!!;2021-09-03T20:08:34.000Z;8 likes;-
19;herrhundebraten;Ich würde mir auch Freiheit von der Maskenpflicht wünschen;2021-09-03T19:11:49.000Z;7 likes;-
19-1;finanightmare;@herrhundebraten geht mir auch so, ich kann die blöden Dinger aus gesundheitlichen Gründen nicht tragen und darf trotzdem nirgends hin... verrückte Zeiten.;2021-09-03T19:50:33.000Z;4 likes;19
19-2;lunachiara.lin;@herrhundebraten wenn du ernsthaft die ns- diktatur und den holocaust mit dem lächerlich kleinen aufwand eine maske zu tragen, um niemand mit einem tödlichen virus anzustecken, vergleichst, überleg mal dass vielleicht DU das problem bist.;2021-09-03T20:34:52.000Z;67 likes;19
19-3;finanightmare;@luna.clde Vielleicht sind aber auch un empathische Menschen wie DU das Problem? Es ist eben nicht für jeden eine Kleinigkeit so eine Maske zu tragen, für viele ist es Folter, ein Trigger an schreckliche Dinge! Und hier hat niemand etwas verharmlost oder ins lächerliche gezogen;2021-09-04T18:44:20.000Z;0;19
19-4;ja.na.mast.e;@finanightmare solche Kommentare sind unangebracht;2021-09-05T01:07:39.000Z;10 likes;19
