Link: ;https://www.instagram.com/p/CPlTahqKUGG/
Id/Reply-Id;User;Comment;Date;Likes;Reply To CommentId
1;hanne.gasparini;@a.crazy.nature.lover;2021-06-08T21:22:02.000Z;0;-
2;ethanozhu;Sehr starkes Zitat 💯;2021-06-06T18:43:25.000Z;1 like;-
3;reading_with_jules;Auch hier fehlt der Kontext. Ist dies ein Zitat? Wann wurde es verfasst? Zu welchem Tagebucheintrag passt es? Warum fehlt immer wieder der Kontext in diesem Projekt?;2021-06-06T13:30:12.000Z;0;-
4;christianpintz;Du könntest viele Menschen mit deinen Gedanken ändern;2021-06-03T19:01:24.000Z;1 like;-
5;xxcellardoorxx;Rock it, Girl!❤️❤️❤️❤️🔥🔥🔥🔥;2021-06-03T17:48:54.000Z;1 like;-
6;eineloutusblume;❤️❤️❤️;2021-06-03T17:28:39.000Z;1 like;-
7;carmen_breuker;Was heißt mein Geist ist hart?;2021-06-03T15:12:29.000Z;0;-
8;fit4ref_bremen_oldenburg;Es ist so spannend - und gleichzeitig so traurig und bitter, die Geschichte zu kennen und zu wissen, dass diese Stärke und ihre Kraft sich am Ende rächen werden. Leider. Tolles Projekt ❤️;2021-06-03T13:19:27.000Z;0;-
9;miziamia;🔥🔥🔥🔥✨✨✨;2021-06-03T11:49:04.000Z;1 like;-
10;miniminzentee;Schöner Lippenstift;2021-06-03T10:24:58.000Z;1 like;-
11;_.karolinka.__;❤️;2021-06-03T08:43:15.000Z;1 like;-
12;susannawustneck;So unfassbar mutig...🙏❤️;2021-06-03T07:28:11.000Z;1 like;-
13;susannawustneck;So unfassbar mutig...🙏❤️;2021-06-03T07:28:10.000Z;2 likes;-
14;jochenzwarg;Du hast bisher alles richtig gemacht. Ich es absolut bewundernswert was du machst. 🙏;2021-06-03T07:21:12.000Z;1 like;-
15;julina.we;Denk dran: Aufgeben ist keine Option! Ganz viel Liebe an dich 🕊;2021-06-02T19:55:59.000Z;2 likes;-
