Link: ;https://www.instagram.com/p/CShQyBBD0Yt/
Id/Reply-Id;User;Comment;Date;Likes;Reply To CommentId
1;hauptstadtlady50;Ich weiß was du meinst liebe Sophie. Da ich nicht malen kann stelle ich es mir in Gedanken vor. 🙋‍♀️🌞😍.;2021-08-15T14:38:48.000Z;0;-
2;ichbinjuedin_ichbindeutsche;Du hast ein beeindruckendes Talent, Sophie. Ich male es mir als Geschichte aus, die ich auch aufschreibe.;2021-08-14T09:47:07.000Z;1 like;-
3;zuzusarita;❤️;2021-08-14T00:54:55.000Z;2 likes;-
4;ulrikemunner;Die Ereignisse selber male ich nicht.Mh aber eigentlich doch.Die .Oliver such ich mir aus,so wie ich mich fühle.Gedanklich bin ich beim malen zum Brocken geflogen,als Hexe zum 1.mai.Mit 🐱, die im Nebel verschwand, zu ihrem eigen Treffen.Alles gezeichnet.Es muss dann raus,u tut mir gut.Dir tut das Zeichnen auch gut.;2021-08-13T19:17:44.000Z;3 likes;-
5;schoolsven;😍❤️;2021-08-13T19:10:28.000Z;2 likes;-
6;gwen_gloeckchen;Manchmal tue ich das auch, aber meist genieße ich die Vorfreude...🥰;2021-08-13T19:08:23.000Z;4 likes;-
7;sjoerdhart;Ik vind je post geweldig ❤️;2021-08-13T18:44:39.000Z;7 likes;-
8;sjoerdhart;Goed bezig Meid;2021-08-13T18:43:58.000Z;4 likes;-
9;anjamuller565;Das Bild ist toll.;2021-08-13T17:55:11.000Z;4 likes;-
10;laurieontheroad;tanz jeden Tag mit deinen Lieben Sophie! in Zeiten wie diesen kann jeder Tah der letzten sein….;2021-08-13T16:46:44.000Z;8 likes;-
11;eickmanndagmar;In meinem Kopf male ich mir dann ganz genau aus, wie es sein wird.;2021-08-13T16:17:52.000Z;18 likes;-
11-1;ichbinsophiescholl;@eickmanndagmar Geht mir ähnlich! 💭;2021-08-13T16:49:20.000Z;18 likes;11
12;reginacologne;Wenn Dinge noch in weiter, womöglich unabsehbarer Zukunft liegen, versuche ich, mich darauf zu besinnen, dass das einzige, was am Ende zählt die Gegenwart ist - niemand kann die Zukunft vorhersehen und Dinge, die man geplant hat, können komplett anders kommen. Das einzige, was ich beeinflussen kann, ist mein Handeln in der Gegenwart und hoffen, dass es für die Zukunft möglichst positive Effekte hat.;2021-08-13T16:15:29.000Z;7 likes;-
13;gabyd166;"Wie sagt man so schön, ""Vorfreude, schönste Freude."" Schöne Erinnerungen verkürzen die Wartezeit, trotzdem ist es oft schwer. Vor allem, wenn man nicht weiß, wie es den Liebsten geht....";2021-08-13T16:02:57.000Z;4 likes;-
14;katrinpruchniewski;In Gedanken sind meine Freunde bei mir.😌;2021-08-13T15:47:30.000Z;9 likes;-
14-1;ichbinsophiescholl;@katrinpruchniewski Ich schweife auch oft in Gedanken und unseren schönen gemeinsamen Erinnerungen! 💭;2021-08-13T15:54:24.000Z;13 likes;14
14-2;katrinpruchniewski;"@ichbinsophiescholl man nimmt doch ein wenig von den Freunden mit.
Denn diese Menschen haben uns ja beeinflusst und beeindruckt.🙂";2021-08-13T15:58:30.000Z;4 likes;14
15;mehmed.koenig;"Liebe Sophie,
ich kann so gar nicht malen (zumindest ergibt das was ich male, gefühlt nie wirklich einen Sinn). Was ich aber in solchen, ähnlichen Situationen mache: ich schreibe und versuche im Schreiben, meinen Seelenfrieden zu finden. Ich stelle dann auch immer wieder fest, dass Nähe für mich nämlich keine Frage der tatsächlichen Entfernung, sondern des Festhaltens der Nähe zu der Entfernung ist. Verstehst Du was ich meine? Ich versuche in solchen Momenten, einfach das Positive zu sehen, auch wenn im ersten Moment, nichts positiv erscheint.
Fällt mir manchmal schwer, aber manchmal auch ganz einfach. Ich wünsche Dir ganz viel Kraft und vor allem Durchhaltevermögen. ❤️";2021-08-13T15:45:54.000Z;15 likes;-
15-1;ichbinjuedin_ichbindeutsche;@mehmed.koenig dass hast du sehr schön beschrieben lieber Mehmed.;2021-08-14T09:47:58.000Z;0;15
16;peanuts_and_brokkoli;Mental ist alles ❤️Ich Male mir dann gerne in Gedanken aus, wie es sein wird ❤️;2021-08-13T15:38:34.000Z;5 likes;-
17;giusy79_;Bei solchen Ereignissen die noch schrecklich weit entfernt sind. Schaue ich mir immer gerne Fotos an. Die helfen mir die vermisste Person etwas nahe zu stehen! ❤️🙌;2021-08-13T15:37:23.000Z;9 likes;-
17-1;ichbinsophiescholl;@giusy79_ In meiner kleinen Schatzkiste habe ich auch Fotos von meinen Liebsten! 🌺;2021-08-13T15:45:25.000Z;7 likes;17
18;itzz.julez;Werden Sophie und die Clique sich nochmal sehen?;2021-08-13T15:33:43.000Z;7 likes;-
18-1;ichbinsophiescholl;@itzz.julez #TeamSoffer Das werden sie! Allerdings erst im Januar.;2021-08-13T15:46:23.000Z;14 likes;18
18-2;heikegumz;@ichbinsophiescholl Wer ist denn mit Clique gemeint? Kommen nicht Hans Scholl, Alexander Schmorell und Willi Graf schon im November wieder nach München?;2021-08-13T16:22:20.000Z;3 likes;18
18-3;katharina.helling;@heikegumz ja, das überrascht mich jetzt auch..;2021-08-13T22:31:11.000Z;2 likes;18
18-4;ichbinsophiescholl;@heikegumz @zuagroastebayrischeschwaebin #TeamSoffer Die Animation zeigt Sophie, Hans, Christoph, Traute und Alex. Sie werden sich nach den Semesterferien wiedersehen. Historisch passierte das, nachdem Sophie am 29.11.1942 von Ulm nach München reiste. Nachzulesen in Sophie Scholls Biografie von Barbara Beuys (S. 387).;2021-08-14T09:46:14.000Z;4 likes;18
