Link: ;https://www.instagram.com/p/CacDSc4s5ts/
Id/Reply-Id;User;Comment;Date;Likes;Reply To CommentId
1;_frolleinschnabelstedt_;Werdet ihr daraus einen Film machen????❤️❤️❤️;2022-03-09T15:57:19.000Z;5 likes;-
2;apunkt_efpunkt;Wann gibt es endlich die “Lives” als Video?;2022-03-06T20:16:42.000Z;1 like;-
3;libe00beli;Danke für euren Widerstand gegen ein totalitäres System. Ich hoffe die russischen Demonstranten die gerade zuhauf eingesperrt werden zahlen früher oder später nicht mit Ihrem Leben für ihren Mut;2022-03-06T16:24:01.000Z;1 like;-
4;roland.holdcamp;❤️;2022-03-05T22:11:19.000Z;2 likes;-
5;herz.kopf_gefluester;Sophie und Hans wären stolz auf jene der russischen Bevölkerung, die gegen den Krieg auf die Straße gehen und ebenfalls verhaftet werden. Dieses Projekt ist und war so wichtig und aktuell ❤️;2022-03-02T23:48:26.000Z;3 likes;-
6;diy_meets_vintage;#wirsindsophiescholl;2022-03-02T19:46:11.000Z;3 likes;-
7;kannst_du_mir_den_schniedel_;Hallo ! Welch Freude EINE HISTORISCHE PERSON AUF FUCKING INSTAGRAM ZU SEHEN;2022-03-02T19:46:00.000Z;1 like;-
8;diy_meets_vintage;Jeder kann hier und heute Flugblätter des 21. Jahrhunderts verteilen und gegen den Krieg in der Ukraine vorgehen!!! Postet über googlemaps bei russischen Restaurants Restaurantbewertungen mit Infos über die Lage in der Ukraine( am besten auf Russisch übersetzt) Googlemaps kann von Putin nicht zensiert werden. Gebt dazu eine Bewertung von 5 Sternen! Ihr findet diesen Aufruf von Anonymous auch im Netz! Googelt das einfach mal. Ich bin mir sicher, diese Aktion wäre ganz im Sinne der weißen Rose!;2022-03-02T19:45:42.000Z;1 like;-
9;gund.el;Vermisse Sophie und euren Account schon...;2022-03-01T21:26:07.000Z;4 likes;-
10;anke_ja_90;"Tolle Arbeit!

Könnt ihr nicht einFlug für die russische Bevölkerung machen?";2022-03-01T19:29:43.000Z;1 like;-
11;pz.fati;ZDF hat dich auseinander genommen;2022-03-01T13:50:34.000Z;10 likes;-
12;nadineschmidt0804;Woher weiß man die Sterbedaten so genau, wenn sie in NS Gefangenschaft umgekommen sind? Haben die Nazis die Todesdaten der Gefangenen dokumentiert? Eure Arbeit ist wirklich bemerkenswert und hat mir das Leid der Zeit noch einmal näher gebracht.;2022-03-01T10:54:52.000Z;1 like;-
13;janbontjewoordenaar;🔥👏;2022-03-01T08:44:21.000Z;2 likes;-
14;f.roux1996;❤️;2022-03-01T07:43:25.000Z;1 like;-
15;farkaskati;👏;2022-03-01T05:42:18.000Z;0;-
16;jenniferfeargus;Danke für die grossartige Berichterstattung!!;2022-02-28T22:46:33.000Z;1 like;-
17;ricardakathen;❤️;2022-02-28T09:43:45.000Z;1 like;-
18;christian.herzog_;😢;2022-02-28T07:03:42.000Z;0;-
19;familie_lucka;Liebes Team, wisst Ihr, was mit Traute geschehen ist? Danke, Ivonne;2022-02-28T06:32:45.000Z;0;-
20;thecraftyoyster;Sehr bewegende und wichtige Arbeit, die ihr mit diesem Account geleistet habt. Gerade mit den aktuellen Ereignissen in Europa ist die erinnerung an den Krieg wichtiger denn je.;2022-02-28T01:02:19.000Z;2 likes;-
21;ewiglichtkind;Was ist eigentlich mit Traute nach der Verhaftung von Sophie und Hans passiert? :) Hat sie den Hamburger Flügel gegründet?;2022-02-27T22:41:37.000Z;0;-
22;mulanwersonst;❤️;2022-02-27T22:33:07.000Z;1 like;-
23;andrenuvidal7227;Q linda sofia!!!!!💞;2022-02-27T21:06:50.000Z;0;-
24;joe_porsch23;@ichbinsophiescholl, wieso liefert Maren Gottschalk seit Beginn keine Quellenangaben? Weil es die jungen Leute nicht interessiert? Man sollte ihr den Status als Historikerin absprechen!;2022-02-27T20:32:06.000Z;1 like;-
25;mrslittlebutton;Bis heute erinnert daran der städtische Kindergarten Sophie-Scholl in Blumberg❤️;2022-02-27T17:20:47.000Z;1 like;-
26;mrslittlebutton;@stadt_blumberg 🙌;2022-02-27T17:19:58.000Z;1 like;-
27;verena17_02;Bei allen kritischen Stimmen: Ich finde es gut, dass die Geschwister Scholl und die weiße Rose auf diesem Weg vielen (wieder) bewusst gemacht wurden.;2022-02-27T16:16:58.000Z;1 like;-
28;joellecalisti76;❤️👏;2022-02-27T14:50:48.000Z;1 like;-
29;munichlinda1980;"Mich würd mal interessieren, warum bisher keine Sophie-Scholl-Darstellerin mit schwäbischen Dialekt gesprochen hat. Schliesslich ist Sophie Scholl im ""Schwabenländle"" aufgewachsen. Kann mir nicht vorstellen, dass sie da komplett ohne Dialekt geredet hat. Hatten die Filmemacher Angst, dass das zu gekünstelt wirkt?";2022-02-27T13:41:44.000Z;0;-
30;munichlinda1980;"Mich würd mal interessieren, warum bisher keine Sophie-Scholl-Darstellerin mit schwäbischen Dialekt gesprochen hat. Schliesslich ist Sophie Scholl im ""Schwabenländle"" aufgewachsen. Kann mir nicht vorstellen, dass sie da komplett ohne Dialekt geredet hat. Hatten die Filmemacher Angst, dass das zu gekünstelt wirkt?";2022-02-27T13:41:25.000Z;1 like;-
31;martin.gueth;Schade, dass es München bisher nicht geschafft hat, genau diese Stelle, an der das Foto entstand und der Zaun noch steht, als Ort der Erinnerung herzurichten.;2022-02-27T12:24:51.000Z;8 likes;-
32;einfach__da;Musste Dr. Marie-Luise Schultze-Jahn alle 12 Jahre ihrer Haft absitzen oder wurde sie nach Kriegsende entlassen?;2022-02-27T11:27:54.000Z;0;-
33;jawiesodasdenn;Finde den stream einfach nicht. Angeblich soll das erste Video schon online sein. Wenn ich über den Link in der bio gehe, finde ich da gar nichts. War auch Zuhause zu der Zeit als der angeblich gesendet wurde und habe mir die Finger wund getippt, um den zu finden. Icj ich finde hier aber auch komischerweise niemand, der über den live Stream redet. Waren da nur 3 Leute anwesend??? Das ist so enttäuschend!!!!;2022-02-27T10:30:41.000Z;1 like;-
34;stuttgartmama;❤️❤️❤️ Danke, für eure Arbeit ❤️❤️❤️;2022-02-27T10:20:22.000Z;6 likes;-
35;katharina.helling;Wie geht es auf dem Kanal eigtl weiter, wenn kein Content mehr ausgespielt wird? Werden die Kommentare dann deaktiviert, aber weiter sichtbar sein? Oder bleibt alles offen?;2022-02-27T10:03:27.000Z;2 likes;-
36;hottejackson;🙏🖤🙏 Dankeschön;2022-02-27T10:02:53.000Z;2 likes;-
37;katjas42;Wurden die Haftstrafen für Widerstandskämpfer, die zeitlich über das Ende des Kriegs hinaus gingen, aufgehoben?;2022-02-27T09:49:17.000Z;0;-
38;lovis_thecat;Ich finde die Live streams leide nicht, wo habt ihr die versteckt?;2022-02-27T09:21:51.000Z;0;-
39;anjagarber_;Danke ❤️ Die Thematik und ihre Wichtigkeit für die „social-media-Generation“ aufzubereiten und authentisch umzusetzen ist euch mehr als gut gelungen! Hut ab vor allen Beteiligten!! 👏;2022-02-27T08:45:39.000Z;1 like;-
40;forestbirdie;Das beste 'Projekt' seit Jahren! Ihr habt absolut jeden Preis verdient. Wird es das dann auch verfügbar für Schulen geben?;2022-02-27T07:36:28.000Z;9 likes;-
41;schuermannbeate;❤️;2022-02-27T07:35:15.000Z;0;-
42;avramelena2020;I read your stories and it seems that today is that time, we are living the war in Ukraine;2022-02-27T06:24:47.000Z;1 like;-
43;_muerbchen_;Ich finde die Livestreams leider auch nicht;2022-02-27T05:49:23.000Z;1 like;-
44;christiane_daniel69;@ichbinsophiescholl ich finde leider die Aufzeichnung der Livestreams nicht? Wo finde ich die genau ? Danke für das tolle Projekt. Es war großartig 👏👏👏;2022-02-27T05:14:24.000Z;0;-
