Link: ;https://www.instagram.com/p/CXJa7Vtso5M/
Id/Reply-Id;User;Comment;Date;Likes;Reply To CommentId
1;annacremer.x;Es ist so schön, dass sie noch lebt 😍❤️ das hat mich gerade richtig glücklich gemacht, als ich gegoogelt habe, was aus ihr geworden ist.;2021-12-08T11:29:04.000Z;0;-
2;netterholger;Traute ist ja sehr fleißig. Dann kommen ja Hans und Alex morgen wieder. Auf ein schönes Wiedersehen.;2021-12-07T10:58:05.000Z;0;-
3;nathalya_2202;Ich finde das Projekt hier so wichtig und vielen Dank für euren Einsatz um weiter aufzuklären. Hattet ihr in Vorbereitung auch direkten Kontakt zu Traute? Und falls ja, wie findet sie dieses Projekt?;2021-12-06T21:28:57.000Z;2 likes;-
4;ocnsinbtwn;Traute ist so schön!🌸;2021-12-06T19:10:42.000Z;6 likes;-
5;mimis_treasure;Was waren denn verbotene Lebensmittel?;2021-12-06T18:19:30.000Z;10 likes;-
6;schnubbeline.2009;Mich würde sehr interessieren ob Traute Laurenz etwas von diesem tollen Projekt mitbekommt!;2021-12-06T17:58:36.000Z;4 likes;-
7;katharina371;Was mich mal interessieren würde ist, ob die Kleidung die ihr tragt auch authentisch ist? Oftmals wirkt die super modern! *was nicht als Kritik gemeint ist *😅;2021-12-06T17:56:46.000Z;7 likes;-
8;abookncoffee;Warum wurde Traute nicht verhaftet???;2021-12-06T17:38:51.000Z;0;-
9;lelfaere;Es ist so faszinierend, dass sie noch lebt. Nach allem, was damals passiert ist, trotzt sie selbt über die 100 hinweg dem Tod.;2021-12-06T16:59:21.000Z;6 likes;-
10;pekathrin.de;.;2021-12-06T16:42:44.000Z;0;-
11;xshaniqx;Mich würde soo interessieren was die echte Traute sich bei diesem Projekt denkt. ❤️ Bin mir sicher sie würde es wundervoll finden;2021-12-06T16:32:19.000Z;19 likes;-
12;gydehansen;Unglaublich dass Traute heute noch lebt. Sie ist heute 102 Jahre alt.;2021-12-06T16:28:59.000Z;50 likes;-
13;es_ist_1_karolin;Laut Wikipedia lebt Traute Lafrenz sogar noch (geb. 1919)!;2021-12-06T16:22:55.000Z;46 likes;-
14;giusy79_;Das ist doch auch mal schön das Atelier ganz für sich zu haben 😍 Was ist eigentlich aus Traute geworden?;2021-12-06T16:22:16.000Z;10 likes;-
15;katrinpruchniewski;Dann seid ihr zwei, sehr mutige, Frauen.❤️;2021-12-06T16:13:26.000Z;3 likes;-
16;pepplesfeuerstein;@ichbinsophiescholl, ich hab sicher nicht gut genug aufgepasst aber was bitteschön, sind unerlaubte Lebensmittel?;2021-12-06T16:08:45.000Z;2 likes;-
17;madijak353;Warum haben die Polizisten nach unerlaubten Lebensmitteln gesucht? Welche Produkte durfte man nicht bei sich haben?;2021-12-06T16:06:06.000Z;9 likes;-
18;changed.by.popular.demand;Gibt es schon rationiertes Essen? Ist mir bislang gar nicht aufgefallen, du scheinst ja an alles ranzukommen und gibt ja auch ständig neue Klamotten. Wie hast du das eigentlich hingekriegt? Deine Reichskleiderkarte für 1942 dürfte ja schon lange aufgebraucht sein?;2021-12-06T15:59:27.000Z;9 likes;-
19;ichbinsophiescholl;#TeamSoffer Traute Lafrenz war im November für drei Wochen in einer Frauenklinik in Hamburg beschäftigt und hatte ein Flugblatt von Churchill und eines von der Weißen Rose im Gepäck. Traute war die erste, die die Flugblätter weiter außerhalb von München verbreitet hat. Traute zeigte das Flugblatt auch ihrem alten Klassenkameraden Heinz Kucharski, der sie aufforderte mehr zu schicken, wenn sie wieder in München ist. Mehr dazu in Normann Waage, Peter: Es Lebe die Freiheit - Traute Lafrenz und die Weiße Rose, S. 171.;2021-12-06T15:56:13.000Z;254 likes;-
