Link: ;https://www.instagram.com/p/CSjVcYPjgQi/
Id/Reply-Id;User;Comment;Date;Likes;Reply To CommentId
1;casacarl_neu_ulm;#inulmumulmundumulmherum;2021-08-15T21:17:43.000Z;0;-
2;ulrikegoeggel;Danke für das Video - so haben es meine Oma und mein Großonkel wohl gekannt - sie waren nur ein klein wenig älter als Du und sind in der Hafengasse aufgewachsen. Die Oma lebte dort zu Deiner jetzt gerade dokumentierten Zeit mit zwei kleinen Kinder - meinem Vater und meiner Tante - bei ihrer Mutter.;2021-08-15T20:53:42.000Z;1 like;-
3;shecameinblue;@_sandra_88;2021-08-15T18:58:30.000Z;1 like;-
4;hauptstadtlady50;Ich war noch nie in Ulm, deshalb danke 🙏 fürs zeigen liebe Sophie.;2021-08-15T14:49:30.000Z;1 like;-
5;ichbinjuedin_ichbindeutsche;Danke für den Film aus Ulm. Für meinen Mann war es so bis zum Tod seiner Mutter, sein Vater starb als mein Mann 18 war. Inzwischen ist es für unsere Kinder so, dass wir zuhause sind und dafür bin ich / sind wir sehr dankbar.;2021-08-15T12:07:45.000Z;1 like;-
6;carinamarlen3108;Große Ulm Liebe hier. Fischerviertel und Donauufer.;2021-08-15T10:28:31.000Z;2 likes;-
7;frau_goldregen;Wow 🤩 das sind tolle Aufnahmen ❤️;2021-08-15T07:41:21.000Z;1 like;-
8;chripla13;Ulm ist halt einfach nur schön. Wenn ihr eine Aufnahme vom Geburtshaus von Albert Einstein habt, dann bitte auch irgendwie zeigen wenn es geht bitte... Das Gedenkdings gefällt mir gar nicht;2021-08-15T07:21:03.000Z;0;-
9;chripla13;Ulm ist halt einfach nur schön. Wenn ihr eine Aufnahme vom Geburtshaus von Albert Einstein habt, dann bitte auch irgendwie zeigen wenn es geht bitte... Das Gedenkdings gefällt mir gar nicht;2021-08-15T07:17:32.000Z;1 like;-
10;carinamarlen3108;Große Ulm Liebe hier. Fischerviertel und Donauufer.;2021-08-15T05:49:55.000Z;1 like;-
11;svenbillie;Warst du jemals in Köln, Sophie?;2021-08-15T00:34:16.000Z;1 like;-
12;jannik_h4;Ich war vor 3 Wochen das erste mal in Ulm und es ist schon beeindruckend.;2021-08-14T22:57:05.000Z;1 like;-
13;_glcn.g_;@_frht.y_;2021-08-14T21:51:46.000Z;0;-
14;jacko.linchen;@vanessa.egger.5 🕵️‍♀️;2021-08-14T21:28:17.000Z;0;-
15;christinemayr21;Zuhause ist immer da wo die Liebsten sind! 😍😍 Da ist der Ort unerheblich!;2021-08-14T20:37:16.000Z;0;-
16;alexandra.weisswhiterose;Leider erinnert nicht so viel an die Scholls in Ulm. Letztes Jahr bin ich extra nach Ulm gefahren und bin sogar ins Rathaus gegangen, aber insgesamt war ich doch recht enttäuscht. Ich würde mir eigentlich von der Stadt mehr zum Thema wünschen . Finden Sie das übertrieben?;2021-08-14T20:30:05.000Z;1 like;-
17;gockel_blume;Meine Heimat ist die Steiermark, Kärnten und das Burgenland. Ich merk auch, wie wohl ich mich hier fühle.;2021-08-14T20:00:32.000Z;1 like;-
18;netratz;🔥❤️;2021-08-14T18:34:11.000Z;1 like;-
19;giuseppevecchiorocket;Liebe Grüße aus Ulm liebe Sophie noch heute wird an deine und deines Bruders Helden Taten erinnert und wir sind stolz auf euch. P.s. ulm sieht heute ganz anders aus aber immer noch traumhaft.;2021-08-14T18:24:14.000Z;2 likes;-
20;kliffken;Mein Altes Ulm ..;2021-08-14T17:52:43.000Z;0;-
21;sebfischer2;Ja, und auch da wo man her kommt, also aus welchem Ort oder wo man sich halt wohl fühlt.;2021-08-14T16:50:24.000Z;1 like;-
22;helmutstgt;Tolle Aufnahmen. Ich fühle mich durch meine verstorbene Frau auch mit Ulm sehr verbunden. Bin mindestens einmal im Jahr dort. Dieses Jahr schaute ich auch in der Olgastraße an dem Haus vorbei, wo Ihr gewohnt hattet, bevor Ihr zum Münsterplatz gezogen seid.;2021-08-14T16:16:18.000Z;2 likes;-
23;teabooksandmycats;Ich habe die letzten 3 Jahre in Ulm gewohnt und bin vor Kurzem weggezogen. Die Stadt ist sehr schön, aber wollte wieder in die Nähe meiner Eltern, damit meine Kinder ihre Großeltern öfter sehen können. Jetzt wohnen wir sehr ländlich und die Einkaufsmöglichkeiten sind ... etwas eingeschränkter 😂 aber wenigstens sind Oma und Opa nur einen Katzensprung entfernt;2021-08-14T14:50:45.000Z;3 likes;-
24;banaennchen;@nokstuel meh;2021-08-14T14:17:52.000Z;1 like;-
25;ikramova316;🙌;2021-08-14T13:57:37.000Z;0;-
26;lupusinulm;Ich bin Ulmerin und liebe meine Stadt. Und wenn ich mit der Straßenbahn durch die Olgastraße am Geschwister-Scholl-Haus vorbeifahre, denke ich immer ganz fest an dich 😍;2021-08-14T13:38:05.000Z;3 likes;-
26-1;stenzele_2;"@lupusinulm vor allem mit der ""Scholl'schen"" - Bahn 😉";2021-08-14T15:07:16.000Z;3 likes;26
27;odetteanagonzalez;Bellisimo😍;2021-08-14T13:37:30.000Z;0;-
28;alina.vslo;@_gianna_x3 und sieht Ulm immer noch so aus ?😄😂;2021-08-14T13:20:21.000Z;2 likes;-
28-1;gianna__x3;@alina.vslo immer noch 😂😂;2021-08-14T13:59:48.000Z;1 like;28
28-2;danny.schleicher.ulmer;@alina.vslo Genau so nicht, aber immer noch sehr schön. 😉;2021-08-14T14:16:45.000Z;1 like;28
29;lunaninodela;Wunderschönes Ulm ❤️😍 Heimatliebe!;2021-08-14T13:13:22.000Z;3 likes;-
30;67sopran;Ulm;2021-08-14T13:05:06.000Z;1 like;-
31;rikus2153;Heimat... Wernigerode, dort habe ich bis zu meinem Studium in Leningrad, meiner 2.Heimat, gelebt. Danke für das Video!;2021-08-14T12:48:24.000Z;3 likes;-
32;anja_oblosb;So ähnlich muss mein Vater Ulm in den 50er Jahren noch gesehen haben. 😍;2021-08-14T12:45:17.000Z;4 likes;-
