Link: ;https://www.instagram.com/p/CS4fLoLMnE2/
Id/Reply-Id;User;Comment;Date;Likes;Reply To CommentId
1;jeanlucpiriou9122;Die Serie ist spannend;2021-08-24T05:45:21.000Z;0;-
2;doncamillo76;😢😢;2021-08-23T22:29:50.000Z;0;-
3;eddylndn;I wish there was an English version as well;2021-08-23T15:51:15.000Z;0;-
4;netratz;🔥❤️;2021-08-23T12:20:38.000Z;2 likes;-
5;schoolsven;Wie alt ist eigentlich Hansi Hirzel? 🤔 Ach Sophie, seid (alle) bitte vorsichtig 😳❤️;2021-08-23T11:14:53.000Z;15 likes;-
5-1;ichbinsophiescholl;@schoolsven #TeamSoffer Hans Hirzel wurde am 30.10.1924 geboren. Er war dementsprechend im August noch 17 Jahre jung.;2021-08-23T11:46:24.000Z;10 likes;5
5-2;schoolsven;@ichbinsophiescholl Danke ❤;2021-08-27T14:22:59.000Z;0;5
6;ines_s_2;❤️;2021-08-23T09:34:56.000Z;0;-
7;alicefrank7362021;❤️❤️❤️;2021-08-23T05:54:32.000Z;0;-
8;gundifeger208;❤️;2021-08-23T04:39:26.000Z;0;-
9;kaya.mustafa.509;Halbes Jahr noch zur Hinrichtung;2021-08-23T04:13:38.000Z;0;-
10;ganzkleine_86;"Warum sind aktuell immer die ""Bildbeschreibungen"" mit dabei?";2021-08-22T22:53:17.000Z;0;-
10-1;joshy.pianiert;@ganzkleine_86 für Personen mit Sehbehinderung, die sich durch Sprachapps und ähnliches, die Beschreibungen vorlesen lassen können.;2021-08-23T00:11:34.000Z;1 like;10
10-2;ganzkleine_86;@joshy.pianiert Ah okay. Danke! :);2021-08-23T04:33:51.000Z;1 like;10
10-3;ganzkleine_86;@joshy.pianiert Ah okay. Danke! :);2021-08-23T04:34:04.000Z;0;10
11;brusseecharlie;👏👏👏👏;2021-08-22T21:50:38.000Z;1 like;-
12;_pimc_;Wieder einmal sehr berührend gemacht. Danke, Sophie! ❤️🙌;2021-08-22T21:24:17.000Z;3 likes;-
13;giselaute;❤️🔥❤️🔥❤️;2021-08-22T20:10:10.000Z;0;-
14;ava.santimea;"wir brauchen uns gar nicht fragen, wie es wäre, wenn zu heutigen Zeiten solch ein Massaker veranstaltet werden würde, wo es doch social media gibt, wo die Welt vereint scheint. wie das im Krieg wäre, dazu brauchen wir nur dahin zu schauen, wo tatsächlich gerade Krieg herrscht. und dort, wo social media unterdrückt wird, wo man nur über VPN gewisse Seiten aufrufen kann, wo es gar ein eigenes ""Internet"" gibt (Stichwort Nordkorea)... ich fürchte, das Internet ist genauso fragil wie es manche Demokratien der Welt sind. wir können heute dankbar sein, auch die absurdesten Meinungen öffentlich aussprechen zu dürfen. doch das geht nicht überall und die Existenz von Internet und social Media ist kein Garant dafür, dass sowas ""bei uns"" nicht (mehr) passieren kann.";2021-08-22T18:30:56.000Z;8 likes;-
14-1;peter6146;@ava.santimea 🙌;2021-08-22T20:29:04.000Z;0;14
15;sandra.farbenspiel;Was für eine schwere Läßt! Wie schön, das Du in der Natur und bei netten Menschen auch etwas etwas Pause und Verständnis findest!!!;2021-08-22T18:30:23.000Z;2 likes;-
16;netterholger;Sophie, ich nehme dich einfach mal in den Arm;2021-08-22T17:56:27.000Z;2 likes;-
17;klausbgl;Wut kann so manches Leben retten.;2021-08-22T17:55:23.000Z;2 likes;-
18;kajazm;@ichbinsophiescholl ich mach mir sorgen um Hanz, wo ist er ?;2021-08-22T16:51:21.000Z;3 likes;-
18-1;kajazm;Hahaha an der Front ?;2021-08-22T23:00:44.000Z;0;18
18-2;heikekohnen.x;@kajazm Ja, an der Front;2021-08-23T16:28:44.000Z;0;18
19;katrinpruchniewski;"Bei Frau Häberle wäre ich aber vorsichtig.
Da würde ich nicht so viel Persönliches erzählen.";2021-08-22T16:18:37.000Z;14 likes;-
20;katharina.helling;„Dank Hans, Alex, Traute und den anderen kann ich mittlerweile fundiert und gelassen auf so ein Gerede reagieren.“ - wenn man den Schriftwechsel zwischen Fritz und Sophie so anschaut, hätte ich gedacht, dass sie das schon vor der Münchner Zeit konnte..;2021-08-22T16:15:48.000Z;7 likes;-
21;helmutkeimel;Kopf hoch. Es war wird.;2021-08-22T16:13:19.000Z;2 likes;-
22;katharina.helling;"Hans Scholl schrieb diese Woche, am 17.08.1942, einen Brief an Professor Huber, unterschrieben von Hans Scholl, Alexander
Schmorell, Willi Graf und Hubert Furtwängler: Er berichtet über seinen
Aufenthalt in Rußland, schildert seine Verärgerung über die Verdammung
zur ""Inaktivität in wesentlichen Dingen, die Ausweglosigkeit"". Warschau mit
seinem Ghetto habe ""auf alle einen sehr entschiedenen Eindruck
gemacht"". Er weiß nicht, wo er anfangen soll, Rußland zu beschreiben, es sei grenzenlos so wie die Heimatliebe seiner Einwohner, die das Leid zu
reinigen schiene. Von seinen drei Freunden sei ihm der russische
besonders wertvoll, er versuche, die russische Sprache zu lernen und sie
würden abends die Russen besuchen.
// Seit 22.07.1942 wurden die polnischen Juden aus dem Warschauer Ghetto in das Vernichtungslager Treblinka deportiert. Ob die Studenten diese Transporte mitbekamen und deren Ziel kannten, lässt sich nicht mit Gewissheit sagen, weil die Quellenlage hier nicht eindeutig ist.";2021-08-22T16:08:52.000Z;16 likes;-
22-1;peter6146;@zuagroastebayrischeschwaebin 🙌;2021-08-22T20:27:54.000Z;1 like;22
