Link: ;https://www.instagram.com/p/CWTCkj0ju5P/
Id/Reply-Id;User;Comment;Date;Likes;Reply To CommentId
1;coachingbande_akademie;Wer war denn dieser Professor Muth? Gibt es da nähere Infos? Ich kenne einen noch lebenden Professor Muth (mein Patenonkel) und frage mich gerade, ob es da familiäre Bande geben könnte?!;2021-11-17T21:33:51.000Z;0;-
1-1;ichbinsophiescholl;@coachingbande_akademie #TeamSoffer Carl Muth war Publizist und Professor. Hans lernte ihn über Otl Aicher kennen. Er half dem 74-jährigen dabei, seine umfangreiche Bibliothek zu ordnen, woraufhin der Professor schnell zu einem väterlichen Freund und Mentor für ihn wurde. Zu Beginn von Sophies Studium wohnte sie einige Tage in Professor Muths Villa in Solln, woraufhin sie aber recht bald zu Hans in die Lindwurmstraße zog. Die Villa Muth galt jedoch weiterhin als wichtiger kultureller Treffpunkt für die Freunde und Mitglieder der Weißen Rose. Carl Muth starb am 15.11.1944 nach schwerer Krankheit in Bad Reichenhall.;2021-11-18T09:28:21.000Z;1 like;1
1-2;coachingbande_akademie;@ichbinsophiescholl Vielen Dank für die Information. Da muss ich mal nachbohren. Mein Professor Peter Muth, heute über 90 Jahre alt, hat dezente private Verbindungen nach Bad Reichenhall.;2021-11-18T14:39:42.000Z;1 like;1
2;studio.bauendahl;Klasse! ❤️;2021-11-16T12:54:52.000Z;1 like;-
3;ines_s_2;👍👍👍;2021-11-16T12:14:17.000Z;2 likes;-
4;sightseeing_munich;"Danke für die ""Roomtour"", wie man neudeutsch sagt 😁 sieht aber schick aus, ihr werdet sicher viele Tage und lange Nächte hier verbringen...";2021-11-16T08:26:30.000Z;0;-
5;neanova;Ich liebe die Seite, finde es aber sehr schade, dass so viel „künstlerische Freiheit“ genommen wird und dazugedichtet wird.;2021-11-16T07:02:24.000Z;6 likes;-
6;glaubichnich;Für das Geschichtsbild ist das wirklich kein gutes Projekt ….leider ohne jede Tiefe. Dafür sicher sehr publikumswirksam. Schade.;2021-11-16T05:39:28.000Z;4 likes;-
7;jvcelutz;Das Format ist echt toll. Leider muss ich sagen, dass ich schon nach den ersten vier Wochen den Faden verloren hab. Der Algorithmus hat mir sehr viele Posts nicht angezeigt und die Stories sind nach weit hinten gerutscht.;2021-11-15T22:29:11.000Z;3 likes;-
7-1;die_moehre;@jvcelutz deswegen gehe ich oft selbst auf die Seite!;2021-11-16T10:38:38.000Z;0;7
8;sume555;Wie ist es eurem Vermieter weiter ergangen?;2021-11-15T21:01:10.000Z;1 like;-
8-1;heikegumz;"@ sume555 Der Besitzer des Ateliers, Manfred Eickemeyer, wurde im Zshg. mit der Festnahme der Scholls auch verhaftet. Am 13.7.43 wurde gegen ihn sowie gegen Wilhelm Geyer (der das Atelier in Eickemeyers Abwesenheit bewohnte), Harald Dohrn (Schwiegervater von C. Probst) und Josef Söhngen wegen Nichtanzeigen einer Straftat verhandelt. Söhngen wurde zu 6 Monaten Haft verurteilt, alle anderen, also auch Eickemeyer freigesprochen.

Bzgl. der Wohnungsvermieterin der Geschw. Scholl in der Franz-Josef-Str., Frau Schmid, ist mir nichts über evtl. Verhöre o.ä. bekannt. Sophie Scholl hat in ihrer Vernehmung aber explizit darauf hingewiesen, dass ihre Vermieterin ""gut nationalsozialistisch eingestellt ist und von unserem Tun und Treiben keine Ahnung hat"".";2021-11-16T06:15:57.000Z;2 likes;8
8-2;heikegumz;@heikegumz Quellen: https://www.gdw-berlin.de/fileadmin/bilder/publikationen/Kataloge_sonderpublikationen/Gerhard_Feuerle_Katalog_1996.pdf und https://www.bpb.de/geschichte/nationalsozialismus/weisse-rose/61044/verhoerprotokoll-sophie-scholl?p=1;2021-11-16T06:20:22.000Z;2 likes;8
8-3;ichbinsophiescholl;"@sume555 #TeamSoffer Der Architekt Manfred Eickemeyer vermietete nicht an die Scholls, sondern überließ Hans einen Schlüssel, damit die Mitglieder der Weißen Rose in seinem Atelier Treffen organisieren und ihre Arbeit an den Flugblättern verrichten konnten.
Am 13. Juli 1943 wurden Eickemeyer und drei andere Männer in einem Prozess in Zusammenhang mit der Weißen Rose angeklagt, er wurde jedoch freigesprochen.";2021-11-17T12:48:41.000Z;0;8
9;sabineheissner;Es schleicht sich die Angst ein. Um EUCH.😢;2021-11-15T18:15:22.000Z;9 likes;-
9-1;ichbinsophiescholl;@sabineheissner Angst ist unser ständiger Begleiter, doch wir sind mehr als wachsam!;2021-11-15T18:48:57.000Z;6 likes;9
10;anjamuller565;❤️❤️Fotos meiner Kinder und ein Elefanten- Stiftepappbehälter...seid bitte vorsichtig!!;2021-11-15T17:35:09.000Z;1 like;-
11;anneeid7265;Hallo liebe Sophie. Meine Ausrüstung für den Arbeitstag besteht aus Laptop, 2 Monitoren, Tastatur und Maus. Wie schnell man heute Nachrichten verbreiten kann. Da ergeben sich immense neue Möglichkeiten. Damit sind aber viele neue Gefahren entstanden. Weltweit sind sämtliche Zielgruppen erreichbar. Ungefiltert werden Informationen verbreitet und die Leser haben leider oft auch mangelnde Medienkompetenz beim Filtern von Wahrheit und Fake. Liebe Grüße;2021-11-15T17:15:44.000Z;1 like;-
12;ava.santimea;das tröstet etwas über den Vervielfältiger am Grund der Donau hinweg, richtig? 😁 wünsche euch frohes Schaffen und lasst euch nicht erwischen.;2021-11-15T15:44:38.000Z;8 likes;-
12-1;ichbinsophiescholl;@ava.santimea Oh ja! Man stelle sich vor, wie viel mehr Blätter wir damit hätten bedrucken können. Aber ich beschwere mich nicht, diese Ausstattung stimmt mich gerade froh. Danke, wir werden auf uns achten!;2021-11-15T16:15:12.000Z;8 likes;12
13;a_buecherwurm;Eine Frage: Lebt Professor Muth noch?;2021-11-15T15:26:18.000Z;2 likes;-
13-1;ichbinsophiescholl;#TeamSoffer @a_buecherwurm Carl Muth starb am 15.11.1944 nach schwerer Krankheit in Bad Reichenhall.;2021-11-15T15:31:35.000Z;6 likes;13
13-2;gedankenaugenblickwortsamlerin;... #TeamSoffer ... heute haben wir den 15.11, welch' ein Zufall,...;2021-11-15T15:56:48.000Z;3 likes;13
14;katrinpruchniewski;"Das mag ich auch. Ich kann fast die Farbe riechen.
Passt nur auf, dass die Gestapo euch nicht erwischt.";2021-11-15T14:43:10.000Z;2 likes;-
15;heikegumz;"In der realen Geschichte der ""Weißen Rose"" hatte gerade, am 14.11. in Chemnitz ein erstes Gespräch zwischen Hans Scholl, Alexander Schmorell und Falk Harnack stattgefunden, dem Bruder des Widerstandskämpfers Arvid Harnack.
Die Harnack-Schulze-Boysen-Gruppe, von der Gestapo ""Rote Kapelle"" genannt, war jedoch zu diesem Zeitpunkt bereits enttarnt und über 120 Personen verhaftet worden. Unter diesen Umständen lehnte Falk Harnack die Zusammenarbeit mit der ""Weißen Rose"" zu diesem Zeitpunkt ab. Im Februar 43 kam es jedoch zu weiteren Gesprächen.
Sophie Scholl war aktuell noch in Ulm. In ihrem Brief an Fritz Hartnagel vom 7.11. bittet sie ihn, seine Briefe ab dem 1.12. nach München in die Franz-Josef-Str. 13b zu senden.";2021-11-15T14:24:10.000Z;17 likes;-
