Link: ;https://www.instagram.com/p/CRv9ajeItg3/
Id/Reply-Id;User;Comment;Date;Likes;Reply To CommentId
1;stefanielobenstein;Ganz unglaublich große Menschen, die Gründer und Mitglieder der Weißen Rose, ganz unglaublich groß! Ich bin sprachlos! Was für ein Segen für die Welt!!!!! 🙏♥️🙏♥️;2021-08-01T20:57:17.000Z;0;-
2;eweha63;👏;2021-07-29T09:10:36.000Z;0;-
3;jasminmchls;@evaschlgnx;2021-07-28T16:38:54.000Z;0;-
4;www_peace_com;Bitte mach einen film daraus. Die Geschichte soll in den kinos kommen ❤️☮️;2021-07-27T08:49:51.000Z;3 likes;-
5;rakarahan;❤️;2021-07-26T08:39:44.000Z;1 like;-
6;arisk.prvt;Eine sehr melancholische Episode, mit einem spannenden, offenem Ende...@ichbinsophiescholl ich hoffe, dass es noch weiter geht, und das Projekt hier nicht endet;2021-07-26T07:53:08.000Z;0;-
7;gulcnrr1;İch habe nicht verstanden @ichbinsophiescholl projekt ist fertig ?;2021-07-26T07:29:20.000Z;0;-
8;fit4ref_bremen_oldenburg;Wir sind so gespannt auf das, was noch kommt / passiert. 🙌;2021-07-26T01:48:16.000Z;1 like;-
9;biggi67p;Danke für diese Einblicke;2021-07-25T17:44:30.000Z;1 like;-
10;wrohrbeck1;🔥🔥👏👏;2021-07-25T15:45:46.000Z;1 like;-
11;victorria.morgan_;When will your next term at uni be?;2021-07-25T14:56:48.000Z;0;-
12;1.favseries;Wie ist eigentlich der Name weiße Rose entstanden 🤔;2021-07-25T14:43:00.000Z;0;-
13;_kathacarry__;Ich hoffe wir sehen mehr von dir ❤️;2021-07-25T14:42:27.000Z;2 likes;-
14;_frolleinschnabelstedt_;Werden wir noch weiteres von dir sehen? 🙏🙏🙏;2021-07-25T14:30:05.000Z;10 likes;-
15;_frolleinschnabelstedt_;Pass auf dich auf! Du inspirierende, kreative und so mutige Person! Ich denke an dich!!!!;2021-07-25T14:29:08.000Z;2 likes;-
16;hauptstadtlady50;Danke 🙏 für den Wochen Rückblick liebe Sophie. Wünsche euch alles Liebe 🙋‍♀️🌞😍.;2021-07-25T14:26:24.000Z;3 likes;-
17;soffiodaria_;gute reise ❤️;2021-07-25T14:13:16.000Z;1 like;-
18;katharina.helling;Wegen der eingespielten Credits: War neben Dr. Maren Gottschalk nicht noch eine weitere Historikerin beratend dabei?;2021-07-25T13:55:58.000Z;1 like;-
19;lina.hl1990;Du bist eine Inspiration ❤️🙌;2021-07-25T13:51:00.000Z;6 likes;-
20;schoolsven;❤️😍😢;2021-07-25T13:44:12.000Z;1 like;-
21;johannes_guelker;Hallo, ist das Projekt hiermit vorbei? #teamsoffer;2021-07-25T13:33:28.000Z;7 likes;-
22;einsteincollapsed;Ist das Projekt jetzt vorbei?😢;2021-07-25T13:29:25.000Z;12 likes;-
23;fabiundgregsmum;Liebe Sophie pass gut auf dich auf 🙋🏼‍♀️🙋🏼‍♀️🙋🏼‍♀️;2021-07-25T13:12:45.000Z;3 likes;-
24;marenkarnatz;Liebe Sophie, bleib vorsichtig! Ich wünsche Dir eine gute Zeit in Ulm!;2021-07-25T13:01:06.000Z;23 likes;-
25;j.lo213;Habt ihr schon Willi Graf kennen gelernt?;2021-07-25T12:19:37.000Z;4 likes;-
26;baricce;Hallo Sophie , ich muss mich entschuldigen, ich war unaufmerksam. Wann habt ihr eurem Widerstand den Namen geben? Habe es heute gelesen wie du die Weiße Rose vermissen wirst . Gute Reise mutige Sophie;2021-07-25T12:14:39.000Z;6 likes;-
