Link: ;https://www.instagram.com/p/CToWnn3MEKg/
Id/Reply-Id;User;Comment;Date;Likes;Reply To CommentId
1;nadinekleinen84;Leider nicht😟;2021-09-11T19:03:56.000Z;1 like;-
2;baikaforever;Die eigene Fantasie ist oft schrecklicher als das erzählte zu träumen 💞;2021-09-11T16:51:37.000Z;0;-
3;julius_hsld;Face;2021-09-10T22:56:22.000Z;0;-
4;ali_taghipour58;wir sind immer im krieg;2021-09-10T17:14:52.000Z;0;-
5;ali_taghipour58;Das war nur Traum😔;2021-09-10T17:14:03.000Z;0;-
6;tramani_sagrens;Meine Oma hat geträumt wie ihr Bruder gefallen ist;2021-09-10T13:18:40.000Z;1 like;-
7;frank.langenfeld;❤️;2021-09-10T12:08:06.000Z;1 like;-
8;pattastrophe_allestero;Vor Alpträumen ja, aber nicht vor der Realität;2021-09-10T12:03:22.000Z;0;-
9;m_aya1207;@lillymaakaron;2021-09-10T11:35:16.000Z;1 like;-
10;ines_s_2;❤️🔥;2021-09-10T11:26:43.000Z;0;-
11;juwelchen78;❤🙏;2021-09-10T11:18:55.000Z;0;-
12;gwen_gloeckchen;Liebe Sophie. Deine Albträume spiegeln Deine Angst wider und sind nur allzu verständlich. 😔 Ihr macht eine furchtbare Zeit durch, die an niemanden spurlos vorbei gehen wird... Ich wünsche, ich könnte mehr tun, als dich trösten und ermutigen. Ich denke an Dich, die hübsche Traute , Deinen Fritz und deinen klugen Bruder Hans, der bestimmt auch lieber woanders wäre als da,wo er ist. Fühl Dich liebevoll gedrückt und pass auf Dich auf! Liebe Grüße Gwen Glöckchen 💕;2021-09-10T09:26:57.000Z;35 likes;-
12-1;ichbinsophiescholl;@gwen_gloeckchen Danke für deine netten Worte! Schön, dass du auch an die anderen denkst.;2021-09-10T09:59:53.000Z;21 likes;12
13;katrinpruchniewski;"Ich denke, daß das Wissen über den Krieg schon Albträume auslösen kann.
Und wenn du weißt, daß dein Liebster an der Front ist.
Ja, da bekommst du so oder so Albträume.
Das tut mir sehr leid, für dich.";2021-09-10T09:24:14.000Z;2 likes;-
14;katharina.helling;"Nachdem Fritz ihr von diesem Ereignis schrieb, bat sie ihn ihr ein Foto zu senden, um dieses immer bei sich haben zu können. Er dürfe darauf auch seine Uniform tragen, auch wenn ihr diese so fremd sei. Außerdem: „an der Brücke, da hat wohl Dein Schutzengel in den Reifen gestochen, damit ihr nicht weiter konntet. Wie könnte er anders, da er doch alle meine Wünsche und die anderer für Dich kennen muß.“
Statt Fritz war ein Bauer über die Brücke gefahren, der mit seinem Wagen die Druckmine auslöste. Fritz fragte sich nach diesem Erlebnis, warum die Menschen, statt Mozart zu hören, „sich ermorden und verstümmeln müssen“.
(vgl Maren Gottschalk, Wie schwer ein Menschenleben wiegt, Kap 12; Brief v Fritz vom 18.05.1940 und Brief v Sophie v 19.05.1940 / Hermann Vinke, Hoffentlich schreibst Du recht bald, S. 104)";2021-09-10T08:57:06.000Z;19 likes;-
14-1;katharina.helling;Auch zu dieser Zeit schon schilderte er ihr sowohl von seinen Begegnungen mit den Menschen vor Ort („äußerst freundlich und zuvorkommend“) als auch von den Auswirkungen des Krieges, er berichtete über gesprengte Brücken und in Brand gesetzte Häuset. Die Lage in der Stadt Breda bezeichnete er als verheerend. „Auf den Straßen liegen umgeworfene Autos, Kriegsmaterial und tote Pferde in großer Zahl.“ (Vinke, S. 103, Brief v 16.05.1940);2021-09-10T09:02:28.000Z;8 likes;14
14-2;katharina.helling;"Sophie erzählte Fritz u. a. in einem Brief vom 16.05.1940 von ihrem 19. Geburtstag. Sie verlangte nach Nachricht von ihm „denn nun, da alles so ungewiss ist, ist eine Nachricht noch vielmehr vonnöten (…). Auch hier spüren wir etwas von Krieg, denn kaum eine Minute bleibt das Ohr verschont von dem Geräusch der Flugzeuge.“ Sie berichtete weiter von Pfingsten, der Natur, nistenden Vögeln in der Brombeerhecke und schließt den Brief wieder etwas ernster: „Überhaupt hätte ich Dir zu erzählen und zu sagen gehabt, was ich Dir alles nicht schreiben kann.Denn unsere Gedanken sind so verschieden, dass ich mich manchmal frage, ob dies denn so nebensächlich ist, was dich eigentlich Grundlage für Gemeinschaft sein solle. Aber dies soll nun weggeschoben sein. Denn nun, da Du und ich nicht der Freundschaft und der Kameradschaft bedürfen, sondern der Liebe, nun ist es wirklich Nebensache. Wir wollen uns halten, bis wieder Zeiten kommen, wo wir wieder allein sein können.
Denk auch mal an etwas anderes als an Deine Arbeit. Kommst Du manchmal zum Lesen? Ich wünsche Dir sehr, dass du diesen Krieg und diese Zeit überstehst, ohne ihr Geschöpf zu werden. Wir haben alle unsere Maßstäbe in uns selbst, nur werden sie zu wenig gesucht. Vielleicht auch, weil es die härtesten Maßstäbe sind.
Denke manchmal an mich, aber träume nicht von mir. Ich bin in Gedanken viel bei dir mit guten Wünschen und mit Liebe
Deine Sofie
(Brief v 16.05.1940; Hans und Sophie Scholl - Briefe und Aufzeichnungen, S. 175 ff)";2021-09-10T09:15:27.000Z;9 likes;14
15;netratz;🔥❤️;2021-09-10T08:38:51.000Z;0;-
16;an.ki.82;Fühl dich fest gedrückt!;2021-09-10T07:01:49.000Z;10 likes;-
16-1;ichbinsophiescholl;@an.ki.82 Danke! 🖤;2021-09-10T08:04:37.000Z;11 likes;16
17;tischlerei.christian.liesecke;😢;2021-09-10T06:58:55.000Z;0;-
18;sightseeing_munich;Das klingt schrecklich, Fritz muss davon auch ein Trauma haben. Schrecklich, was der Krieg in den Köpfen der Menschen anstellt;2021-09-10T06:40:09.000Z;7 likes;-
18-1;ichbinsophiescholl;@sightseeing_munich Die Menschen leiden Qualen für einen Krieg, in dem alle verlieren und niemand gewinnt...;2021-09-10T06:50:44.000Z;13 likes;18
19;mel.lang;Oh so ein Erlebnis hatte mein Opa auch im Krieg. Manchmal muss man Glück haben.;2021-09-10T06:39:09.000Z;3 likes;-
20;istnichtwahr2020;Nein, Ungewissheit finde ich schlimmer, dann dreht sich das Karussell im Kopf noch mehr.;2021-09-10T06:34:37.000Z;4 likes;-
20-1;ichbinsophiescholl;@istnichtwahr2020 Wahrscheinlich hast du recht.;2021-09-10T06:47:30.000Z;2 likes;20
21;lifestyle_by_mieken;Was für ein schrecklicher Traum.;2021-09-10T06:31:15.000Z;3 likes;-
21-1;ichbinsophiescholl;@lifestyle_by_mieken Ja, hoffentlich der letzte in der Art...;2021-09-10T06:46:48.000Z;7 likes;21
22;dr_schroedinger;"Solche ähnlichen Träume hatte ich auch im Alter von 16 bis 18 Jahre. Die hatten mich total fertig gemacht.
Kann ich daher nachvollziehen, obwohl Krieg, Hunger, Zwangsarbeit mein Leben nicht bestimmten. Ich lebte und lebe in einer friedlichen Umgebung.
Die Erzählungen von Fritz sind wie die Erzählungen von anderen. Der Kopf braucht ein Ventil und das mögen unsere Träume sein.";2021-09-10T06:29:05.000Z;7 likes;-
23;mehmed.koenig;"Liebe Sophie,
ich kenne dieses Gefühl nach einem Alptraum. Man wacht auf und obwohl man weiß das es nur ein Traum war, lässt es einen, in einem unguten Gefühl zurück.
Was Deinen Traum anbelangt, so kann ich Dich vielleicht ein wenig trösten. Meine Mama hat sehr an Träume geglaubt und hat daran geglaubt, dass negatives im Traum, immer etwas positives im Leben bedeutet. Den Tod hat sie immer als „die Verlängerung des Lebens“ gesehen - wenn also jemand im Traum verstarb, so hat sich das Leben der Person im Traum, eigentlich nur verlängert. Vielleicht hilft Dir das weiter, in der Bewältigung Deiner Ängste und Sorgen. ❤️";2021-09-10T06:14:45.000Z;67 likes;-
23-1;ichbinsophiescholl;@mehmed.koenig Eine wirklich schöne ubd positive Art, damit umzugehen - danke!;2021-09-10T06:42:17.000Z;10 likes;23
23-2;kruemel_und_faden;"@mehmed.koenig ein wunderschöner Gedanke!
Ich suche und lese immer als erstes Deine Kommentare! Du bringst die Sachen immer auf den Punkt und eine inspirierende und faszinierende Sichtweise mit ein!";2021-09-10T07:51:01.000Z;5 likes;23
24;dashieristandaz;Alpträume hättest du trotzdem, liebe Sophie. Vllt sogar schlimmere? Die menschliche Fantasie ist schrecklich einfallsreich. Vor allem, wenn es um geliebte Menschen geht. Halte durch, liebe Sophie.;2021-09-10T06:14:09.000Z;22 likes;-
24-1;ichbinsophiescholl;@dashieristandaz Danke für deine lieben und verständnisvollen Worte!;2021-09-10T06:40:36.000Z;3 likes;24
24-2;clarathepet;@inthemiddlesomewhatelevated doof;2021-09-11T06:52:50.000Z;0;24
25;matiliahuhn;Was für eine wunderbare Bewahrung, die Fritz erlebt hat! Hoffentlich überlebt er den Krieg! 🙏🏼;2021-09-10T06:12:38.000Z;5 likes;-
25-1;ichbinsophiescholl;@matiliahuhn Das hoffe ich auch so sehr! Und ich glaube an ihn!;2021-09-10T06:39:16.000Z;2 likes;25
26;ichbinsophiescholl;#TeamSoffer In einem Brief vom 18.5.40 schildert Fritz Sophie die Explosion einer Brücke, über die er gefahren wäre, hätte sein Wagen nicht einen Platten gehabt.;2021-09-10T06:10:01.000Z;260 likes;-
